* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 12, 2024 3:58:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	98.413948	-134.7851
20.299999	98.454529	-135.4934
20.600000	98.493835	-136.1288
20.900000	98.533791	-136.6984
21.200001	98.576324	-137.2128
21.400000	98.607147	-137.5331
21.799999	98.675758	-138.1563
22.000000	98.713005	-138.4781
22.400000	98.789032	-139.1746
22.700001	98.841248	-139.7554
23.000000	98.884506	-140.3716
23.299999	98.917015	-140.9946
23.600000	98.940399	-141.5946
24.000000	98.965462	-142.3359
24.299999	98.985512	-142.8672
24.700001	99.016266	-143.5999
25.000000	99.038040	-144.1969
25.400000	99.056549	-145.0464
25.799999	99.058395	-145.8809
26.200001	99.051224	-146.6161
26.500000	99.049232	-147.0905
26.900000	99.060081	-147.6741
27.200001	99.078461	-148.1241
27.600000	99.107819	-148.7796
28.000000	99.132904	-149.4716
28.500000	99.155960	-150.2813
29.000000	99.185913	-150.9833
29.500000	99.232452	-151.6795
30.000000	99.279427	-152.4742
30.400000	99.302277	-153.1454
30.700001	99.308891	-153.6155
31.100000	99.309906	-154.1488
31.500000	99.312805	-154.5791
32.000000	99.327896	-155.0596
32.500000	99.350334	-155.5686
33.000000	99.369408	-156.1178
33.500000	99.382927	-156.6782
34.000000	99.392677	-157.2509
34.500000	99.395950	-157.8424
35.000000	99.390305	-158.4110
35.500000	99.382874	-158.9044
36.000000	99.386505	-159.3437
36.500000	99.404572	-159.8191
37.000000	99.425430	-160.3879
37.500000	99.435501	-161.0076
38.200001	99.432419	-161.7885
38.700001	99.432533	-162.2466
39.500000	99.449501	-162.9503
40.000000	99.460655	-163.4249
40.599998	99.465561	-163.9861
41.200001	99.465744	-164.4923
41.799999	99.467934	-164.9619
42.500000	99.472076	-165.5152
