* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 24, 2025 6:02:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	105.003	-147.5366
20.600000	105.023	-148.1777
20.900000	105.032	-148.7421
21.200001	105.041	-149.2854
21.400000	105.048	-149.6393
21.799999	105.068	-150.3402
22.000000	105.081	-150.6927
22.400000	105.112	-151.4089
22.700001	105.137	-151.9555
23.000000	105.162	-152.5038
23.299999	105.183	-153.0448
23.600000	105.202	-153.5696
24.000000	105.221	-154.2347
24.299999	105.234	-154.7069
24.700001	105.247	-155.3054
25.000000	105.255	-155.7347
25.400000	105.265	-156.2841
25.799999	105.273	-156.8102
26.200001	105.282	-157.3206
26.500000	105.290	-157.7009
26.900000	105.301	-158.2150
27.200001	105.310	-158.6091
27.600000	105.320	-159.1408
28.000000	105.328	-159.6671
28.500000	105.336	-160.2953
29.000000	105.343	-160.8815
29.500000	105.351	-161.4362
30.000000	105.360	-161.9789
30.400000	105.366	-162.4141
30.700001	105.370	-162.7436
31.100000	105.374	-163.1867
31.500000	105.376	-163.6285
32.000000	105.379	-164.1656
32.500000	105.381	-164.6742
33.000000	105.384	-165.1572
33.500000	105.388	-165.6282
34.000000	105.390	-166.0952
34.500000	105.389	-166.5549
35.000000	105.387	-167.0028
35.500000	105.386	-167.4431
36.000000	105.385	-167.8823
36.500000	105.384	-168.3174
37.000000	105.381	-168.7386
37.500000	105.378	-169.1427
38.200001	105.374	-169.6939
38.700001	105.372	-170.0859
39.500000	105.367	-170.7038
40.000000	105.363	-171.0783
40.599998	105.357	-171.5146
41.200001	105.351	-171.9410
41.799999	105.344	-172.3652
42.500000	105.335	-172.8498
43.099998	105.325	-173.2314
43.700001	105.320	-173.5864
44.400002	105.316	-174.0255
45.000000	105.307	-174.4299
45.500000	105.294	-174.7497
46.200001	105.276	-175.1522
46.799999	105.264	-175.4920
47.500000	105.250	-175.8823
48.200001	105.240	-176.2279
48.700001	105.239	-176.4880
49.400002	105.236	-176.9339
50.000000	105.217	-177.3158
50.799999	105.186	-177.6853
51.500000	105.173	-177.9675
52.200001	105.167	-178.3127
53.000000	105.161	-178.7541
53.799999	105.151	-179.2257
54.500000	105.128	-179.5606
55.200001	105.108	-179.7519
56.000000	105.106	179.9673
57.000000	105.077	179.3568
58.000000	105.026	178.9170
59.000000	105.010	178.5891
60.000000	104.996	178.2189
60.799999	104.978	177.9071
61.500000	104.958	177.6221
62.200001	104.939	177.3505
63.000000	104.920	177.0569
64.000000	104.894	176.7135
65.000000	104.869	176.3526
66.000000	104.840	175.9624
67.000000	104.812	175.6477
68.000000	104.787	175.3454
69.000000	104.760	175.0723
70.000000	104.744	174.7329
71.000000	104.712	174.3545
72.000000	104.678	174.1041
73.000000	104.654	173.8185
74.000000	104.623	173.5172
75.000000	104.600	173.2675
76.199997	104.570	172.9038
77.500000	104.526	172.6089
78.800003	104.497	172.2705
80.000000	104.462	171.9639
81.199997	104.430	171.6825
82.500000	104.391	171.3849
83.800003	104.356	171.0775
85.000000	104.320	170.8245
86.199997	104.289	170.5763
87.500000	104.251	170.2906
88.500000	104.223	170.0889
90.000000	104.180	169.8017
91.199997	104.148	169.5715
92.500000	104.111	169.3266
93.800003	104.076	169.1002
95.000000	104.041	168.8894
96.199997	104.008	168.6912
97.500000	103.973	168.4839
98.800003	103.937	168.2728
100.000000	103.902	168.0878
101.500000	103.862	167.8657
103.000000	103.819	167.6470
104.400002	103.780	167.4564
106.000000	103.738	167.2303
107.500000	103.697	167.0338
109.000000	103.656	166.8509
110.599998	103.611	166.6488
112.000000	103.574	166.4842
113.800003	103.524	166.2772
115.000000	103.493	166.1558
117.199997	103.434	165.9141
118.000000	103.411	165.8304
120.599998	103.349	165.5783
122.000000	103.306	165.4701
124.099998	103.252	165.2687
125.000000	103.229	165.1990
126.500000	103.192	165.0814
128.000000	103.152	164.9677
131.500000	103.062	164.6888
132.000000	103.049	164.6546
134.000000	103.000	164.5273
136.000000	102.951	164.4041
138.000000	102.900	164.2794
140.000000	102.852	164.1550
143.000000	102.778	164.0081
145.000000	102.728	163.9051
147.500000	102.669	163.7750
150.000000	102.608	163.6722
152.500000	102.549	163.5716
155.000000	102.488	163.4822
157.500000	102.430	163.3938
160.000000	102.367	163.2462
162.500000	102.312	163.2484
165.000000	102.250	163.1826
167.500000	102.188	163.1277
170.000000	102.127	163.0943
172.500000	102.065	163.0731
175.000000	102.000	163.0552
177.500000	101.932	163.0915
180.000000	101.865	163.1157
182.500000	101.801	163.2897
185.000000	101.732	163.5172
187.500000	101.691	163.7332
190.000000	101.664	164.0005
192.500000	101.649	164.0924
195.000000	101.627	164.1484
197.500000	101.594	164.1920
200.000000	101.562	164.2329
203.000000	101.522	164.3879
206.000000	101.502	164.5689
209.000000	101.499	164.6401
212.000000	101.494	164.5255
214.000000	101.477	164.3968
218.000000	101.430	164.1639
220.000000	101.399	164.0688
224.000000	101.331	163.9531
227.000000	101.279	163.9113
230.000000	101.228	163.8806
233.000000	101.176	163.8882
236.000000	101.124	163.8870
240.000000	101.059	163.9214
243.000000	101.007	163.9757
247.000000	100.944	164.0295
250.000000	100.899	164.0936
254.000000	100.838	164.1728
258.000000	100.777	164.2657
262.000000	100.719	164.3661
265.000000	100.676	164.4445
269.000000	100.619	164.5576
272.000000	100.579	164.6426
276.000000	100.523	164.7692
280.000000	100.469	164.8895
285.000000	100.405	165.0643
290.000000	100.340	165.2358
295.000000	100.277	165.4114
300.000000	100.219	165.5794
304.000000	100.171	165.7198
307.000000	100.136	165.8320
311.000000	100.089	165.9695
315.000000	100.040	166.1208
320.000000	99.984	166.3130
325.000000	99.925	166.5091
330.000000	99.869	166.7036
335.000000	99.813	166.9152
340.000000	99.757	167.1383
345.000000	99.703	167.3501
350.000000	99.650	167.5891
355.000000	99.598	167.8284
360.000000	99.547	168.0571
365.000000	99.497	168.2983
370.000000	99.448	168.5553
375.000000	99.399	168.8193
382.000000	99.334	169.1846
387.000000	99.291	169.4643
395.000000	99.228	169.8949
400.000000	99.191	170.1617
406.000000	99.146	170.4355
412.000000	99.101	170.7079
418.000000	99.052	170.9844
425.000000	98.993	171.3293
431.000000	98.945	171.6266
437.000000	98.898	171.9410
444.000000	98.843	172.3156
450.000000	98.797	172.6394
455.000000	98.760	172.9132
462.000000	98.711	173.2977
468.000000	98.668	173.6398
475.000000	98.620	174.0240
482.000000	98.572	174.4195
487.000000	98.537	174.7012
494.000000	98.491	175.1055
500.000000	98.453	175.4615
508.000000	98.403	175.9267
515.000000	98.360	176.3401
522.000000	98.317	176.7715
530.000000	98.271	177.2503
538.000000	98.226	177.7403
545.000000	98.188	178.1757
552.000000	98.149	178.6074
560.000000	98.107	179.1172
570.000000	98.058	179.7588
580.000000	98.008	-179.6001
590.000000	97.959	-178.9584
600.000000	97.915	-178.3030
608.000000	97.880	-177.7650
615.000000	97.851	-177.2959
622.000000	97.824	-176.8305
630.000000	97.793	-176.2798
640.000000	97.755	-175.5863
650.000000	97.718	-174.8907
660.000000	97.684	-174.1846
670.000000	97.653	-173.4712
680.000000	97.624	-172.7377
690.000000	97.599	-171.9893
700.000000	97.572	-171.2483
710.000000	97.552	-170.4750
720.000000	97.534	-169.7086
730.000000	97.516	-168.9325
740.000000	97.507	-168.1369
750.000000	97.498	-167.3643
762.000000	97.494	-166.3846
775.000000	97.493	-165.3598
788.000000	97.499	-164.3284
800.000000	97.510	-163.3647
812.000000	97.524	-162.4206
825.000000	97.549	-161.3690
838.000000	97.578	-160.3334
850.000000	97.608	-159.3990
862.000000	97.645	-158.4624
875.000000	97.693	-157.4704
885.000000	97.731	-156.7248
900.000000	97.795	-155.5952
912.000000	97.853	-154.7540
925.000000	97.918	-153.8336
938.000000	97.988	-152.9547
950.000000	98.057	-152.1471
962.000000	98.126	-151.3671
975.000000	98.206	-150.5479
988.000000	98.288	-149.7329
1000.000000	98.368	-149.0294
1015.000000	98.475	-148.1455
1030.000000	98.581	-147.3218
1044.000000	98.688	-146.5640
1060.000000	98.810	-145.7788
1075.000000	98.929	-145.0717
1090.000000	99.051	-144.4018
1106.000000	99.180	-143.7588
1120.000000	99.297	-143.2175
1138.000000	99.445	-142.5855
1150.000000	99.542	-142.1964
1172.000000	99.723	-141.5487
1180.000000	99.788	-141.3379
1206.000000	99.996	-140.6965
1220.000000	100.105	-140.3930
1241.000000	100.264	-139.9758
1250.000000	100.333	-139.8081
1265.000000	100.444	-139.5435
1280.000000	100.552	-139.3110
1315.000000	100.799	-138.8053
1320.000000	100.833	-138.7371
1340.000000	100.969	-138.4874
1360.000000	101.103	-138.2571
1380.000000	101.235	-138.0426
1400.000000	101.363	-137.8300
1430.000000	101.554	-137.5420
1450.000000	101.683	-137.3715
1475.000000	101.842	-137.1747
1500.000000	102.000	-136.9918
1525.000000	102.159	-136.8283
1550.000000	102.319	-136.7029
1575.000000	102.479	-136.6080
1600.000000	102.642	-136.5327
1625.000000	102.807	-136.4988
1650.000000	102.974	-136.5195
1675.000000	103.142	-136.5726
1700.000000	103.311	-136.6862
1725.000000	103.479	-136.8483
1750.000000	103.648	-137.0768
1775.000000	103.817	-137.3450
1800.000000	103.985	-137.6956
1825.000000	104.151	-138.1096
1850.000000	104.315	-138.5773
1875.000000	104.474	-139.1356
1900.000000	104.629	-139.7510
1925.000000	104.779	-140.4460
1950.000000	104.922	-141.2098
1975.000000	105.058	-142.0507
2000.000000	105.183	-142.9500
2030.000000	105.321	-144.1339
2060.000000	105.440	-145.3991
2090.000000	105.541	-146.7309
2120.000000	105.620	-148.1123
2140.000000	105.661	-149.0596
2180.000000	105.713	-150.9835
2200.000000	105.723	-151.9607
2240.000000	105.713	-153.8791
2270.000000	105.680	-155.2879
2300.000000	105.626	-156.6476
2330.000000	105.551	-157.9458
2360.000000	105.458	-159.1579
2400.000000	105.309	-160.6373
2430.000000	105.180	-161.6280
2470.000000	104.992	-162.7961
2500.000000	104.841	-163.5382
2540.000000	104.630	-164.3625
2580.000000	104.412	-164.9967
2620.000000	104.190	-165.4426
2650.000000	104.023	-165.6659
2690.000000	103.803	-165.8212
2720.000000	103.640	-165.8323
2760.000000	103.429	-165.7355
2800.000000	103.226	-165.5053
2850.000000	102.982	-165.0567
2900.000000	102.754	-164.4713
2950.000000	102.542	-163.7288
3000.000000	102.347	-162.8920
3040.000000	102.203	-162.1380
3070.000000	102.102	-161.5475
3110.000000	101.977	-160.7150
3150.000000	101.864	-159.8485
3200.000000	101.735	-158.7279
3250.000000	101.622	-157.5699
3300.000000	101.523	-156.3862
3350.000000	101.439	-155.1861
3400.000000	101.368	-153.9669
3450.000000	101.309	-152.7562
3500.000000	101.262	-151.5131
3550.000000	101.225	-150.3089
3600.000000	101.199	-149.0949
3650.000000	101.182	-147.8911
3700.000000	101.173	-146.6868
3750.000000	101.170	-145.5044
3820.000000	101.185	-143.8454
3870.000000	101.203	-142.6848
3950.000000	101.247	-140.8213
4000.000000	101.289	-139.6600
4060.000000	101.341	-138.2793
4120.000000	101.409	-136.9106
4180.000000	101.488	-135.5625
4250.000000	101.596	-133.9701
4310.000000	101.702	-132.6429
4370.000000	101.824	-131.3266
4440.000000	101.984	-129.8241
4500.000000	102.141	-128.5687
4550.000000	102.283	-127.5396
4620.000000	102.502	-126.1806
4680.000000	102.712	-125.0591
4750.000000	102.980	-123.8614
4820.000000	103.272	-122.7680
4870.000000	103.500	-122.0903
4940.000000	103.840	-121.2788
5000.000000	104.155	-120.7488
5080.000000	104.604	-120.3231
5150.000000	105.023	-120.2386
5220.000000	105.462	-120.5055
5300.000000	105.982	-121.2475
5380.000000	106.512	-122.5721
5450.000000	106.971	-124.2552
5520.000000	107.409	-126.4752
5600.000000	107.859	-129.6472
5700.000000	108.304	-134.5062
5800.000000	108.562	-140.0643
5900.000000	108.603	-145.8573
6000.000000	108.435	-151.3182
6080.000000	108.180	-155.1637
6150.000000	107.893	-158.0310
6220.000000	107.573	-160.4105
6300.000000	107.188	-162.5373
6400.000000	106.712	-164.4233
6500.000000	106.272	-165.5579
6600.000000	105.886	-166.1301
6700.000000	105.567	-166.3050
6800.000000	105.321	-166.2123
6900.000000	105.151	-165.9893
7000.000000	105.053	-165.7215
7100.000000	105.028	-165.5128
7200.000000	105.086	-165.4714
7300.000000	105.214	-165.7292
7400.000000	105.406	-166.3440
7500.000000	105.671	-167.3855
7620.000000	106.098	-169.5530
7750.000000	106.665	-173.7156
7880.000000	107.211	179.4460
8000.000000	107.477	170.4930
8120.000000	107.292	159.9486
8250.000000	106.502	148.7952
8380.000000	105.271	139.7729
8500.000000	103.941	133.6803
8620.000000	102.551	129.5283
8750.000000	101.057	126.9344
8850.000000	99.958	126.0583
9000.000000	98.428	126.0942
9120.000000	97.320	127.0787
9250.000000	96.224	128.6409
9380.000000	95.249	130.7189
9500.000000	94.430	132.8789
9620.000000	93.701	135.2725
9750.000000	92.993	137.9069
9880.000000	92.366	140.7550
10000.000000	91.824	143.5527
10150.000000	91.311	146.7459
10300.000000	90.845	149.9650
10440.000000	90.486	152.9884
10600.000000	90.167	156.2511
10750.000000	89.939	159.3198
10900.000000	89.795	162.1656
11060.000000	89.718	165.2196
11200.000000	89.738	167.4473
11380.000000	89.845	170.4254
11500.000000	90.001	172.1388
11720.000000	90.439	174.9164
11800.000000	90.663	175.7008
12060.000000	91.585	177.6467
12200.000000	92.246	178.0557
12410.000000	93.505	177.4385
12500.000000	94.169	176.6387
12650.000000	95.445	174.1664
12800.000000	96.974	169.6262
13150.000000	101.293	142.3914
13200.000000	101.810	135.3532
13400.000000	102.265	101.6481
13600.000000	100.235	73.9644
13800.000000	97.779	57.7638
14000.000000	95.756	47.6212
14300.000000	93.674	36.2156
14500.000000	92.791	27.5881
14750.000000	90.654	10.2841
15000.000000	89.634	21.1653
15250.000000	90.870	12.4919
15500.000000	92.139	-1.0790
15750.000000	93.920	-21.3349
16000.000000	95.618	-53.7195
16250.000000	95.498	-96.0769
16500.000000	93.445	-134.8790
16750.000000	90.865	-166.7830
17000.000000	88.381	165.2734
17250.000000	86.095	138.9636
17500.000000	84.068	112.9866
17750.000000	82.296	86.0367
18000.000000	80.732	57.4075
18250.000000	79.483	26.7731
18500.000000	78.418	-7.5715
18750.000000	77.667	-46.8382
19000.000000	77.489	-92.8904
19250.000000	76.551	-146.1677
19500.000000	76.013	149.6115
19750.000000	75.221	71.9299
