* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 24, 2025 6:00:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.952	-148.0047
20.600000	104.959	-148.5936
20.900000	104.965	-149.0697
21.200001	104.980	-149.5250
21.400000	104.996	-149.8396
21.799999	105.037	-150.5294
22.000000	105.059	-150.9074
22.400000	105.098	-151.7024
22.700001	105.119	-152.2917
23.000000	105.133	-152.8435
23.299999	105.142	-153.3452
23.600000	105.150	-153.8042
24.000000	105.164	-154.3895
24.299999	105.176	-154.8381
24.700001	105.192	-155.4669
25.000000	105.202	-155.9493
25.400000	105.213	-156.5748
25.799999	105.226	-157.1524
26.200001	105.243	-157.6880
26.500000	105.259	-158.0820
26.900000	105.280	-158.6208
27.200001	105.293	-159.0378
27.600000	105.303	-159.5900
28.000000	105.306	-160.1071
28.500000	105.309	-160.6818
29.000000	105.319	-161.2163
29.500000	105.333	-161.7719
30.000000	105.341	-162.3578
30.400000	105.339	-162.8167
30.700001	105.334	-163.1390
31.100000	105.328	-163.5399
31.500000	105.327	-163.9306
32.000000	105.334	-164.4456
32.500000	105.344	-164.9947
33.000000	105.349	-165.5295
33.500000	105.352	-166.0085
34.000000	105.354	-166.4432
34.500000	105.356	-166.8767
35.000000	105.355	-167.3313
35.500000	105.351	-167.7924
36.000000	105.346	-168.2361
36.500000	105.345	-168.6577
37.000000	105.347	-169.0675
37.500000	105.349	-169.4716
38.200001	105.345	-170.0248
38.700001	105.339	-170.4115
39.500000	105.326	-171.0241
40.000000	105.320	-171.4024
40.599998	105.313	-171.8485
41.200001	105.306	-172.2828
41.799999	105.299	-172.6979
42.500000	105.291	-173.1613
43.099998	105.288	-173.5692
43.700001	105.281	-174.0012
44.400002	105.263	-174.4812
45.000000	105.246	-174.8242
45.500000	105.238	-175.0869
46.200001	105.234	-175.5012
46.799999	105.225	-175.8922
47.500000	105.208	-176.2868
48.200001	105.199	-176.6495
48.700001	105.193	-176.9786
49.400002	105.164	-177.4926
50.000000	105.128	-177.8083
50.799999	105.115	-178.0535
51.500000	105.133	-178.3930
52.200001	105.130	-178.8504
53.000000	105.099	-179.2302
53.799999	105.081	-179.5400
54.500000	105.069	-179.9103
55.200001	105.049	179.7247
56.000000	105.031	179.3970
57.000000	105.015	178.9809
58.000000	104.989	178.5562
59.000000	104.965	178.1670
60.000000	104.939	177.7346
60.799999	104.910	177.4015
61.500000	104.889	177.1431
62.200001	104.874	176.8682
63.000000	104.854	176.5498
64.000000	104.827	176.2208
65.000000	104.802	175.8541
66.000000	104.769	175.4961
67.000000	104.746	175.1828
68.000000	104.721	174.8497
69.000000	104.689	174.5296
70.000000	104.661	174.2220
71.000000	104.637	173.9060
72.000000	104.608	173.5847
73.000000	104.579	173.2878
74.000000	104.553	172.9966
75.000000	104.527	172.7393
76.199997	104.489	172.4225
77.500000	104.449	172.1084
78.800003	104.414	171.7406
