* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 7, 2025 6:12:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: gold L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.991	-157.2273
20.600000	101.994	-157.6910
20.900000	101.987	-158.0430
21.200001	101.978	-158.3398
21.400000	101.974	-158.5182
21.799999	101.975	-158.8651
22.000000	101.980	-159.0497
22.400000	101.996	-159.4655
22.700001	102.010	-159.8289
23.000000	102.023	-160.2298
23.299999	102.030	-160.6513
23.600000	102.033	-161.0714
24.000000	102.032	-161.5952
24.299999	102.030	-161.9495
24.700001	102.033	-162.3761
25.000000	102.039	-162.6759
25.400000	102.052	-163.0688
25.799999	102.066	-163.4643
26.200001	102.079	-163.8613
26.500000	102.086	-164.1566
26.900000	102.092	-164.5438
27.200001	102.094	-164.8272
27.600000	102.093	-165.1901
28.000000	102.092	-165.5301
28.500000	102.094	-165.9252
29.000000	102.104	-166.3166
29.500000	102.117	-166.7342
30.000000	102.125	-167.1678
30.400000	102.125	-167.4972
30.700001	102.123	-167.7215
31.100000	102.120	-167.9903
31.500000	102.119	-168.2408
32.000000	102.120	-168.5605
32.500000	102.121	-168.9073
33.000000	102.122	-169.2767
33.500000	102.121	-169.6511
34.000000	102.120	-170.0103
34.500000	102.121	-170.3426
35.000000	102.126	-170.6540
35.500000	102.130	-170.9587
36.000000	102.130	-171.2528
36.500000	102.125	-171.5145
37.000000	102.120	-171.7413
37.500000	102.120	-171.9695
38.200001	102.121	-172.3524
38.700001	102.118	-172.6467
39.500000	102.114	-173.0756
40.000000	102.116	-173.3477
40.599998	102.113	-173.6993
41.200001	102.102	-174.0073
41.799999	102.094	-174.2418
42.500000	102.102	-174.5518
43.099998	102.106	-174.9104
43.700001	102.096	-175.2453
44.400002	102.081	-175.4995
45.000000	102.077	-175.6911
45.500000	102.073	-175.9021
46.200001	102.058	-176.2340
46.799999	102.042	-176.4669
47.500000	102.040	-176.6788
48.200001	102.050	-176.9017
48.700001	102.055	-177.0720
49.400002	102.053	-177.2941
50.000000	102.049	-177.4878
50.799999	102.044	-177.8269
51.500000	102.035	-178.1759
52.200001	102.025	-178.4809
53.000000	102.022	-178.7868
53.799999	102.015	-179.1389
54.500000	101.995	-179.4286
55.200001	101.976	-179.6231
56.000000	101.971	-179.8081
57.000000	101.968	179.8670
58.000000	101.951	179.5450
59.000000	101.943	179.2312
60.000000	101.933	178.9186
60.799999	101.926	178.7630
61.500000	101.929	178.6298
62.200001	101.932	178.3869
63.000000	101.916	178.0371
64.000000	101.888	177.7518
65.000000	101.876	177.5193
66.000000	101.852	177.2652
67.000000	101.833	177.0131
68.000000	101.825	176.6898
69.000000	101.817	176.4615
70.000000	101.799	176.2900
71.000000	101.774	176.1082
72.000000	101.764	175.7922
73.000000	101.759	175.4486
74.000000	101.748	175.1926
75.000000	101.726	175.0199
76.199997	101.713	174.7580
77.500000	101.687	174.4521
78.800003	101.665	174.2533
80.000000	101.643	173.9417
81.199997	101.619	173.6307
82.500000	101.597	173.3985
83.800003	101.578	173.1501
85.000000	101.564	172.9052
86.199997	101.542	172.6696
87.500000	101.518	172.4463
88.500000	101.500	172.2222
90.000000	101.477	171.9502
91.199997	101.456	171.7080
92.500000	101.424	171.5192
93.800003	101.409	171.2866
95.000000	101.384	171.0916
96.199997	101.359	170.8435
97.500000	101.329	170.6535
98.800003	101.321	170.4680
100.000000	101.290	170.2180
101.500000	101.255	169.9818
103.000000	101.227	169.7228
104.400002	101.186	169.4926
106.000000	101.167	169.3819
107.500000	101.133	169.1007
109.000000	101.098	168.8893
110.599998	101.068	168.7113
112.000000	101.043	168.5409
113.800003	101.001	168.3347
115.000000	100.978	168.3030
117.199997	100.939	167.9987
118.000000	100.929	167.9424
120.599998	100.872	167.7609
122.000000	100.841	167.4135
124.099998	100.812	167.2413
125.000000	100.797	167.1677
126.500000	100.758	166.9284
128.000000	100.722	166.7815
131.500000	100.641	166.3987
132.000000	100.632	166.3411
134.000000	100.589	166.2191
136.000000	100.539	166.0186
138.000000	100.473	165.7869
140.000000	100.420	165.7206
143.000000	100.305	165.8702
145.000000	100.281	165.8530
147.500000	100.258	166.0700
150.000000	100.268	166.0833
152.500000	100.292	165.9204
155.000000	100.257	165.6226
157.500000	100.224	165.2625
160.000000	100.190	165.0023
162.500000	100.149	164.7195
165.000000	100.105	164.5106
167.500000	100.051	164.3045
170.000000	100.002	164.1286
172.500000	99.952	163.9647
175.000000	99.904	163.8132
177.500000	99.852	163.6732
180.000000	99.799	163.5625
182.500000	99.747	163.3996
185.000000	99.703	163.2455
187.500000	99.654	163.2256
190.000000	99.604	163.0850
192.500000	99.559	163.0042
195.000000	99.509	162.9404
197.500000	99.452	162.8369
200.000000	99.409	162.7599
203.000000	99.352	162.7028
206.000000	99.295	162.6527
209.000000	99.238	162.6117
212.000000	99.184	162.5445
214.000000	99.149	162.5188
218.000000	99.081	162.4583
220.000000	99.044	162.4530
224.000000	98.974	162.3952
227.000000	98.920	162.3744
230.000000	98.863	162.3258
233.000000	98.814	162.3152
236.000000	98.761	162.2728
240.000000	98.685	162.4627
243.000000	98.639	162.3096
247.000000	98.566	162.2681
250.000000	98.512	162.2785
254.000000	98.445	162.3331
258.000000	98.378	162.3908
262.000000	98.310	162.4379
265.000000	98.254	162.4519
269.000000	98.193	162.5137
272.000000	98.138	162.5966
276.000000	98.072	162.6776
280.000000	98.010	162.7619
285.000000	97.930	162.9017
290.000000	97.850	163.0367
295.000000	97.776	163.1769
300.000000	97.703	163.3864
304.000000	97.649	163.5195
307.000000	97.605	163.6349
311.000000	97.555	163.7434
315.000000	97.501	163.8786
320.000000	97.435	164.0006
325.000000	97.367	164.2139
330.000000	97.295	164.3529
335.000000	97.228	164.5275
340.000000	97.159	164.7020
345.000000	97.087	164.8812
350.000000	97.026	165.0889
355.000000	96.958	165.3069
360.000000	96.891	165.5376
365.000000	96.830	165.7585
370.000000	96.762	165.9897
375.000000	96.700	166.2416
382.000000	96.614	166.5823
387.000000	96.551	166.8879
395.000000	96.458	167.3065
400.000000	96.398	167.5909
406.000000	96.328	167.8974
412.000000	96.264	168.2617
418.000000	96.202	168.6133
425.000000	96.125	169.0532
431.000000	96.063	169.4179
437.000000	96.004	169.8010
444.000000	95.931	170.2326
450.000000	95.878	170.6356
455.000000	95.831	170.9204
462.000000	95.764	171.3900
468.000000	95.709	171.8024
475.000000	95.644	172.2427
482.000000	95.578	172.7079
487.000000	95.539	173.0422
494.000000	95.480	173.5175
500.000000	95.432	173.9650
508.000000	95.366	174.5535
515.000000	95.310	175.0386
522.000000	95.260	175.5609
530.000000	95.197	176.1220
538.000000	95.137	176.7200
545.000000	95.096	177.2639
552.000000	95.046	177.7752
560.000000	94.987	178.4153
570.000000	94.930	179.1769
580.000000	94.865	179.9747
590.000000	94.808	-179.2520
600.000000	94.754	-178.4418
