* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 3, 2026 2:36:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: gold R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	108.765	-131.9082
20.299999	108.822	-132.7170
20.600000	108.875	-133.5154
20.900000	108.925	-134.2998
21.200001	108.973	-135.0722
21.400000	109.004	-135.5838
21.799999	109.062	-136.6024
22.000000	109.088	-137.1071
22.400000	109.133	-138.0912
22.700001	109.162	-138.7867
23.000000	109.190	-139.4337
23.299999	109.220	-140.0347
23.600000	109.254	-140.6073
24.000000	109.310	-141.3765
24.299999	109.354	-141.9896
24.700001	109.410	-142.8680
25.000000	109.442	-143.5486
25.400000	109.472	-144.4281
25.799999	109.493	-145.2173
26.200001	109.515	-145.9063
26.500000	109.537	-146.3855
26.900000	109.576	-147.0314
27.200001	109.608	-147.5485
27.600000	109.647	-148.2837
28.000000	109.676	-149.0375
28.500000	109.701	-149.9360
29.000000	109.722	-150.7546
29.500000	109.746	-151.5292
30.000000	109.773	-152.3085
30.400000	109.793	-152.9403
30.700001	109.805	-153.4110
31.100000	109.820	-154.0240
31.500000	109.833	-154.6165
32.000000	109.848	-155.3342
32.500000	109.865	-156.0367
33.000000	109.880	-156.7299
33.500000	109.895	-157.4148
34.000000	109.907	-158.0874
34.500000	109.918	-158.7420
35.000000	109.928	-159.3804
35.500000	109.938	-160.0155
36.000000	109.947	-160.6563
36.500000	109.950	-161.2902
37.000000	109.948	-161.8920
37.500000	109.947	-162.4550
38.200001	109.949	-163.2192
38.700001	109.950	-163.7699
39.500000	109.948	-164.6306
40.000000	109.948	-165.1467
40.599998	109.948	-165.7669
41.200001	109.945	-166.3913
41.799999	109.940	-166.9920
42.500000	109.934	-167.6532
43.099998	109.932	-168.2159
43.700001	109.929	-168.7915
44.400002	109.920	-169.4614
