* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 9, 2025 2:30:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	111.860	18.1889
20.600000	111.869	17.5317
20.900000	111.870	16.9440
21.200001	111.870	16.3641
21.400000	111.871	15.9782
21.799999	111.876	15.2063
22.000000	111.879	14.8218
22.400000	111.887	14.0633
22.700001	111.893	13.5115
23.000000	111.898	12.9788
23.299999	111.902	12.4660
23.600000	111.904	11.9703
24.000000	111.905	11.3272
24.299999	111.906	10.8513
24.700001	111.905	10.2180
25.000000	111.904	9.7430
25.400000	111.903	9.1128
25.799999	111.901	8.4937
26.200001	111.899	7.8912
26.500000	111.898	7.4505
26.900000	111.895	6.8740
27.200001	111.893	6.4468
27.600000	111.888	5.8829
28.000000	111.880	5.3280
28.500000	111.868	4.6548
29.000000	111.857	4.0050
29.500000	111.849	3.3672
30.000000	111.842	2.7302
30.400000	111.835	2.2236
30.700001	111.828	1.8505
31.100000	111.817	1.3669
31.500000	111.806	0.8980
32.000000	111.793	0.3218
32.500000	111.780	-0.2548
33.000000	111.766	-0.8303
33.500000	111.751	-1.3943
34.000000	111.736	-1.9419
34.500000	111.721	-2.4774
35.000000	111.705	-3.0051
35.500000	111.688	-3.5231
36.000000	111.670	-4.0289
36.500000	111.652	-4.5259
37.000000	111.635	-5.0195
37.500000	111.616	-5.5101
38.200001	111.589	-6.1825
38.700001	111.569	-6.6499
39.500000	111.538	-7.3853
40.000000	111.517	-7.8391
40.599998	111.492	-8.3738
41.200001	111.466	-8.8978
41.799999	111.440	-9.4148
42.500000	111.408	-10.0069
43.099998	111.380	-10.5003
43.700001	111.353	-10.9856
44.400002	111.322	-11.5544
45.000000	111.294	-12.0398
45.500000	111.269	-12.4309
