* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 9, 2025 2:34:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	111.706	20.8800
20.600000	111.720	20.2131
20.900000	111.731	19.6083
21.200001	111.742	18.9940
21.400000	111.750	18.5743
21.799999	111.764	17.7191
22.000000	111.770	17.2918
22.400000	111.779	16.4589
22.700001	111.784	15.8682
23.000000	111.788	15.3085
23.299999	111.793	14.7725
23.600000	111.798	14.2482
24.000000	111.804	13.5495
24.299999	111.808	13.0214
24.700001	111.811	12.3180
25.000000	111.811	11.7997
25.400000	111.810	11.1293
25.799999	111.810	10.4828
26.200001	111.810	9.8535
26.500000	111.810	9.3886
26.900000	111.809	8.7761
27.200001	111.806	8.3221
27.600000	111.802	7.7240
28.000000	111.797	7.1333
28.500000	111.790	6.4051
29.000000	111.783	5.6934
29.500000	111.776	5.0052
30.000000	111.768	4.3400
30.400000	111.761	3.8191
30.700001	111.756	3.4317
31.100000	111.748	2.9174
31.500000	111.740	2.4053
32.000000	111.729	1.7701
32.500000	111.717	1.1445
33.000000	111.704	0.5348
33.500000	111.690	-0.0552
34.000000	111.675	-0.6303
34.500000	111.661	-1.2016
35.000000	111.645	-1.7746
35.500000	111.629	-2.3416
36.000000	111.611	-2.8900
36.500000	111.595	-3.4168
37.000000	111.579	-3.9310
37.500000	111.563	-4.4416
38.200001	111.536	-5.1481
38.700001	111.515	-5.6417
39.500000	111.483	-6.4217
40.000000	111.463	-6.9096
40.599998	111.439	-7.4885
41.200001	111.415	-8.0508
41.799999	111.389	-8.5987
42.500000	111.358	-9.2288
43.099998	111.329	-9.7600
43.700001	111.300	-10.2797
44.400002	111.268	-10.8760
45.000000	111.240	-11.3811
45.500000	111.217	-11.7953
46.200001	111.184	-12.3644
46.799999	111.154	-12.8464
47.500000	111.118	-13.4005
48.200001	111.081	-13.9412
48.700001	111.057	-14.3250
49.400002	111.022	-14.8645
50.000000	110.991	-15.3126
50.799999	110.948	-15.8767
51.500000	110.911	-16.3775
52.200001	110.870	-16.8998
53.000000	110.821	-17.4646
53.799999	110.779	-17.9876
54.500000	110.744	-18.4529
55.200001	110.705	-18.9145
56.000000	110.658	-19.4165
57.000000	110.602	-20.0512
58.000000	110.541	-20.6767
59.000000	110.480	-21.2796
60.000000	110.419	-21.8815
60.799999	110.372	-22.3439
61.500000	110.331	-22.7458
62.200001	110.288	-23.1459
63.000000	110.237	-23.5844
64.000000	110.178	-24.1252
65.000000	110.116	-24.6694
66.000000	110.052	-25.1827
67.000000	109.988	-25.6920
68.000000	109.924	-26.1904
69.000000	109.860	-26.6704
70.000000	109.795	-27.1379
71.000000	109.731	-27.6098
72.000000	109.666	-28.0839
73.000000	109.600	-28.5235
74.000000	109.533	-28.9535
75.000000	109.464	-29.3764
76.199997	109.386	-29.8942
77.500000	109.297	-30.3900
78.800003	109.217	-30.8988
80.000000	109.130	-31.4160
81.199997	109.047	-31.8155
82.500000	108.962	-32.2882
83.800003	108.871	-32.7447
85.000000	108.790	-33.1557
86.199997	108.707	-33.5428
87.500000	108.617	-33.9617
88.500000	108.548	-34.2730
90.000000	108.446	-34.7291
91.199997	108.362	-35.0729
92.500000	108.272	-35.4364
93.800003	108.181	-35.7958
95.000000	108.098	-36.1065
96.199997	108.014	-36.4108
97.500000	107.925	-36.7253
98.800003	107.833	-37.0372
100.000000	107.749	-37.3091
101.500000	107.645	-37.6382
103.000000	107.542	-37.9504
104.400002	107.445	-38.2271
106.000000	107.333	-38.5326
107.500000	107.229	-38.7992
109.000000	107.125	-39.0524
110.599998	107.015	-39.3069
112.000000	106.917	-39.5225
113.800003	106.795	-39.7763
115.000000	106.712	-39.9367
117.199997	106.562	-40.2120
118.000000	106.509	-40.2896
120.599998	106.324	-40.5843
122.000000	106.239	-40.7146
124.099998	106.096	-40.8818
125.000000	106.036	-40.9633
126.500000	105.937	-41.0618
128.000000	105.837	-41.1546
131.500000	105.608	-41.3341
132.000000	105.575	-41.3565
134.000000	105.445	-41.4268
136.000000	105.317	-41.4815
138.000000	105.190	-41.5165
140.000000	105.065	-41.5366
143.000000	104.877	-41.5262
145.000000	104.753	-41.5059
147.500000	104.600	-41.4486
150.000000	104.448	-41.3791
152.500000	104.298	-41.2643
155.000000	104.150	-41.1433
157.500000	104.001	-40.9807
160.000000	103.857	-40.8116
162.500000	103.711	-40.6149
165.000000	103.567	-40.3786
167.500000	103.423	-40.1239
170.000000	103.278	-39.8312
172.500000	103.132	-39.4516
175.000000	102.988	-38.9867
177.500000	102.852	-38.3783
180.000000	102.750	-37.5872
182.500000	102.692	-36.9394
185.000000	102.664	-36.5618
187.500000	102.612	-36.4379
190.000000	102.528	-36.3402
192.500000	102.432	-36.1933
195.000000	102.330	-35.9639
197.500000	102.229	-35.7015
200.000000	102.128	-35.4012
203.000000	102.010	-34.9972
206.000000	101.898	-34.5723
209.000000	101.788	-34.1130
212.000000	101.682	-33.6230
214.000000	101.614	-33.3073
218.000000	101.484	-32.6298
220.000000	101.419	-32.2849
224.000000	101.298	-31.5883
227.000000	101.212	-31.0673
230.000000	101.130	-30.5216
233.000000	101.050	-29.9767
236.000000	100.973	-29.4289
240.000000	100.868	-28.6954
243.000000	100.808	-28.1348
247.000000	100.724	-27.3953
250.000000	100.664	-26.8408
254.000000	100.588	-26.0941
258.000000	100.517	-25.3507
262.000000	100.456	-24.6040
265.000000	100.412	-24.0678
269.000000	100.360	-23.3620
272.000000	100.322	-22.8459
276.000000	100.278	-22.1765
280.000000	100.233	-21.5337
285.000000	100.180	-20.7532
290.000000	100.129	-19.9686
295.000000	100.084	-19.2057
300.000000	100.042	-18.4494
304.000000	100.009	-17.8478
307.000000	99.987	-17.4073
311.000000	99.962	-16.8333
315.000000	99.936	-16.2546
320.000000	99.909	-15.5410
325.000000	99.887	-14.8714
330.000000	99.866	-14.2324
335.000000	99.846	-13.5866
340.000000	99.828	-12.9619
345.000000	99.814	-12.3512
350.000000	99.802	-11.7609
355.000000	99.790	-11.1900
360.000000	99.781	-10.6218
365.000000	99.773	-10.0954
370.000000	99.765	-9.5809
375.000000	99.758	-9.0912
382.000000	99.748	-8.4144
387.000000	99.741	-7.9557
395.000000	99.728	-7.2154
400.000000	99.722	-6.7740
406.000000	99.712	-6.2319
412.000000	99.706	-5.7047
418.000000	99.698	-5.2048
425.000000	99.691	-4.6133
431.000000	99.685	-4.1176
437.000000	99.677	-3.6379
444.000000	99.673	-3.0592
450.000000	99.668	-2.6001
455.000000	99.664	-2.2029
462.000000	99.662	-1.6480
468.000000	99.660	-1.1840
475.000000	99.660	-0.6669
482.000000	99.662	-0.1507
487.000000	99.666	0.1917
494.000000	99.667	0.6653
500.000000	99.669	1.0531
508.000000	99.668	1.5703
515.000000	99.667	2.0140
522.000000	99.664	2.4580
530.000000	99.662	2.9687
538.000000	99.660	3.4747
545.000000	99.658	3.9294
552.000000	99.658	4.3656
560.000000	99.657	4.8742
570.000000	99.655	5.5071
580.000000	99.659	6.1342
590.000000	99.663	6.7511
600.000000	99.663	7.3775
608.000000	99.672	7.8545
615.000000	99.677	8.2754
622.000000	99.682	8.6982
630.000000	99.690	9.1829
640.000000	99.699	9.7693
650.000000	99.712	10.3574
660.000000	99.723	10.8978
670.000000	99.737	11.4909
680.000000	99.755	12.0526
690.000000	99.773	12.6181
700.000000	99.793	13.1592
710.000000	99.816	13.6908
720.000000	99.843	14.2250
730.000000	99.869	14.7056
740.000000	99.898	15.1877
750.000000	99.931	15.6485
762.000000	99.971	16.1307
775.000000	100.018	16.5948
788.000000	100.060	17.0184
800.000000	100.091	17.2995
812.000000	100.118	17.5734
825.000000	100.135	17.7917
838.000000	100.133	18.0036
850.000000	100.121	18.1989
862.000000	100.093	18.4484
875.000000	100.051	18.7980
885.000000	100.015	19.1331
900.000000	99.960	19.7401
912.000000	99.911	20.3312
925.000000	99.868	21.0520
938.000000	99.831	21.8595
950.000000	99.804	22.6424
962.000000	99.789	23.4770
975.000000	99.783	24.4080
988.000000	99.786	25.3397
1000.000000	99.798	26.2107
1015.000000	99.824	27.2913
1030.000000	99.862	28.3608
1044.000000	99.908	29.3307
1060.000000	99.971	30.3950
1075.000000	100.039	31.3597
1090.000000	100.114	32.2770
1106.000000	100.198	33.1926
1120.000000	100.277	33.9559
1138.000000	100.386	34.8710
1150.000000	100.459	35.4416
1172.000000	100.595	36.4025
1180.000000	100.645	36.7153
1206.000000	100.807	37.6856
1220.000000	100.894	38.1485
1241.000000	101.020	38.7889
1250.000000	101.073	39.0424
1265.000000	101.158	39.4419
