* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 18, 2024 2:46:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.715	-177.4570
20.299999	102.709	-178.1457
20.600000	102.698	-178.7929
20.900000	102.687	-179.3920
21.200001	102.679	-179.9512
21.400000	102.676	179.6880
21.799999	102.676	178.9642
22.000000	102.678	178.5915
22.400000	102.679	177.8211
22.700001	102.675	177.2341
23.000000	102.668	176.6580
23.299999	102.657	176.1072
23.600000	102.646	175.5869
24.000000	102.634	174.9293
24.299999	102.627	174.4451
24.700001	102.621	173.7890
25.000000	102.615	173.2849
25.400000	102.604	172.6058
25.799999	102.589	171.9395
26.200001	102.570	171.3014
26.500000	102.556	170.8424
26.900000	102.539	170.2492
27.200001	102.527	169.8121
27.600000	102.513	169.2323
28.000000	102.500	168.6506
28.500000	102.484	167.9146
29.000000	102.468	167.1642
29.500000	102.448	166.4048
30.000000	102.424	165.6566
30.400000	102.403	165.0801
30.700001	102.388	164.6635
31.100000	102.368	164.1245
31.500000	102.352	163.5928
32.000000	102.334	162.9197
32.500000	102.315	162.2299
33.000000	102.293	161.5353
33.500000	102.268	160.8578
34.000000	102.240	160.2136
34.500000	102.215	159.6009
35.000000	102.193	158.9974
35.500000	102.173	158.3771
36.000000	102.150	157.7379
36.500000	102.121	157.1107
37.000000	102.090	156.5298
37.500000	102.063	155.9901
38.200001	102.038	155.2051
38.700001	102.018	154.5786
39.500000	101.963	153.5720
40.000000	101.922	153.0314
40.599998	101.881	152.4649
41.200001	101.854	151.8932
41.799999	101.830	151.2586
42.500000	101.795	150.4712
43.099998	101.757	149.8104
43.700001	101.716	149.1884
44.400002	101.671	148.5124
45.000000	101.639	147.9456
45.500000	101.616	147.4457
46.200001	101.580	146.6856
46.799999	101.539	146.0353
47.500000	101.485	145.3671
48.200001	101.443	144.7573
48.700001	101.417	144.2920
49.400002	101.376	143.6002
50.000000	101.334	143.0366
50.799999	101.278	142.3431
51.500000	101.229	141.7554
52.200001	101.181	141.2300
53.000000	101.147	140.6469
53.799999	101.119	139.8730
54.500000	101.070	139.1277
55.200001	101.008	138.5028
56.000000	100.949	137.8616
57.000000	100.878	137.0302
58.000000	100.814	136.2585
59.000000	100.751	135.3960
60.000000	100.674	134.6344
60.799999	100.627	134.0707
61.500000	100.587	133.5070
62.200001	100.538	132.9554
63.000000	100.485	132.3648
64.000000	100.418	131.5806
65.000000	100.343	130.8492
66.000000	100.280	130.1606
67.000000	100.217	129.4000
68.000000	100.139	128.6830
69.000000	100.071	128.1043
70.000000	100.019	127.4305
71.000000	99.948	126.7224
72.000000	99.879	126.0861
73.000000	99.809	125.4240
74.000000	99.738	124.7968
75.000000	99.671	124.1535
76.199997	99.589	123.4084
77.500000	99.502	122.5966
78.800003	99.411	121.8282
80.000000	99.330	121.1487
81.199997	99.248	120.4515
82.500000	99.161	119.7399
83.800003	99.075	118.9632
85.000000	98.991	118.3009
86.199997	98.910	117.6488
87.500000	98.827	116.9784
88.500000	98.759	116.4149
90.000000	98.657	115.7186
91.199997	98.576	115.0598
92.500000	98.486	114.4787
93.800003	98.401	113.8182
95.000000	98.325	113.2804
96.199997	98.246	112.6931
97.500000	98.165	112.1130
98.800003	98.073	111.5173
100.000000	98.001	111.0241
101.500000	97.898	110.3116
103.000000	97.801	109.7080
104.400002	97.704	109.1588
106.000000	97.630	108.4467
107.500000	97.506	107.8657
109.000000	97.429	107.2046
110.599998	97.312	106.7300
112.000000	97.241	106.1063
113.800003	97.121	105.4804
115.000000	97.049	105.0034
117.199997	96.931	104.2165
118.000000	96.865	103.8925
120.599998	96.721	102.9571
122.000000	96.626	102.7451
124.099998	96.521	102.0172
125.000000	96.462	101.6982
126.500000	96.368	101.3684
128.000000	96.296	100.8199
131.500000	96.117	99.8660
132.000000	96.088	99.6385
134.000000	95.950	99.1015
136.000000	95.857	98.5842
138.000000	95.739	98.1345
140.000000	95.646	97.6730
143.000000	95.485	96.9764
145.000000	95.393	96.5006
147.500000	95.253	95.8668
150.000000	95.149	95.2937
152.500000	95.009	94.7640
155.000000	94.908	94.3381
157.500000	94.804	93.8333
160.000000	94.709	93.2232
162.500000	94.544	92.9383
165.000000	94.475	92.3820
167.500000	94.348	92.0334
170.000000	94.250	91.7440
172.500000	94.153	91.1931
175.000000	94.060	90.8419
177.500000	93.950	90.4317
180.000000	93.850	90.2580
182.500000	93.770	89.9565
185.000000	93.683	89.5642
187.500000	93.587	89.2725
190.000000	93.500	89.0339
192.500000	93.433	88.8141
195.000000	93.360	88.5933
197.500000	93.288	88.3442
200.000000	93.230	88.1151
203.000000	93.158	87.8064
206.000000	93.085	87.4473
209.000000	93.025	87.0880
212.000000	92.965	86.7044
214.000000	92.913	86.4573
218.000000	92.818	85.9862
220.000000	92.768	85.7132
224.000000	92.681	85.2823
227.000000	92.605	84.9707
230.000000	92.547	84.6707
233.000000	92.474	84.3914
236.000000	92.417	84.0597
240.000000	92.351	83.7868
243.000000	92.280	83.4911
247.000000	92.201	83.1205
250.000000	92.149	82.8623
254.000000	92.078	82.5507
258.000000	92.012	82.2518
262.000000	91.952	81.9335
265.000000	91.904	81.6786
269.000000	91.847	81.4415
272.000000	91.805	81.2058
276.000000	91.750	80.9450
280.000000	91.703	80.7121
285.000000	91.640	80.3505
290.000000	91.587	80.0010
295.000000	91.535	79.6974
300.000000	91.479	79.3586
304.000000	91.448	79.1017
307.000000	91.422	78.9098
311.000000	91.386	78.6524
315.000000	91.353	78.4156
320.000000	91.307	78.1161
325.000000	91.272	77.8060
330.000000	91.237	77.4952
335.000000	91.203	77.2019
340.000000	91.167	76.8982
345.000000	91.134	76.6157
350.000000	91.103	76.3122
355.000000	91.072	76.0613
360.000000	91.046	75.7770
365.000000	91.018	75.5325
370.000000	90.992	75.2224
375.000000	90.964	74.9716
382.000000	90.934	74.6226
387.000000	90.909	74.3722
395.000000	90.874	73.9760
400.000000	90.853	73.7245
406.000000	90.828	73.4235
412.000000	90.800	73.1602
418.000000	90.778	72.9008
425.000000	90.748	72.5866
431.000000	90.728	72.3526
437.000000	90.703	72.0706
444.000000	90.680	71.7999
450.000000	90.663	71.5728
455.000000	90.640	71.3674
462.000000	90.619	71.0895
468.000000	90.598	70.8942
475.000000	90.573	70.6394
482.000000	90.546	70.4115
487.000000	90.527	70.2448
494.000000	90.503	70.0490
500.000000	90.479	69.8993
508.000000	90.453	69.7097
515.000000	90.426	69.5340
522.000000	90.403	69.3887
530.000000	90.382	69.2258
538.000000	90.355	69.1088
545.000000	90.333	69.0010
552.000000	90.315	68.8444
560.000000	90.290	68.7471
570.000000	90.257	68.6463
580.000000	90.232	68.5559
590.000000	90.201	68.4763
600.000000	90.176	68.4464
608.000000	90.158	68.4002
615.000000	90.141	68.3829
622.000000	90.127	68.3795
630.000000	90.109	68.3633
640.000000	90.084	68.3589
650.000000	90.062	68.3633
660.000000	90.042	68.3557
670.000000	90.011	68.3898
680.000000	89.988	68.4782
690.000000	89.960	68.5193
700.000000	89.933	68.6658
710.000000	89.907	68.7831
720.000000	89.884	68.8923
730.000000	89.853	69.0611
740.000000	89.829	69.2891
750.000000	89.807	69.4906
762.000000	89.775	69.7733
775.000000	89.753	70.1182
788.000000	89.725	70.4531
800.000000	89.702	70.8277
812.000000	89.680	71.2237
825.000000	89.659	71.6811
838.000000	89.638	72.1555
850.000000	89.627	72.6172
862.000000	89.610	73.1130
875.000000	89.598	73.6505
885.000000	89.594	74.0874
900.000000	89.588	74.8899
912.000000	89.583	75.4352
925.000000	89.588	76.1541
938.000000	89.592	76.9429
950.000000	89.608	77.6781
962.000000	89.637	78.4568
975.000000	89.679	79.2956
988.000000	89.738	80.1090
1000.000000	89.808	80.8251
1015.000000	89.901	81.6285
1030.000000	90.002	82.3559
1044.000000	90.096	82.8995
1060.000000	90.201	83.4606
1075.000000	90.293	83.9241
1090.000000	90.389	84.3727
1106.000000	90.485	84.7803
1120.000000	90.568	85.1214
1138.000000	90.665	85.5298
1150.000000	90.731	85.7621
1172.000000	90.841	86.1519
1180.000000	90.883	86.3024
1206.000000	91.004	86.7220
1220.000000	91.066	86.9225
1241.000000	91.149	87.1719
1250.000000	91.179	87.3203
1265.000000	91.233	87.5219
1280.000000	91.278	87.6902
1315.000000	91.381	88.1650
1320.000000	91.392	88.2080
1340.000000	91.438	88.5139
1360.000000	91.475	88.7910
1380.000000	91.512	89.1262
1400.000000	91.537	89.4416
1430.000000	91.572	90.0011
1450.000000	91.599	90.4372
1475.000000	91.620	90.9406
1500.000000	91.648	91.5254
1525.000000	91.665	92.2009
1550.000000	91.687	92.8773
1575.000000	91.707	93.5914
1600.000000	91.729	94.3164
1625.000000	91.750	95.1057
1650.000000	91.778	95.9298
1675.000000	91.801	96.7577
1700.000000	91.833	97.6336
1725.000000	91.864	98.5356
1750.000000	91.905	99.4495
1775.000000	91.944	100.3792
1800.000000	91.986	101.3322
1825.000000	92.036	102.2758
1850.000000	92.086	103.2184
1875.000000	92.138	104.1930
1900.000000	92.202	105.1614
1925.000000	92.264	106.1369
1950.000000	92.333	107.1017
1975.000000	92.404	108.0699
2000.000000	92.480	109.0058
2030.000000	92.575	110.1766
2060.000000	92.673	111.2980
2090.000000	92.781	112.4329
2120.000000	92.895	113.5377
2140.000000	92.972	114.3004
