* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 25, 2024 1:16:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; re-measured against re-tune  stock orange core + black dome tips
* Measurement: re-S2 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.398	-158.6712
20.299999	97.420	-159.5295
20.600000	97.440	-160.3699
20.900000	97.458	-161.1902
21.200001	97.475	-161.9929
21.400000	97.487	-162.5205
21.799999	97.508	-163.5615
22.000000	97.518	-164.0753
22.400000	97.538	-165.0885
22.700001	97.552	-165.8361
23.000000	97.566	-166.5760
23.299999	97.579	-167.3121
23.600000	97.592	-168.0469
24.000000	97.606	-169.0216
24.299999	97.614	-169.7414
24.700001	97.623	-170.6750
25.000000	97.629	-171.3542
25.400000	97.637	-172.2387
25.799999	97.646	-173.1116
26.200001	97.653	-173.9758
26.500000	97.657	-174.6123
26.900000	97.660	-175.4354
27.200001	97.661	-176.0321
27.600000	97.664	-176.8078
28.000000	97.666	-177.5712
28.500000	97.666	-178.5098
29.000000	97.663	-179.4144
29.500000	97.661	179.7148
30.000000	97.661	178.8419
30.400000	97.659	178.1247
30.700001	97.654	177.5813
31.100000	97.644	176.8676
31.500000	97.632	176.1799
32.000000	97.618	175.3431
32.500000	97.607	174.4930
33.000000	97.592	173.6207
33.500000	97.573	172.7625
34.000000	97.554	171.9439
34.500000	97.540	171.1428
35.000000	97.530	170.3266
35.500000	97.518	169.5015
36.000000	97.504	168.6958
36.500000	97.492	167.9130
37.000000	97.480	167.1341
37.500000	97.465	166.3602
38.200001	97.439	165.3387
38.700001	97.421	164.6611
39.500000	97.400	163.5828
40.000000	97.384	162.8935
40.599998	97.359	162.0858
41.200001	97.333	161.3118
41.799999	97.308	160.5437
42.500000	97.278	159.6295
43.099998	97.249	158.8461
43.700001	97.217	158.0819
44.400002	97.180	157.2195
45.000000	97.150	156.5071
45.500000	97.128	155.9283
46.200001	97.104	155.1035
46.799999	97.081	154.3530
47.500000	97.044	153.4798
48.200001	97.002	152.6861
48.700001	96.976	152.1365
49.400002	96.935	151.3453
50.000000	96.895	150.7227
50.799999	96.861	149.9562
51.500000	96.841	149.0767
52.200001	96.776	148.1079
53.000000	96.678	147.4382
53.799999	96.654	146.9619
54.500000	96.656	146.1743
55.200001	96.617	145.2566
56.000000	96.555	144.4444
57.000000	96.502	143.4832
58.000000	96.433	142.5458
59.000000	96.386	141.7667
60.000000	96.343	140.8490
60.799999	96.301	140.2459
61.500000	96.295	139.6909
62.200001	96.284	138.8457
63.000000	96.204	137.8723
64.000000	96.102	137.2159
65.000000	96.053	136.4456
66.000000	95.973	135.6161
67.000000	95.912	134.8964
68.000000	95.849	134.0544
69.000000	95.785	133.2741
70.000000	95.723	132.4610
71.000000	95.658	131.7185
72.000000	95.600	130.9670
73.000000	95.535	130.2343
74.000000	95.475	129.5435
75.000000	95.412	128.8218
76.199997	95.333	128.0116
77.500000	95.254	127.1342
78.800003	95.177	126.2457
80.000000	95.099	125.4370
81.199997	95.024	124.6827
82.500000	94.944	123.8916
83.800003	94.867	123.0894
85.000000	94.789	122.3542
86.199997	94.714	121.6580
87.500000	94.636	120.8943
88.500000	94.573	120.3066
90.000000	94.483	119.4948
91.199997	94.411	118.8195
92.500000	94.332	118.1432
93.800003	94.253	117.4519
95.000000	94.180	116.8500
96.199997	94.108	116.2328
97.500000	94.033	115.5972
98.800003	93.956	114.9524
100.000000	93.889	114.3979
101.500000	93.803	113.6944
103.000000	93.721	113.0136
104.400002	93.638	112.3873
106.000000	93.547	111.7086
107.500000	93.463	111.0830
109.000000	93.381	110.4418
110.599998	93.293	109.8037
112.000000	93.220	109.2470
113.800003	93.124	108.5489
115.000000	93.057	108.1026
117.199997	92.941	107.2842
118.000000	92.902	107.0185
120.599998	92.745	106.0974
122.000000	92.701	105.6472
124.099998	92.600	104.9372
125.000000	92.547	104.6451
126.500000	92.481	104.2623
128.000000	92.410	103.7974
131.500000	92.246	102.7404
132.000000	92.224	102.5883
134.000000	92.134	102.0218
136.000000	92.045	101.4963
138.000000	91.961	100.9729
140.000000	91.877	100.4758
143.000000	91.750	99.7451
145.000000	91.673	99.2696
147.500000	91.576	98.6802
150.000000	91.482	98.1356
152.500000	91.395	97.6277
155.000000	91.303	97.1127
157.500000	91.216	96.6201
160.000000	91.136	96.1330
162.500000	91.057	95.6667
165.000000	90.978	95.2599
167.500000	90.902	94.8449
170.000000	90.828	94.4586
172.500000	90.763	94.0495
175.000000	90.694	93.6588
177.500000	90.640	93.3040
180.000000	90.577	93.0659
182.500000	90.502	92.5983
185.000000	90.452	92.2641
187.500000	90.393	91.9308
190.000000	90.347	91.5706
192.500000	90.293	91.2885
195.000000	90.245	91.0070
197.500000	90.206	90.7264
200.000000	90.160	90.4319
203.000000	90.117	90.1315
206.000000	90.078	89.8174
209.000000	90.047	89.5077
212.000000	90.012	89.1637
214.000000	89.989	88.9213
218.000000	89.956	88.4148
220.000000	89.932	88.1870
224.000000	89.890	87.7171
227.000000	89.860	87.3192
230.000000	89.827	87.0300
233.000000	89.796	86.6936
236.000000	89.771	86.3731
240.000000	89.743	86.1426
243.000000	89.712	85.6613
247.000000	89.680	85.2372
250.000000	89.660	84.9528
254.000000	89.630	84.5932
258.000000	89.611	84.2416
262.000000	89.586	83.8843
265.000000	89.572	83.6529
269.000000	89.557	83.2781
272.000000	89.542	83.0145
276.000000	89.528	82.6917
280.000000	89.515	82.3563
285.000000	89.509	81.9339
290.000000	89.501	81.5021
295.000000	89.491	81.0611
300.000000	89.490	80.6733
304.000000	89.480	80.3167
307.000000	89.477	80.0988
311.000000	89.468	79.8153
315.000000	89.468	79.4796
320.000000	89.462	79.1456
325.000000	89.458	78.7421
330.000000	89.459	78.3925
335.000000	89.463	78.0200
340.000000	89.472	77.6404
345.000000	89.475	77.3267
350.000000	89.477	76.9633
355.000000	89.478	76.6017
360.000000	89.478	76.2418
365.000000	89.484	75.9044
370.000000	89.484	75.5829
375.000000	89.490	75.2571
382.000000	89.496	74.7793
387.000000	89.504	74.4815
395.000000	89.505	73.9581
400.000000	89.512	73.6537
406.000000	89.516	73.3121
412.000000	89.522	73.0076
418.000000	89.528	72.6107
425.000000	89.532	72.2100
431.000000	89.537	71.8663
437.000000	89.537	71.5588
444.000000	89.538	71.2014
450.000000	89.537	70.9036
455.000000	89.539	70.6637
462.000000	89.542	70.3142
468.000000	89.542	70.0444
475.000000	89.541	69.7530
482.000000	89.540	69.4670
487.000000	89.538	69.2557
494.000000	89.538	68.9743
500.000000	89.536	68.7643
508.000000	89.530	68.4653
515.000000	89.527	68.2443
522.000000	89.524	68.0198
530.000000	89.519	67.7892
538.000000	89.514	67.5768
545.000000	89.515	67.3994
552.000000	89.513	67.2314
560.000000	89.501	67.0300
570.000000	89.495	66.8332
580.000000	89.487	66.6295
590.000000	89.478	66.4897
