* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 25, 2024 1:13:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; re-measured against re-tune
* Measurement: re-S2 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.642	-159.9022
20.299999	97.660	-160.8240
20.600000	97.671	-161.7062
20.900000	97.679	-162.5303
21.200001	97.689	-163.3024
21.400000	97.698	-163.8026
21.799999	97.720	-164.8116
22.000000	97.731	-165.3301
22.400000	97.745	-166.3794
22.700001	97.749	-167.1391
23.000000	97.749	-167.8446
23.299999	97.751	-168.4920
23.600000	97.762	-169.1090
24.000000	97.789	-169.9701
24.299999	97.812	-170.6894
24.700001	97.830	-171.7362
25.000000	97.827	-172.5208
25.400000	97.808	-173.4580
25.799999	97.790	-174.2163
26.200001	97.794	-174.8733
26.500000	97.813	-175.3937
26.900000	97.847	-176.2148
27.200001	97.867	-176.9281
27.600000	97.874	-177.9205
28.000000	97.860	-178.8455
28.500000	97.838	-179.8202
29.000000	97.833	179.3043
29.500000	97.840	178.3726
30.000000	97.839	177.3685
30.400000	97.827	176.5820
30.700001	97.814	176.0314
31.100000	97.797	175.3503
31.500000	97.785	174.7026
32.000000	97.773	173.9038
32.500000	97.764	173.1107
33.000000	97.759	172.3160
33.500000	97.756	171.4863
34.000000	97.747	170.6122
34.500000	97.727	169.7449
35.000000	97.702	168.9406
35.500000	97.682	168.1816
36.000000	97.667	167.4049
36.500000	97.647	166.6017
37.000000	97.619	165.8365
37.500000	97.594	165.1465
38.200001	97.575	164.1882
38.700001	97.563	163.4288
39.500000	97.517	162.2426
40.000000	97.487	161.6301
40.599998	97.471	160.9332
41.200001	97.466	160.1197
41.799999	97.444	159.2148
42.500000	97.398	158.2430
43.099998	97.360	157.5151
43.700001	97.331	156.7871
44.400002	97.294	155.9120
45.000000	97.259	155.2022
45.500000	97.234	154.6324
46.200001	97.207	153.7914
46.799999	97.178	153.0285
47.500000	97.136	152.1768
48.200001	97.096	151.3716
48.700001	97.068	150.7958
49.400002	97.024	150.0211
50.000000	96.990	149.3958
50.799999	96.948	148.4992
51.500000	96.891	147.7020
52.200001	96.827	147.0856
53.000000	96.786	146.4537
