* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2025 10:36:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.753	6.6348
20.299999	102.745	5.9285
20.600000	102.727	5.2780
20.900000	102.706	4.7078
21.200001	102.690	4.2081
21.400000	102.683	3.8952
21.799999	102.679	3.2611
22.000000	102.679	2.9234
22.400000	102.674	2.2091
22.700001	102.663	1.6705
23.000000	102.645	1.1667
23.299999	102.624	0.7199
23.600000	102.606	0.3282
24.000000	102.594	-0.1584
24.299999	102.592	-0.5482
24.700001	102.591	-1.1494
25.000000	102.584	-1.6519
25.400000	102.559	-2.3304
25.799999	102.521	-2.9354
26.200001	102.483	-3.4391
26.500000	102.463	-3.7849
26.900000	102.447	-4.2845
27.200001	102.436	-4.7238
27.600000	102.410	-5.3741
28.000000	102.365	-6.0047
28.500000	102.294	-6.6049
29.000000	102.240	-6.9832
29.500000	102.223	-7.3181
30.000000	102.228	-7.7832
30.400000	102.232	-8.2583
30.700001	102.231	-8.6528
31.100000	102.223	-9.2096
31.500000	102.202	-9.7797
32.000000	102.152	-10.4171
32.500000	102.091	-10.8140
33.000000	102.059	-10.9720
33.500000	102.082	-11.2119
34.000000	102.117	-11.8843
34.500000	102.093	-12.8958
35.000000	101.990	-13.7375
35.500000	101.870	-14.0631
36.000000	101.806	-14.1101
36.500000	101.793	-14.3736
37.000000	101.767	-14.9573
37.500000	101.697	-15.5266
38.200001	101.601	-15.8922
38.700001	101.581	-16.1130
39.500000	101.566	-16.9478
40.000000	101.524	-17.5678
40.599998	101.458	-18.1627
41.200001	101.397	-18.6447
41.799999	101.340	-19.0714
42.500000	101.282	-19.5177
43.099998	101.235	-19.9464
43.700001	101.170	-20.3754
44.400002	101.089	-20.6625
45.000000	101.049	-20.8461
45.500000	101.027	-21.1504
46.200001	100.968	-21.7446
