* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 22, 2025 3:21:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 00 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.816	45.9420
20.600000	102.869	45.2385
20.900000	102.910	44.5952
21.200001	102.944	43.9557
21.400000	102.964	43.5351
21.799999	103.002	42.7237
22.000000	103.021	42.3378
22.400000	103.066	41.6030
22.700001	103.105	41.0693
23.000000	103.150	40.5323
23.299999	103.196	39.9804
23.600000	103.240	39.4131
24.000000	103.292	38.6518
24.299999	103.325	38.0935
24.700001	103.365	37.3732
25.000000	103.393	36.8404
25.400000	103.428	36.1220
25.799999	103.456	35.3998
26.200001	103.477	34.7146
26.500000	103.493	34.2504
26.900000	103.521	33.6930
27.200001	103.552	33.2917
27.600000	103.600	32.7226
28.000000	103.646	32.0979
28.500000	103.682	31.3271
29.000000	103.698	30.7219
29.500000	103.722	30.2776
30.000000	103.767	29.7775
30.400000	103.804	29.2226
30.700001	103.822	28.7297
31.100000	103.830	28.0545
31.500000	103.829	27.4572
32.000000	103.837	26.8553
32.500000	103.867	26.3069
33.000000	103.904	25.7044
33.500000	103.928	25.0823
34.000000	103.938	24.5343
34.500000	103.947	24.0649
35.000000	103.962	23.5910
35.500000	103.979	23.0628
36.000000	103.993	22.5141
36.500000	104.006	21.9953
37.000000	104.022	21.5089
37.500000	104.041	21.0267
38.200001	104.061	20.3418
38.700001	104.068	19.8647
39.500000	104.077	19.1420
40.000000	104.086	18.7029
40.599998	104.100	18.1742
41.200001	104.112	17.6494
41.799999	104.121	17.1543
42.500000	104.129	16.6235
43.099998	104.139	16.1635
43.700001	104.146	15.6640
44.400002	104.148	15.0809
45.000000	104.148	14.6327
45.500000	104.153	14.2829
46.200001	104.160	13.7872
46.799999	104.163	13.3635
47.500000	104.167	12.8812
48.200001	104.174	12.3557
48.700001	104.173	11.9579
49.400002	104.164	11.4754
50.000000	104.163	11.1434
50.799999	104.174	10.6312
51.500000	104.168	10.1058
52.200001	104.151	9.7048
53.000000	104.154	9.3455
53.799999	104.165	8.8508
54.500000	104.157	8.4101
55.200001	104.151	8.0491
56.000000	104.156	7.5884
57.000000	104.145	6.9659
58.000000	104.129	6.4573
59.000000	104.118	5.9319
60.000000	104.111	5.4304
60.799999	104.112	5.0316
61.500000	104.109	4.6784
62.200001	104.099	4.3497
63.000000	104.084	3.9997
64.000000	104.072	3.5507
65.000000	104.066	3.0487
66.000000	104.050	2.6030
67.000000	104.036	2.2362
68.000000	104.018	1.7814
69.000000	103.998	1.3432
70.000000	103.990	0.9022
71.000000	103.973	0.4784
72.000000	103.956	0.1116
73.000000	103.939	-0.3007
74.000000	103.920	-0.6746
75.000000	103.904	-1.0416
76.199997	103.882	-1.4828
