* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 28, 2024 1:45:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.639381	3.4263
20.600000	106.618782	2.8090
20.900000	106.589996	2.2609
21.200001	106.559929	1.7266
21.400000	106.541069	1.3750
21.799999	106.508507	0.6747
22.000000	106.494995	0.3222
22.400000	106.471527	-0.3933
22.700001	106.453690	-0.9391
23.000000	106.432388	-1.4847
23.299999	106.405533	-2.0165
23.600000	106.372818	-2.5180
24.000000	106.323502	-3.1180
24.299999	106.286926	-3.5174
24.700001	106.245056	-4.0098
25.000000	106.220482	-4.3800
25.400000	106.194435	-4.9110
25.799999	106.169106	-5.4932
26.200001	106.137909	-6.0963
26.500000	106.109474	-6.5346
26.900000	106.067253	-7.0757
27.200001	106.034904	-7.4473
27.600000	105.993851	-7.9151
28.000000	105.955765	-8.3751
28.500000	105.910263	-8.9591
29.000000	105.864769	-9.5415
29.500000	105.819450	-10.1002
30.000000	105.774918	-10.6296
30.400000	105.739128	-11.0377
30.700001	105.711464	-11.3383
31.100000	105.672958	-11.7336
31.500000	105.632660	-12.1238
32.000000	105.580887	-12.6040
32.500000	105.529160	-13.0716
33.000000	105.479271	-13.5203
33.500000	105.432343	-13.9502
34.000000	105.387550	-14.3718
34.500000	105.342163	-14.7949
35.000000	105.293854	-15.2154
35.500000	105.243286	-15.6212
36.000000	105.193436	-16.0086
36.500000	105.146027	-16.3863
37.000000	105.099678	-16.7598
37.500000	105.052269	-17.1208
38.200001	104.985107	-17.5922
38.700001	104.938721	-17.9232
39.500000	104.863556	-18.4835
40.000000	104.812912	-18.8204
40.599998	104.753265	-19.1603
41.200001	104.701469	-19.4608
41.799999	104.652054	-19.7983
42.500000	104.581406	-20.2379
43.099998	104.512711	-20.5679
43.700001	104.453194	-20.8408
44.400002	104.399590	-21.1817
45.000000	104.352371	-21.5138
45.500000	104.305519	-21.7789
46.200001	104.233429	-22.1046
46.799999	104.172791	-22.3698
47.500000	104.107658	-22.6815
48.200001	104.050774	-22.9774
48.700001	104.013489	-23.1797
49.400002	103.958557	-23.4606
50.000000	103.905746	-23.7009
50.799999	103.831573	-24.0267
51.500000	103.768814	-24.3118
52.200001	103.709053	-24.5788
53.000000	103.638565	-24.8540
53.799999	103.563690	-25.0984
54.500000	103.501862	-25.3166
55.200001	103.444252	-25.5504
56.000000	103.381744	-25.7650
57.000000	103.310608	-26.0200
58.000000	103.212685	-26.3795
59.000000	103.107796	-26.5932
60.000000	103.027893	-26.7884
60.799999	102.960663	-26.9142
61.500000	102.911179	-27.0077
62.200001	102.867317	-27.1963
63.000000	102.808128	-27.4296
64.000000	102.739967	-27.6093
65.000000	102.664612	-27.8416
66.000000	102.578514	-27.9858
67.000000	102.515221	-28.1608
68.000000	102.441879	-28.3425
69.000000	102.369789	-28.4037
70.000000	102.298309	-28.5397
71.000000	102.220795	-28.6952
72.000000	102.148727	-28.8279
73.000000	102.077660	-28.9224
74.000000	102.008270	-29.0313
75.000000	101.937988	-29.1706
76.199997	101.862335	-29.2616
77.500000	101.775833	-29.2905
78.800003	101.678284	-29.3854
80.000000	101.596367	-29.5079
81.199997	101.531418	-29.5854
82.500000	101.442322	-29.6603
83.800003	101.356201	-29.6924
85.000000	101.287354	-29.7542
86.199997	101.217667	-29.7866
87.500000	101.136833	-29.8127
88.500000	101.076195	-29.8130
90.000000	100.985733	-29.8292
91.199997	100.917824	-29.8404
92.500000	100.844505	-29.8634
93.800003	100.772850	-29.8481
95.000000	100.704681	-29.8386
96.199997	100.635918	-29.8074
97.500000	100.563721	-29.7896
98.800003	100.495712	-29.7862
100.000000	100.435905	-29.7307
101.500000	100.353577	-29.6865
103.000000	100.278191	-29.6606
104.400002	100.209587	-29.5783
106.000000	100.127029	-29.5051
107.500000	100.055481	-29.4542
109.000000	99.985229	-29.3552
110.599998	99.906700	-29.2917
112.000000	99.843971	-29.2156
113.800003	99.761337	-29.0877
115.000000	99.705956	-29.0241
117.199997	99.609909	-28.8627
118.000000	99.573654	-28.8011
120.599998	99.464012	-28.6581
