* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 10, 2024 7:13:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: B3 cable L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.158218	-1.5432
20.299999	101.184021	-2.5825
20.600000	101.202988	-3.7043
20.900000	101.206818	-4.8626
21.200001	101.193695	-5.9808
21.400000	101.178627	-6.6648
21.799999	101.151817	-7.8619
22.000000	101.148048	-8.3980
22.400000	101.167175	-9.4630
22.700001	101.198792	-10.3758
23.000000	101.229645	-11.4348
23.299999	101.244232	-12.6090
23.600000	101.233368	-13.8067
24.000000	101.184639	-15.2470
24.299999	101.140938	-16.1330
24.700001	101.103333	-17.1024
25.000000	101.099434	-17.8015
25.400000	101.114899	-18.8703
25.799999	101.121902	-20.1358
26.200001	101.097824	-21.4507
26.500000	101.062294	-22.3533
26.900000	101.011810	-23.3916
27.200001	100.983162	-24.0894
27.600000	100.957153	-25.0333
28.000000	100.928596	-26.0439
28.500000	100.867050	-27.2605
29.000000	100.799248	-28.1787
29.500000	100.777252	-28.8669
30.000000	100.811165	-29.7405
30.400000	100.843964	-30.7427
30.700001	100.850677	-31.6255
31.100000	100.826073	-32.8269
31.500000	100.773987	-33.9019
32.000000	100.703407	-35.0093
32.500000	100.649750	-35.9820
33.000000	100.609062	-36.9664
33.500000	100.569412	-37.9935
34.000000	100.524269	-39.0473
34.500000	100.468155	-40.1043
35.000000	100.399261	-41.0907
35.500000	100.330750	-41.9387
36.000000	100.281151	-42.7215
36.500000	100.245056	-43.5996
37.000000	100.193504	-44.5631
37.500000	100.120087	-45.3677
38.200001	100.070000	-46.0367
38.700001	100.118523	-46.6653
39.500000	100.188339	-48.8396
40.000000	100.118629	-50.4062
40.599998	99.971313	-51.5366
41.200001	99.909775	-51.9901
41.799999	99.957718	-52.7670
42.500000	99.979630	-54.4853
43.099998	99.904709	-55.8937
43.700001	99.820381	-56.8427
44.400002	99.771126	-57.8435
45.000000	99.729973	-58.8485
45.500000	99.682304	-59.6557
46.200001	99.623108	-60.6840
46.799999	99.583313	-61.6423
47.500000	99.517838	-62.8616
48.200001	99.432426	-63.9743
48.700001	99.375656	-64.6828
49.400002	99.310242	-65.6553
50.000000	99.261078	-66.5318
50.799999	99.185280	-67.7588
51.500000	99.100906	-68.7175
52.200001	99.030823	-69.4565
53.000000	98.996078	-70.3333
53.799999	98.960793	-71.4743
54.500000	98.904175	-72.4902
55.200001	98.840645	-73.4296
56.000000	98.766617	-74.4639
57.000000	98.681122	-75.7133
58.000000	98.590378	-77.1126
59.000000	98.460075	-78.2842
60.000000	98.395836	-79.1627
60.799999	98.370079	-80.2276
61.500000	98.308662	-81.2341
62.200001	98.236977	-82.0424
63.000000	98.176842	-82.9080
64.000000	98.093735	-84.0605
65.000000	98.012802	-85.0533
66.000000	97.949005	-86.1401
67.000000	97.865936	-87.2586
68.000000	97.781509	-88.2802
69.000000	97.703888	-89.2809
70.000000	97.625664	-90.2945
71.000000	97.546181	-91.2594
72.000000	97.472435	-92.2594
73.000000	97.379700	-93.2476
74.000000	97.295883	-94.0762
75.000000	97.225647	-94.9861
76.199997	97.131874	-96.0231
77.500000	97.049942	-97.1755
78.800003	96.956512	-98.3215
80.000000	96.871185	-99.3451
81.199997	96.792763	-100.3307
82.500000	96.682076	-101.4826
83.800003	96.584351	-102.3072
85.000000	96.509369	-103.2797
86.199997	96.423073	-104.1342
87.500000	96.342331	-105.1125
88.500000	96.273598	-105.8366
90.000000	96.175339	-106.8867
91.199997	96.092667	-107.7213
92.500000	96.007095	-108.5757
93.800003	95.921089	-109.4560
95.000000	95.847031	-110.2414
96.199997	95.768112	-111.0036
97.500000	95.703896	-111.7651
98.800003	95.628975	-112.5982
100.000000	95.563095	-113.2852
101.500000	95.472145	-114.1492
103.000000	95.376343	-114.9900
104.400002	95.305634	-115.7472
106.000000	95.181061	-116.7049
107.500000	95.116844	-117.4240
109.000000	95.021942	-118.2143
110.599998	94.941483	-119.0292
112.000000	94.867058	-119.6386
113.800003	94.761551	-120.4809
115.000000	94.713028	-121.0184
117.199997	94.595871	-121.9218
118.000000	94.552849	-122.2901
120.599998	94.467422	-123.2388
122.000000	94.390900	-123.7234
124.099998	94.319817	-124.4702
125.000000	94.277817	-124.8589
126.500000	94.234894	-125.4036
128.000000	94.189911	-126.1355
131.500000	94.077805	-127.6229
132.000000	94.055420	-127.8790
134.000000	93.980347	-128.6222
136.000000	93.896225	-129.4131
138.000000	93.821754	-130.1903
140.000000	93.736244	-130.8702
143.000000	93.625046	-131.9279
145.000000	93.550804	-132.5495
147.500000	93.461143	-133.3350
150.000000	93.381416	-134.1391
152.500000	93.279701	-134.8694
155.000000	93.203201	-135.5539
157.500000	93.121681	-136.1931
160.000000	93.033829	-136.8528
162.500000	92.961937	-137.4574
165.000000	92.872986	-138.1425
167.500000	92.807350	-138.6712
170.000000	92.738808	-139.2563
172.500000	92.658836	-139.7336
175.000000	92.602905	-140.2110
177.500000	92.522141	-140.6926
180.000000	92.442696	-141.1122
182.500000	92.397087	-141.6556
185.000000	92.347481	-142.0684
187.500000	92.288811	-142.5132
190.000000	92.230209	-142.8683
192.500000	92.178040	-143.2781
195.000000	92.134491	-143.6849
197.500000	92.057137	-143.9843
200.000000	92.015259	-144.3170
203.000000	91.949524	-144.7303
206.000000	91.902267	-145.0082
209.000000	91.857605	-145.3834
212.000000	91.815483	-145.7515
214.000000	91.793472	-145.9839
218.000000	91.742363	-146.5093
220.000000	91.718895	-146.7538
224.000000	91.664276	-147.2502
227.000000	91.609406	-147.6255
230.000000	91.580078	-148.0314
233.000000	91.537506	-148.3141
236.000000	91.491989	-148.6426
240.000000	91.434349	-149.3969
243.000000	91.400368	-149.4471
247.000000	91.350571	-149.7126
250.000000	91.312561	-150.0441
254.000000	91.263107	-150.3574
258.000000	91.217728	-150.7390
262.000000	91.172318	-151.0677
265.000000	91.133347	-151.2739
269.000000	91.090080	-151.5625
272.000000	91.050964	-151.7617
276.000000	91.009727	-152.0424
280.000000	90.967354	-152.2944
285.000000	90.916847	-152.5848
290.000000	90.870766	-152.8401
295.000000	90.830544	-153.0742
300.000000	90.786591	-153.1468
304.000000	90.757401	-153.4960
307.000000	90.732384	-153.6604
311.000000	90.694725	-153.8579
315.000000	90.661034	-154.0207
320.000000	90.623398	-154.2041
325.000000	90.582756	-154.3420
330.000000	90.550400	-154.4929
335.000000	90.504517	-154.6270
340.000000	90.472519	-154.7340
345.000000	90.442741	-154.8723
350.000000	90.410965	-154.9503
355.000000	90.379913	-155.0215
360.000000	90.370438	-155.0656
365.000000	90.326317	-155.2186
370.000000	90.307709	-155.2981
375.000000	90.287872	-155.3553
382.000000	90.254364	-155.4803
387.000000	90.235077	-155.5547
395.000000	90.193001	-155.6374
400.000000	90.164017	-155.7194
406.000000	90.138145	-155.7347
412.000000	90.111290	-155.8074
418.000000	90.079544	-155.8253
425.000000	90.053497	-155.8766
431.000000	90.028343	-155.8429
437.000000	90.009460	-155.8480
444.000000	89.981705	-155.7699
450.000000	89.953781	-155.7771
455.000000	89.943939	-155.7671
462.000000	89.915619	-155.6908
468.000000	89.897362	-155.6625
475.000000	89.871780	-155.6177
482.000000	89.855652	-155.5433
487.000000	89.837730	-155.4888
494.000000	89.821281	-155.3730
500.000000	89.798622	-155.3243
508.000000	89.775688	-155.1686
515.000000	89.767365	-155.0770
522.000000	89.744797	-154.9598
530.000000	89.730904	-154.8528
538.000000	89.710922	-154.7094
545.000000	89.701477	-154.5882
552.000000	89.681778	-154.4485
560.000000	89.671173	-154.2554
570.000000	89.650932	-154.0462
580.000000	89.630615	-153.8072
590.000000	89.615463	-153.5263
600.000000	89.589531	-153.3026
608.000000	89.589180	-153.0634
615.000000	89.578537	-152.8679
622.000000	89.571716	-152.6875
630.000000	89.564011	-152.4574
640.000000	89.554878	-152.1590
650.000000	89.543373	-151.8133
660.000000	89.579781	-151.5125
670.000000	89.534470	-151.1985
680.000000	89.529816	-150.8302
690.000000	89.522629	-150.4963
700.000000	89.521042	-150.1306
710.000000	89.520584	-149.7538
720.000000	89.512497	-149.4703
730.000000	89.518837	-148.9392
740.000000	89.523544	-148.5437
750.000000	89.520302	-148.1413
762.000000	89.528557	-147.6413
775.000000	89.536758	-147.0374
788.000000	89.549103	-146.4518
800.000000	89.566078	-145.9293
812.000000	89.582611	-145.3316
825.000000	89.606125	-144.6730
838.000000	89.623749	-144.0134
850.000000	89.655151	-143.4010
862.000000	89.693443	-142.7896
875.000000	89.730133	-142.0415
885.000000	89.768097	-141.4855
900.000000	89.835579	-140.5894
912.000000	89.895668	-139.9718
925.000000	89.955208	-139.2534
938.000000	90.036644	-138.5610
950.000000	90.111893	-137.9230
962.000000	90.196152	-137.3638
975.000000	90.286758	-136.7350
988.000000	90.387573	-136.1628
1000.000000	90.483154	-135.6269
1015.000000	90.606010	-135.0333
1030.000000	90.728477	-134.4786
1044.000000	90.848404	-134.0070
1060.000000	90.991516	-133.5228
1075.000000	91.129364	-133.1147
1090.000000	91.258942	-132.7639
1106.000000	91.410950	-132.4061
1120.000000	91.535095	-132.1700
1138.000000	91.696365	-131.9525
1150.000000	91.801384	-131.8004
1172.000000	91.998840	-131.6297
1180.000000	92.068848	-131.5936
1206.000000	92.283829	-131.5381
1220.000000	92.395531	-131.5622
1241.000000	92.552979	-131.6005
1250.000000	92.621506	-131.6665
1265.000000	92.726654	-131.7019
1280.000000	92.827995	-131.8160
1315.000000	93.048149	-132.0382
1320.000000	93.062416	-132.1202
1340.000000	93.196541	-132.2414
1360.000000	93.305565	-132.4219
1380.000000	93.410034	-132.5913
1400.000000	93.508072	-132.7467
1430.000000	93.646759	-132.9814
1450.000000	93.736450	-133.1487
1475.000000	93.843689	-133.2886
1500.000000	93.941833	-133.4675
1525.000000	94.041603	-133.5813
1550.000000	94.137054	-133.6997
1575.000000	94.229813	-133.7952
1600.000000	94.318657	-133.9099
1625.000000	94.410942	-133.9703
1650.000000	94.501328	-134.0515
1675.000000	94.590546	-134.1182
1700.000000	94.680161	-134.1716
1725.000000	94.770210	-134.2403
1750.000000	94.856339	-134.2865
1775.000000	94.949112	-134.3284
1800.000000	95.032455	-134.4008
1825.000000	95.128395	-134.4401
1850.000000	95.218857	-134.5242
1875.000000	95.310394	-134.5788
1900.000000	95.398735	-134.6664
1925.000000	95.486130	-134.7445
1950.000000	95.574440	-134.8350
1975.000000	95.666412	-134.8981
2000.000000	95.753448	-135.0176
2030.000000	95.859840	-135.1269
2060.000000	95.963905	-135.2449
2090.000000	96.072891	-135.3486
2120.000000	96.182915	-135.4619
2140.000000	96.257614	-135.5524
2180.000000	96.422287	-135.7532
2200.000000	96.508728	-135.9099
2240.000000	96.681557	-136.3369
2270.000000	96.802925	-136.7527
2300.000000	96.914375	-137.2231
2330.000000	97.016296	-137.7475
2360.000000	97.104462	-138.2949
2400.000000	97.214279	-138.9864
2430.000000	97.286667	-139.5156
2470.000000	97.376137	-140.2496
2500.000000	97.437668	-140.7931
2540.000000	97.507660	-141.4999
2580.000000	97.569519	-142.1615
2620.000000	97.620972	-142.9007
2650.000000	97.652809	-143.4112
2690.000000	97.690056	-144.0632
2720.000000	97.715500	-144.5410
2760.000000	97.737907	-145.1521
2800.000000	97.757034	-145.7723
2850.000000	97.772247	-146.4823
2900.000000	97.774132	-147.1644
2950.000000	97.767288	-147.8017
3000.000000	97.752655	-148.3842
3040.000000	97.735306	-148.7986
3070.000000	97.717133	-149.0788
3110.000000	97.692268	-149.3891
3150.000000	97.668411	-149.6630
3200.000000	97.643776	-149.9496
