* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 10, 2024 7:12:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: B3 cable R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.777992	-1.3963
20.299999	100.782501	-2.4468
20.600000	100.784851	-3.4661
20.900000	100.787216	-4.4496
21.200001	100.792229	-5.4045
21.400000	100.797943	-6.0349
21.799999	100.813301	-7.3146
22.000000	100.820831	-7.9745
22.400000	100.829414	-9.3312
22.700001	100.825424	-10.3518
23.000000	100.812233	-11.3350
23.299999	100.793617	-12.2497
23.600000	100.775963	-13.0876
24.000000	100.764191	-14.1293
24.299999	100.765602	-14.9156
24.700001	100.772690	-16.0432
25.000000	100.771881	-16.9475
25.400000	100.753365	-18.1610
25.799999	100.719337	-19.2706
26.200001	100.688446	-20.2309
26.500000	100.678238	-20.8994
26.900000	100.682526	-21.8419
27.200001	100.690514	-22.6459
27.600000	100.688377	-23.8332
28.000000	100.660683	-25.0382
28.500000	100.602486	-26.3620
29.000000	100.558144	-27.4641
29.500000	100.545418	-28.5724
30.000000	100.536583	-29.8657
30.400000	100.510208	-30.9663
30.700001	100.478333	-31.7461
31.100000	100.431580	-32.6623
31.500000	100.396698	-33.4691
32.000000	100.377007	-34.4887
32.500000	100.364243	-35.6454
33.000000	100.334579	-36.8676
33.500000	100.289848	-38.0134
34.000000	100.247856	-39.0609
34.500000	100.214409	-40.0947
35.000000	100.179688	-41.1526
35.500000	100.138504	-42.1815
36.000000	100.099106	-43.1477
36.500000	100.068146	-44.1062
37.000000	100.037796	-45.1153
37.500000	99.996529	-46.1364
38.200001	99.929070	-47.4288
38.700001	99.892990	-48.2724
39.500000	99.854126	-49.7420
40.000000	99.819717	-50.7428
40.599998	99.763596	-51.8900
41.200001	99.708099	-52.9456
41.799999	99.658981	-53.9863
42.500000	99.599243	-55.2029
43.099998	99.548279	-56.1998
43.700001	99.504494	-57.1971
44.400002	99.449188	-58.4221
45.000000	99.389336	-59.4338
45.500000	99.340950	-60.2008
46.200001	99.287682	-61.2627
46.799999	99.240807	-62.2406
47.500000	99.171379	-63.3186
48.200001	99.116768	-64.2596
48.700001	99.094810	-64.9990
49.400002	99.048126	-66.2281
50.000000	98.973221	-67.2165
50.799999	98.881882	-68.1741
51.500000	98.848885	-69.0429
52.200001	98.805542	-70.1767
53.000000	98.709755	-71.3544
53.799999	98.634666	-72.2491
54.500000	98.596107	-73.1428
55.200001	98.544098	-74.1558
56.000000	98.470810	-75.2418
57.000000	98.383583	-76.5541
58.000000	98.293350	-77.7952
59.000000	98.220886	-79.0251
60.000000	98.135048	-80.3235
60.799999	98.061981	-81.2435
61.500000	98.007782	-82.0330
62.200001	97.951492	-82.8446
63.000000	97.884750	-83.7202
64.000000	97.811310	-84.8150
65.000000	97.727135	-85.9329
