* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 21, 2025 2:49:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.814	-142.1496
20.600000	106.865	-143.0064
20.900000	106.913	-143.8132
21.200001	106.957	-144.6323
21.400000	106.983	-145.1740
21.799999	107.028	-146.2001
22.000000	107.048	-146.6661
22.400000	107.084	-147.4900
22.700001	107.112	-148.0288
23.000000	107.144	-148.5356
23.299999	107.177	-149.0470
23.600000	107.209	-149.5888
24.000000	107.244	-150.3661
24.299999	107.265	-150.9715
24.700001	107.288	-151.7735
25.000000	107.305	-152.3583
25.400000	107.333	-153.1202
25.799999	107.367	-153.8800
26.200001	107.399	-154.6412
26.500000	107.420	-155.2012
26.900000	107.443	-155.9110
27.200001	107.457	-156.4094
27.600000	107.476	-157.0417
28.000000	107.497	-157.6660
28.500000	107.523	-158.4701
29.000000	107.546	-159.2892
29.500000	107.563	-160.0797
30.000000	107.581	-160.8227
30.400000	107.597	-161.4002
30.700001	107.610	-161.8366
31.100000	107.627	-162.4294
31.500000	107.641	-163.0273
32.000000	107.654	-163.7570
32.500000	107.666	-164.4501
33.000000	107.682	-165.1169
33.500000	107.699	-165.7794
34.000000	107.714	-166.4440
34.500000	107.725	-167.0963
35.000000	107.733	-167.7221
35.500000	107.742	-168.3271
36.000000	107.752	-168.9302
36.500000	107.761	-169.5385
37.000000	107.768	-170.1406
37.500000	107.773	-170.7244
38.200001	107.782	-171.5228
38.700001	107.789	-172.0935
39.500000	107.795	-172.9897
40.000000	107.798	-173.5239
40.599998	107.803	-174.1537
41.200001	107.809	-174.7946
41.799999	107.810	-175.4391
42.500000	107.809	-176.1611
43.099998	107.810	-176.7496
43.700001	107.813	-177.3314
44.400002	107.815	-178.0192
45.000000	107.815	-178.6063
45.500000	107.812	-179.0802
46.200001	107.809	-179.7146
46.799999	107.808	179.7538
47.500000	107.807	179.1234
48.200001	107.803	178.4848
48.700001	107.800	178.0370
49.400002	107.797	177.4293
50.000000	107.795	176.9183
50.799999	107.791	176.2457
51.500000	107.785	175.6693
52.200001	107.778	175.0977
53.000000	107.771	174.4449
53.799999	107.762	173.8057
54.500000	107.754	173.2600
55.200001	107.746	172.7230
56.000000	107.738	172.1194
57.000000	107.726	171.3743
58.000000	107.711	170.6471
59.000000	107.697	169.9031
60.000000	107.681	169.1490
60.799999	107.670	168.5953
61.500000	107.662	168.1292
