* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 21, 2025 2:51:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.351	-139.3770
20.600000	106.400	-140.1926
20.900000	106.438	-140.9209
21.200001	106.470	-141.6278
21.400000	106.491	-142.0880
21.799999	106.535	-142.9862
22.000000	106.559	-143.4268
22.400000	106.609	-144.2981
22.700001	106.648	-144.9500
23.000000	106.688	-145.6057
23.299999	106.726	-146.2669
23.600000	106.761	-146.9314
24.000000	106.802	-147.8117
24.299999	106.829	-148.4570
24.700001	106.862	-149.2850
25.000000	106.887	-149.8789
25.400000	106.921	-150.6403
25.799999	106.957	-151.3801
26.200001	106.992	-152.1106
26.500000	107.017	-152.6542
26.900000	107.046	-153.3695
27.200001	107.065	-153.8954
27.600000	107.088	-154.5813
28.000000	107.111	-155.2550
28.500000	107.140	-156.0933
29.000000	107.169	-156.9333
29.500000	107.196	-157.7621
30.000000	107.220	-158.5597
30.400000	107.239	-159.1721
30.700001	107.254	-159.6207
31.100000	107.273	-160.2125
31.500000	107.292	-160.8028
32.000000	107.313	-161.5372
32.500000	107.331	-162.2582
33.000000	107.348	-162.9596
33.500000	107.363	-163.6443
34.000000	107.378	-164.3180
34.500000	107.392	-164.9830
35.000000	107.406	-165.6388
35.500000	107.419	-166.2869
36.000000	107.432	-166.9283
36.500000	107.444	-167.5615
37.000000	107.455	-168.1836
37.500000	107.466	-168.7945
38.200001	107.481	-169.6342
38.700001	107.491	-170.2216
39.500000	107.502	-171.1302
40.000000	107.506	-171.6788
40.599998	107.510	-172.3271
41.200001	107.513	-172.9759
41.799999	107.518	-173.6312
42.500000	107.524	-174.3947
43.099998	107.529	-175.0284
43.700001	107.533	-175.6340
44.400002	107.537	-176.3232
45.000000	107.540	-176.9194
45.500000	107.540	-177.4197
46.200001	107.540	-178.1083
46.799999	107.541	-178.6762
47.500000	107.544	-179.3187
48.200001	107.545	-179.9571
48.700001	107.543	179.5863
49.400002	107.536	178.9592
50.000000	107.531	178.4414
50.799999	107.528	177.7584
51.500000	107.527	177.1412
52.200001	107.523	176.5209
53.000000	107.516	175.8458
53.799999	107.512	175.1954
54.500000	107.508	174.6246
55.200001	107.501	174.0576
56.000000	107.492	173.4238
57.000000	107.482	172.6499
58.000000	107.472	171.8899
59.000000	107.455	171.1370
60.000000	107.440	170.4039
60.799999	107.433	169.8127
61.500000	107.427	169.2932
62.200001	107.419	168.7945
63.000000	107.408	168.2454
64.000000	107.393	167.5535
65.000000	107.377	166.8633
66.000000	107.363	166.1835
67.000000	107.348	165.5153
68.000000	107.331	164.8535
69.000000	107.313	164.2018
70.000000	107.297	163.5512
71.000000	107.278	162.9204
72.000000	107.260	162.3057
73.000000	107.239	161.6911
74.000000	107.221	161.0905
75.000000	107.205	160.4584
76.199997	107.178	159.7510
77.500000	107.152	158.9873
78.800003	107.122	158.2218
80.000000	107.101	157.5469
81.199997	107.076	156.8727
82.500000	107.047	156.1652
83.800003	107.023	155.4605
85.000000	106.997	154.7829
86.199997	106.962	154.1482
87.500000	106.935	153.4698
88.500000	106.908	152.9471
90.000000	106.875	152.2215
91.199997	106.852	151.5687
92.500000	106.823	150.9185
93.800003	106.789	150.2813
95.000000	106.761	149.7130
96.199997	106.735	149.1049
97.500000	106.700	148.4785
98.800003	106.669	147.8612
100.000000	106.638	147.3241
101.500000	106.601	146.6506
103.000000	106.560	145.9438
104.400002	106.531	145.3210
106.000000	106.488	144.6112
107.500000	106.451	143.9387
109.000000	106.413	143.3108
110.599998	106.370	142.6119
112.000000	106.339	142.0431
113.800003	106.293	141.2588
115.000000	106.259	140.7935
117.199997	106.203	139.8780
118.000000	106.187	139.5480
120.599998	106.108	138.6218
122.000000	106.077	137.9656
124.099998	106.021	137.1963
125.000000	105.999	136.8635
126.500000	105.958	136.2626
128.000000	105.918	135.7001
131.500000	105.834	134.4539
132.000000	105.823	134.2545
134.000000	105.765	133.5410
136.000000	105.722	132.8436
138.000000	105.660	132.1046
140.000000	105.607	131.4194
143.000000	105.536	130.3799
145.000000	105.484	129.7160
147.500000	105.420	128.9064
150.000000	105.351	128.0704
152.500000	105.286	127.2856
155.000000	105.223	126.4879
157.500000	105.149	125.7240
160.000000	105.067	125.1374
162.500000	105.015	124.1862
165.000000	104.957	123.5069
167.500000	104.893	122.7747
170.000000	104.827	122.0739
172.500000	104.763	121.3849
175.000000	104.696	120.7229
177.500000	104.630	120.0421
180.000000	104.566	119.3951
182.500000	104.506	118.7563
185.000000	104.437	118.1601
187.500000	104.374	117.5847
190.000000	104.315	117.0081
192.500000	104.258	116.4738
195.000000	104.206	115.9500
197.500000	104.158	115.4207
200.000000	104.113	114.8760
203.000000	104.064	114.2360
206.000000	104.017	113.5286
209.000000	103.967	112.7766
212.000000	103.916	112.0375
214.000000	103.880	111.5173
218.000000	103.801	110.5124
220.000000	103.762	110.0288
224.000000	103.675	109.0550
227.000000	103.606	108.3614
230.000000	103.538	107.6928
233.000000	103.472	107.0438
236.000000	103.406	106.4041
240.000000	103.323	105.5884
243.000000	103.258	104.9744
247.000000	103.173	104.1889
250.000000	103.111	103.6039
254.000000	103.029	102.8567
258.000000	102.949	102.1165
262.000000	102.867	101.4033
265.000000	102.810	100.8619
269.000000	102.733	100.1650
272.000000	102.676	99.6731
276.000000	102.604	98.9905
280.000000	102.533	98.3330
285.000000	102.447	97.5029
290.000000	102.361	96.6871
295.000000	102.277	95.8763
300.000000	102.191	95.0597
304.000000	102.123	94.4429
307.000000	102.071	93.9612
311.000000	102.003	93.3579
315.000000	101.930	92.7690
320.000000	101.846	92.0355
325.000000	101.763	91.3315
330.000000	101.681	90.6522
335.000000	101.601	90.0002
340.000000	101.520	89.3484
345.000000	101.443	88.7015
350.000000	101.366	88.0709
355.000000	101.290	87.4633
360.000000	101.212	86.8682
365.000000	101.140	86.2701
370.000000	101.066	85.6957
375.000000	100.991	85.1319
382.000000	100.888	84.3367
387.000000	100.814	83.8101
395.000000	100.694	82.9736
400.000000	100.615	82.4893
406.000000	100.522	81.9501
412.000000	100.431	81.4673
418.000000	100.345	81.0453
425.000000	100.253	80.5942
431.000000	100.184	80.2253
437.000000	100.121	79.8521
444.000000	100.053	79.4047
450.000000	99.997	79.0291
455.000000	99.951	78.6815
462.000000	99.886	78.2267
468.000000	99.830	77.8065
475.000000	99.768	77.3628
482.000000	99.704	76.9221
487.000000	99.655	76.6078
494.000000	99.591	76.1963
500.000000	99.534	75.9010
508.000000	99.466	75.4949
515.000000	99.407	75.1773
522.000000	99.355	74.8579
530.000000	99.295	74.5375
538.000000	99.236	74.2409
545.000000	99.189	73.9484
552.000000	99.144	73.7307
560.000000	99.097	73.4832
570.000000	99.044	73.1823
580.000000	98.996	72.9065
590.000000	98.952	72.6479
600.000000	98.916	72.3939
608.000000	98.892	72.2040
615.000000	98.872	72.0475
622.000000	98.855	71.8989
630.000000	98.839	71.7130
640.000000	98.823	71.5048
650.000000	98.811	71.2796
660.000000	98.802	71.0405
670.000000	98.798	70.7774
680.000000	98.794	70.5283
690.000000	98.791	70.2539
700.000000	98.784	69.9897
710.000000	98.776	69.7289
720.000000	98.766	69.5146
730.000000	98.757	69.3298
740.000000	98.749	69.2120
750.000000	98.750	69.1678
762.000000	98.770	69.1829
775.000000	98.831	69.1714
788.000000	98.930	68.9276
800.000000	99.028	68.3129
812.000000	99.090	67.3734
825.000000	99.086	66.2171
838.000000	99.017	65.2228
850.000000	98.922	64.6581
862.000000	98.833	64.3472
875.000000	98.751	64.2445
885.000000	98.703	64.2628
900.000000	98.653	64.3890
912.000000	98.627	64.5817
925.000000	98.615	64.7928
938.000000	98.620	64.9939
950.000000	98.631	65.1831
962.000000	98.651	65.3653
975.000000	98.682	65.5456
988.000000	98.718	65.7291
1000.000000	98.758	65.8708
1015.000000	98.816	66.0104
1030.000000	98.882	66.1447
1044.000000	98.950	66.2318
1060.000000	99.029	66.2776
1075.000000	99.105	66.3257
1090.000000	99.187	66.3103
1106.000000	99.274	66.3131
1120.000000	99.368	66.3863
1138.000000	99.499	66.1425
1150.000000	99.585	65.9526
1172.000000	99.691	65.5071
1180.000000	99.732	65.3965
1206.000000	99.873	64.9930
1220.000000	99.947	64.7418
1241.000000	100.053	64.3373
1250.000000	100.098	64.1512
1265.000000	100.169	63.8338
1280.000000	100.235	63.5187
1315.000000	100.382	62.7845
1320.000000	100.401	62.6812
1340.000000	100.476	62.2676
1360.000000	100.551	61.8755
1380.000000	100.623	61.4777
1400.000000	100.689	61.1225
1430.000000	100.787	60.6007
1450.000000	100.851	60.2891
1475.000000	100.932	59.9059
1500.000000	101.012	59.5482
1525.000000	101.093	59.2206
1550.000000	101.173	58.9155
1575.000000	101.256	58.6281
1600.000000	101.341	58.3639
1625.000000	101.431	58.1074
1650.000000	101.522	57.8619
1675.000000	101.617	57.6114
1700.000000	101.717	57.3622
1725.000000	101.820	57.1078
1750.000000	101.924	56.8379
1775.000000	102.032	56.5681
1800.000000	102.145	56.2623
1825.000000	102.258	55.9407
1850.000000	102.376	55.6081
1875.000000	102.497	55.2449
1900.000000	102.620	54.8325
1925.000000	102.742	54.3910
1950.000000	102.866	53.9177
1975.000000	102.990	53.4192
2000.000000	103.114	52.8670
2030.000000	103.260	52.1583
2060.000000	103.404	51.3813
2090.000000	103.544	50.5600
2120.000000	103.680	49.6856
2140.000000	103.768	49.0618
2180.000000	103.935	47.7594
2200.000000	104.013	47.0861
2240.000000	104.162	45.6575
2270.000000	104.265	44.5461
2300.000000	104.360	43.4084
2330.000000	104.450	42.2372
2360.000000	104.536	41.0322
2400.000000	104.641	39.3610
2430.000000	104.715	38.0449
2470.000000	104.801	36.1757
2500.000000	104.857	34.6662
2540.000000	104.910	32.4965
2580.000000	104.920	30.1243
2620.000000	104.874	27.6591
2650.000000	104.791	25.8224
2690.000000	104.620	23.5530
2720.000000	104.454	22.0726
2760.000000	104.203	20.4629
2800.000000	103.937	19.3002
2850.000000	103.613	18.3588
2900.000000	103.320	17.8378
2950.000000	103.064	17.6053
3000.000000	102.842	17.5164
3040.000000	102.686	17.5020
3070.000000	102.578	17.5057
3110.000000	102.444	17.4686
3150.000000	102.314	17.4149
3200.000000	102.149	17.2814
3250.000000	101.965	17.1042
3300.000000	101.748	16.9592
3350.000000	101.481	16.9705
3400.000000	101.166	17.3784
3450.000000	100.823	18.4047
3500.000000	100.501	20.2025
3550.000000	100.252	22.7367
3600.000000	100.125	25.7466
3650.000000	100.134	28.8927
3700.000000	100.267	31.7922
3750.000000	100.494	34.2432
3820.000000	100.906	36.7789
3870.000000	101.236	37.9196
3950.000000	101.717	38.7052
4000.000000	101.964	38.7071
4060.000000	102.151	38.8192
4120.000000	102.328	39.8199
4180.000000	102.677	41.2319
4250.000000	103.280	41.9552
4310.000000	103.869	41.2262
4370.000000	104.413	39.2425
4440.000000	104.919	35.6673
4500.000000	105.171	31.7238
4550.000000	105.213	28.1894
4620.000000	104.991	23.8013
4680.000000	104.632	21.3433
4750.000000	104.195	20.3567
4820.000000	103.945	20.8082
4870.000000	103.931	21.0802
4940.000000	104.012	20.2948
5000.000000	104.018	18.5659
5080.000000	103.795	15.8219
5150.000000	103.416	14.0019
5220.000000	102.947	13.1209
5300.000000	102.394	13.2982
5380.000000	101.878	14.4658
5450.000000	101.473	16.0938
5520.000000	101.124	18.2444
5600.000000	100.809	21.2324
5700.000000	100.563	25.4641
5800.000000	100.487	29.9433
5900.000000	100.571	34.3145
6000.000000	100.791	38.4101
6080.000000	101.052	41.3516
6150.000000	101.341	43.6431
6220.000000	101.671	45.6267
6300.000000	102.094	47.4089
6400.000000	102.653	48.8785
6500.000000	103.220	49.6176
6600.000000	103.801	49.5574
6700.000000	104.304	48.5417
6800.000000	104.708	47.3109
6900.000000	105.072	45.9931
7000.000000	105.411	44.4776
7100.000000	105.711	42.7632
7200.000000	105.974	40.9873
7300.000000	106.226	39.1773
7400.000000	106.479	37.2252
7500.000000	106.738	35.0337
7620.000000	107.049	31.9285
7750.000000	107.361	27.7402
7880.000000	107.583	22.5684
8000.000000	107.633	17.0522
8120.000000	107.489	11.2600
8250.000000	107.112	5.2977
8380.000000	106.554	0.1457
8500.000000	105.935	-3.6930
8620.000000	105.256	-6.5818
8750.000000	104.504	-8.6002
8850.000000	103.939	-9.4037
9000.000000	103.182	-9.5522
9120.000000	102.676	-8.9753
9250.000000	102.244	-8.0446
9380.000000	101.931	-7.0046
9500.000000	101.728	-6.1732
9620.000000	101.584	-5.5553
9750.000000	101.471	-5.2056
9880.000000	101.361	-5.0494
10000.000000	101.300	-4.8637
10150.000000	101.288	-4.6259
10300.000000	101.447	-5.2853
10440.000000	101.605	-7.8171
10600.000000	101.414	-12.5890
10750.000000	100.769	-16.0920
