* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 1, 2026 1:33:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 73.503 50.6335
1.015000 73.745 49.5580
1.030000 73.985 48.5060
1.044000 74.208 47.5491
1.060000 74.461 46.4832
1.075000 74.696 45.5093
1.090000 74.930 44.5586
1.106000 75.177 43.5684
1.120000 75.392 42.7209
1.138000 75.667 41.6551
1.150000 75.848 40.9585
1.172000 76.178 39.7072
1.180000 76.297 39.2598
1.206000 76.681 37.8303
1.220000 76.885 37.0742
1.241000 77.188 35.9548
1.250000 77.317 35.4795
1.265000 77.530 34.6924
1.280000 77.741 33.9102
1.315000 78.225 32.0960
1.320000 78.294 31.8373
1.340000 78.565 30.8016
1.360000 78.832 29.7684
1.380000 79.096 28.7541
1.400000 79.356 27.7587
1.430000 79.738 26.2981
1.450000 79.989 25.3444
1.475000 80.298 24.1725
1.500000 80.602 23.0209
1.525000 80.900 21.8874
1.550000 81.194 20.7694
1.575000 81.483 19.6646
1.600000 81.768 18.5706
1.625000 82.049 17.4851
1.650000 82.326 16.4056
1.675000 82.599 15.3298
1.700000 82.868 14.2590
1.725000 83.132 13.2018
1.750000 83.391 12.1580
1.775000 83.645 11.1269
1.800000 83.895 10.1077
1.825000 84.140 9.0996
1.850000 84.381 8.1018
1.875000 84.618 7.1136
1.900000 84.851 6.1342
1.925000 85.081 5.1628
1.950000 85.307 4.1986
1.975000 85.530 3.2409
2.000000 85.750 2.2890
2.030000 86.010 1.1534
2.060000 86.265 0.0292
2.090000 86.514 -1.0829
2.120000 86.757 -2.1833
2.140000 86.916 -2.9105
2.180000 87.228 -4.3502
2.200000 87.380 -5.0629
2.240000 87.680 -6.4746
2.270000 87.899 -7.5217
2.300000 88.115 -8.5593
2.330000 88.328 -9.5877
2.360000 88.537 -10.6072
2.400000 88.809 -11.9516
2.430000 89.007 -12.9483
2.470000 89.265 -14.2616
2.500000 89.453 -15.2351
2.540000 89.699 -16.5179
2.580000 89.938 -17.7833
2.620000 90.171 -19.0316
2.650000 90.343 -19.9566
2.690000 90.568 -21.1752
2.720000 90.733 -22.0779
2.760000 90.947 -23.2664
2.800000 91.155 -24.4376
2.850000 91.407 -25.8775
2.900000 91.651 -27.2907
2.950000 91.887 -28.6775
3.000000 92.118 -30.0380
3.040000 92.298 -31.1077
3.070000 92.431 -31.8984
3.110000 92.602 -32.9374
3.150000 92.770 -33.9592
3.200000 92.973 -35.2128
3.250000 93.170 -36.4411
3.300000 93.363 -37.6448
3.350000 93.551 -38.8247
3.400000 93.735 -39.9804
3.450000 93.913 -41.1092
3.500000 94.086 -42.2126
3.550000 94.255 -43.2922
3.600000 94.419 -44.3496
3.650000 94.580 -45.3865
3.700000 94.739 -46.4044
3.750000 94.895 -47.4011
3.820000 95.106 -48.7572
3.870000 95.252 -49.7007
3.950000 95.481 -51.1730
4.000000 95.622 -52.0732
4.060000 95.788 -53.1357
4.120000 95.950 -54.1723
4.180000 96.109 -55.1841
4.250000 96.290 -56.3379
4.310000 96.442 -57.3084
4.370000 96.592 -58.2656
4.440000 96.764 -59.3631
4.500000 96.909 -60.2839
4.550000 97.028 -61.0392
4.620000 97.191 -62.0814
4.680000 97.328 -62.9634
4.750000 97.485 -63.9812
4.820000 97.640 -64.9825
4.870000 97.748 -65.6881
4.940000 97.897 -66.6642
5.000000 98.022 -67.4912
5.080000 98.185 -68.5820
5.150000 98.324 -69.5237
5.220000 98.461 -70.4531
5.300000 98.613 -71.5011
5.380000 98.761 -72.5343
5.450000 98.887 -73.4265
5.520000 99.011 -74.3074
5.600000 99.148 -75.3001
5.700000 99.315 -76.5197
5.800000 99.476 -77.7153
5.900000 99.632 -78.8872
6.000000 99.783 -80.0357
6.080000 99.901 -80.9380
6.150000 100.001 -81.7149
6.220000 100.099 -82.4803
6.300000 100.209 -83.3419
6.400000 100.342 -84.4005
6.500000 100.472 -85.4379
6.600000 100.598 -86.4543
6.700000 100.721 -87.4523
6.800000 100.840 -88.4332
6.900000 100.956 -89.3956
7.000000 101.069 -90.3412
7.100000 101.180 -91.2717
7.200000 101.287 -92.1865
7.300000 101.391 -93.0857
7.400000 101.492 -93.9703
7.500000 101.591 -94.8403
7.620000 101.705 -95.8648
7.750000 101.826 -96.9516
7.880000 101.942 -98.0139
8.000000 102.046 -98.9735
8.120000 102.147 -99.9144
8.250000 102.253 -100.9115
8.380000 102.356 -101.8886
8.500000 102.449 -102.7747
8.620000 102.540 -103.6446
8.750000 102.635 -104.5733
8.850000 102.707 -105.2788
9.000000 102.813 -106.3219
9.120000 102.894 -107.1467
9.250000 102.980 -108.0306
9.380000 103.063 -108.9039
9.500000 103.137 -109.7010
9.620000 103.209 -110.4897
9.750000 103.283 -111.3321
9.880000 103.354 -112.1613
10.000000 103.417 -112.9149
10.150000 103.493 -113.8373
10.300000 103.565 -114.7382
10.440000 103.630 -115.5592
10.600000 103.701 -116.4729
10.750000 103.766 -117.3085
10.900000 103.830 -118.1256
11.060000 103.896 -118.9786
11.200000 103.953 -119.7146
11.380000 104.025 -120.6460
11.500000 104.072 -121.2619
11.720000 104.155 -122.3798
11.800000 104.184 -122.7828
12.060000 104.273 -124.0807
12.200000 104.318 -124.7671
12.410000 104.381 -125.7787
12.500000 104.407 -126.2021
12.650000 104.448 -126.8954
12.800000 104.487 -127.5704
13.150000 104.573 -129.0707
13.200000 104.585 -129.2771
13.400000 104.634 -130.0847
13.600000 104.683 -130.8727
13.800000 104.732 -131.6456
14.000000 104.782 -132.4121
14.300000 104.855 -133.5577
14.500000 104.901 -134.3191
14.750000 104.956 -135.2663
15.000000 105.005 -136.1967
15.250000 105.050 -137.1019
15.500000 105.091 -137.9758
15.750000 105.129 -138.8152
16.000000 105.167 -139.6250
16.250000 105.205 -140.4117
16.500000 105.242 -141.1814
16.750000 105.278 -141.9400
17.000000 105.312 -142.6882
17.250000 105.345 -143.4238
17.500000 105.375 -144.1441
17.750000 105.402 -144.8453
18.000000 105.429 -145.5268
18.250000 105.454 -146.1901
18.500000 105.479 -146.8373
18.750000 105.503 -147.4721
19.000000 105.526 -148.0963
19.250000 105.548 -148.7097
19.500000 105.569 -149.3118
19.750000 105.590 -149.9011
20.000000 105.610 -150.4785
20.299999 105.633 -151.1590
20.600000 105.658 -151.8331
20.900000 105.681 -152.5083
21.200001 105.703 -153.1886
21.400000 105.716 -153.6436
21.799999 105.736 -154.5427
22.000000 105.743 -154.9789
22.400000 105.755 -155.8112
22.700001 105.762 -156.3966
23.000000 105.772 -156.9557
23.299999 105.784 -157.5011
23.600000 105.799 -158.0462
24.000000 105.819 -158.7880
24.299999 105.832 -159.3548
24.700001 105.846 -160.1102
25.000000 105.852 -160.6622
25.400000 105.857 -161.3640
25.799999 105.861 -162.0236
26.200001 105.867 -162.6525
26.500000 105.874 -163.1145
26.900000 105.883 -163.7289
27.200001 105.890 -164.1910
27.600000 105.897 -164.8046
28.000000 105.901 -165.4063
28.500000 105.905 -166.1320
29.000000 105.910 -166.8347
29.500000 105.915 -167.5330
30.000000 105.918 -168.2356
30.400000 105.917 -168.7912
30.700001 105.915 -169.1957
31.100000 105.912 -169.7140
31.500000 105.909 -170.2130
32.000000 105.908 -170.8297
32.500000 105.907 -171.4547
33.000000 105.904 -172.0785
33.500000 105.897 -172.6784
34.000000 105.890 -173.2479
34.500000 105.886 -173.8044
35.000000 105.883 -174.3660
35.500000 105.877 -174.9290
36.000000 105.868 -175.4743
36.500000 105.859 -175.9925
37.000000 105.851 -176.4955
37.500000 105.845 -177.0006
38.200001 105.834 -177.7140
38.700001 105.823 -178.2123
39.500000 105.806 -178.9759
40.000000 105.795 -179.4423
40.599998 105.783 -179.9992
41.200001 105.770 179.4506
41.799999 105.757 178.9095
42.500000 105.741 178.2859
43.099998 105.726 177.7605
43.700001 105.710 177.2513
44.400002 105.694 176.6724
45.000000 105.680 176.1725
45.500000 105.666 175.7524
46.200001 105.643 175.1829
46.799999 105.623 174.7286
47.500000 105.604 174.2145
48.200001 105.586 173.6799
48.700001 105.570 173.2911
49.400002 105.545 172.7711
50.000000 105.525 172.3525
50.799999 105.502 171.7939
51.500000 105.480 171.2875
52.200001 105.456 170.7917
53.000000 105.428 170.2531
53.799999 105.401 169.7146
54.500000 105.375 169.2538
55.200001 105.350 168.8220
56.000000 105.324 168.3178
57.000000 105.286 167.6831
58.000000 105.254 167.1017
59.000000 105.218 166.4075
60.000000 105.160 165.8469
60.799999 105.134 165.4989
61.500000 105.119 165.0935
62.200001 105.093 164.6558
63.000000 105.059 164.2197
64.000000 105.021 163.6765
65.000000 104.979 163.1454
66.000000 104.941 162.6345
67.000000 104.900 162.1183
68.000000 104.860 161.6266
69.000000 104.820 161.1179
70.000000 104.776 160.6300
71.000000 104.734 160.1749
72.000000 104.696 159.7162
73.000000 104.655 159.2579
74.000000 104.615 158.8179
75.000000 104.574 158.3705
76.199997 104.521 157.8613
77.500000 104.468 157.3328
78.800003 104.413 156.7727
80.000000 104.359 156.2885
81.199997 104.309 155.8016
82.500000 104.249 155.2766
83.800003 104.194 154.8133
85.000000 104.145 154.3534
86.199997 104.093 153.9140
87.500000 104.036 153.4444
88.500000 103.992 153.1062
90.000000 103.924 152.5937
91.199997 103.874 152.2081
92.500000 103.816 151.7673
93.800003 103.763 151.3462
95.000000 103.711 150.9337
96.199997 103.655 150.5321
97.500000 103.592 150.1821
98.800003 103.543 149.7987
100.000000 103.492 149.4347
101.500000 103.428 148.9703
103.000000 103.358 148.5514
104.400002 103.297 148.1917
106.000000 103.229 147.7572
107.500000 103.165 147.3688
109.000000 103.100 146.9485
110.599998 103.032 146.5807
112.000000 102.974 146.2147
113.800003 102.896 145.8147
115.000000 102.841 145.5049
117.199997 102.747 144.9419
118.000000 102.712 144.8042
120.599998 102.573 144.1176
122.000000 102.546 143.9259
124.099998 102.461 143.5412
125.000000 102.419 143.3220
126.500000 102.355 143.0625
128.000000 102.287 142.7780
131.500000 102.143 142.0966
132.000000 102.123 142.0034
134.000000 102.037 141.6658
136.000000 101.957 141.3367
138.000000 101.873 140.9868
140.000000 101.794 140.6329
143.000000 101.674 140.1793
145.000000 101.593 139.8808
147.500000 101.491 139.5123
150.000000 101.394 139.1689
152.500000 101.295 138.7948
155.000000 101.196 138.4627
157.500000 101.099 138.1743
160.000000 100.998 137.8215
162.500000 100.900 137.5115
165.000000 100.809 137.2089
167.500000 100.721 136.9397
170.000000 100.622 136.6834
172.500000 100.528 136.4569
175.000000 100.432 136.1718
177.500000 100.342 135.9276
180.000000 100.263 135.6271
182.500000 100.165 135.4857
185.000000 100.069 135.2993
187.500000 99.981 135.0781
190.000000 99.891 134.9066
192.500000 99.798 134.7489
195.000000 99.710 134.5342
197.500000 99.624 134.3554
200.000000 99.536 134.1451
203.000000 99.428 133.9837
206.000000 99.325 133.8502
209.000000 99.218 133.6450
212.000000 99.121 133.4861
214.000000 99.049 133.4590
218.000000 98.920 133.2690
220.000000 98.859 133.2014
224.000000 98.722 133.0124
227.000000 98.658 132.9795
230.000000 98.557 132.8372
233.000000 98.473 132.8227
236.000000 98.394 132.5878
240.000000 98.256 132.8517
243.000000 98.179 132.4636
247.000000 98.072 132.2308
250.000000 97.978 132.1684
254.000000 97.853 131.9970
258.000000 97.736 131.9144
262.000000 97.621 131.8386
265.000000 97.532 131.7607
269.000000 97.415 131.7144
272.000000 97.329 131.6129
276.000000 97.218 131.5679
280.000000 97.100 131.5378
285.000000 96.963 131.5229
290.000000 96.826 131.4722
295.000000 96.687 131.5066
300.000000 96.547 131.5117
304.000000 96.447 131.5784
307.000000 96.364 131.5829
311.000000 96.261 131.6559
315.000000 96.157 131.7487
320.000000 96.040 131.8613
325.000000 95.934 131.9868
330.000000 95.822 132.0294
