* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 1, 2026 1:34:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 91.154 -6.9931
1.015000 91.384 -8.2423
1.030000 91.609 -9.4680
1.044000 91.815 -10.5822
1.060000 92.045 -11.8221
1.075000 92.256 -12.9539
1.090000 92.463 -14.0579
1.106000 92.679 -15.2067
1.120000 92.865 -16.1892
1.138000 93.098 -17.4237
1.150000 93.251 -18.2300
1.172000 93.525 -19.6771
1.180000 93.623 -20.1941
1.206000 93.936 -21.8449
1.220000 94.100 -22.7174
1.241000 94.343 -24.0084
1.250000 94.445 -24.5561
1.265000 94.614 -25.4632
1.280000 94.781 -26.3643
1.315000 95.163 -28.4536
1.320000 95.216 -28.7515
1.340000 95.430 -29.9441
1.360000 95.640 -31.1340
1.380000 95.844 -32.3025
1.400000 96.043 -33.4496
1.430000 96.332 -35.1326
1.450000 96.518 -36.2310
1.475000 96.744 -37.5798
1.500000 96.964 -38.9036
1.525000 97.178 -40.2047
1.550000 97.386 -41.4853
1.575000 97.588 -42.7477
1.600000 97.786 -43.9942
1.625000 97.980 -45.2269
1.650000 98.169 -46.4482
1.675000 98.356 -47.6603
1.700000 98.539 -48.8620
1.725000 98.716 -50.0452
1.750000 98.887 -51.2099
1.775000 99.053 -52.3571
1.800000 99.214 -53.4872
1.825000 99.370 -54.6011
1.850000 99.521 -55.6995
1.875000 99.669 -56.7831
1.900000 99.812 -57.8526
1.925000 99.952 -58.9087
1.950000 100.089 -59.9521
1.975000 100.223 -60.9836
2.000000 100.354 -62.0039
2.030000 100.508 -63.2139
2.060000 100.656 -64.4047
2.090000 100.799 -65.5755
2.120000 100.936 -66.7267
2.140000 101.024 -67.4836
2.180000 101.195 -68.9722
2.200000 101.277 -69.7042
2.240000 101.437 -71.1444
2.270000 101.552 -72.2041
2.300000 101.664 -73.2467
2.330000 101.773 -74.2726
2.360000 101.880 -75.2823
2.400000 102.016 -76.6010
2.430000 102.114 -77.5688
2.470000 102.237 -78.8315
2.500000 102.326 -79.7582
2.540000 102.439 -80.9672
2.580000 102.547 -82.1466
2.620000 102.652 -83.2971
2.650000 102.728 -84.1414
2.690000 102.827 -85.2432
2.720000 102.899 -86.0503
2.760000 102.990 -87.0987
2.800000 103.076 -88.1166
2.850000 103.178 -89.3483
2.900000 103.275 -90.5375
2.950000 103.368 -91.6868
3.000000 103.458 -92.7992
3.040000 103.530 -93.6639
3.070000 103.581 -94.2940
3.110000 103.648 -95.1090
3.150000 103.711 -95.8973
3.200000 103.788 -96.8488
3.250000 103.862 -97.7669
3.300000 103.935 -98.6562
3.350000 104.008 -99.5215
3.400000 104.080 -100.3617
3.450000 104.150 -101.1662
3.500000 104.219 -101.9394
3.550000 104.286 -102.6865
3.600000 104.353 -103.4129
3.650000 104.420 -104.1239
3.700000 104.486 -104.8247
3.750000 104.552 -105.5105
3.820000 104.645 -106.4352
3.870000 104.710 -107.0757
3.950000 104.814 -108.0772
4.000000 104.878 -108.6947
4.060000 104.955 -109.4327
4.120000 105.031 -110.1589
4.180000 105.106 -110.8728
4.250000 105.193 -111.6938
4.310000 105.265 -112.3904
4.370000 105.336 -113.0833
4.440000 105.417 -113.8876
4.500000 105.485 -114.5714
4.550000 105.540 -115.1365
4.620000 105.615 -115.9200
4.680000 105.677 -116.5835
4.750000 105.746 -117.3482
4.820000 105.812 -118.1056
4.870000 105.858 -118.6408
4.940000 105.920 -119.3797
5.000000 105.971 -120.0014
5.080000 106.035 -120.8109
5.150000 106.089 -121.5041
5.220000 106.140 -122.1830
5.300000 106.195 -122.9391
5.380000 106.249 -123.6720
5.450000 106.294 -124.2930
5.520000 106.337 -124.8960
5.600000 106.385 -125.5648
5.700000 106.443 -126.3731
5.800000 106.500 -127.1496
5.900000 106.556 -127.8926
6.000000 106.612 -128.6114
6.080000 106.656 -129.1750
6.150000 106.695 -129.6561
6.220000 106.734 -130.1266
6.300000 106.778 -130.6557
6.400000 106.834 -131.3110
6.500000 106.889 -131.9588
6.600000 106.944 -132.5973
6.700000 106.998 -133.2311
6.800000 107.050 -133.8634
6.900000 107.102 -134.4924
7.000000 107.152 -135.1166
7.100000 107.200 -135.7350
7.200000 107.245 -136.3497
7.300000 107.289 -136.9579
7.400000 107.331 -137.5556
7.500000 107.370 -138.1426
7.620000 107.414 -138.8339
7.750000 107.460 -139.5609
7.880000 107.502 -140.2632
8.000000 107.539 -140.8913
8.120000 107.576 -141.4997
8.250000 107.614 -142.1354
8.380000 107.651 -142.7515
8.500000 107.685 -143.3056
8.620000 107.719 -143.8442
8.750000 107.755 -144.4169
8.850000 107.783 -144.8510
9.000000 107.825 -145.4908
9.120000 107.858 -145.9970
9.250000 107.893 -146.5398
9.380000 107.926 -147.0766
9.500000 107.957 -147.5675
9.620000 107.986 -148.0539
9.750000 108.016 -148.5744
9.880000 108.046 -149.0877
10.000000 108.071 -149.5553
10.150000 108.102 -150.1295
10.300000 108.131 -150.6925
10.440000 108.156 -151.2078
10.600000 108.184 -151.7842
10.750000 108.209 -152.3131
10.900000 108.233 -152.8313
11.060000 108.257 -153.3722
11.200000 108.278 -153.8358
11.380000 108.302 -154.4187
11.500000 108.318 -154.7990
11.720000 108.346 -155.4789
11.800000 108.355 -155.7207
12.060000 108.386 -156.4869
12.200000 108.402 -156.8885
12.410000 108.426 -157.4777
12.500000 108.436 -157.7271
12.650000 108.453 -158.1378
12.800000 108.470 -158.5452
13.150000 108.508 -159.4873
13.200000 108.513 -159.6213
13.400000 108.533 -160.1557
13.600000 108.552 -160.6859
13.800000 108.568 -161.2100
14.000000 108.583 -161.7246
14.300000 108.602 -162.4725
14.500000 108.613 -162.9534
14.750000 108.627 -163.5339
15.000000 108.641 -164.0966
15.250000 108.655 -164.6475
15.500000 108.670 -165.1922
15.750000 108.685 -165.7359
16.000000 108.698 -166.2793
16.250000 108.710 -166.8194
16.500000 108.720 -167.3524
16.750000 108.728 -167.8728
17.000000 108.734 -168.3772
17.250000 108.740 -168.8660
17.500000 108.746 -169.3411
17.750000 108.753 -169.8072
18.000000 108.759 -170.2694
18.250000 108.765 -170.7294
18.500000 108.769 -171.1875
18.750000 108.772 -171.6406
19.000000 108.773 -172.0826
19.250000 108.772 -172.5093
19.500000 108.771 -172.9175
19.750000 108.770 -173.3066
20.000000 108.770 -173.6811
20.299999 108.772 -174.1187
20.600000 108.776 -174.5537
20.900000 108.782 -174.9945
21.200001 108.788 -175.4445
21.400000 108.791 -175.7487
21.799999 108.796 -176.3608
22.000000 108.797 -176.6657
22.400000 108.797 -177.2693
22.700001 108.795 -177.7146
23.000000 108.793 -178.1531
23.299999 108.789 -178.5840
23.600000 108.784 -179.0062
24.000000 108.777 -179.5542
24.299999 108.772 -179.9545
24.700001 108.764 179.5236
25.000000 108.758 179.1395
25.400000 108.749 178.6380
25.799999 108.740 178.1521
26.200001 108.731 177.6831
26.500000 108.725 177.3392
26.900000 108.719 176.8823
27.200001 108.714 176.5361
27.600000 108.707 176.0693
28.000000 108.697 175.6042
28.500000 108.682 175.0402
29.000000 108.667 174.4995
29.500000 108.651 173.9703
30.000000 108.636 173.4438
30.400000 108.622 173.0283
30.700001 108.610 172.7231
31.100000 108.596 172.3250
31.500000 108.582 171.9318
32.000000 108.564 171.4403
32.500000 108.545 170.9505
33.000000 108.525 170.4717
33.500000 108.505 170.0049
34.000000 108.486 169.5417
34.500000 108.467 169.0787
35.000000 108.446 168.6243
35.500000 108.425 168.1855
36.000000 108.405 167.7561
36.500000 108.386 167.3243
37.000000 108.366 166.8883
37.500000 108.344 166.4582
38.200001 108.312 165.8802
38.700001 108.289 165.4809
39.500000 108.252 164.8501
40.000000 108.229 164.4605
40.599998 108.201 163.9991
41.200001 108.172 163.5434
41.799999 108.143 163.0939
42.500000 108.108 162.5782
43.099998 108.079 162.1418
43.700001 108.049 161.7094
44.400002 108.013 161.2122
45.000000 107.983 160.7926
45.500000 107.957 160.4485
46.200001 107.920 159.9777
46.799999 107.889 159.5836
47.500000 107.852 159.1297
48.200001 107.816 158.6800
48.700001 107.790 158.3625
49.400002 107.753 157.9223
50.000000 107.721 157.5470
50.799999 107.676 157.0546
51.500000 107.636 156.6413
52.200001 107.598 156.2399
53.000000 107.557 155.7742
53.799999 107.512 155.3076
54.500000 107.473 154.9161
55.200001 107.434 154.5310
56.000000 107.388 154.1022
57.000000 107.334 153.5931
58.000000 107.278 153.0446
59.000000 107.214 152.5779
60.000000 107.168 152.1234
60.799999 107.126 151.6532
61.500000 107.077 151.2905
62.200001 107.033 150.9928
63.000000 106.991 150.6152
64.000000 106.930 150.1229
65.000000 106.871 149.6968
66.000000 106.817 149.2426
67.000000 106.758 148.7980
68.000000 106.701 148.3829
69.000000 106.645 147.9581
70.000000 106.586 147.5324
71.000000 106.526 147.1353
72.000000 106.467 146.7425
73.000000 106.408 146.3542
74.000000 106.350 145.9819
75.000000 106.294 145.6111
76.199997 106.224 145.1595
77.500000 106.148 144.7078
78.800003 106.075 144.2600
80.000000 106.006 143.8498
81.199997 105.936 143.4430
82.500000 105.859 143.0269
83.800003 105.785 142.6242
85.000000 105.717 142.2458
86.199997 105.646 141.8864
87.500000 105.575 141.5097
88.500000 105.518 141.2051
90.000000 105.432 140.7822
91.199997 105.364 140.4522
92.500000 105.292 140.1075
93.800003 105.220 139.7647
95.000000 105.153 139.4469
96.199997 105.086 139.1481
97.500000 105.015 138.8338
98.800003 104.945 138.5005
100.000000 104.875 138.2086
101.500000 104.794 137.8898
103.000000 104.710 137.5425
104.400002 104.634 137.2528
106.000000 104.549 136.9033
107.500000 104.468 136.5713
109.000000 104.389 136.2731
110.599998 104.302 135.9644
112.000000 104.230 135.7160
113.800003 104.134 135.3803
115.000000 104.069 135.1312
117.199997 103.959 134.6971
118.000000 103.914 134.6046
120.599998 103.777 133.9653
122.000000 103.715 133.9730
124.099998 103.608 133.6779
125.000000 103.564 133.5241
126.500000 103.486 133.3060
128.000000 103.409 133.0727
131.500000 103.240 132.6027
132.000000 103.217 132.5289
134.000000 103.115 132.2737
136.000000 103.022 132.0316
138.000000 102.924 131.7969
140.000000 102.831 131.5630
143.000000 102.691 131.2575
145.000000 102.598 130.9991
147.500000 102.486 130.7823
150.000000 102.372 130.5377
152.500000 102.260 130.2854
155.000000 102.152 130.0417
157.500000 102.041 129.8467
160.000000 101.930 129.6510
162.500000 101.820 129.4406
165.000000 101.713 129.2313
167.500000 101.612 129.0604
170.000000 101.503 128.9051
172.500000 101.400 128.7519
175.000000 101.295 128.6080
177.500000 101.190 128.4587
180.000000 101.077 128.2875
182.500000 100.990 128.1897
185.000000 100.894 128.0707
187.500000 100.797 127.9781
190.000000 100.699 127.8657
192.500000 100.602 127.7770
195.000000 100.506 127.6687
197.500000 100.408 127.5976
200.000000 100.314 127.5228
203.000000 100.205 127.4542
206.000000 100.087 127.3438
209.000000 99.974 127.3240
212.000000 99.873 127.2935
214.000000 99.799 127.3174
218.000000 99.671 127.2563
220.000000 99.606 127.2557
224.000000 99.490 127.2268
227.000000 99.391 127.0958
230.000000 99.301 127.0561
233.000000 99.214 126.9915
236.000000 99.093 126.9509
240.000000 98.934 126.8448
243.000000 98.879 126.8141
247.000000 98.758 126.8174
250.000000 98.662 126.8456
254.000000 98.533 126.8000
258.000000 98.410 126.8437
262.000000 98.293 126.8475
265.000000 98.202 126.8426
269.000000 98.087 126.8561
272.000000 98.001 126.8703
276.000000 97.887 126.8968
280.000000 97.772 126.9460
285.000000 97.628 126.9875
290.000000 97.488 127.0688
295.000000 97.352 127.1447
300.000000 97.218 127.2686
304.000000 97.108 127.3411
307.000000 97.031 127.4127
311.000000 96.924 127.4986
315.000000 96.827 127.5909
320.000000 96.700 127.7458
325.000000 96.576 127.8710
