* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 12, 2024 3:54:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	81.752045	-80.3524
20.299999	81.854309	-81.0608
20.600000	81.906723	-81.5008
20.900000	81.945816	-81.5095
21.200001	82.019073	-81.1238
21.400000	82.106033	-80.7714
21.799999	82.363899	-80.2969
22.000000	82.515793	-80.3244
22.400000	82.807213	-80.9628
22.700001	82.969574	-81.7787
23.000000	83.071678	-82.6192
23.299999	83.127045	-83.2642
23.600000	83.165405	-83.5980
24.000000	83.245995	-83.6371
24.299999	83.347961	-83.5791
24.700001	83.525833	-83.6914
25.000000	83.662582	-83.9804
25.400000	83.819313	-84.5154
25.799999	83.947632	-84.9777
26.200001	84.078827	-85.2622
26.500000	84.196335	-85.4391
26.900000	84.373604	-85.8190
27.200001	84.503685	-86.2813
27.600000	84.641350	-87.0395
28.000000	84.727882	-87.7077
28.500000	84.806107	-88.0516
29.000000	84.939667	-87.9442
29.500000	85.157661	-87.9716
30.000000	85.387985	-88.5685
30.400000	85.524277	-89.3340
30.700001	85.588882	-89.8909
31.100000	85.640503	-90.4177
31.500000	85.687180	-90.6362
32.000000	85.780327	-90.6581
32.500000	85.914619	-90.7039
33.000000	86.060745	-90.9017
33.500000	86.202530	-91.1838
34.000000	86.343765	-91.5122
34.500000	86.482277	-91.9422
35.000000	86.599640	-92.4648
35.500000	86.685471	-92.9207
36.000000	86.760681	-93.1445
36.500000	86.861053	-93.1784
37.000000	86.997032	-93.2626
37.500000	87.141808	-93.5680
38.200001	87.304329	-94.1800
38.700001	87.397591	-94.5042
39.500000	87.568405	-94.8464
40.000000	87.688248	-95.1445
40.599998	87.818802	-95.6043
41.200001	87.930191	-96.0397
41.799999	88.033577	-96.3865
42.500000	88.156219	-96.6820
43.099998	88.273132	-96.8855
43.700001	88.398987	-97.1551
44.400002	88.528824	-97.5501
45.000000	88.626534	-97.7795
45.500000	88.720169	-97.9062
46.200001	88.865662	-98.2389
46.799999	88.964355	-98.6531
47.500000	89.055458	-98.9470
48.200001	89.175407	-99.1529
48.700001	89.264435	-99.4519
49.400002	89.353737	-99.8675
50.000000	89.435539	-99.9961
50.799999	89.600967	-100.3166
51.500000	89.717361	-100.9546
52.200001	89.787636	-101.3543
53.000000	89.915756	-101.5388
53.799999	90.056160	-102.0677
54.500000	90.126328	-102.4387
55.200001	90.213585	-102.4363
56.000000	90.375183	-102.5478
57.000000	90.545456	-103.1424
58.000000	90.666885	-103.5294
59.000000	90.814842	-103.8481
60.000000	90.950607	-104.3834
60.799999	91.034599	-104.7624
61.500000	91.109489	-104.9949
62.200001	91.195015	-105.1951
63.000000	91.305489	-105.4667
64.000000	91.437958	-105.9571
65.000000	91.542374	-106.3607
66.000000	91.665215	-106.6328
67.000000	91.784744	-107.0127
68.000000	91.900040	-107.2868
69.000000	92.025551	-107.6976
70.000000	92.117470	-108.0874
71.000000	92.231903	-108.3546
72.000000	92.338287	-108.8577
73.000000	92.416893	-109.1631
74.000000	92.532738	-109.4462
75.000000	92.623909	-109.9023
76.199997	92.735245	-110.1148
77.500000	92.888039	-110.6951
78.800003	92.976166	-111.0832
80.000000	93.116074	-111.3664
81.199997	93.228333	-111.9220
82.500000	93.339195	-112.3586
83.800003	93.447495	-112.7944
85.000000	93.553810	-113.1037
86.199997	93.666397	-113.4954
87.500000	93.771812	-113.9380
88.500000	93.850029	-114.2328
90.000000	93.973045	-114.7013
