* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 17, 2024 6:23:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.971222	174.2894
20.600000	106.964935	173.7197
20.900000	106.947441	173.2096
21.200001	106.926140	172.7191
21.400000	106.911942	172.4019
21.799999	106.886070	171.7809
22.000000	106.874680	171.4721
22.400000	106.853729	170.8497
22.700001	106.837898	170.3749
23.000000	106.820663	169.8944
23.299999	106.801407	169.4115
23.600000	106.780144	168.9320
24.000000	106.749664	168.3125
24.299999	106.726768	167.8743
24.700001	106.698891	167.3362
25.000000	106.681366	166.9619
25.400000	106.662018	166.4771
25.799999	106.641708	165.9709
26.200001	106.611809	165.4298
26.500000	106.580078	165.0188
26.900000	106.529778	164.5073
27.200001	106.493683	164.1689
27.600000	106.460960	163.7553
28.000000	106.450829	163.3197
28.500000	106.453377	162.6727
29.000000	106.437965	162.0209
29.500000	106.396271	161.5767
30.000000	106.359047	161.3235
30.400000	106.346283	161.0226
30.700001	106.337799	160.6055
31.100000	106.305084	159.7694
31.500000	106.230209	158.8031
32.000000	106.099136	157.8884
32.500000	106.004028	157.5909
33.000000	106.008080	157.5914
33.500000	106.074371	157.3394
34.000000	106.105095	156.7126
34.500000	106.054443	156.0421
35.000000	105.962975	155.6099
35.500000	105.892998	155.3184
36.000000	105.858940	154.9026
36.500000	105.833069	154.3247
37.000000	105.796486	153.7800
37.500000	105.756538	153.3940
38.200001	105.707870	152.9499
38.700001	105.667366	152.5615
39.500000	105.587967	151.8596
40.000000	105.544144	151.4071
40.599998	105.497215	150.8532
41.200001	105.445938	150.3737
41.799999	105.395493	150.0128
42.500000	105.344429	149.5807
43.099998	105.292732	149.1069
43.700001	105.229233	148.6404
44.400002	105.163269	148.1975
45.000000	105.119148	147.8315
45.500000	105.079567	147.5140
46.200001	105.012154	147.1198
46.799999	104.955254	146.8468
47.500000	104.903999	146.5197
48.200001	104.867897	146.1477
48.700001	104.849106	145.8765
49.400002	104.825058	145.4823
50.000000	104.792007	145.1161
50.799999	104.723068	144.6560
51.500000	104.670868	144.2814
52.200001	104.646545	143.7681
53.000000	104.615784	143.0294
53.799999	104.558945	142.5101
54.500000	104.512718	142.2442
55.200001	104.468185	141.8858
56.000000	104.400375	141.3653
57.000000	104.328995	140.7891
58.000000	104.266380	140.1656
59.000000	104.169319	139.7006
60.000000	104.092796	139.3334
60.799999	104.038483	138.8786
61.500000	103.978287	138.4738
62.200001	103.917297	138.1451
63.000000	103.856949	137.7926
64.000000	103.784973	137.3511
65.000000	103.718025	136.9685
66.000000	103.653671	136.5616
67.000000	103.582993	136.1616
68.000000	103.516296	135.8078
69.000000	103.455544	135.4359
70.000000	103.396210	135.0229
71.000000	103.339767	134.6066
72.000000	103.280838	134.1963
73.000000	103.214249	133.8186
74.000000	103.150970	133.4279
75.000000	103.088280	133.0013
76.199997	103.013153	132.5432
77.500000	102.932327	132.0564
78.800003	102.848549	131.5853
80.000000	102.772415	131.1939
81.199997	102.699539	130.8178
82.500000	102.620819	130.3914
83.800003	102.541206	129.9849
85.000000	102.468735	129.6376
86.199997	102.400513	129.2821
87.500000	102.325714	128.9386
88.500000	102.273781	128.6573
90.000000	102.192871	128.2381
91.199997	102.131966	127.9046
92.500000	102.065605	127.5494
93.800003	101.999466	127.1776
