* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 17, 2024 6:25:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.623550	174.3332
20.600000	106.610291	173.7975
20.900000	106.590034	173.3115
21.200001	106.568153	172.8263
21.400000	106.553955	172.5023
21.799999	106.528099	171.8557
22.000000	106.516800	171.5347
22.400000	106.497192	170.8997
22.700001	106.483963	170.4302
23.000000	106.470566	169.9662
23.299999	106.455589	169.5087
23.600000	106.438148	169.0603
24.000000	106.411011	168.4825
24.299999	106.388985	168.0663
24.700001	106.359985	167.5297
25.000000	106.339905	167.1330
25.400000	106.315659	166.6003
25.799999	106.292557	166.0581
26.200001	106.268166	165.5146
26.500000	106.248184	165.1155
26.900000	106.219704	164.6036
27.200001	106.197723	164.2350
27.600000	106.168610	163.7550
28.000000	106.139832	163.2762
28.500000	106.103165	162.6705
29.000000	106.065063	162.0706
29.500000	106.027451	161.4971
30.000000	105.993431	160.9532
30.400000	105.969025	160.5270
30.700001	105.951233	160.2055
31.100000	105.926147	159.7715
31.500000	105.897705	159.3374
32.000000	105.857414	158.8098
32.500000	105.815109	158.3059
33.000000	105.774712	157.8106
33.500000	105.736855	157.3018
34.000000	105.698929	156.7762
34.500000	105.658829	156.2558
35.000000	105.617760	155.7683
35.500000	105.578903	155.3188
36.000000	105.543564	154.8853
36.500000	105.509407	154.4430
37.000000	105.472786	153.9893
37.500000	105.432724	153.5405
38.200001	105.375603	152.9405
38.700001	105.336845	152.5226
39.500000	105.275833	151.8490
40.000000	105.236168	151.4296
40.599998	105.187233	150.9355
41.200001	105.137955	150.4548
41.799999	105.089546	149.9944
42.500000	105.035118	149.4804
43.099998	104.988174	149.0470
43.700001	104.939796	148.6183
44.400002	104.885338	148.1092
45.000000	104.839119	147.6436
45.500000	104.796425	147.2631
46.200001	104.733383	146.8165
46.799999	104.685944	146.4784
47.500000	104.632553	146.0048
48.200001	104.569412	145.4945
