* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 18, 2024 2:35:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.997	170.0462
20.299999	103.979	169.4668
20.600000	103.962	168.8934
20.900000	103.945	168.3251
21.200001	103.928	167.7595
21.400000	103.916	167.3826
21.799999	103.892	166.6292
22.000000	103.878	166.2544
22.400000	103.849	165.5157
22.700001	103.826	164.9786
23.000000	103.802	164.4593
23.299999	103.779	163.9561
23.600000	103.758	163.4633
24.000000	103.731	162.8094
24.299999	103.712	162.3149
24.700001	103.685	161.6510
25.000000	103.662	161.1570
25.400000	103.630	160.5157
25.799999	103.598	159.9016
26.200001	103.567	159.3082
26.500000	103.545	158.8680
26.900000	103.517	158.2781
27.200001	103.496	157.8322
27.600000	103.465	157.2402
28.000000	103.432	156.6617
28.500000	103.390	155.9657
29.000000	103.349	155.2891
29.500000	103.309	154.6157
30.000000	103.268	153.9443
30.400000	103.233	153.4167
30.700001	103.207	153.0299
31.100000	103.173	152.5248
31.500000	103.139	152.0269
32.000000	103.097	151.4075
32.500000	103.055	150.7924
33.000000	103.012	150.1872
33.500000	102.969	149.5924
34.000000	102.927	149.0038
34.500000	102.883	148.4216
35.000000	102.839	147.8524
35.500000	102.796	147.2992
36.000000	102.753	146.7554
36.500000	102.711	146.2115
37.000000	102.668	145.6678
37.500000	102.624	145.1334
38.200001	102.562	144.4084
38.700001	102.519	143.8964
39.500000	102.448	143.0761
40.000000	102.401	142.5818
40.599998	102.347	142.0208
41.200001	102.297	141.4675
41.799999	102.248	140.8904
42.500000	102.187	140.2069
43.099998	102.131	139.6521
43.700001	102.078	139.1207
44.400002	102.019	138.4929
45.000000	101.966	137.9558
45.500000	101.922	137.5251
46.200001	101.863	136.9360
46.799999	101.813	136.4211
47.500000	101.753	135.8230
48.200001	101.692	135.2513
48.700001	101.650	134.8473
49.400002	101.590	134.2760
50.000000	101.536	133.8021
50.799999	101.466	133.2109
51.500000	101.409	132.6981
52.200001	101.353	132.1676
53.000000	101.286	131.5650
53.799999	101.219	130.9860
54.500000	101.162	130.4772
55.200001	101.104	129.9676
56.000000	101.037	129.4218
57.000000	100.961	128.7317
58.000000	100.877	128.0633
59.000000	100.812	127.4702
60.000000	100.742	126.6719
60.799999	100.658	126.1314
61.500000	100.597	125.7910
62.200001	100.549	125.3875
63.000000	100.483	124.8773
64.000000	100.402	124.3304
65.000000	100.328	123.7283
66.000000	100.248	123.1457
67.000000	100.175	122.5652
68.000000	100.098	121.9897
69.000000	100.024	121.4398
70.000000	99.950	120.8975
71.000000	99.879	120.3879
72.000000	99.811	119.8466
73.000000	99.736	119.3057
74.000000	99.662	118.8103
75.000000	99.592	118.3099
76.199997	99.506	117.7112
77.500000	99.416	117.0776
78.800003	99.327	116.4583
80.000000	99.247	115.8771
81.199997	99.161	115.3145
82.500000	99.075	114.7711
83.800003	98.994	114.1935
85.000000	98.917	113.6631
86.199997	98.840	113.1545
87.500000	98.759	112.5984
88.500000	98.694	112.1735
90.000000	98.598	111.5760
91.199997	98.525	111.1002
92.500000	98.449	110.5735
93.800003	98.372	110.0268
95.000000	98.298	109.5630
96.199997	98.230	109.1169
97.500000	98.153	108.6246
98.800003	98.080	108.1695
100.000000	98.010	107.7066
101.500000	97.925	107.2280
103.000000	97.845	106.6694
104.400002	97.771	106.2056
106.000000	97.683	105.6494
107.500000	97.606	105.1692
109.000000	97.526	104.6873
110.599998	97.444	104.1555
112.000000	97.373	103.7142
113.800003	97.281	103.1448
115.000000	97.224	102.7849
117.199997	97.115	102.1219
118.000000	97.080	101.8719
120.599998	96.948	101.1722
122.000000	96.894	100.7138
124.099998	96.798	100.1303
125.000000	96.760	99.8562
126.500000	96.690	99.4358
128.000000	96.625	99.0351
131.500000	96.484	98.0986
132.000000	96.462	97.9312
134.000000	96.374	97.4582
136.000000	96.293	96.9686
138.000000	96.212	96.4557
140.000000	96.136	95.9596
143.000000	96.024	95.2470
145.000000	95.950	94.7776
147.500000	95.853	94.2231
150.000000	95.769	93.6254
152.500000	95.680	93.0507
155.000000	95.596	92.5287
157.500000	95.507	92.0148
160.000000	95.443	91.3748
162.500000	95.331	91.0000
165.000000	95.270	90.4352
167.500000	95.195	89.9796
170.000000	95.117	89.4988
172.500000	95.042	89.0049
175.000000	94.972	88.5378
177.500000	94.901	88.1133
180.000000	94.825	87.7090
182.500000	94.762	87.2227
185.000000	94.691	86.7932
187.500000	94.628	86.4004
190.000000	94.561	86.0242
192.500000	94.499	85.6630
195.000000	94.437	85.3281
197.500000	94.378	85.0078
200.000000	94.322	84.7170
203.000000	94.271	84.4054
206.000000	94.236	84.0473
209.000000	94.207	83.6108
212.000000	94.173	83.1080
214.000000	94.147	82.7269
218.000000	94.083	82.0049
220.000000	94.045	81.6542
224.000000	93.974	81.0036
227.000000	93.919	80.5553
230.000000	93.866	80.1253
233.000000	93.817	79.6951
236.000000	93.769	79.2960
240.000000	93.692	78.7696
243.000000	93.655	78.3818
247.000000	93.599	77.8575
250.000000	93.555	77.5067
254.000000	93.501	77.0414
258.000000	93.448	76.5768
262.000000	93.395	76.1289
265.000000	93.357	75.8026
269.000000	93.309	75.3729
272.000000	93.274	75.0458
276.000000	93.232	74.6301
280.000000	93.191	74.2589
285.000000	93.138	73.7539
290.000000	93.090	73.2688
295.000000	93.046	72.7964
300.000000	93.008	72.4182
304.000000	92.967	71.9965
307.000000	92.944	71.7557
311.000000	92.910	71.4290
315.000000	92.884	71.0801
320.000000	92.846	70.6956
325.000000	92.811	70.2862
330.000000	92.776	69.9037
335.000000	92.747	69.5198
340.000000	92.716	69.1788
345.000000	92.687	68.8235
350.000000	92.659	68.4951
355.000000	92.633	68.1771
360.000000	92.609	67.8347
365.000000	92.582	67.5558
370.000000	92.559	67.2690
375.000000	92.538	66.9900
382.000000	92.511	66.6241
387.000000	92.499	66.3723
395.000000	92.479	65.9933
400.000000	92.471	65.7174
406.000000	92.458	65.4194
412.000000	92.449	65.1115
418.000000	92.434	64.7941
425.000000	92.417	64.4519
431.000000	92.398	64.1832
437.000000	92.389	63.9079
444.000000	92.374	63.6312
450.000000	92.360	63.3774
455.000000	92.352	63.1802
462.000000	92.339	62.9233
468.000000	92.328	62.7315
475.000000	92.319	62.5031
482.000000	92.305	62.2813
487.000000	92.297	62.1192
494.000000	92.288	61.9345
500.000000	92.280	61.8093
508.000000	92.273	61.5899
515.000000	92.261	61.4568
522.000000	92.257	61.3139
530.000000	92.246	61.1894
538.000000	92.237	61.0865
545.000000	92.236	60.9837
552.000000	92.231	60.9534
560.000000	92.230	60.8844
570.000000	92.231	60.8294
580.000000	92.231	60.7856
590.000000	92.240	60.7686
600.000000	92.250	60.7768
608.000000	92.258	60.7824
615.000000	92.267	60.7680
622.000000	92.277	60.7967
630.000000	92.290	60.8005
640.000000	92.308	60.8282
650.000000	92.327	60.8553
660.000000	92.340	60.8659
670.000000	92.368	60.9296
680.000000	92.389	60.9782
690.000000	92.410	61.0313
700.000000	92.433	61.1082
710.000000	92.453	61.1944
720.000000	92.476	61.2699
730.000000	92.503	61.3867
740.000000	92.532	61.5018
750.000000	92.558	61.6224
