* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 18, 2024 2:37:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.984	169.8496
20.299999	103.965	169.2866
20.600000	103.948	168.7322
20.900000	103.934	168.1724
21.200001	103.920	167.5971
21.400000	103.910	167.2045
21.799999	103.884	166.4120
22.000000	103.869	166.0216
22.400000	103.834	165.2711
22.700001	103.806	164.7451
23.000000	103.779	164.2487
23.299999	103.755	163.7721
23.600000	103.734	163.3029
24.000000	103.710	162.6708
24.299999	103.692	162.1868
24.700001	103.667	161.5316
25.000000	103.648	161.0395
25.400000	103.619	160.3904
25.799999	103.589	159.7540
26.200001	103.558	159.1308
26.500000	103.533	158.6723
26.900000	103.501	158.0743
27.200001	103.475	157.6369
27.600000	103.442	157.0677
28.000000	103.410	156.5098
28.500000	103.370	155.8178
29.000000	103.330	155.1263
29.500000	103.288	154.4438
30.000000	103.244	153.7817
30.400000	103.209	153.2653
30.700001	103.184	152.8809
31.100000	103.151	152.3669
31.500000	103.116	151.8515
32.000000	103.071	151.2163
32.500000	103.025	150.6023
33.000000	102.980	150.0062
33.500000	102.937	149.4154
34.000000	102.894	148.8248
34.500000	102.850	148.2399
35.000000	102.806	147.6666
35.500000	102.761	147.1044
36.000000	102.717	146.5520
36.500000	102.674	146.0092
37.000000	102.631	145.4730
37.500000	102.588	144.9373
38.200001	102.526	144.1891
38.700001	102.481	143.6674
39.500000	102.407	142.8657
40.000000	102.362	142.3775
40.599998	102.309	141.7990
41.200001	102.256	141.2290
41.799999	102.204	140.6633
42.500000	102.143	140.0029
43.099998	102.089	139.4422
43.700001	102.034	138.8951
44.400002	101.971	138.2786
45.000000	101.917	137.7635
45.500000	101.875	137.3338
46.200001	101.814	136.7263
46.799999	101.760	136.2138
47.500000	101.698	135.6384
48.200001	101.638	135.0719
48.700001	101.595	134.6698
49.400002	101.536	134.1212
