* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 19, 2025 3:10:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.486	175.2738
20.600000	104.468	174.7638
20.900000	104.445	174.3041
21.200001	104.423	173.8350
21.400000	104.409	173.5103
21.799999	104.380	172.8367
22.000000	104.365	172.4958
22.400000	104.333	171.8326
22.700001	104.308	171.3742
23.000000	104.285	170.9556
23.299999	104.267	170.5670
23.600000	104.255	170.1868
24.000000	104.246	169.6513
24.299999	104.242	169.2124
24.700001	104.230	168.5873
25.000000	104.214	168.1174
25.400000	104.184	167.5335
25.799999	104.147	167.0258
26.200001	104.109	166.5795
26.500000	104.082	166.2582
26.900000	104.048	165.8120
27.200001	104.021	165.4520
27.600000	103.984	164.9444
28.000000	103.947	164.4261
28.500000	103.903	163.7950
29.000000	103.866	163.1957
29.500000	103.833	162.6279
30.000000	103.798	162.0970
30.400000	103.768	161.7011
30.700001	103.745	161.4157
31.100000	103.714	161.0370
31.500000	103.684	160.6445
32.000000	103.646	160.1279
32.500000	103.605	159.6039
33.000000	103.563	159.1052
33.500000	103.523	158.6381
34.000000	103.484	158.1787
34.500000	103.444	157.7070
35.000000	103.400	157.2331
35.500000	103.353	156.7845
36.000000	103.310	156.3702
36.500000	103.272	155.9678
37.000000	103.236	155.5495
37.500000	103.198	155.1148
38.200001	103.137	154.5243
38.700001	103.093	154.1314
39.500000	103.028	153.5217
40.000000	102.988	153.1423
40.599998	102.940	152.6928
41.200001	102.892	152.2416
41.799999	102.840	151.7870
42.500000	102.778	151.2831
43.099998	102.727	150.8802
43.700001	102.678	150.4756
44.400002	102.616	150.0046
45.000000	102.562	149.6340
45.500000	102.520	149.3412
46.200001	102.468	148.9154
46.799999	102.425	148.5273
47.500000	102.373	148.0621
48.200001	102.315	147.6113
48.700001	102.270	147.3354
49.400002	102.215	147.0147
50.000000	102.176	146.7126
50.799999	102.112	146.2266
51.500000	102.042	145.8568
52.200001	101.986	145.5292
53.000000	101.935	145.0421
53.799999	101.868	144.5560
54.500000	101.804	144.2559
55.200001	101.745	143.9664
56.000000	101.675	143.5456
57.000000	101.591	143.0286
58.000000	101.538	142.5920
59.000000	101.477	142.0941
60.000000	101.380	141.7027
60.799999	101.317	141.4140
61.500000	101.269	141.0592
62.200001	101.212	140.7362
63.000000	101.152	140.4927
64.000000	101.085	140.1347
65.000000	101.003	139.7100
66.000000	100.928	139.3345
67.000000	100.859	138.9605
68.000000	100.785	138.6331
69.000000	100.717	138.3004
70.000000	100.648	137.8961
71.000000	100.575	137.5637
72.000000	100.507	137.2643
73.000000	100.437	136.9746
74.000000	100.372	136.6716
75.000000	100.302	136.3443
76.199997	100.217	136.0231
77.500000	100.130	135.6348
78.800003	100.046	135.2768
80.000000	99.967	134.9419
81.199997	99.884	134.6493
82.500000	99.809	134.3463
83.800003	99.722	133.9973
85.000000	99.643	133.7092
86.199997	99.569	133.4186
87.500000	99.489	133.1341
88.500000	99.428	132.9184
90.000000	99.338	132.5902
91.199997	99.264	132.3623
92.500000	99.189	132.0729
93.800003	99.112	131.8192
95.000000	99.046	131.5961
96.199997	98.979	131.3665
97.500000	98.905	131.1051
98.800003	98.831	130.8893
100.000000	98.767	130.6677
101.500000	98.684	130.4258
103.000000	98.601	130.1736
104.400002	98.527	129.9396
106.000000	98.442	129.6737
107.500000	98.367	129.4789
109.000000	98.287	129.2399
110.599998	98.208	128.9953
112.000000	98.138	128.8386
113.800003	98.048	128.5575
115.000000	97.991	128.4036
117.199997	97.889	128.1444
118.000000	97.844	128.0160
120.599998	97.748	127.6610
122.000000	97.665	127.6261
124.099998	97.572	127.3479
125.000000	97.532	127.2673
126.500000	97.463	127.1134
128.000000	97.403	126.9366
131.500000	97.255	126.5841
132.000000	97.235	126.5381
134.000000	97.146	126.3586
136.000000	97.068	126.1668
138.000000	96.991	125.9916
140.000000	96.912	125.8261
143.000000	96.793	125.5637
145.000000	96.722	125.4274
147.500000	96.626	125.2226
150.000000	96.533	125.0573
152.500000	96.442	124.8853
155.000000	96.350	124.7170
