* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 19, 2025 3:12:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	105.260	174.9722
20.600000	105.240	174.4388
20.900000	105.215	173.9460
21.200001	105.191	173.4368
21.400000	105.177	173.0858
21.799999	105.152	172.3714
22.000000	105.141	172.0193
22.400000	105.122	171.3491
22.700001	105.108	170.8900
23.000000	105.095	170.4658
23.299999	105.080	170.0654
23.600000	105.061	169.6763
24.000000	105.025	169.1628
24.299999	104.992	168.7827
24.700001	104.945	168.2859
25.000000	104.914	167.9107
25.400000	104.886	167.3736
25.799999	104.873	166.7506
26.200001	104.864	166.0373
26.500000	104.853	165.4780
26.900000	104.824	164.7820
27.200001	104.792	164.3470
27.600000	104.746	163.9075
28.000000	104.702	163.5850
28.500000	104.660	163.2002
29.000000	104.623	162.7025
29.500000	104.579	162.0980
30.000000	104.530	161.4867
30.400000	104.493	161.0348
30.700001	104.470	160.7157
31.100000	104.441	160.3015
31.500000	104.413	159.8893
32.000000	104.371	159.3828
32.500000	104.325	158.8986
33.000000	104.279	158.4252
33.500000	104.237	157.9382
34.000000	104.196	157.4356
34.500000	104.154	156.9439
35.000000	104.110	156.4879
35.500000	104.066	156.0635
36.000000	104.024	155.6445
36.500000	103.981	155.2115
37.000000	103.937	154.7676
37.500000	103.893	154.3280
38.200001	103.834	153.7380
38.700001	103.792	153.3350
39.500000	103.722	152.7140
40.000000	103.676	152.3347
40.599998	103.622	151.8775
41.200001	103.569	151.4178
41.799999	103.517	150.9733
42.500000	103.457	150.4911
43.099998	103.407	150.0921
43.700001	103.356	149.6842
44.400002	103.294	149.1989
45.000000	103.242	148.7910
45.500000	103.200	148.4661
46.200001	103.140	148.0371
46.799999	103.089	147.6790
47.500000	103.027	147.2430
