* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 10, 2025 3:34:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.930	-172.7183
20.299999	102.917	-173.2867
20.600000	102.905	-173.8255
20.900000	102.894	-174.3409
21.200001	102.887	-174.8467
21.400000	102.883	-175.1858
21.799999	102.875	-175.8743
22.000000	102.870	-176.2212
22.400000	102.858	-176.9073
22.700001	102.847	-177.4041
23.000000	102.837	-177.8864
23.299999	102.828	-178.3640
23.600000	102.820	-178.8499
24.000000	102.806	-179.5214
24.299999	102.790	179.9699
24.700001	102.760	179.3245
25.000000	102.735	178.8908
25.400000	102.703	178.3846
25.799999	102.681	177.9172
26.200001	102.667	177.4243
26.500000	102.656	177.0197
26.900000	102.635	176.4597
27.200001	102.613	176.0582
27.600000	102.582	175.5858
28.000000	102.558	175.1738
28.500000	102.544	174.6425
29.000000	102.534	173.9858
29.500000	102.507	173.2402
30.000000	102.458	172.5571
30.400000	102.415	172.1139
30.700001	102.388	171.8265
31.100000	102.360	171.4538
31.500000	102.338	171.0473
32.000000	102.307	170.4911
32.500000	102.267	169.9427
33.000000	102.224	169.4467
33.500000	102.186	168.9821
34.000000	102.151	168.5115
34.500000	102.114	168.0326
35.000000	102.076	167.5631
35.500000	102.038	167.1057
36.000000	102.000	166.6525
36.500000	101.960	166.2071
37.000000	101.920	165.7786
37.500000	101.881	165.3617
38.200001	101.827	164.7696
38.700001	101.786	164.3454
39.500000	101.715	163.7156
40.000000	101.673	163.3541
40.599998	101.625	162.9243
41.200001	101.578	162.4846
41.799999	101.529	162.0458
42.500000	101.471	161.5514
43.099998	101.421	161.1375
43.700001	101.370	160.7240
44.400002	101.308	160.2580
45.000000	101.255	159.8866
45.500000	101.212	159.5857
46.200001	101.152	159.1604
46.799999	101.099	158.8066
47.500000	101.040	158.4132
48.200001	100.982	158.0048
48.700001	100.938	157.7088
49.400002	100.874	157.3267
50.000000	100.821	157.0155
50.799999	100.749	156.6057
51.500000	100.687	156.3085
52.200001	100.639	156.0074
53.000000	100.582	155.5095
53.799999	100.493	155.0414
54.500000	100.416	154.8110
55.200001	100.358	154.5915
56.000000	100.290	154.2533
57.000000	100.195	153.8978
58.000000	100.112	153.5409
59.000000	100.022	153.1476
60.000000	99.929	152.7883
60.799999	99.854	152.5261
