* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 11, 2025 5:17:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.643	-178.2464
20.600000	94.615	-178.7766
20.900000	94.579	-179.2171
21.200001	94.540	-179.6352
21.400000	94.516	-179.9110
21.799999	94.478	179.5095
22.000000	94.465	179.1883
22.400000	94.450	178.4519
22.700001	94.442	177.8084
23.000000	94.431	177.1102
23.299999	94.412	176.4034
23.600000	94.383	175.7449
24.000000	94.336	175.0224
24.299999	94.302	174.6085
24.700001	94.270	174.1701
25.000000	94.256	173.8513
25.400000	94.244	173.3485
25.799999	94.225	172.7256
26.200001	94.189	172.0376
26.500000	94.150	171.5371
26.900000	94.091	170.9538
27.200001	94.047	170.5956
27.600000	93.999	170.2014
28.000000	93.963	169.8474
28.500000	93.931	169.3654
29.000000	93.898	168.7764
29.500000	93.852	168.1029
30.000000	93.791	167.4388
30.400000	93.740	166.9726
30.700001	93.704	166.6691
31.100000	93.665	166.3038
31.500000	93.635	165.9354
32.000000	93.600	165.4106
32.500000	93.551	164.8199
33.000000	93.486	164.2449
33.500000	93.416	163.7535
34.000000	93.358	163.3330
34.500000	93.315	162.9168
35.000000	93.278	162.4668
35.500000	93.233	162.0131
36.000000	93.180	161.6081
36.500000	93.126	161.2566
37.000000	93.077	160.9061
37.500000	93.031	160.5044
38.200001	92.963	159.8635
38.700001	92.908	159.4092
39.500000	92.818	158.7906
40.000000	92.771	158.4792
40.599998	92.732	158.1357
41.200001	92.703	157.7543
41.799999	92.665	157.3094
42.500000	92.588	156.8036
43.099998	92.499	156.4902
43.700001	92.418	156.2798
44.400002	92.352	155.9847
45.000000	92.305	155.5805
45.500000	92.253	155.1975
46.200001	92.159	154.7830
46.799999	92.090	154.5532
47.500000	92.047	154.1471
48.200001	92.005	153.4602
48.700001	91.952	153.0024
49.400002	91.865	152.7519
50.000000	91.813	152.8185
50.799999	91.764	152.7656
51.500000	91.687	152.4412
52.200001	91.582	152.1238
53.000000	91.490	151.8657
53.799999	91.435	151.5590
54.500000	91.396	151.2988
55.200001	91.364	151.0741
56.000000	91.309	150.8138
57.000000	91.189	150.6621
58.000000	91.073	150.3939
59.000000	90.987	149.7664
60.000000	90.964	149.2909
60.799999	90.939	149.2532
61.500000	90.889	149.5428
62.200001	90.829	149.7610
63.000000	90.743	149.5721
64.000000	90.660	148.8909
65.000000	90.549	147.9612
66.000000	90.391	148.3152
67.000000	90.433	148.3286
68.000000	90.278	147.1017
69.000000	90.112	147.6158
70.000000	90.135	147.3697
71.000000	89.992	146.9975
72.000000	89.953	147.1038
73.000000	89.877	146.6206
74.000000	89.796	146.9127
