* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 2, 2024 3:56:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: silver L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.086029	-162.6445
20.600000	104.090118	-163.3176
20.900000	104.090645	-163.9250
21.200001	104.091393	-164.5307
21.400000	104.092400	-164.9338
21.799999	104.095596	-165.7266
22.000000	104.097717	-166.1106
22.400000	104.102959	-166.8470
22.700001	104.107346	-167.3733
23.000000	104.111130	-167.8851
23.299999	104.112854	-168.3899
23.600000	104.111107	-168.8909
24.000000	104.102341	-169.5479
24.299999	104.092285	-170.0254
24.700001	104.078415	-170.6380
25.000000	104.070770	-171.0885
25.400000	104.066055	-171.7001
25.799999	104.064957	-172.3462
26.200001	104.061348	-173.0231
26.500000	104.053818	-173.5311
26.900000	104.036919	-174.1717
27.200001	104.021049	-174.6072
27.600000	104.000717	-175.1268
28.000000	103.985527	-175.6027
28.500000	103.974525	-176.1963
29.000000	103.965820	-176.8303
29.500000	103.952477	-177.4908
30.000000	103.933319	-178.1364
30.400000	103.916122	-178.6280
30.700001	103.903366	-178.9841
31.100000	103.886932	-179.4497
31.500000	103.870605	-179.9104
32.000000	103.849396	179.5218
32.500000	103.827667	178.9683
33.000000	103.806618	178.4266
33.500000	103.786041	177.8882
34.000000	103.764030	177.3526
34.500000	103.739426	176.8325
35.000000	103.713539	176.3391
35.500000	103.688553	175.8669
36.000000	103.664871	175.3975
36.500000	103.640793	174.9210
37.000000	103.614944	174.4456
37.500000	103.587967	173.9856
38.200001	103.550987	173.3737
38.700001	103.525085	172.9524
39.500000	103.482414	172.2985
40.000000	103.456062	171.8947
40.599998	103.425446	171.3927
41.200001	103.392654	170.8734
41.799999	103.356163	170.3832
42.500000	103.316612	169.8904
43.099998	103.290344	169.4812
43.700001	103.263191	169.0208
44.400002	103.218864	168.4710
45.000000	103.177887	168.0688
45.500000	103.150139	167.7634
46.200001	103.113525	167.2983
46.799999	103.068176	166.8912
47.500000	103.006111	166.5208
48.200001	102.964310	166.1854
48.700001	102.947098	165.8537
49.400002	102.916664	165.2903
50.000000	102.879776	164.8717
50.799999	102.834000	164.4542
51.500000	102.795883	164.0737
52.200001	102.748726	163.6636
53.000000	102.696922	163.2270
53.799999	102.653130	162.7958
54.500000	102.610886	162.4476
55.200001	102.567162	162.1263
56.000000	102.516434	161.7116
57.000000	102.454086	161.2175
58.000000	102.404984	160.7733
59.000000	102.324226	160.3822
60.000000	102.253242	160.1263
60.799999	102.224068	159.6902
61.500000	102.186188	159.2326
62.200001	102.141678	158.9235
63.000000	102.099030	158.6599
64.000000	102.034470	158.2617
65.000000	101.967247	157.8998
66.000000	101.914604	157.5169
67.000000	101.853317	157.1489
68.000000	101.791023	156.8214
69.000000	101.730965	156.4725
70.000000	101.671677	156.1574
71.000000	101.614952	155.8414
72.000000	101.552246	155.5260
73.000000	101.494423	155.2559
74.000000	101.439217	154.9525
75.000000	101.377579	154.6631
76.199997	101.307297	154.3500
77.500000	101.231781	154.0000
78.800003	101.152679	153.6711
80.000000	101.086281	153.3753
81.199997	101.019806	153.1088
82.500000	100.949242	152.8042
83.800003	100.870728	152.5445
85.000000	100.805138	152.2585
86.199997	100.732376	151.9905
87.500000	100.663315	151.7265
88.500000	100.607353	151.5748
90.000000	100.528763	151.3702
91.199997	100.461792	151.1497
92.500000	100.387230	150.8944
93.800003	100.321442	150.6873
95.000000	100.260757	150.4999
96.199997	100.198486	150.3585
97.500000	100.129562	150.1374
98.800003	100.056664	149.9734
100.000000	99.997246	149.8527
101.500000	99.918922	149.6302
103.000000	99.844627	149.4671
104.400002	99.773438	149.3193
106.000000	99.694443	149.1199
107.500000	99.624802	148.9881
109.000000	99.545471	148.8499
110.599998	99.469955	148.6903
112.000000	99.403641	148.5784
113.800003	99.315598	148.4347
115.000000	99.259308	148.3447
117.199997	99.158463	148.1953
118.000000	99.121918	148.1405
120.599998	99.004791	147.9836
122.000000	98.941727	147.8994
124.099998	98.845604	147.7942
125.000000	98.808182	147.7687
126.500000	98.738998	147.6885
128.000000	98.676865	147.6264
131.500000	98.522881	147.5203
132.000000	98.504623	147.5273
134.000000	98.419037	147.4368
136.000000	98.340622	147.3889
138.000000	98.258507	147.3690
140.000000	98.172882	147.3348
143.000000	98.056801	147.2819
145.000000	97.982285	147.2677
