* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 2, 2024 3:59:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: silver R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.338547	-158.8570
20.600000	103.353134	-159.4741
20.900000	103.365646	-160.0256
21.200001	103.378242	-160.5938
21.400000	103.385574	-160.9893
21.799999	103.393967	-161.8046
22.000000	103.394287	-162.2108
22.400000	103.388901	-162.9910
22.700001	103.383499	-163.5357
23.000000	103.380356	-164.0561
23.299999	103.380798	-164.5727
23.600000	103.383881	-165.1056
24.000000	103.387367	-165.8516
24.299999	103.386620	-166.4211
24.700001	103.380547	-167.1527
25.000000	103.374786	-167.6588
25.400000	103.370026	-168.2728
25.799999	103.370926	-168.8449
26.200001	103.374863	-169.4104
26.500000	103.376579	-169.8406
26.900000	103.374138	-170.4174
27.200001	103.368378	-170.8455
27.600000	103.357216	-171.4049
28.000000	103.344604	-171.9553
28.500000	103.329155	-172.6420
29.000000	103.314560	-173.3278
29.500000	103.300949	-174.0001
30.000000	103.288826	-174.6496
30.400000	103.279922	-175.1537
30.700001	103.273209	-175.5242
31.100000	103.263641	-176.0086
31.500000	103.253059	-176.4825
32.000000	103.238289	-177.0606
32.500000	103.221893	-177.6232
33.000000	103.204369	-178.1684
33.500000	103.186783	-178.6971
34.000000	103.169708	-179.2174
34.500000	103.152313	-179.7364
35.000000	103.133514	179.7501
35.500000	103.113739	179.2501
36.000000	103.094276	178.7616
36.500000	103.074905	178.2751
37.000000	103.053986	177.7904
37.500000	103.031250	177.3206
38.200001	103.000877	176.6974
38.700001	102.982056	176.2586
39.500000	102.950729	175.5441
40.000000	102.927284	175.1104
40.599998	102.897415	174.6211
41.200001	102.868317	174.1490
41.799999	102.839096	173.6762
42.500000	102.803185	173.1311
43.099998	102.772316	172.6784
43.700001	102.742462	172.2321
44.400002	102.707558	171.7137
45.000000	102.676826	171.2820
45.500000	102.651398	170.9385
46.200001	102.617477	170.4755
46.799999	102.588943	170.0742
47.500000	102.552040	169.5944
48.200001	102.512169	169.1385
48.700001	102.486412	168.8350
49.400002	102.454239	168.4057
50.000000	102.422363	168.0324
50.799999	102.373352	167.5833
51.500000	102.336998	167.1808
52.200001	102.299889	166.6853
53.000000	102.243484	166.1638
53.799999	102.198051	165.8204
54.500000	102.173248	165.5023
55.200001	102.140701	165.1215
56.000000	102.095276	164.7210
57.000000	102.039490	164.2408
58.000000	101.979790	163.7872
59.000000	101.926880	163.1654
60.000000	101.848648	162.5669
60.799999	101.808136	162.3815
61.500000	101.793259	162.1850
62.200001	101.760101	161.8905
63.000000	101.703484	161.5884
64.000000	101.647095	161.1831
65.000000	101.591919	160.7484
66.000000	101.538742	160.4001
67.000000	101.482689	160.0197
68.000000	101.424026	159.6614
69.000000	101.370255	159.3177
70.000000	101.314079	158.9706
71.000000	101.257248	158.6312
72.000000	101.202171	158.3116
73.000000	101.148659	158.0135
74.000000	101.094978	157.7050
75.000000	101.038399	157.4073
76.199997	100.975166	157.0829
77.500000	100.903450	156.7078
78.800003	100.832802	156.3672
80.000000	100.769531	156.0562
81.199997	100.700806	155.7596
82.500000	100.627075	155.4855
83.800003	100.566666	155.1581
85.000000	100.500595	154.8659
86.199997	100.436905	154.6240
87.500000	100.368752	154.3387
88.500000	100.314972	154.1535
90.000000	100.238167	153.8680
91.199997	100.174118	153.6277
92.500000	100.111298	153.4119
93.800003	100.043152	153.2046
95.000000	99.983589	153.0024
96.199997	99.921928	152.7942
97.500000	99.854912	152.5987
98.800003	99.789917	152.4238
100.000000	99.735130	152.2445
101.500000	99.660690	152.0478
103.000000	99.586426	151.8383
104.400002	99.518501	151.6789
106.000000	99.437508	151.4871
107.500000	99.368515	151.3185
109.000000	99.300529	151.1595
110.599998	99.224213	151.0195
112.000000	99.161179	150.8697
113.800003	99.076294	150.7109
115.000000	99.021309	150.5940
117.199997	98.923584	150.4136
118.000000	98.884384	150.3719
120.599998	98.777603	150.1445
122.000000	98.715446	150.1179
124.099998	98.623444	150.0070
125.000000	98.589439	149.9445
126.500000	98.520164	149.9077
128.000000	98.457474	149.8390
131.500000	98.305801	149.6495
132.000000	98.286148	149.6538
134.000000	98.212532	149.5424
136.000000	98.141869	149.5426
138.000000	98.057106	149.5046
140.000000	97.979286	149.4141
143.000000	97.872124	149.3715
145.000000	97.790787	149.3588
147.500000	97.700775	149.3057
150.000000	97.607620	149.3132
152.500000	97.517967	149.2700
155.000000	97.429977	149.2884
157.500000	97.341957	149.2787
160.000000	97.260765	149.3252
162.500000	97.177109	149.3263
165.000000	97.086311	149.6712
167.500000	96.999466	149.3933
170.000000	96.920769	149.4679
172.500000	96.844284	149.5089
175.000000	96.762100	149.5805
177.500000	96.684341	149.6660
180.000000	96.596039	149.6396
182.500000	96.531502	149.7894
185.000000	96.455009	149.8821
187.500000	96.384552	149.9930
190.000000	96.306267	150.0807
192.500000	96.237259	150.2072
195.000000	96.163742	150.3064
197.500000	96.090897	150.4260
200.000000	96.018410	150.5466
203.000000	95.938049	150.7170
206.000000	95.852715	150.8749
209.000000	95.771957	151.0784
212.000000	95.692322	151.2829
214.000000	95.635025	151.4662
218.000000	95.532860	151.8108
220.000000	95.484032	152.0350
224.000000	95.405579	152.5056
227.000000	95.364799	152.8549
230.000000	95.333054	153.0883
233.000000	95.303558	153.2091
236.000000	95.259872	153.2403
240.000000	95.178215	153.3298
243.000000	95.127640	153.4111
247.000000	95.040085	153.5616
250.000000	94.980492	153.7042
254.000000	94.895958	153.9284
258.000000	94.816139	154.1415
262.000000	94.736771	154.4314
265.000000	94.684464	154.6040
269.000000	94.611252	154.8974
272.000000	94.556870	155.1060
276.000000	94.490379	155.3910
280.000000	94.425270	155.6475
