* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 17, 2024 4:51:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.657257	-166.1013
20.299999	103.657974	-166.7611
20.600000	103.652916	-167.4072
20.900000	103.642059	-168.0248
21.200001	103.626663	-168.5986
21.400000	103.615173	-168.9508
21.799999	103.594452	-169.5874
22.000000	103.587219	-169.8826
22.400000	103.580383	-170.4651
22.700001	103.579422	-170.9316
23.000000	103.576988	-171.4356
23.299999	103.568558	-171.9634
23.600000	103.552383	-172.4819
24.000000	103.524307	-173.1005
24.299999	103.507256	-173.5067
24.700001	103.500137	-174.0423
25.000000	103.504112	-174.5212
25.400000	103.504669	-175.3324
25.799999	103.473099	-176.2741
26.200001	103.397881	-177.1258
26.500000	103.324066	-177.5615
26.900000	103.238297	-177.8120
27.200001	103.206894	-177.8297
27.600000	103.220337	-177.8923
28.000000	103.274109	-178.2480
28.500000	103.329308	-179.1836
29.000000	103.318298	179.7053
29.500000	103.256935	178.8501
30.000000	103.202652	178.3505
30.400000	103.186218	178.0570
30.700001	103.186897	177.8089
31.100000	103.193085	177.3977
31.500000	103.193726	176.9222
32.000000	103.181366	176.3221
32.500000	103.159592	175.7720
33.000000	103.134827	175.2716
33.500000	103.109360	174.7998
34.000000	103.083023	174.3375
34.500000	103.054260	173.8732
35.000000	103.021492	173.4106
35.500000	102.985283	172.9610
36.000000	102.947815	172.5263
36.500000	102.910400	172.1006
37.000000	102.873810	171.6833
37.500000	102.839951	171.2719
38.200001	102.797997	170.6762
38.700001	102.768517	170.2314
39.500000	102.721802	169.5275
40.000000	102.694267	169.0736
40.599998	102.651741	168.5109
41.200001	102.595749	168.0645
41.799999	102.553932	167.7951
42.500000	102.540878	167.4022
43.099998	102.514015	166.8693
43.700001	102.453178	166.4727
44.400002	102.411896	166.2880
45.000000	102.410225	165.8893
45.500000	102.374992	165.3449
46.200001	102.261902	164.8997
46.799999	102.205078	164.9507
47.500000	102.213928	164.6353
48.200001	102.154320	163.8350
48.700001	102.062759	163.5753
49.400002	102.004326	163.6825
50.000000	102.023880	163.4177
50.799999	101.972885	162.5472
51.500000	101.876381	162.2925
52.200001	101.859238	162.2305
53.000000	101.845551	161.5684
