* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 17, 2024 4:52:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.967010	-163.7341
20.299999	103.972778	-164.4423
20.600000	103.972275	-165.1302
20.900000	103.967598	-165.7815
21.200001	103.961624	-166.3928
21.400000	103.958153	-166.7824
21.799999	103.953087	-167.5362
22.000000	103.951187	-167.9068
22.400000	103.947266	-168.6398
22.700001	103.943336	-169.1799
23.000000	103.938591	-169.7085
23.299999	103.933456	-170.2248
23.600000	103.928246	-170.7314
24.000000	103.920876	-171.3970
24.299999	103.914536	-171.8888
24.700001	103.904961	-172.5302
25.000000	103.897705	-172.9997
25.400000	103.889023	-173.6190
25.799999	103.880470	-174.2480
26.200001	103.868240	-174.8931
26.500000	103.854233	-175.3750
26.900000	103.829262	-175.9824
27.200001	103.808380	-176.3936
27.600000	103.784081	-176.8840
28.000000	103.768631	-177.3436
28.500000	103.760155	-177.9537
29.000000	103.750847	-178.6417
29.500000	103.730042	-179.3579
30.000000	103.699493	179.9764
30.400000	103.674171	179.4958
30.700001	103.657028	179.1547
31.100000	103.636703	178.7077
31.500000	103.617233	178.2599
32.000000	103.591652	177.7103
32.500000	103.566322	177.1903
33.000000	103.545822	176.6875
33.500000	103.530151	176.1564
34.000000	103.510956	175.5699
34.500000	103.478745	174.9693
35.000000	103.434891	174.4463
35.500000	103.393967	174.0455
36.000000	103.370483	173.6937
36.500000	103.361725	173.2623
37.000000	103.348373	172.7097
37.500000	103.315681	172.1288
38.200001	103.252113	171.4832
38.700001	103.216919	171.1304
39.500000	103.181335	170.5012
40.000000	103.154068	170.0511
40.599998	103.113129	169.5567
41.200001	103.076385	169.1249
41.799999	103.046783	168.6831
42.500000	103.009163	168.1292
43.099998	102.970795	167.6732
43.700001	102.931351	167.2542
44.400002	102.886734	166.7965
45.000000	102.850861	166.4222
45.500000	102.823334	166.1061
46.200001	102.783981	165.6295
46.799999	102.743179	165.2061
47.500000	102.687531	164.7546
48.200001	102.632111	164.3718
48.700001	102.597305	164.1240
49.400002	102.557625	163.7606
50.000000	102.526520	163.3863
50.799999	102.471634	162.8311
51.500000	102.412849	162.4252
52.200001	102.364403	162.0972
53.000000	102.319901	161.6673
53.799999	102.267365	161.2226
54.500000	102.223778	160.8821
55.200001	102.182648	160.5122
56.000000	102.123459	160.1143
57.000000	102.060303	159.7483
58.000000	102.000443	159.2628
59.000000	101.924522	158.8973
60.000000	101.872124	158.4926
60.799999	101.810966	158.0899
61.500000	101.753998	157.8581
62.200001	101.712456	157.6335
63.000000	101.663391	157.2919
64.000000	101.592392	156.9272
65.000000	101.530807	156.5866
66.000000	101.466064	156.2509
67.000000	101.406471	155.9375
68.000000	101.343002	155.5940
69.000000	101.275742	155.2990
70.000000	101.213791	155.0106
71.000000	101.150620	154.7085
72.000000	101.088081	154.4144
73.000000	101.023369	154.1222
74.000000	100.960228	153.8787
75.000000	100.902718	153.6289
76.199997	100.831985	153.3369
77.500000	100.755081	153.0140
78.800003	100.676346	152.7381
80.000000	100.604561	152.4510
81.199997	100.530220	152.2178
82.500000	100.455772	151.9451
83.800003	100.379837	151.6877
85.000000	100.308853	151.4649
86.199997	100.241844	151.2618
87.500000	100.165985	151.0386
88.500000	100.110748	150.8832
90.000000	100.022949	150.6297
91.199997	99.956497	150.4708
92.500000	99.885025	150.2603
93.800003	99.812424	150.1031
95.000000	99.749794	149.9338
96.199997	99.681740	149.7885
97.500000	99.611786	149.6546
98.800003	99.545280	149.5129
100.000000	99.479881	149.3669
101.500000	99.402420	149.2231
103.000000	99.323647	149.0709
104.400002	99.253525	148.9557
106.000000	99.173264	148.8043
107.500000	99.099747	148.7308
109.000000	99.029572	148.5775
110.599998	98.947914	148.4734
112.000000	98.878349	148.3944
113.800003	98.789490	148.3029
115.000000	98.730370	148.2375
117.199997	98.622032	148.0766
118.000000	98.589569	148.0783
120.599998	98.442078	147.9525
122.000000	98.409874	147.9287
124.099998	98.321838	147.8930
125.000000	98.278740	147.8618
126.500000	98.216805	147.8520
128.000000	98.148499	147.8141
131.500000	98.004532	147.7406
132.000000	97.983139	147.7307
134.000000	97.901100	147.7160
136.000000	97.817657	147.7128
138.000000	97.735703	147.7107
140.000000	97.658081	147.7017
143.000000	97.540077	147.7455
145.000000	97.465416	147.7430
147.500000	97.370590	147.7829
150.000000	97.277367	147.8300
152.500000	97.185028	147.8611
155.000000	97.097015	147.9230
157.500000	97.007820	147.9891
160.000000	96.920715	148.0612
162.500000	96.835083	148.1404
165.000000	96.751717	148.2200
167.500000	96.672638	148.3234
170.000000	96.587929	148.4378
172.500000	96.507851	148.5494
175.000000	96.430222	148.6280
177.500000	96.358795	148.7304
180.000000	96.311821	148.9028
182.500000	96.210587	149.0493
185.000000	96.130135	149.1642
187.500000	96.059296	149.2587
190.000000	95.988647	149.4048
192.500000	95.919739	149.5661
195.000000	95.851624	149.7203
197.500000	95.782913	149.8324
200.000000	95.719574	150.0081
203.000000	95.640961	150.1831
206.000000	95.562195	150.3770
209.000000	95.487740	150.5927
212.000000	95.411232	150.7873
214.000000	95.361061	150.9249
218.000000	95.264267	151.2096
220.000000	95.222786	151.3216
224.000000	95.126442	151.6094
227.000000	95.061234	151.8374
230.000000	94.993050	152.0753
233.000000	94.925461	152.2914
236.000000	94.864525	152.5406
240.000000	94.802177	152.9085
243.000000	94.720474	153.1067
247.000000	94.635170	153.4059
250.000000	94.580139	153.6347
254.000000	94.503159	153.9799
258.000000	94.426735	154.3087
262.000000	94.351746	154.6286
265.000000	94.298653	154.8830
269.000000	94.226929	155.2420
272.000000	94.169121	155.5030
276.000000	94.103722	155.8697
280.000000	94.030685	156.2663
285.000000	93.945465	156.7954
290.000000	93.863976	157.3558
295.000000	93.797577	157.9880
300.000000	93.691788	158.7704
304.000000	93.714127	159.0054
307.000000	93.698654	159.3246
311.000000	93.673340	159.6871
315.000000	93.655731	159.9841
320.000000	93.628304	160.2965
325.000000	93.587402	160.5478
330.000000	93.536171	160.8140
335.000000	93.483788	161.0844
340.000000	93.426361	161.3500
345.000000	93.369987	161.6776
350.000000	93.314140	162.0174
355.000000	93.259857	162.3613
360.000000	93.213631	162.9225
365.000000	93.153297	163.1100
370.000000	93.106895	163.4888
375.000000	93.059265	163.8776
382.000000	92.993958	164.4142
387.000000	92.946579	164.8132
395.000000	92.883423	165.4350
400.000000	92.839272	165.8201
406.000000	92.792366	166.3266
412.000000	92.751678	166.7488
418.000000	92.708954	167.2239
425.000000	92.660873	167.7785
431.000000	92.617058	168.2485
437.000000	92.580284	168.7324
444.000000	92.532860	169.2452
450.000000	92.500717	169.7185
455.000000	92.474174	170.1075
462.000000	92.436317	170.6461
468.000000	92.402489	171.0950
475.000000	92.370094	171.6602
482.000000	92.331146	172.0879
487.000000	92.315369	172.5327
494.000000	92.285385	173.0483
500.000000	92.258141	173.4919
508.000000	92.227547	174.0958
515.000000	92.206520	174.6025
522.000000	92.179489	175.1206
530.000000	92.149162	175.6725
538.000000	92.119987	176.2582
545.000000	92.104538	176.7458
552.000000	92.086472	177.2660
560.000000	92.066399	177.8203
570.000000	92.046257	178.5303
580.000000	92.025383	179.2239
590.000000	92.002838	179.8897
600.000000	92.009827	-179.6045
608.000000	91.972504	-178.9089
615.000000	91.961418	-178.4438
622.000000	91.949203	-178.0018
630.000000	91.935410	-177.4762
640.000000	91.925102	-176.7973
650.000000	91.914261	-176.1623
660.000000	91.894066	-175.2321
670.000000	91.894485	-174.8651
680.000000	91.887543	-174.2423
690.000000	91.882034	-173.5881
700.000000	91.871536	-172.9646
710.000000	91.866371	-172.3370
720.000000	91.874023	-171.9852
730.000000	91.860748	-171.0807
740.000000	91.859421	-170.4618
750.000000	91.856415	-169.8250
762.000000	91.860420	-169.0792
775.000000	91.859718	-168.2248
788.000000	91.860687	-167.4196
800.000000	91.865784	-166.6668
812.000000	91.869667	-165.9032
825.000000	91.878510	-165.0075
838.000000	91.901550	-164.1355
850.000000	91.901482	-163.3593
862.000000	91.926117	-162.5018
875.000000	91.949760	-161.5970
885.000000	91.976448	-160.9001
900.000000	92.011055	-159.9123
912.000000	92.062798	-159.0386
925.000000	92.107269	-158.1732
938.000000	92.165573	-157.3084
950.000000	92.220245	-156.5328
962.000000	92.286766	-155.7590
975.000000	92.351776	-154.9954
988.000000	92.423813	-154.2247
1000.000000	92.499245	-153.5390
1015.000000	92.590218	-152.6964
1030.000000	92.686981	-151.9521
1044.000000	92.782379	-151.2711
1060.000000	92.894897	-150.5516
