* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 13, 2026 2:02:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: silver L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	108.544	-152.9261
20.299999	108.565	-153.7244
20.600000	108.579	-154.5312
20.900000	108.587	-155.3151
21.200001	108.589	-156.0508
21.400000	108.591	-156.5106
21.799999	108.598	-157.3819
22.000000	108.605	-157.8100
22.400000	108.623	-158.6820
22.700001	108.635	-159.3613
23.000000	108.643	-160.0513
23.299999	108.646	-160.7320
23.600000	108.644	-161.3845
24.000000	108.640	-162.1983
24.299999	108.639	-162.7767
24.700001	108.640	-163.5327
25.000000	108.642	-164.1028
25.400000	108.643	-164.8696
25.799999	108.639	-165.6271
26.200001	108.632	-166.3562
26.500000	108.625	-166.8808
26.900000	108.617	-167.5577
27.200001	108.611	-168.0550
27.600000	108.602	-168.7092
28.000000	108.592	-169.3515
28.500000	108.577	-170.1312
29.000000	108.563	-170.8877
29.500000	108.547	-171.6340
30.000000	108.530	-172.3752
30.400000	108.513	-172.9566
30.700001	108.499	-173.3798
31.100000	108.480	-173.9237
31.500000	108.461	-174.4487
32.000000	108.439	-175.0944
32.500000	108.418	-175.7415
33.000000	108.393	-176.3842
33.500000	108.367	-177.0060
34.000000	108.339	-177.6004
34.500000	108.313	-178.1770
35.000000	108.288	-178.7479
35.500000	108.262	-179.3117
36.000000	108.234	-179.8590
36.500000	108.207	179.6126
37.000000	108.180	179.0955
37.500000	108.152	178.5864
38.200001	108.111	177.9024
38.700001	108.083	177.4356
39.500000	108.039	176.6778
40.000000	108.007	176.1951
40.599998	107.961	175.6636
41.200001	107.920	175.1996
41.799999	107.888	174.7157
42.500000	107.844	174.0565
43.099998	107.787	173.5447
43.700001	107.735	173.1880
44.400002	107.706	172.7717
45.000000	107.685	172.2521
