* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 13, 2026 2:08:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: silver R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	108.852	-151.3594
20.299999	108.874	-152.1572
20.600000	108.893	-152.9548
20.900000	108.908	-153.7419
21.200001	108.919	-154.5071
21.400000	108.924	-155.0009
21.799999	108.933	-155.9491
22.000000	108.938	-156.4067
22.400000	108.948	-157.3012
22.700001	108.957	-157.9662
23.000000	108.965	-158.6325
23.299999	108.971	-159.3008
23.600000	108.975	-159.9665
24.000000	108.975	-160.8362
24.299999	108.972	-161.4653
24.700001	108.967	-162.2664
25.000000	108.963	-162.8416
25.400000	108.960	-163.5860
25.799999	108.959	-164.3211
26.200001	108.957	-165.0566
26.500000	108.955	-165.6075
26.900000	108.950	-166.3328
27.200001	108.944	-166.8637
27.600000	108.935	-167.5499
28.000000	108.925	-168.2129
28.500000	108.913	-169.0177
29.000000	108.900	-169.8020
29.500000	108.886	-170.5648
30.000000	108.871	-171.3064
30.400000	108.858	-171.8891
30.700001	108.848	-172.3216
31.100000	108.834	-172.8912
31.500000	108.818	-173.4475
32.000000	108.796	-174.1197
32.500000	108.776	-174.7731
33.000000	108.755	-175.4221
33.500000	108.731	-176.0675
34.000000	108.704	-176.6913
34.500000	108.676	-177.2795
35.000000	108.650	-177.8422
35.500000	108.627	-178.4023
36.000000	108.603	-178.9694
36.500000	108.576	-179.5322
37.000000	108.547	179.9249
37.500000	108.518	179.4041
38.200001	108.479	178.6929
38.700001	108.450	178.1898
39.500000	108.403	177.3996
40.000000	108.371	176.9198
40.599998	108.332	176.3596
41.200001	108.291	175.8228
41.799999	108.250	175.3215
42.500000	108.206	174.7822
43.099998	108.175	174.3218
43.700001	108.146	173.8181
44.400002	108.104	173.1905
45.000000	108.055	172.6940
45.500000	108.014	172.3466
46.200001	107.965	171.9319
46.799999	107.934	171.5716
47.500000	107.903	171.0781
48.200001	107.863	170.5147
48.700001	107.823	170.1211
49.400002	107.761	169.6681
50.000000	107.715	169.3623
50.799999	107.671	168.9261
51.500000	107.630	168.4700
52.200001	107.579	168.0462
53.000000	107.526	167.6331
53.799999	107.480	167.1770
54.500000	107.432	166.7590
55.200001	107.378	166.4089
56.000000	107.326	166.0536
57.000000	107.262	165.5562
58.000000	107.190	165.1132
59.000000	107.129	164.6848
60.000000	107.059	164.2120
60.799999	106.999	163.9196
61.500000	106.957	163.6745
62.200001	106.916	163.3842
63.000000	106.862	163.0652
64.000000	106.799	162.7181
65.000000	106.736	162.3416
66.000000	106.669	162.0054
67.000000	106.607	161.7012
68.000000	106.545	161.3702
69.000000	106.477	161.0740
70.000000	106.418	160.8229
71.000000	106.361	160.5030
72.000000	106.291	160.2286
73.000000	106.232	160.0124
74.000000	106.173	159.7516
75.000000	106.112	159.5235
76.199997	106.043	159.2375
77.500000	105.964	158.9454
78.800003	105.887	158.6859
80.000000	105.817	158.4462
81.199997	105.748	158.2337
82.500000	105.675	158.0004
83.800003	105.603	157.7977
85.000000	105.537	157.5770
86.199997	105.467	157.4147
87.500000	105.398	157.2323
88.500000	105.343	157.0965
90.000000	105.263	156.8991
91.199997	105.198	156.7649
92.500000	105.131	156.6174
93.800003	105.063	156.4872
95.000000	105.003	156.3744
96.199997	104.943	156.2566
97.500000	104.877	156.1446
98.800003	104.813	156.0396
100.000000	104.753	155.9475
101.500000	104.682	155.8441
103.000000	104.610	155.7441
104.400002	104.544	155.6629
106.000000	104.470	155.5852
107.500000	104.402	155.5220
109.000000	104.335	155.4570
110.599998	104.265	155.3980
112.000000	104.203	155.3543
113.800003	104.126	155.3051
115.000000	104.075	155.2809
117.199997	103.983	155.2490
118.000000	103.951	155.2287
120.599998	103.843	155.1977
122.000000	103.786	155.1978
124.099998	103.705	155.1829
125.000000	103.669	155.1947
126.500000	103.615	155.1986
128.000000	103.555	155.2123
131.500000	103.425	155.2712
132.000000	103.408	155.2839
134.000000	103.337	155.3022
136.000000	103.266	155.3315
138.000000	103.198	155.3864
140.000000	103.130	155.4580
143.000000	103.030	155.5512
145.000000	102.963	155.6119
147.500000	102.884	155.7013
150.000000	102.807	155.8106
152.500000	102.731	155.9093
155.000000	102.659	156.0252
157.500000	102.584	156.1324
