* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 18, 2025 3:30:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: silver L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.456	-149.2462
20.600000	102.473	-149.9935
20.900000	102.486	-150.6580
21.200001	102.502	-151.3263
21.400000	102.515	-151.7840
21.799999	102.544	-152.7320
22.000000	102.559	-153.2171
22.400000	102.585	-154.1869
22.700001	102.600	-154.8907
23.000000	102.613	-155.5616
23.299999	102.622	-156.1978
23.600000	102.631	-156.8053
24.000000	102.640	-157.5883
24.299999	102.646	-158.1667
24.700001	102.654	-158.9342
25.000000	102.660	-159.5072
25.400000	102.668	-160.2645
25.799999	102.677	-161.0101
26.200001	102.684	-161.7400
26.500000	102.688	-162.2749
26.900000	102.691	-162.9687
27.200001	102.691	-163.4745
27.600000	102.690	-164.1339
28.000000	102.688	-164.7827
28.500000	102.685	-165.5863
29.000000	102.681	-166.3751
29.500000	102.675	-167.1328
30.000000	102.669	-167.8524
30.400000	102.664	-168.4087
30.700001	102.660	-168.8216
31.100000	102.654	-169.3728
31.500000	102.646	-169.9258
32.000000	102.635	-170.6138
32.500000	102.622	-171.2899
33.000000	102.609	-171.9491
33.500000	102.595	-172.5867
34.000000	102.579	-173.1950
34.500000	102.561	-173.7719
35.000000	102.544	-174.3307
35.500000	102.528	-174.8921
36.000000	102.510	-175.4636
36.500000	102.491	-176.0337
37.000000	102.473	-176.5887
37.500000	102.456	-177.1310
38.200001	102.431	-177.8847
38.700001	102.409	-178.4062
39.500000	102.370	-179.1620
40.000000	102.349	-179.6044
40.599998	102.328	179.8424
41.200001	102.304	179.2620
41.799999	102.273	178.7001
42.500000	102.237	178.1024
43.099998	102.207	177.6194
43.700001	102.179	177.1377
44.400002	102.145	176.5561
45.000000	102.114	176.0410
45.500000	102.086	175.6249
46.200001	102.046	175.1034
46.799999	102.017	174.6993
47.500000	101.988	174.2139
48.200001	101.953	173.6934
48.700001	101.924	173.3199
49.400002	101.880	172.8279
50.000000	101.846	172.4479
50.799999	101.808	171.9650
51.500000	101.773	171.5164
52.200001	101.730	171.0761
53.000000	101.683	170.6266
53.799999	101.642	170.1551
54.500000	101.600	169.7291
55.200001	101.558	169.3417
56.000000	101.514	168.8915
57.000000	101.455	168.3709
58.000000	101.412	167.9342
59.000000	101.352	167.3369
60.000000	101.270	166.8892
60.799999	101.235	166.5722
61.500000	101.208	166.2125
62.200001	101.169	165.8916
63.000000	101.125	165.5872
64.000000	101.070	165.1387
65.000000	101.011	164.7054
66.000000	100.956	164.3267
67.000000	100.900	163.9664
68.000000	100.844	163.6039
69.000000	100.787	163.2505
70.000000	100.731	162.9089
71.000000	100.672	162.5650
72.000000	100.618	162.2440
73.000000	100.568	161.9113
74.000000	100.509	161.6239
75.000000	100.451	161.3699
76.199997	100.385	160.9930
77.500000	100.311	160.6343
78.800003	100.246	160.3076
80.000000	100.179	159.9694
81.199997	100.113	159.6937
82.500000	100.046	159.3927
83.800003	99.976	159.0906
85.000000	99.913	158.8343
86.199997	99.849	158.5929
87.500000	99.782	158.3275
88.500000	99.729	158.1249
90.000000	99.653	157.8603
91.199997	99.590	157.6496
92.500000	99.525	157.4396
93.800003	99.460	157.2345
95.000000	99.399	157.0461
96.199997	99.340	156.8712
97.500000	99.275	156.6861
98.800003	99.210	156.5131
100.000000	99.152	156.3528
101.500000	99.081	156.1626
103.000000	99.007	155.9984
104.400002	98.941	155.8378
106.000000	98.866	155.6850
107.500000	98.796	155.5342
109.000000	98.727	155.4026
110.599998	98.652	155.2715
112.000000	98.589	155.1503
113.800003	98.508	155.0264
115.000000	98.455	154.9501
117.199997	98.357	154.8151
118.000000	98.324	154.7719
120.599998	98.212	154.6380
122.000000	98.151	154.5588
124.099998	98.065	154.4995
125.000000	98.025	154.4504
126.500000	97.964	154.3939
128.000000	97.904	154.3427
131.500000	97.763	154.2542
132.000000	97.743	154.2454
134.000000	97.665	154.2245
136.000000	97.585	154.1784
138.000000	97.506	154.1768
140.000000	97.432	154.1638
143.000000	97.317	154.1776
145.000000	97.240	154.1830
147.500000	97.146	154.2034
150.000000	97.052	154.2560
152.500000	96.958	154.3176
155.000000	96.865	154.4030
157.500000	96.767	154.5026
160.000000	96.679	154.6400
162.500000	96.585	154.8456
165.000000	96.496	155.0983
167.500000	96.415	155.4494
170.000000	96.349	155.8495
172.500000	96.315	156.2229
175.000000	96.302	156.4530
177.500000	96.283	156.5042
180.000000	96.255	156.4244
182.500000	96.203	156.3875
185.000000	96.142	156.3235
187.500000	96.078	156.3198
190.000000	96.008	156.3394
192.500000	95.945	156.4053
195.000000	95.877	156.4658
197.500000	95.809	156.5671
200.000000	95.745	156.7143
203.000000	95.668	156.8669
206.000000	95.595	157.0314
209.000000	95.528	157.2293
212.000000	95.457	157.4052
214.000000	95.413	157.5483
218.000000	95.323	157.8045
220.000000	95.282	157.9262
224.000000	95.196	158.2035
227.000000	95.135	158.4286
230.000000	95.071	158.6400
233.000000	95.011	158.8628
236.000000	94.954	159.0807
240.000000	94.872	159.3513
243.000000	94.821	159.6354
247.000000	94.747	159.9539
250.000000	94.698	160.1913
254.000000	94.628	160.5176
258.000000	94.565	160.8481
262.000000	94.496	161.1812
265.000000	94.445	161.4435
269.000000	94.386	161.8163
272.000000	94.342	162.0591
276.000000	94.284	162.4380
280.000000	94.229	162.7899
285.000000	94.166	163.2696
290.000000	94.108	163.6711
295.000000	94.045	164.0937
300.000000	93.986	164.5187
304.000000	93.943	164.8847
307.000000	93.912	165.1165
311.000000	93.866	165.4705
315.000000	93.826	165.8035
320.000000	93.772	166.2331
325.000000	93.719	166.6725
330.000000	93.670	167.1091
335.000000	93.627	167.5560
340.000000	93.584	167.9737
345.000000	93.539	168.4191
350.000000	93.498	168.8357
355.000000	93.455	169.2995
360.000000	93.419	169.7308
365.000000	93.384	170.1711
370.000000	93.346	170.5976
375.000000	93.310	171.0637
382.000000	93.267	171.6646
387.000000	93.240	172.1136
395.000000	93.192	172.8256
400.000000	93.170	173.2783
406.000000	93.149	173.8329
412.000000	93.128	174.3700
418.000000	93.118	174.8653
425.000000	93.103	175.4095
431.000000	93.089	175.8506
437.000000	93.074	176.2531
444.000000	93.055	176.7350
