* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 30, 2024 5:41:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.057961	-151.2895
20.600000	103.072823	-152.0468
20.900000	103.080376	-152.7229
21.200001	103.087982	-153.3976
21.400000	103.094452	-153.8534
21.799999	103.110718	-154.7784
22.000000	103.120026	-155.2421
22.400000	103.139679	-156.1534
22.700001	103.154388	-156.8070
23.000000	103.168686	-157.4300
23.299999	103.182190	-158.0258
23.600000	103.194321	-158.6037
24.000000	103.207054	-159.3628
24.299999	103.213440	-159.9306
24.700001	103.218140	-160.6862
25.000000	103.220078	-161.2479
25.400000	103.222809	-161.9840
25.799999	103.227394	-162.7011
26.200001	103.233795	-163.3966
26.500000	103.238869	-163.9027
26.900000	103.244469	-164.5572
27.200001	103.246994	-165.0349
27.600000	103.247345	-165.6613
28.000000	103.244026	-166.2824
28.500000	103.235565	-167.0517
29.000000	103.226639	-167.7998
29.500000	103.223465	-168.5221
30.000000	103.228653	-169.2457
30.400000	103.234879	-169.8491
30.700001	103.236633	-170.3178
31.100000	103.230721	-170.9478
31.500000	103.214127	-171.5503
32.000000	103.184692	-172.2231
32.500000	103.157700	-172.8128
33.000000	103.140869	-173.3820
33.500000	103.130966	-173.9845
34.000000	103.119728	-174.6165
34.500000	103.103638	-175.2372
35.000000	103.085625	-175.8220
35.500000	103.069199	-176.3831
36.000000	103.053970	-176.9421
36.500000	103.037384	-177.4999
37.000000	103.018661	-178.0408
37.500000	102.999191	-178.5600
38.200001	102.972137	-179.2783
38.700001	102.951469	-179.8019
39.500000	102.914612	179.3676
40.000000	102.891411	178.8796
40.599998	102.865204	178.3342
41.200001	102.839111	177.8179
41.799999	102.810928	177.3076
42.500000	102.776543	176.6867
43.099998	102.748688	176.1138
43.700001	102.721992	175.5154
44.400002	102.686768	174.8510
45.000000	102.649712	174.3720
45.500000	102.615921	174.0448
46.200001	102.571114	173.6349
46.799999	102.538979	173.2476
47.500000	102.506203	172.7188
48.200001	102.473122	172.1769
48.700001	102.448105	171.8271
49.400002	102.409821	171.3882
50.000000	102.371567	171.0278
50.799999	102.315849	170.5511
51.500000	102.274315	170.1289
52.200001	102.242249	169.6731
53.000000	102.203033	169.1332
53.799999	102.155205	168.6454
54.500000	102.112663	168.2456
55.200001	102.069229	167.8399
56.000000	102.017296	167.4146
57.000000	101.961472	166.9471
58.000000	101.908287	166.4178
59.000000	101.843758	165.9217
60.000000	101.785591	165.4925
60.799999	101.738647	165.1036
61.500000	101.693298	164.7582
62.200001	101.651291	164.4351
63.000000	101.608559	164.0813
64.000000	101.552528	163.6888
65.000000	101.493820	163.3192
66.000000	101.430557	162.9070
67.000000	101.369812	162.5120
68.000000	101.312134	162.1397
69.000000	101.252502	161.8086
70.000000	101.193443	161.4623
71.000000	101.133484	161.1203
72.000000	101.078964	160.7823
73.000000	101.018539	160.4592
74.000000	100.961647	160.1814
75.000000	100.904892	159.8599
76.199997	100.834564	159.5276
77.500000	100.760345	159.1544
78.800003	100.687698	158.8387
80.000000	100.622017	158.5104
81.199997	100.549141	158.2414
82.500000	100.477837	157.9438
83.800003	100.407433	157.6305
85.000000	100.341393	157.3943
86.199997	100.276970	157.1569
87.500000	100.205856	156.8830
88.500000	100.150650	156.7015
90.000000	100.072563	156.4259
91.199997	100.004532	156.2336
92.500000	99.939720	156.0180
93.800003	99.868835	155.8076
95.000000	99.810074	155.6400
96.199997	99.746597	155.4512
97.500000	99.678383	155.2899
98.800003	99.615425	155.1001
100.000000	99.554939	154.9627
101.500000	99.481155	154.7787
103.000000	99.404793	154.6403
104.400002	99.339447	154.4530
106.000000	99.262695	154.3190
107.500000	99.191048	154.1782
109.000000	99.117867	154.0338
110.599998	99.047058	153.9504
112.000000	98.973969	153.8078
113.800003	98.904358	153.6696
115.000000	98.839066	153.6160
117.199997	98.748528	153.4742
118.000000	98.715157	153.4768
120.599998	98.581306	153.3582
122.000000	98.543152	153.2116
124.099998	98.457466	153.1896
125.000000	98.416069	153.0937
126.500000	98.352203	153.0483
128.000000	98.282364	153.0474
131.500000	98.143471	152.9991
132.000000	98.125061	152.9804
134.000000	98.049858	152.9887
136.000000	97.969398	152.8779
138.000000	97.893074	152.9128
140.000000	97.820381	152.9204
143.000000	97.709007	152.8699
145.000000	97.632744	152.8937
147.500000	97.545471	152.9529
150.000000	97.458588	152.9384
152.500000	97.377586	152.9516
155.000000	97.288376	153.0469
157.500000	97.205032	153.1241
160.000000	97.127380	153.1865
162.500000	97.039558	153.2690
165.000000	96.966400	153.3568
167.500000	96.879532	153.4225
170.000000	96.805176	153.5447
172.500000	96.734299	153.6277
175.000000	96.664078	153.7681
177.500000	96.582199	153.8443
180.000000	96.517265	153.9903
182.500000	96.452026	154.1136
185.000000	96.372528	154.2379
187.500000	96.311508	154.3272
190.000000	96.246696	154.4721
192.500000	96.179123	154.6311
195.000000	96.120949	154.7448
197.500000	96.062347	154.9165
200.000000	95.995865	155.0290
203.000000	95.925552	155.2449
206.000000	95.857185	155.4237
209.000000	95.781769	155.6011
212.000000	95.721672	155.7979
214.000000	95.672958	155.9020
218.000000	95.575813	156.2295
220.000000	95.544479	156.2979
224.000000	95.454399	156.6218
227.000000	95.393463	156.7864
230.000000	95.337616	157.0490
233.000000	95.277412	157.2405
236.000000	95.225304	157.4844
240.000000	95.150322	157.6917
243.000000	95.082245	158.0155
247.000000	95.017334	158.2725
250.000000	94.955254	158.5185
254.000000	94.887230	158.8189
258.000000	94.827599	159.1474
262.000000	94.760513	159.4275
265.000000	94.707901	159.6390
269.000000	94.638535	159.9362
272.000000	94.595520	160.2174
276.000000	94.529358	160.5190
280.000000	94.469551	160.8271
285.000000	94.403816	161.2593
290.000000	94.330734	161.6482
295.000000	94.258331	162.0367
300.000000	94.187843	162.4636
304.000000	94.137947	162.7677
307.000000	94.105667	163.0295
311.000000	94.053238	163.3085
315.000000	93.996048	163.6562
320.000000	93.938553	164.0724
325.000000	93.867355	164.4971
330.000000	93.813354	164.9373
335.000000	93.756210	165.3434
340.000000	93.687721	165.7826
345.000000	93.631767	166.3163
350.000000	93.580093	166.8469
355.000000	93.530716	167.3845
360.000000	93.475800	167.9089
365.000000	93.450523	168.5048
370.000000	93.434204	169.1440
375.000000	93.427200	169.6885
382.000000	93.440796	170.3386
387.000000	93.442871	170.6134
395.000000	93.414795	170.8917
400.000000	93.378990	171.0688
406.000000	93.336433	171.3290
412.000000	93.291885	171.7315
418.000000	93.243874	172.0325
425.000000	93.190994	172.5258
431.000000	93.149521	172.9062
437.000000	93.104553	173.3574
444.000000	93.061096	173.8708
450.000000	93.024460	174.2782
455.000000	92.993866	174.6578
462.000000	92.951218	175.1609
468.000000	92.917496	175.5925
475.000000	92.882141	176.1038
482.000000	92.842850	176.6158
487.000000	92.818924	177.0070
494.000000	92.785210	177.5022
500.000000	92.757584	177.9532
508.000000	92.722031	178.5363
515.000000	92.691299	179.0627
522.000000	92.667557	179.5740
530.000000	92.634621	-179.8448
538.000000	92.605782	-179.2596
545.000000	92.582405	-178.7310
552.000000	92.556519	-178.2350
560.000000	92.533310	-177.6518
570.000000	92.498993	-176.9259
580.000000	92.470451	-176.1762
590.000000	92.443451	-175.4532
600.000000	92.424355	-174.7360
608.000000	92.398705	-174.1342
615.000000	92.385162	-173.6246
622.000000	92.371353	-173.0950
630.000000	92.359482	-172.5445
640.000000	92.337021	-171.7870
650.000000	92.322151	-171.0756
660.000000	92.302147	-170.3066
670.000000	92.284172	-169.5645
680.000000	92.278046	-168.8336
690.000000	92.264946	-168.0854
700.000000	92.258789	-167.3208
710.000000	92.251297	-166.5643
720.000000	92.248375	-165.7774
730.000000	92.249321	-164.9665
740.000000	92.253616	-164.1462
750.000000	92.269981	-163.3625
762.000000	92.295898	-162.4729
775.000000	92.317558	-161.5547
788.000000	92.336380	-160.6335
800.000000	92.357300	-159.8041
812.000000	92.374062	-158.9328
825.000000	92.396271	-158.0333
838.000000	92.422050	-157.0741
850.000000	92.447662	-156.2017
862.000000	92.478226	-155.3049
875.000000	92.516342	-154.3424
885.000000	92.552612	-153.6031
900.000000	92.602791	-152.4742
912.000000	92.648308	-151.6273
925.000000	92.704819	-150.6772
938.000000	92.758308	-149.7232
950.000000	92.819633	-148.8428
962.000000	92.881065	-147.9991
975.000000	92.954079	-147.0612
988.000000	93.032822	-146.1526
1000.000000	93.111382	-145.3014
1015.000000	93.211800	-144.2693
1030.000000	93.322250	-143.2453
1044.000000	93.428169	-142.3101
1060.000000	93.570679	-141.2689
1075.000000	93.709595	-140.3164
1090.000000	93.858810	-139.4260
1106.000000	94.034592	-138.5297
1120.000000	94.197113	-137.8653
1138.000000	94.421860	-137.1519
1150.000000	94.571281	-136.7655
1172.000000	94.846230	-136.3382
1180.000000	94.942444	-136.2636
1206.000000	95.229523	-136.2238
1220.000000	95.365227	-136.3300
1241.000000	95.544060	-136.5448
1250.000000	95.611008	-136.6697
1265.000000	95.707893	-136.9525
1280.000000	95.762238	-137.3032
1315.000000	95.778961	-137.0260
1320.000000	95.793983	-136.8490
1340.000000	95.887215	-136.0768
1360.000000	96.038048	-135.5992
1380.000000	96.173409	-135.3684
1400.000000	96.304161	-135.2027
1430.000000	96.476334	-135.0016
1450.000000	96.580902	-134.8927
1475.000000	96.712425	-134.7078
1500.000000	96.834824	-134.5620
1525.000000	96.959396	-134.3803
1550.000000	97.081009	-134.2056
1575.000000	97.205902	-134.0242
1600.000000	97.325432	-133.8690
1625.000000	97.448708	-133.7004
1650.000000	97.569595	-133.5654
1675.000000	97.691727	-133.4269
1700.000000	97.814865	-133.3096
1725.000000	97.936218	-133.2077
1750.000000	98.064308	-133.1261
1775.000000	98.189629	-133.0628
1800.000000	98.313118	-133.0250
1825.000000	98.437424	-132.9905
1850.000000	98.562531	-133.0167
1875.000000	98.684555	-133.0324
1900.000000	98.808823	-133.1049
1925.000000	98.931808	-133.1721
1950.000000	99.053558	-133.2826
1975.000000	99.174690	-133.4276
2000.000000	99.294075	-133.5849
2030.000000	99.432137	-133.8299
2060.000000	99.568886	-134.1006
2090.000000	99.704597	-134.4096
2120.000000	99.831917	-134.7640
2140.000000	99.914902	-135.0232
2180.000000	100.077286	-135.5679
