* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 30, 2024 5:42:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.718719	-148.0616
20.600000	102.745377	-148.8128
20.900000	102.769310	-149.5018
21.200001	102.793854	-150.2041
21.400000	102.810379	-150.6804
21.799999	102.842087	-151.6322
22.000000	102.856804	-152.0970
22.400000	102.884018	-152.9884
22.700001	102.903130	-153.6216
23.000000	102.921432	-154.2362
23.299999	102.938446	-154.8477
23.600000	102.953133	-155.4690
24.000000	102.967270	-156.3182
24.299999	102.973694	-156.9610
24.700001	102.978615	-157.8022
25.000000	102.982033	-158.4064
25.400000	102.989235	-159.1671
25.799999	103.000740	-159.8814
26.200001	103.015015	-160.5647
26.500000	103.025558	-161.0674
26.900000	103.036591	-161.7356
27.200001	103.041260	-162.2395
27.600000	103.042160	-162.9131
28.000000	103.038528	-163.5806
28.500000	103.033295	-164.3931
29.000000	103.034409	-165.1876
29.500000	103.042503	-165.9924
30.000000	103.048630	-166.8166
30.400000	103.045731	-167.4610
30.700001	103.038528	-167.9111
31.100000	103.025726	-168.4481
31.500000	103.015564	-168.9245
32.000000	103.012169	-169.5030
32.500000	103.014671	-170.1386
33.000000	103.011543	-170.8368
33.500000	102.997910	-171.5337
34.000000	102.979599	-172.1737
34.500000	102.964371	-172.7610
35.000000	102.953819	-173.3337
35.500000	102.944473	-173.9129
36.000000	102.933487	-174.4968
36.500000	102.919937	-175.0830
37.000000	102.903038	-175.6704
37.500000	102.882339	-176.2452
38.200001	102.852135	-176.9958
38.700001	102.834740	-177.5014
39.500000	102.812469	-178.3197
40.000000	102.796890	-178.8416
40.599998	102.775574	-179.4614
41.200001	102.752930	179.9252
41.799999	102.727753	179.3257
42.500000	102.695946	178.6831
43.099998	102.671379	178.1786
43.700001	102.649292	177.6740
44.400002	102.622086	177.0770
45.000000	102.601036	176.5870
45.500000	102.588341	176.1913
46.200001	102.571419	175.6461
46.799999	102.547333	175.2234
47.500000	102.505653	174.8120
48.200001	102.452774	174.4122
48.700001	102.408531	174.0905
49.400002	102.346115	173.5993
50.000000	102.305397	173.1492
50.799999	102.273445	172.4996
51.500000	102.251366	171.9497
52.200001	102.225372	171.4954
53.000000	102.190598	171.0556
53.799999	102.148872	170.5939
54.500000	102.106346	170.1510
55.200001	102.062927	169.7139
56.000000	102.020782	169.2437
57.000000	101.971359	168.6406
58.000000	101.912094	168.0867
59.000000	101.861443	167.5433
60.000000	101.802887	166.9726
60.799999	101.755623	166.6300
61.500000	101.722984	166.3405
62.200001	101.686775	166.0060
63.000000	101.636864	165.6351
64.000000	101.578041	165.2029
65.000000	101.521477	164.7624
66.000000	101.464943	164.3416
67.000000	101.410164	163.9260
68.000000	101.356773	163.5297
69.000000	101.302322	163.1569
70.000000	101.246162	162.8050
71.000000	101.191223	162.4527
72.000000	101.134933	162.0892
73.000000	101.075317	161.7351
74.000000	101.021324	161.4008
75.000000	100.971840	161.0728
76.199997	100.906120	160.7299
77.500000	100.831284	160.3405
78.800003	100.762192	159.9529
80.000000	100.701729	159.6414
81.199997	100.635567	159.3229
82.500000	100.562622	158.9799
83.800003	100.496651	158.6616
85.000000	100.429558	158.3847
86.199997	100.367111	158.1236
87.500000	100.298157	157.8304
88.500000	100.247269	157.6235
90.000000	100.170341	157.3221
91.199997	100.105736	157.1047
92.500000	100.039406	156.8530
93.800003	99.974625	156.6116
95.000000	99.913551	156.4231
96.199997	99.854782	156.2180
97.500000	99.789108	156.0097
98.800003	99.725349	155.8188
100.000000	99.665672	155.6484
101.500000	99.594597	155.4386
103.000000	99.522598	155.2537
104.400002	99.453995	155.0771
106.000000	99.378555	154.8770
107.500000	99.312508	154.7292
109.000000	99.241920	154.5809
110.599998	99.168579	154.3974
112.000000	99.106705	154.2887
113.800003	99.026138	154.1321
115.000000	98.970970	154.0313
117.199997	98.872871	153.8559
118.000000	98.834244	153.7983
120.599998	98.738739	153.5863
122.000000	98.669350	153.5820
124.099998	98.578789	153.4461
125.000000	98.542046	153.4082
126.500000	98.481300	153.3603
128.000000	98.420975	153.2729
131.500000	98.279686	153.1600
132.000000	98.261383	153.1428
134.000000	98.184219	153.0621
136.000000	98.107391	153.0195
138.000000	98.031815	152.9799
140.000000	97.959938	152.9440
143.000000	97.849174	152.9045
145.000000	97.775642	152.8991
147.500000	97.685966	152.8921
150.000000	97.598953	152.8918
152.500000	97.513649	152.8943
155.000000	97.429237	152.9387
157.500000	97.346176	152.9446
160.000000	97.265045	152.9991
162.500000	97.182945	153.0404
165.000000	97.106644	153.0912
167.500000	97.027885	153.1439
170.000000	96.952347	153.2202
172.500000	96.881821	153.2918
175.000000	96.803642	153.3840
177.500000	96.733849	153.4724
180.000000	96.659050	153.5545
182.500000	96.594589	153.6783
185.000000	96.524818	153.7845
187.500000	96.456314	153.8743
190.000000	96.388969	153.9878
192.500000	96.327690	154.1083
195.000000	96.262650	154.2281
197.500000	96.200836	154.3533
200.000000	96.138557	154.4875
203.000000	96.065598	154.6540
206.000000	95.994385	154.8076
209.000000	95.923615	154.9788
212.000000	95.855766	155.1476
214.000000	95.811440	155.2834
218.000000	95.723228	155.4927
220.000000	95.680893	155.6347
224.000000	95.596504	155.8887
227.000000	95.537468	156.0643
230.000000	95.477570	156.2551
233.000000	95.416840	156.4649
236.000000	95.359116	156.6658
240.000000	95.271263	156.8246
243.000000	95.227623	157.1156
247.000000	95.153427	157.3942
250.000000	95.094406	157.5931
254.000000	95.026573	157.8309
258.000000	94.957359	158.1406
262.000000	94.885849	158.4137
265.000000	94.839600	158.6324
269.000000	94.774750	158.9058
272.000000	94.727341	159.1437
276.000000	94.659424	159.4353
280.000000	94.599083	159.7592
285.000000	94.522957	160.1367
290.000000	94.451416	160.5093
295.000000	94.381447	160.9122
300.000000	94.318169	161.2815
304.000000	94.253471	161.5941
307.000000	94.207748	161.8457
311.000000	94.155563	162.1990
315.000000	94.105446	162.5210
320.000000	94.037811	162.9462
325.000000	93.976929	163.3952
330.000000	93.919579	163.9191
335.000000	93.864105	164.4329
340.000000	93.818695	164.9097
345.000000	93.788177	165.4175
350.000000	93.756493	165.9027
355.000000	93.734360	166.3135
360.000000	93.708733	166.6689
365.000000	93.688377	167.0335
370.000000	93.663971	167.3611
375.000000	93.631836	167.6284
382.000000	93.585251	168.0246
387.000000	93.543930	168.3134
395.000000	93.475487	168.8419
400.000000	93.440895	169.1942
406.000000	93.399414	169.6066
412.000000	93.361450	170.0199
418.000000	93.322823	170.3984
425.000000	93.275215	170.8721
431.000000	93.237663	171.2486
437.000000	93.193848	171.6620
444.000000	93.150444	172.1393
450.000000	93.114204	172.5653
455.000000	93.080238	172.9052
462.000000	93.042168	173.4052
468.000000	93.011665	173.8098
475.000000	92.970299	174.3090
