* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 8, 2024 5:13:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.875336	-170.5188
20.600000	104.874741	-171.1079
20.900000	104.867004	-171.6371
21.200001	104.856895	-172.1583
21.400000	104.849884	-172.5023
21.799999	104.836433	-173.1827
22.000000	104.830177	-173.5189
22.400000	104.818260	-174.1839
22.700001	104.809067	-174.6773
23.000000	104.798927	-175.1671
23.299999	104.787331	-175.6532
23.600000	104.774239	-176.1347
24.000000	104.755203	-176.7666
24.299999	104.740784	-177.2315
24.700001	104.722755	-177.8397
25.000000	104.710503	-178.2879
25.400000	104.695358	-178.8752
25.799999	104.680054	-179.4468
26.200001	104.663200	-179.9966
26.500000	104.649300	179.6071
26.900000	104.629501	179.0962
27.200001	104.614052	178.7202
27.600000	104.592743	178.2184
28.000000	104.570351	177.7119
28.500000	104.540627	177.0800
29.000000	104.510460	176.4696
29.500000	104.482147	175.8898
30.000000	104.455780	175.3298
30.400000	104.434258	174.8881
30.700001	104.416817	174.5604
31.100000	104.391464	174.1324
31.500000	104.364777	173.7176
32.000000	104.332069	173.2122
32.500000	104.301208	172.7053
33.000000	104.270088	172.1904
33.500000	104.236153	171.6831
34.000000	104.199722	171.2073
34.500000	104.163757	170.7688
35.000000	104.130569	170.3478
35.500000	104.099442	169.9194
36.000000	104.067680	169.4747
36.500000	104.033325	169.0236
37.000000	103.996704	168.5836
37.500000	103.959641	168.1653
38.200001	103.910217	167.6129
38.700001	103.876999	167.2287
39.500000	103.822983	166.6126
40.000000	103.785912	166.2334
40.599998	103.738510	165.8017
41.200001	103.691605	165.3961
41.799999	103.647423	164.9973
42.500000	103.596840	164.5230
43.099998	103.551598	164.1212
43.700001	103.505501	163.7369
44.400002	103.452805	163.2998
