* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 8, 2024 5:14:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.993919	-160.4809
20.600000	104.000153	-161.1688
20.900000	103.999649	-161.7993
21.200001	103.998299	-162.4441
21.400000	103.997719	-162.8864
21.799999	103.996689	-163.7899
22.000000	103.995743	-164.2408
22.400000	103.992477	-165.1143
22.700001	103.989197	-165.7254
23.000000	103.985916	-166.2963
23.299999	103.982849	-166.8362
23.600000	103.979401	-167.3605
24.000000	103.971832	-168.0581
24.299999	103.962601	-168.5841
24.700001	103.946083	-169.2791
25.000000	103.933281	-169.7857
25.400000	103.920624	-170.4386
25.799999	103.916603	-171.0818
26.200001	103.919533	-171.7379
26.500000	103.922462	-172.2431
26.900000	103.921684	-172.9194
27.200001	103.915314	-173.4118
27.600000	103.899559	-174.0266
28.000000	103.879005	-174.5894
28.500000	103.853043	-175.2468
29.000000	103.830399	-175.9023
29.500000	103.809921	-176.5793
30.000000	103.789253	-177.2643
30.400000	103.772041	-177.8011
30.700001	103.758774	-178.1911
31.100000	103.740761	-178.6930
31.500000	103.722389	-179.1779
32.000000	103.698662	-179.7716
32.500000	103.673492	179.6370
33.000000	103.646294	179.0457
33.500000	103.617523	178.4650
34.000000	103.588951	177.9059
34.500000	103.561859	177.3690
35.000000	103.535286	176.8484
35.500000	103.507004	176.3448
36.000000	103.476517	175.8640
36.500000	103.445694	175.4016
37.000000	103.416328	174.9368
37.500000	103.387695	174.4506
38.200001	103.344826	173.7480
38.700001	103.312157	173.2672
39.500000	103.262337	172.5768
40.000000	103.234100	172.1809
40.599998	103.200562	171.7142
41.200001	103.164307	171.2418
41.799999	103.124176	170.7631
42.500000	103.074631	170.2157
43.099998	103.033829	169.7682
43.700001	102.996063	169.3307
44.400002	102.951096	168.8182
45.000000	102.908592	168.3922
45.500000	102.872643	168.0568
46.200001	102.826050	167.5988
46.799999	102.787979	167.1982
47.500000	102.740456	166.7411
48.200001	102.689896	166.3157
48.700001	102.653183	166.0169
49.400002	102.600952	165.5894
50.000000	102.557602	165.2245
50.799999	102.505119	164.7418
51.500000	102.457397	164.3297
52.200001	102.404259	163.9780
53.000000	102.350418	163.6299
53.799999	102.306686	163.2046
54.500000	102.262840	162.7892
55.200001	102.212959	162.4543
56.000000	102.159485	162.1730
57.000000	102.088699	161.7766
58.000000	102.003464	161.3114
59.000000	101.939888	160.8293
60.000000	101.891785	160.3179
60.799999	101.839310	160.0439
61.500000	101.787697	159.8932
62.200001	101.733376	159.6842
63.000000	101.668327	159.3402
64.000000	101.603081	158.9163
65.000000	101.549530	158.5973
66.000000	101.477844	158.3650
67.000000	101.401978	158.0487
68.000000	101.340981	157.6444
69.000000	101.286118	157.3525
70.000000	101.220512	157.1698
71.000000	101.148132	156.9110
72.000000	101.082733	156.6072
73.000000	101.026535	156.3619
74.000000	100.960434	156.1451
75.000000	100.892128	155.9284
76.199997	100.821793	155.6247
77.500000	100.742477	155.3571
78.800003	100.662735	155.0986
80.000000	100.591507	154.9014
81.199997	100.518654	154.6837
82.500000	100.431679	154.4713
83.800003	100.362717	154.2448
85.000000	100.291168	154.0386
86.199997	100.223808	153.8889
87.500000	100.149780	153.6831
88.500000	100.090324	153.5588
90.000000	100.006989	153.3838
91.199997	99.941330	153.2349
92.500000	99.870316	153.0912
93.800003	99.797142	152.9662
95.000000	99.730324	152.8490
96.199997	99.669197	152.7300
97.500000	99.602097	152.6358
98.800003	99.529694	152.5085
100.000000	99.467636	152.4407
101.500000	99.394005	152.3529
103.000000	99.315170	152.2631
104.400002	99.251442	152.1332
106.000000	99.168884	152.0784
107.500000	99.092049	152.0205
109.000000	99.022652	151.9717
110.599998	98.946815	151.9069
112.000000	98.878868	151.8348
113.800003	98.793709	151.7908
115.000000	98.741020	151.7762
117.199997	98.647018	151.7280
118.000000	98.611702	151.7302
120.599998	98.489159	151.7384
122.000000	98.427734	151.6744
124.099998	98.344406	151.6973
125.000000	98.307571	151.7180
126.500000	98.240746	151.7522
128.000000	98.180618	151.7127
131.500000	98.046043	151.7698
132.000000	98.023773	151.7809
134.000000	97.940292	151.8195
