* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 24, 2025 2:07:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.183	-153.8410
20.600000	97.187	-154.4297
20.900000	97.186	-154.9527
21.200001	97.185	-155.4642
21.400000	97.187	-155.8025
21.799999	97.201	-156.4956
22.000000	97.213	-156.8630
22.400000	97.240	-157.6591
22.700001	97.259	-158.3112
23.000000	97.271	-158.9903
23.299999	97.275	-159.6677
23.600000	97.274	-160.3176
24.000000	97.269	-161.1259
24.299999	97.267	-161.7015
24.700001	97.267	-162.4524
25.000000	97.263	-162.9966
25.400000	97.252	-163.6477
25.799999	97.235	-164.1430
26.200001	97.229	-164.4779
26.500000	97.239	-164.6852
26.900000	97.268	-165.0353
27.200001	97.292	-165.4194
27.600000	97.308	-166.0948
28.000000	97.296	-166.8556
28.500000	97.248	-167.7043
29.000000	97.202	-168.3246
29.500000	97.187	-168.8311
30.000000	97.195	-169.3982
30.400000	97.201	-169.9106
30.700001	97.201	-170.2956
31.100000	97.196	-170.7733
31.500000	97.193	-171.2132
32.000000	97.196	-171.7776
32.500000	97.195	-172.4125
33.000000	97.175	-173.0593
33.500000	97.140	-173.6038
34.000000	97.108	-174.0116
34.500000	97.093	-174.3682
35.000000	97.095	-174.7791
35.500000	97.100	-175.2624
36.000000	97.098	-175.7704
36.500000	97.087	-176.2782
37.000000	97.062	-176.7921
37.500000	97.022	-177.2831
38.200001	96.972	-177.8103
38.700001	96.976	-178.1010
39.500000	97.050	-178.7753
40.000000	97.075	-179.3517
40.599998	97.036	-179.8890
41.200001	96.957	179.9326
41.799999	96.906	179.8162
42.500000	96.889	179.1897
43.099998	96.860	178.3902
43.700001	96.823	177.8550
44.400002	96.819	177.5225
45.000000	96.813	177.0670
45.500000	96.771	176.6484
46.200001	96.707	176.4074
46.799999	96.727	176.2522
47.500000	96.749	175.5443
48.200001	96.637	174.9741
48.700001	96.546	175.1049
49.400002	96.543	175.2738
50.000000	96.592	174.7294
50.799999	96.579	173.7617
51.500000	96.500	173.3199
52.200001	96.363	173.1524
53.000000	96.271	173.3210
53.799999	96.420	172.3751
54.500000	96.470	170.4378
55.200001	96.315	169.9089
56.000000	96.259	171.2989
57.000000	96.293	171.0361
58.000000	96.111	170.2868
59.000000	96.157	170.0618
60.000000	96.150	169.3332
60.799999	96.082	169.0182
61.500000	96.035	168.6176
62.200001	95.991	168.2763
63.000000	95.955	168.1397
64.000000	95.900	168.1225
65.000000	95.875	167.8084
66.000000	95.838	167.0352
67.000000	95.783	166.7632
68.000000	95.764	166.5470
69.000000	95.735	166.0017
70.000000	95.672	165.5746
71.000000	95.618	165.5136
72.000000	95.572	165.1929
73.000000	95.515	164.9116
74.000000	95.493	164.6550
75.000000	95.433	164.3680
76.199997	95.363	164.0961
77.500000	95.304	163.7826
78.800003	95.255	163.3628
80.000000	95.178	163.0434
81.199997	95.151	162.8419
82.500000	95.096	162.6327
83.800003	95.033	162.3776
85.000000	94.976	162.1143
86.199997	94.933	161.9021
87.500000	94.878	161.6876
88.500000	94.821	161.4919
90.000000	94.774	161.1940
91.199997	94.703	161.1846
92.500000	94.652	161.0796
93.800003	94.584	160.5677
95.000000	94.563	160.3308
96.199997	94.495	160.2841
97.500000	94.436	160.1706
98.800003	94.385	159.8970
100.000000	94.338	159.7872
101.500000	94.269	159.6559
103.000000	94.227	159.4761
104.400002	94.156	159.2319
106.000000	94.092	159.1885
107.500000	94.028	159.0437
109.000000	93.972	158.8646
110.599998	93.917	158.8195
112.000000	93.860	158.6032
113.800003	93.782	158.5111
115.000000	93.728	158.4312
117.199997	93.659	158.2964
118.000000	93.622	158.3339
120.599998	93.531	157.9316
122.000000	93.484	158.0546
124.099998	93.391	157.8933
125.000000	93.368	157.8745
126.500000	93.311	157.8644
128.000000	93.260	157.7538
131.500000	93.137	157.6840
132.000000	93.113	157.6731
134.000000	93.044	157.6599
136.000000	92.971	157.6226
138.000000	92.897	157.4437
140.000000	92.845	157.6111
143.000000	92.737	157.6290
145.000000	92.661	157.7281
147.500000	92.578	157.7624
150.000000	92.475	157.8326
152.500000	92.416	157.8738
155.000000	92.342	157.9094
157.500000	92.274	158.2151
160.000000	92.203	158.2896
162.500000	92.172	158.6019
165.000000	92.134	158.7572
167.500000	92.088	158.6310
170.000000	92.051	158.7119
172.500000	91.986	158.7029
175.000000	91.928	158.6589
177.500000	91.881	158.7003
180.000000	91.782	158.7327
182.500000	91.748	158.7715
185.000000	91.704	158.6909
187.500000	91.628	158.9244
190.000000	91.576	158.9763
192.500000	91.515	159.1007
195.000000	91.466	159.1495
197.500000	91.401	159.2643
200.000000	91.345	159.3940
203.000000	91.282	159.4967
206.000000	91.220	159.6872
209.000000	91.161	159.7914
212.000000	91.095	159.9818
214.000000	91.057	160.0829
218.000000	90.981	160.3640
220.000000	90.941	160.4530
224.000000	90.863	160.6841
227.000000	90.812	160.8513
230.000000	90.755	161.0054
233.000000	90.698	161.2592
236.000000	90.641	161.3914
240.000000	90.595	161.5424
243.000000	90.532	161.8699
247.000000	90.476	162.1827
250.000000	90.426	162.3295
254.000000	90.363	162.6334
258.000000	90.306	162.8696
262.000000	90.250	163.1816
265.000000	90.213	163.3967
269.000000	90.151	163.6742
272.000000	90.113	163.8556
276.000000	90.058	164.1423
280.000000	90.006	164.4764
285.000000	89.942	164.8273
290.000000	89.892	165.1895
295.000000	89.837	165.5851
300.000000	89.773	165.8798
304.000000	89.740	166.2389
307.000000	89.705	166.4905
311.000000	89.664	166.7793
315.000000	89.621	167.0445
320.000000	89.574	167.4291
325.000000	89.531	167.8169
330.000000	89.481	168.1356
335.000000	89.432	168.5051
340.000000	89.390	168.8909
345.000000	89.356	169.2378
350.000000	89.309	169.6570
355.000000	89.266	170.0468
360.000000	89.238	170.3852
365.000000	89.195	170.7588
370.000000	89.159	171.1477
375.000000	89.124	171.5121
382.000000	89.078	172.0562
387.000000	89.048	172.4391
395.000000	89.005	173.0427
