* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 24, 2025 2:09:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.845	-162.2681
20.600000	97.875	-162.8551
20.900000	97.899	-163.4623
21.200001	97.912	-164.1187
21.400000	97.912	-164.5605
21.799999	97.894	-165.3741
22.000000	97.880	-165.7178
22.400000	97.852	-166.2676
22.700001	97.841	-166.5986
23.000000	97.841	-166.9262
23.299999	97.850	-167.3097
23.600000	97.862	-167.7829
24.000000	97.869	-168.5389
24.299999	97.862	-169.1455
24.700001	97.841	-169.9170
25.000000	97.822	-170.4279
25.400000	97.802	-171.0125
25.799999	97.790	-171.5258
26.200001	97.783	-172.0119
26.500000	97.776	-172.3694
26.900000	97.761	-172.8311
27.200001	97.745	-173.1620
27.600000	97.724	-173.5895
28.000000	97.705	-174.0222
28.500000	97.689	-174.6022
29.000000	97.679	-175.2198
29.500000	97.668	-175.8215
30.000000	97.655	-176.3452
30.400000	97.643	-176.6973
30.700001	97.634	-176.9359
31.100000	97.623	-177.2509
31.500000	97.612	-177.6002
32.000000	97.597	-178.1180
32.500000	97.579	-178.7089
33.000000	97.557	-179.3029
33.500000	97.536	-179.8352
34.000000	97.516	179.7132
34.500000	97.496	179.3174
35.000000	97.473	178.9391
35.500000	97.447	178.5501
36.000000	97.423	178.1285
36.500000	97.402	177.6603
37.000000	97.383	177.1652
37.500000	97.362	176.7049
38.200001	97.333	176.2181
38.700001	97.317	175.9482
39.500000	97.295	175.4369
40.000000	97.269	175.0428
40.599998	97.227	174.5734
41.200001	97.188	174.1331
41.799999	97.159	173.6890
42.500000	97.137	173.1592
43.099998	97.121	172.7122
43.700001	97.094	172.3126
44.400002	97.041	172.0439
45.000000	97.008	171.9264
45.500000	96.996	171.6786
46.200001	96.966	171.0013
46.799999	96.914	170.5110
47.500000	96.895	170.3525
48.200001	96.926	170.0793
48.700001	96.908	169.6605
49.400002	96.800	169.2879
50.000000	96.728	169.2817
50.799999	96.726	168.9130
51.500000	96.691	168.1920
52.200001	96.599	167.9266
53.000000	96.548	168.0718
53.799999	96.559	167.7244
54.500000	96.548	167.0179
55.200001	96.503	166.4561
56.000000	96.453	166.2813
57.000000	96.421	165.9700
58.000000	96.337	165.4025
59.000000	96.310	165.0898
60.000000	96.256	164.5739
60.799999	96.181	164.6152
61.500000	96.176	164.4670
62.200001	96.137	163.8789
63.000000	96.039	163.6842
64.000000	96.055	163.7859
65.000000	96.025	162.9482
66.000000	95.907	162.7517
67.000000	95.884	162.5360
68.000000	95.819	162.0822
69.000000	95.765	161.9450
70.000000	95.727	161.6542
71.000000	95.665	161.3314
72.000000	95.615	161.1041
73.000000	95.578	160.8287
74.000000	95.518	160.6049
75.000000	95.467	160.4543
76.199997	95.411	160.0816
77.500000	95.348	159.8021
78.800003	95.279	159.5255
80.000000	95.221	159.3667
81.199997	95.158	159.1273
82.500000	95.094	158.9006
83.800003	95.027	158.6208
85.000000	94.974	158.4594
86.199997	94.921	158.2975
87.500000	94.857	158.0808
88.500000	94.808	157.9384
90.000000	94.742	157.7361
91.199997	94.684	157.6045
92.500000	94.620	157.4361
93.800003	94.559	157.2793
95.000000	94.501	157.1872
96.199997	94.447	157.0322
97.500000	94.389	156.8590
98.800003	94.333	156.7592
100.000000	94.281	156.6561
101.500000	94.213	156.4843
103.000000	94.152	156.3831
104.400002	94.089	156.2457
106.000000	94.022	156.1372
107.500000	93.952	156.0684
109.000000	93.893	155.9112
110.599998	93.827	155.9329
112.000000	93.776	155.7245
113.800003	93.697	155.7665
115.000000	93.648	155.6810
117.199997	93.561	155.4873
118.000000	93.520	155.5392
120.599998	93.401	155.5386
122.000000	93.366	155.3711
124.099998	93.288	155.3899
125.000000	93.248	155.3586
126.500000	93.203	155.3782
128.000000	93.140	155.3596
131.500000	93.012	155.3363
132.000000	92.996	155.3348
134.000000	92.929	155.3113
136.000000	92.848	155.4395
138.000000	92.786	155.3638
140.000000	92.715	155.5047
143.000000	92.617	155.5045
145.000000	92.546	155.4847
147.500000	92.465	155.6032
150.000000	92.385	155.6072
152.500000	92.310	155.8755
155.000000	92.231	155.9207
157.500000	92.154	156.0073
160.000000	92.101	156.1441
162.500000	92.013	156.2410
165.000000	91.952	156.2999
167.500000	91.875	156.4562
170.000000	91.801	156.6198
172.500000	91.736	156.8027
175.000000	91.678	157.0179
177.500000	91.625	157.3030
180.000000	91.551	157.3828
182.500000	91.539	157.5213
185.000000	91.495	157.6468
187.500000	91.432	157.7310
190.000000	91.391	157.7468
192.500000	91.337	157.8516
195.000000	91.277	157.9998
197.500000	91.230	158.1378
200.000000	91.170	158.2830
203.000000	91.112	158.4413
206.000000	91.049	158.5858
209.000000	90.987	158.7865
212.000000	90.927	158.9561
214.000000	90.884	159.0272
218.000000	90.807	159.3068
220.000000	90.765	159.4554
224.000000	90.695	159.7069
227.000000	90.632	159.9631
230.000000	90.577	160.1817
233.000000	90.521	160.3235
236.000000	90.480	160.5836
240.000000	90.427	160.9469
243.000000	90.368	161.1068
247.000000	90.301	161.4431
250.000000	90.257	161.6264
254.000000	90.203	161.9240
258.000000	90.131	162.2304
262.000000	90.074	162.4973
265.000000	90.032	162.7766
269.000000	89.980	163.0677
272.000000	89.935	163.3117
276.000000	89.877	163.6425
280.000000	89.830	163.9809
285.000000	89.765	164.4387
290.000000	89.702	164.9087
295.000000	89.654	165.3657
300.000000	89.610	165.8859
304.000000	89.581	166.1047
307.000000	89.556	166.3295
311.000000	89.529	166.6520
315.000000	89.495	166.8765
320.000000	89.444	167.2040
325.000000	89.406	167.5341
330.000000	89.369	167.8452
335.000000	89.317	168.2852
340.000000	89.268	168.6615
345.000000	89.226	168.9822
350.000000	89.182	169.3754
355.000000	89.148	169.7026
360.000000	89.113	170.1339
365.000000	89.063	170.4930
370.000000	89.034	170.8378
375.000000	89.001	171.2422
382.000000	88.952	171.7357
