* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 11, 2025 8:12:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.620	11.2063
20.299999	105.619	10.6364
20.600000	105.618	10.0719
20.900000	105.615	9.5107
21.200001	105.612	8.9527
21.400000	105.608	8.5835
21.799999	105.598	7.8604
22.000000	105.591	7.5106
22.400000	105.577	6.8406
22.700001	105.566	6.3645
23.000000	105.556	5.9047
23.299999	105.549	5.4515
23.600000	105.543	4.9952
24.000000	105.534	4.3746
24.299999	105.524	3.9049
24.700001	105.508	3.2898
25.000000	105.494	2.8482
25.400000	105.474	2.2905
25.799999	105.457	1.7565
26.200001	105.442	1.2269
26.500000	105.430	0.8259
26.900000	105.413	0.2896
27.200001	105.399	-0.1066
27.600000	105.378	-0.6174
28.000000	105.357	-1.1068
28.500000	105.333	-1.7001
29.000000	105.310	-2.2899
29.500000	105.285	-2.8789
30.000000	105.259	-3.4562
30.400000	105.237	-3.9040
30.700001	105.220	-4.2321
31.100000	105.198	-4.6630
31.500000	105.176	-5.0915
32.000000	105.148	-5.6256
32.500000	105.117	-6.1497
33.000000	105.085	-6.6500
33.500000	105.053	-7.1253
34.000000	105.023	-7.5924
34.500000	104.994	-8.0666
35.000000	104.963	-8.5427
35.500000	104.928	-9.0016
36.000000	104.894	-9.4356
36.500000	104.863	-9.8590
37.000000	104.832	-10.2891
37.500000	104.799	-10.7237
38.200001	104.748	-11.3078
38.700001	104.713	-11.7002
39.500000	104.658	-12.3147
40.000000	104.624	-12.6978
40.599998	104.582	-13.1482
41.200001	104.540	-13.5879
41.799999	104.498	-14.0224
42.500000	104.447	-14.5155
43.099998	104.403	-14.9200
43.700001	104.361	-15.3191
44.400002	104.310	-15.7867
45.000000	104.264	-16.1736
45.500000	104.225	-16.4784
46.200001	104.173	-16.8922
46.799999	104.130	-17.2496
47.500000	104.077	-17.6631
48.200001	104.022	-18.0583
48.700001	103.984	-18.3310
49.400002	103.931	-18.7077
50.000000	103.885	-19.0278
50.799999	103.823	-19.4468
51.500000	103.767	-19.8006
52.200001	103.712	-20.1401
53.000000	103.650	-20.5183
53.799999	103.587	-20.8947
54.500000	103.531	-21.2141
55.200001	103.474	-21.5135
56.000000	103.412	-21.8448
57.000000	103.334	-22.2690
58.000000	103.254	-22.6658
59.000000	103.177	-23.0492
60.000000	103.096	-23.4326
60.799999	103.030	-23.6970
61.500000	102.977	-23.9227
62.200001	102.922	-24.1569
63.000000	102.857	-24.3990
64.000000	102.780	-24.6884
65.000000	102.697	-25.0004
66.000000	102.612	-25.2500
67.000000	102.536	-25.4937
68.000000	102.462	-25.7758
69.000000	102.382	-26.0996
70.000000	102.297	-26.3571
71.000000	102.219	-26.5867
72.000000	102.140	-26.7625
73.000000	102.078	-26.9391
74.000000	101.998	-27.1967
75.000000	101.914	-27.3244
76.199997	101.791	-27.4935
77.500000	101.708	-27.1705
78.800003	101.661	-27.7260
80.000000	101.527	-27.9805
81.199997	101.434	-28.1295
82.500000	101.336	-28.2729
83.800003	101.243	-28.4533
85.000000	101.157	-28.5428
86.199997	101.071	-28.6137
87.500000	100.980	-28.6713
88.500000	100.907	-28.7175
90.000000	100.801	-28.7658
91.199997	100.717	-28.8249
92.500000	100.621	-28.8659
93.800003	100.532	-28.8461
95.000000	100.454	-28.8568
96.199997	100.370	-28.8539
97.500000	100.281	-28.8206
98.800003	100.196	-28.7980
100.000000	100.115	-28.7663
101.500000	100.020	-28.7202
103.000000	99.926	-28.6368
104.400002	99.841	-28.5938
106.000000	99.739	-28.4885
107.500000	99.648	-28.3822
109.000000	99.557	-28.2841
110.599998	99.464	-28.1369
112.000000	99.386	-28.0117
113.800003	99.280	-27.8206
115.000000	99.212	-27.6811
117.199997	99.087	-27.4486
118.000000	99.045	-27.3374
120.599998	98.899	-27.0619
122.000000	98.838	-26.8844
124.099998	98.735	-26.5789
125.000000	98.687	-26.4444
126.500000	98.617	-26.2134
128.000000	98.542	-25.9837
131.500000	98.382	-25.4433
132.000000	98.360	-25.3612
134.000000	98.276	-25.0511
136.000000	98.186	-24.7008
138.000000	98.102	-24.3601
140.000000	98.026	-24.0421
143.000000	97.909	-23.4971
145.000000	97.836	-23.1412
147.500000	97.747	-22.7302
150.000000	97.663	-22.2750
152.500000	97.589	-21.7685
155.000000	97.509	-21.1087
157.500000	97.393	-20.7669
160.000000	97.352	-20.4178
162.500000	97.298	-20.0273
165.000000	97.213	-19.4771
167.500000	97.142	-18.9557
170.000000	97.083	-18.4613
172.500000	97.015	-18.0313
175.000000	96.958	-17.5326
177.500000	96.901	-17.0244
180.000000	96.849	-16.5381
182.500000	96.798	-16.0179
185.000000	96.750	-15.5065
187.500000	96.708	-15.0212
190.000000	96.657	-14.4832
192.500000	96.616	-14.0099
195.000000	96.580	-13.7770
197.500000	96.554	-13.1393
200.000000	96.522	-12.5818
203.000000	96.500	-12.0374
206.000000	96.461	-11.6231
209.000000	96.429	-11.1031
212.000000	96.412	-10.7081
214.000000	96.382	-10.3333
218.000000	96.338	-9.7791
220.000000	96.316	-9.5456
224.000000	96.274	-8.8618
227.000000	96.250	-8.4089
230.000000	96.206	-7.9353
233.000000	96.114	-7.4699
236.000000	96.108	-7.0419
240.000000	96.128	-6.5439
243.000000	96.114	-6.0249
247.000000	96.092	-5.4899
250.000000	96.065	-5.0875
254.000000	96.039	-4.4602
258.000000	96.019	-3.9435
262.000000	96.003	-3.4497
265.000000	95.979	-3.0530
269.000000	95.965	-2.5750
272.000000	95.948	-2.1628
276.000000	95.930	-1.6588
280.000000	95.915	-1.2218
285.000000	95.888	-0.5768
290.000000	95.860	-0.0091
295.000000	95.857	0.6030
300.000000	95.831	1.1960
304.000000	95.835	1.6433
307.000000	95.814	1.9031
311.000000	95.799	2.3764
315.000000	95.764	2.7450
320.000000	95.766	3.2358
325.000000	95.754	3.7993
330.000000	95.737	4.3077
335.000000	95.719	4.8008
340.000000	95.701	5.3053
345.000000	95.687	5.7970
350.000000	95.668	6.2943
355.000000	95.653	6.7887
360.000000	95.637	7.2643
365.000000	95.623	7.7568
370.000000	95.607	8.2488
375.000000	95.593	8.7123
382.000000	95.576	9.3879
387.000000	95.558	9.8394
395.000000	95.545	10.5633
400.000000	95.528	11.0371
406.000000	95.513	11.5572
412.000000	95.500	12.1261
418.000000	95.480	12.6428
425.000000	95.464	13.2801
431.000000	95.458	13.8127
437.000000	95.441	14.3623
444.000000	95.427	14.9190
450.000000	95.418	15.4187
455.000000	95.403	15.8191
462.000000	95.386	16.3969
468.000000	95.368	16.8927
475.000000	95.345	17.4697
482.000000	95.324	18.0763
487.000000	95.315	18.4966
494.000000	95.294	19.0930
500.000000	95.273	19.6184
508.000000	95.256	20.2708
515.000000	95.235	20.8868
522.000000	95.216	21.4947
530.000000	95.199	22.1738
538.000000	95.174	22.8361
545.000000	95.159	23.4366
552.000000	95.141	24.0396
560.000000	95.121	24.7066
570.000000	95.086	25.5817
580.000000	95.058	26.4691
590.000000	95.025	27.2935
600.000000	95.001	28.2145
608.000000	94.989	28.9174
615.000000	94.971	29.5217
622.000000	94.954	30.1971
630.000000	94.934	30.8694
640.000000	94.909	31.7789
650.000000	94.887	32.7155
660.000000	94.862	33.6470
670.000000	94.836	34.6122
680.000000	94.821	35.5221
690.000000	94.788	36.5952
700.000000	94.776	37.3788
710.000000	94.751	38.3783
720.000000	94.763	39.4434
730.000000	94.741	40.3971
740.000000	94.717	41.4811
750.000000	94.702	42.3205
762.000000	94.695	43.7971
775.000000	94.703	45.0421
788.000000	94.689	46.4047
800.000000	94.705	47.8086
812.000000	94.716	49.0326
825.000000	94.735	50.4399
838.000000	94.749	51.9317
850.000000	94.780	53.2740
862.000000	94.821	54.6027
875.000000	94.879	56.0580
885.000000	94.923	57.1726
900.000000	95.019	58.6093
912.000000	95.099	59.7672
925.000000	95.194	60.8946
938.000000	95.280	62.0382
950.000000	95.345	62.8676
962.000000	95.413	63.7215
975.000000	95.465	64.5555
988.000000	95.520	65.4734
1000.000000	95.565	66.3734
1015.000000	95.615	67.5197
1030.000000	95.680	68.6552
1044.000000	95.736	69.7369
1060.000000	95.805	70.9520
1075.000000	95.876	72.0807
1090.000000	95.953	73.2298
1106.000000	96.039	74.3695
1120.000000	96.110	75.3404
1138.000000	96.210	76.5794
1150.000000	96.278	77.3527
1172.000000	96.392	78.7335
1180.000000	96.433	79.2137
1206.000000	96.566	80.7506
