* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 8, 2025 5:35:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.888	-149.6062
20.299999	104.914	-150.3062
20.600000	104.927	-151.0114
20.900000	104.923	-151.6560
21.200001	104.910	-152.1671
21.400000	104.902	-152.4067
21.799999	104.911	-152.6841
22.000000	104.935	-152.7774
22.400000	105.028	-153.0499
22.700001	105.121	-153.4814
23.000000	105.211	-154.1551
23.299999	105.277	-155.0215
23.600000	105.307	-155.9630
24.000000	105.291	-157.0893
24.299999	105.257	-157.7170
24.700001	105.217	-158.2485
25.000000	105.207	-158.5222
25.400000	105.219	-158.9024
25.799999	105.240	-159.4084
26.200001	105.246	-159.9811
26.500000	105.240	-160.3691
26.900000	105.230	-160.7698
27.200001	105.233	-161.0052
27.600000	105.255	-161.3431
28.000000	105.288	-161.8071
28.500000	105.315	-162.5651
29.000000	105.311	-163.3292
29.500000	105.293	-163.9433
30.000000	105.287	-164.4481
30.400000	105.293	-164.8638
30.700001	105.299	-165.2068
31.100000	105.302	-165.6894
31.500000	105.298	-166.1561
32.000000	105.291	-166.6730
32.500000	105.290	-167.1342
33.000000	105.295	-167.5940
33.500000	105.301	-168.0741
34.000000	105.304	-168.5571
34.500000	105.304	-169.0245
35.000000	105.304	-169.4750
35.500000	105.303	-169.9145
36.000000	105.302	-170.3488
36.500000	105.301	-170.7840
37.000000	105.299	-171.2251
37.500000	105.295	-171.6680
38.200001	105.286	-172.2715
38.700001	105.278	-172.6839
39.500000	105.267	-173.3090
40.000000	105.262	-173.6735
40.599998	105.260	-174.1024
41.200001	105.261	-174.5603
41.799999	105.255	-175.0330
42.500000	105.239	-175.5088
43.099998	105.231	-175.8469
43.700001	105.230	-176.2097
44.400002	105.223	-176.6899
45.000000	105.208	-177.0835
45.500000	105.195	-177.3931
46.200001	105.176	-177.8316
46.799999	105.154	-178.1783
47.500000	105.138	-178.5244
48.200001	105.136	-178.9326
48.700001	105.132	-179.2963
49.400002	105.114	-179.8021
50.000000	105.097	179.8167
50.799999	105.080	179.3153
51.500000	105.059	178.8784
52.200001	105.033	178.5120
53.000000	105.010	178.2118
53.799999	105.011	177.9006
54.500000	105.009	177.4498
