* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 8, 2025 5:38:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.494	-149.3017
20.299999	105.509	-149.9782
20.600000	105.519	-150.5968
20.900000	105.528	-151.1471
21.200001	105.544	-151.6483
21.400000	105.559	-151.9765
21.799999	105.596	-152.6727
22.000000	105.614	-153.0533
22.400000	105.644	-153.8648
22.700001	105.654	-154.4741
23.000000	105.656	-155.0400
23.299999	105.655	-155.5386
23.600000	105.658	-155.9731
24.000000	105.673	-156.5073
24.299999	105.693	-156.9254
24.700001	105.723	-157.5524
25.000000	105.742	-158.0691
25.400000	105.755	-158.7757
25.799999	105.757	-159.4417
26.200001	105.755	-160.0349
26.500000	105.754	-160.4370
26.900000	105.758	-160.9410
27.200001	105.763	-161.3096
27.600000	105.772	-161.7990
28.000000	105.783	-162.2869
28.500000	105.796	-162.8921
29.000000	105.808	-163.4941
29.500000	105.820	-164.0968
30.000000	105.828	-164.6987
30.400000	105.832	-165.1749
30.700001	105.833	-165.5244
31.100000	105.831	-165.9725
31.500000	105.828	-166.3925
32.000000	105.826	-166.8795
32.500000	105.829	-167.3502
33.000000	105.836	-167.8423
33.500000	105.841	-168.3663
34.000000	105.840	-168.8964
34.500000	105.835	-169.4032
35.000000	105.829	-169.8799
35.500000	105.824	-170.3340
36.000000	105.819	-170.7654
36.500000	105.818	-171.1716
37.000000	105.821	-171.5714
37.500000	105.829	-172.0008
38.200001	105.834	-172.6671
38.700001	105.828	-173.1384
39.500000	105.811	-173.7924
40.000000	105.805	-174.1706
40.599998	105.798	-174.6465
41.200001	105.784	-175.1193
41.799999	105.768	-175.5406
42.500000	105.757	-175.9996
43.099998	105.750	-176.4211
43.700001	105.740	-176.8460
44.400002	105.730	-177.3098
45.000000	105.726	-177.7319
45.500000	105.718	-178.1127
