* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 1, 2026 7:54:02 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.851	-142.9201
20.299999	104.899	-143.5611
20.600000	104.946	-144.2502
20.900000	104.988	-144.9793
21.200001	105.021	-145.7258
21.400000	105.039	-146.2185
21.799999	105.063	-147.1584
22.000000	105.073	-147.5956
22.400000	105.091	-148.4010
22.700001	105.107	-148.9562
23.000000	105.127	-149.4890
23.299999	105.150	-150.0176
23.600000	105.176	-150.5557
24.000000	105.209	-151.2940
24.299999	105.230	-151.8540
24.700001	105.251	-152.5838
25.000000	105.263	-153.0997
25.400000	105.277	-153.7307
25.799999	105.294	-154.3032
26.200001	105.317	-154.8488
26.500000	105.339	-155.2651
26.900000	105.369	-155.8515
27.200001	105.390	-156.3155
27.600000	105.410	-156.9433
28.000000	105.423	-157.5472
28.500000	105.435	-158.2346
29.000000	105.451	-158.8743
29.500000	105.472	-159.5279
30.000000	105.487	-160.2126
30.400000	105.493	-160.7493
30.700001	105.494	-161.1240
31.100000	105.496	-161.5796
31.500000	105.503	-162.0076
32.000000	105.518	-162.5589
32.500000	105.533	-163.1571
33.000000	105.541	-163.7696
33.500000	105.541	-164.3495
34.000000	105.541	-164.8875
34.500000	105.543	-165.4054
35.000000	105.546	-165.9164
35.500000	105.548	-166.4148
36.000000	105.551	-166.8997
36.500000	105.556	-167.3872
37.000000	105.559	-167.8882
37.500000	105.559	-168.3878
38.200001	105.555	-169.0418
38.700001	105.554	-169.4818
39.500000	105.554	-170.1999
40.000000	105.550	-170.6472
40.599998	105.541	-171.1373
41.200001	105.538	-171.5891
41.799999	105.538	-172.0587
42.500000	105.532	-172.6301
43.099998	105.523	-173.0880
43.700001	105.518	-173.5335
44.400002	105.509	-174.0916
45.000000	105.492	-174.5426
45.500000	105.480	-174.8598
46.200001	105.479	-175.3155
46.799999	105.477	-175.8157
47.500000	105.451	-176.3958
48.200001	105.423	-176.7918
48.700001	105.419	-177.0364
49.400002	105.424	-177.4991
50.000000	105.415	-177.9608
50.799999	105.391	-178.4972
51.500000	105.372	-178.9065
52.200001	105.353	-179.2855
53.000000	105.339	-179.6832
53.799999	105.330	179.8466
54.500000	105.309	179.4271
55.200001	105.291	179.0907
56.000000	105.284	178.6662
57.000000	105.262	178.0355
58.000000	105.240	177.4841
59.000000	105.211	176.8431
60.000000	105.164	176.4008
60.799999	105.152	176.1120
61.500000	105.143	175.7723
62.200001	105.128	175.4382
63.000000	105.112	175.0619
64.000000	105.080	174.5512
65.000000	105.042	174.1680
66.000000	105.019	173.7586
67.000000	104.986	173.3202
68.000000	104.957	172.9154
69.000000	104.925	172.4835
70.000000	104.893	172.1223
71.000000	104.870	171.6976
72.000000	104.828	171.2912
73.000000	104.797	171.0015
74.000000	104.773	170.6214
75.000000	104.739	170.2284
76.199997	104.689	169.8049
77.500000	104.651	169.4713
78.800003	104.616	168.9467
80.000000	104.574	168.5706
81.199997	104.533	168.1375
82.500000	104.489	167.8170
83.800003	104.455	167.3817
85.000000	104.413	167.0484
86.199997	104.374	166.6894
87.500000	104.329	166.3728
88.500000	104.299	166.0914
90.000000	104.244	165.6987
91.199997	104.202	165.3930
92.500000	104.159	165.0737
93.800003	104.110	164.7250
95.000000	104.070	164.4785
96.199997	104.034	164.1565
97.500000	103.985	163.8561
98.800003	103.940	163.5927
100.000000	103.901	163.3585
101.500000	103.853	163.0304
103.000000	103.797	162.7199
104.400002	103.747	162.4222
106.000000	103.692	162.1481
107.500000	103.642	161.8631
109.000000	103.596	161.6038
110.599998	103.541	161.3221
112.000000	103.491	161.0914
113.800003	103.429	160.8004
115.000000	103.388	160.5813
117.199997	103.316	160.2737
118.000000	103.287	160.1548
120.599998	103.214	159.7159
122.000000	103.155	159.6080
124.099998	103.081	159.3425
125.000000	103.052	159.2434
126.500000	103.003	159.0484
128.000000	102.950	158.8710
131.500000	102.836	158.4818
132.000000	102.820	158.4345
134.000000	102.755	158.2260
136.000000	102.690	158.0300
138.000000	102.628	157.8311
140.000000	102.564	157.6664
143.000000	102.470	157.4061
145.000000	102.406	157.2507
147.500000	102.323	157.0875
150.000000	102.246	156.8967
152.500000	102.169	156.7415
155.000000	102.097	156.5621
157.500000	102.017	156.4363
160.000000	101.941	156.2819
162.500000	101.869	156.1689
165.000000	101.798	156.0891
167.500000	101.725	155.9955
170.000000	101.650	155.9142
172.500000	101.579	155.8287
175.000000	101.506	155.7585
177.500000	101.439	155.6855
180.000000	101.359	155.6596
182.500000	101.295	155.5978
185.000000	101.229	155.5499
187.500000	101.157	155.5084
190.000000	101.090	155.4729
192.500000	101.024	155.4840
195.000000	100.951	155.5213
197.500000	100.893	155.5384
200.000000	100.816	155.5321
203.000000	100.743	155.6003
206.000000	100.661	155.6325
209.000000	100.586	155.7438
212.000000	100.526	155.9003
214.000000	100.483	155.9278
218.000000	100.415	156.0414
220.000000	100.379	156.0623
224.000000	100.292	156.0720
227.000000	100.231	156.0841
230.000000	100.167	156.1357
233.000000	100.099	156.1560
236.000000	100.039	156.2063
240.000000	99.958	156.1844
243.000000	99.891	156.3593
247.000000	99.806	156.4579
250.000000	99.737	156.5786
254.000000	99.666	156.6969
258.000000	99.591	156.8793
262.000000	99.510	156.9998
265.000000	99.454	157.0923
269.000000	99.379	157.2582
272.000000	99.322	157.3961
276.000000	99.249	157.5714
280.000000	99.181	157.7108
285.000000	99.091	157.9459
290.000000	99.004	158.1920
295.000000	98.922	158.4432
300.000000	98.833	158.6422
304.000000	98.776	158.8881
307.000000	98.724	159.0499
311.000000	98.667	159.2623
315.000000	98.596	159.4712
320.000000	98.521	159.7590
325.000000	98.450	160.0289
330.000000	98.381	160.3376
335.000000	98.308	160.5616
340.000000	98.235	160.9017
345.000000	98.172	161.2286
350.000000	98.103	161.5557
355.000000	98.039	161.8652
360.000000	97.983	162.2049
365.000000	97.908	162.4956
370.000000	97.851	162.8135
375.000000	97.784	163.1755
382.000000	97.710	163.6255
387.000000	97.654	163.9501
395.000000	97.563	164.5316
400.000000	97.517	164.8375
406.000000	97.450	165.3238
412.000000	97.386	165.7371
418.000000	97.328	166.1622
425.000000	97.263	166.6996
431.000000	97.214	167.0896
437.000000	97.165	167.4779
444.000000	97.109	167.9467
