* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 29, 2024 6:38:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.780869	15.1387
20.600000	102.779510	14.5994
20.900000	102.771889	14.1215
21.200001	102.764084	13.6498
21.400000	102.760101	13.3338
21.799999	102.755508	12.6929
22.000000	102.754486	12.3684
22.400000	102.753143	11.7190
22.700001	102.751167	11.2429
23.000000	102.747665	10.7850
23.299999	102.742760	10.3497
23.600000	102.737099	9.9361
24.000000	102.729607	9.4076
24.299999	102.724518	9.0183
24.700001	102.718239	8.4975
25.000000	102.713432	8.1045
25.400000	102.706444	7.5829
25.799999	102.698830	7.0736
26.200001	102.690918	6.5817
26.500000	102.684746	6.2233
26.900000	102.675674	5.7560
27.200001	102.667824	5.4117
27.600000	102.655792	4.9613
28.000000	102.642586	4.5216
28.500000	102.626114	3.9851
29.000000	102.610870	3.4567
29.500000	102.596100	2.9332
30.000000	102.580276	2.4196
30.400000	102.566544	2.0201
30.700001	102.555801	1.7275
31.100000	102.541321	1.3450
31.500000	102.527008	0.9685
32.000000	102.509666	0.5037
32.500000	102.493011	0.0462
33.000000	102.476532	-0.4019
33.500000	102.459274	-0.8378
34.000000	102.440483	-1.2581
34.500000	102.420387	-1.6623
35.000000	102.399948	-2.0549
35.500000	102.379959	-2.4420
36.000000	102.360855	-2.8268
36.500000	102.342751	-3.2115
37.000000	102.324905	-3.5996
37.500000	102.305405	-3.9911
38.200001	102.273102	-4.5196
38.700001	102.249313	-4.8629
39.500000	102.219604	-5.3800
40.000000	102.204796	-5.7223
40.599998	102.182892	-6.1512
41.200001	102.154434	-6.5546
41.799999	102.125084	-6.9189
42.500000	102.094109	-7.3436
43.099998	102.066963	-7.7268
43.700001	102.038254	-8.1001
44.400002	102.006920	-8.5086
45.000000	101.981323	-8.8529
45.500000	101.958549	-9.1365
46.200001	101.925339	-9.5188
46.799999	101.898277	-9.8445
47.500000	101.867355	-10.2338
48.200001	101.835999	-10.6077
48.700001	101.814743	-10.8616
49.400002	101.784851	-11.2265
50.000000	101.754593	-11.5488
50.799999	101.709412	-11.9476
51.500000	101.674095	-12.2687
52.200001	101.643188	-12.6045
53.000000	101.604523	-13.0113
53.799999	101.559708	-13.3943
54.500000	101.522316	-13.6846
55.200001	101.491447	-13.9588
56.000000	101.456833	-14.2905
57.000000	101.403076	-14.7069
58.000000	101.347900	-15.1309
59.000000	101.303558	-15.5539
60.000000	101.267601	-15.9778
60.799999	101.222809	-16.2926
61.500000	101.177032	-16.4982
62.200001	101.139008	-16.7168
63.000000	101.097313	-17.0425
64.000000	101.041718	-17.3869
65.000000	100.995522	-17.6993
66.000000	100.938057	-18.0694
67.000000	100.881218	-18.3928
68.000000	100.832153	-18.7206
69.000000	100.779129	-19.0257
70.000000	100.725662	-19.3194
71.000000	100.670441	-19.6136
72.000000	100.613907	-19.8873
73.000000	100.557846	-20.1563
74.000000	100.506088	-20.4327
75.000000	100.454765	-20.7002
76.199997	100.388931	-20.9853
77.500000	100.309052	-21.3012
78.800003	100.241081	-21.6168
80.000000	100.167770	-21.8444
81.199997	100.112991	-22.0280
82.500000	100.033913	-22.4295
83.800003	99.961601	-22.6723
85.000000	99.896133	-22.9187
86.199997	99.829681	-23.1166
87.500000	99.754089	-23.3580
88.500000	99.696892	-23.5209
90.000000	99.612350	-23.7633
91.199997	99.545349	-23.9420
92.500000	99.474861	-24.1209
93.800003	99.401299	-24.3072
95.000000	99.331635	-24.4320
96.199997	99.263351	-24.5922
97.500000	99.190628	-24.7503
98.800003	99.117416	-24.8757
100.000000	99.053146	-24.9677
101.500000	98.965225	-25.1252
103.000000	98.883278	-25.2443
104.400002	98.803780	-25.3389
106.000000	98.715172	-25.4164
