* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 29, 2024 6:36:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.792938	14.7537
20.600000	102.795929	14.2027
20.900000	102.791321	13.7320
21.200001	102.786034	13.2790
21.400000	102.783577	12.9772
21.799999	102.781113	12.3591
22.000000	102.780396	12.0408
22.400000	102.777977	11.3951
22.700001	102.774132	10.9185
23.000000	102.768791	10.4606
23.299999	102.762848	10.0260
23.600000	102.757286	9.6116
24.000000	102.750938	9.0752
24.299999	102.746124	8.6742
24.700001	102.737564	8.1367
25.000000	102.728638	7.7378
25.400000	102.713821	7.2255
25.799999	102.698425	6.7454
26.200001	102.685768	6.2905
26.500000	102.678978	5.9537
26.900000	102.672447	5.4940
27.200001	102.667801	5.1365
27.600000	102.659424	4.6506
28.000000	102.647591	4.1723
28.500000	102.629768	3.6127
29.000000	102.613098	3.0995
29.500000	102.599289	2.6094
30.000000	102.585655	2.1206
30.400000	102.572800	1.7325
30.700001	102.562019	1.4485
31.100000	102.547318	1.0821
31.500000	102.533821	0.7241
32.000000	102.518875	0.2723
32.500000	102.503479	-0.1910
33.000000	102.484955	-0.6476
33.500000	102.464081	-1.0746
34.000000	102.444008	-1.4713
34.500000	102.426071	-1.8594
35.000000	102.408302	-2.2587
35.500000	102.388130	-2.6691
36.000000	102.365105	-3.0760
36.500000	102.341026	-3.4681
37.000000	102.317932	-3.8443
37.500000	102.296631	-4.2086
38.200001	102.268951	-4.7009
38.700001	102.249916	-5.0381
39.500000	102.220078	-5.5602
40.000000	102.201065	-5.8885
40.599998	102.176086	-6.2906
41.200001	102.148598	-6.6878
41.799999	102.121292	-7.0662
42.500000	102.092308	-7.4939
43.099998	102.067398	-7.8631
43.700001	102.038971	-8.2282
44.400002	102.002663	-8.6314
45.000000	101.972816	-8.9610
45.500000	101.950356	-9.2348
46.200001	101.921204	-9.6256
46.799999	101.894775	-9.9639
47.500000	101.858543	-10.3432
48.200001	101.818832	-10.6924
48.700001	101.792358	-10.9346
49.400002	101.761017	-11.2971
50.000000	101.736618	-11.6355
50.799999	101.699989	-12.0652
51.500000	101.664696	-12.3571
