* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 8, 2025 5:24:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	113.590	-164.9381
20.299999	113.601	-165.4240
20.600000	113.611	-165.9036
20.900000	113.621	-166.3766
21.200001	113.629	-166.8416
21.400000	113.635	-167.1465
21.799999	113.644	-167.7434
22.000000	113.649	-168.0354
22.400000	113.658	-168.6089
22.700001	113.665	-169.0320
23.000000	113.671	-169.4509
23.299999	113.676	-169.8661
23.600000	113.680	-170.2765
24.000000	113.684	-170.8126
24.299999	113.686	-171.2032
24.700001	113.687	-171.7066
25.000000	113.688	-172.0727
25.400000	113.689	-172.5508
25.799999	113.691	-173.0242
26.200001	113.692	-173.4969
26.500000	113.692	-173.8505
26.900000	113.691	-174.3176
27.200001	113.689	-174.6627
27.600000	113.685	-175.1141
28.000000	113.681	-175.5554
28.500000	113.676	-176.0940
29.000000	113.671	-176.6224
29.500000	113.667	-177.1458
30.000000	113.661	-177.6658
30.400000	113.656	-178.0762
30.700001	113.652	-178.3781
31.100000	113.646	-178.7717
31.500000	113.640	-179.1574
32.000000	113.633	-179.6351
32.500000	113.625	179.8884
33.000000	113.616	179.4187
33.500000	113.605	178.9631
34.000000	113.593	178.5233
34.500000	113.581	178.0948
35.000000	113.569	177.6737
35.500000	113.557	177.2575
36.000000	113.544	176.8443
36.500000	113.530	176.4332
37.000000	113.516	176.0263
37.500000	113.500	175.6272
38.200001	113.478	175.0819
38.700001	113.462	174.6979
39.500000	113.436	174.0897
40.000000	113.420	173.7161
40.599998	113.399	173.2751
41.200001	113.378	172.8409
41.799999	113.356	172.4173
42.500000	113.330	171.9424
43.099998	113.309	171.5419
43.700001	113.289	171.1320
44.400002	113.262	170.6489
45.000000	113.235	170.2544
45.500000	113.213	169.9433
46.200001	113.184	169.5153
46.799999	113.159	169.1453
47.500000	113.128	168.7231
48.200001	113.097	168.3175
48.700001	113.075	168.0322
49.400002	113.045	167.6356
50.000000	113.019	167.2953
50.799999	112.981	166.8380
51.500000	112.945	166.4637
52.200001	112.912	166.1280
53.000000	112.880	165.7204
53.799999	112.844	165.2618
54.500000	112.804	164.8870
55.200001	112.766	164.5479
56.000000	112.725	164.1624
57.000000	112.673	163.6813
58.000000	112.618	163.2082
59.000000	112.568	162.7912
60.000000	112.527	162.2925
60.799999	112.477	161.8632
61.500000	112.429	161.5947
62.200001	112.395	161.3517
63.000000	112.357	161.0013
64.000000	112.298	160.5974
65.000000	112.245	160.2347
66.000000	112.190	159.8463
67.000000	112.135	159.4851
68.000000	112.078	159.1154
69.000000	112.021	158.7694
70.000000	111.964	158.4093
71.000000	111.904	158.0707
72.000000	111.847	157.7529
73.000000	111.790	157.4209
74.000000	111.730	157.1064
75.000000	111.671	156.8058
76.199997	111.600	156.4586
77.500000	111.523	156.0769
78.800003	111.443	155.7230
80.000000	111.370	155.4074
81.199997	111.298	155.1051
82.500000	111.220	154.7831
83.800003	111.142	154.4778
85.000000	111.068	154.2026
86.199997	110.994	153.9482
87.500000	110.916	153.6789
88.500000	110.854	153.4629
90.000000	110.760	153.1805
91.199997	110.687	152.9555
92.500000	110.607	152.7238
93.800003	110.526	152.5021
95.000000	110.452	152.3218
96.199997	110.379	152.1324
97.500000	110.297	151.9466
98.800003	110.216	151.7588
100.000000	110.141	151.6153
101.500000	110.052	151.4092
103.000000	109.956	151.2515
104.400002	109.872	151.1025
106.000000	109.774	150.9603
107.500000	109.680	150.8170
109.000000	109.587	150.7195
110.599998	109.490	150.6028
112.000000	109.404	150.5183
113.800003	109.295	150.4350
115.000000	109.222	150.3752
117.199997	109.087	150.3065
118.000000	109.040	150.2868
120.599998	108.879	150.2292
122.000000	108.800	150.2124
