* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 8, 2025 5:21:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	112.969	-161.7141
20.299999	112.980	-162.2411
20.600000	112.991	-162.7585
20.900000	113.000	-163.2639
21.200001	113.009	-163.7566
21.400000	113.015	-164.0786
21.799999	113.026	-164.7102
22.000000	113.032	-165.0211
22.400000	113.042	-165.6339
22.700001	113.049	-166.0848
23.000000	113.054	-166.5266
23.299999	113.060	-166.9585
23.600000	113.065	-167.3807
24.000000	113.071	-167.9308
24.299999	113.075	-168.3359
24.700001	113.080	-168.8679
25.000000	113.083	-169.2603
25.400000	113.085	-169.7727
25.799999	113.087	-170.2711
26.200001	113.089	-170.7569
26.500000	113.090	-171.1161
26.900000	113.092	-171.5931
27.200001	113.093	-171.9516
27.600000	113.093	-172.4285
28.000000	113.091	-172.8977
28.500000	113.086	-173.4618
29.000000	113.082	-174.0012
29.500000	113.080	-174.5328
30.000000	113.078	-175.0711
30.400000	113.075	-175.5022
30.700001	113.071	-175.8187
31.100000	113.064	-176.2248
31.500000	113.058	-176.6132
32.000000	113.051	-177.0871
32.500000	113.045	-177.5620
33.000000	113.038	-178.0363
33.500000	113.029	-178.4992
34.000000	113.019	-178.9467
34.500000	113.009	-179.3857
35.000000	112.999	-179.8226
35.500000	112.988	179.7443
36.000000	112.975	179.3199
36.500000	112.963	178.9052
37.000000	112.950	178.4966
37.500000	112.937	178.0911
38.200001	112.917	177.5303
38.700001	112.903	177.1389
39.500000	112.879	176.5310
40.000000	112.864	176.1574
40.599998	112.847	175.7098
41.200001	112.828	175.2645
41.799999	112.807	174.8297
42.500000	112.782	174.3448
43.099998	112.761	173.9463
43.700001	112.741	173.5520
44.400002	112.719	173.0856
45.000000	112.697	172.6854
45.500000	112.678	172.3607
46.200001	112.650	171.9238
46.799999	112.626	171.5576
47.500000	112.599	171.1310
48.200001	112.570	170.7108
48.700001	112.548	170.4179
49.400002	112.518	170.0152
50.000000	112.492	169.6766
50.799999	112.459	169.2340
51.500000	112.430	168.8340
52.200001	112.398	168.4210
53.000000	112.355	167.9976
53.799999	112.319	167.6317
54.500000	112.293	167.2836
55.200001	112.262	166.9084
56.000000	112.223	166.5139
57.000000	112.176	166.0514
58.000000	112.127	165.5817
59.000000	112.077	165.1243
60.000000	112.024	164.6781
60.799999	111.981	164.3359
61.500000	111.945	164.0327
62.200001	111.907	163.7369
63.000000	111.865	163.4242
64.000000	111.817	163.0297
65.000000	111.769	162.6245
66.000000	111.719	162.2286
67.000000	111.666	161.8467
68.000000	111.613	161.4915
69.000000	111.560	161.1367
70.000000	111.505	160.7913
71.000000	111.449	160.4503
72.000000	111.392	160.1207
73.000000	111.337	159.8053
74.000000	111.281	159.4869
75.000000	111.224	159.1808
76.199997	111.156	158.8348
77.500000	111.083	158.4644
78.800003	111.008	158.1113
80.000000	110.939	157.7981
81.199997	110.870	157.4935
82.500000	110.794	157.1713
83.800003	110.718	156.8702
