* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 3, 2024 3:28:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.558167	-150.9261
20.600000	101.574120	-151.5204
20.900000	101.598160	-152.0096
21.200001	101.634422	-152.5374
21.400000	101.663361	-152.9458
21.799999	101.720512	-153.9118
22.000000	101.743744	-154.4539
22.400000	101.773758	-155.5847
22.700001	101.781891	-156.4013
23.000000	101.781685	-157.1494
23.299999	101.777786	-157.8159
23.600000	101.774124	-158.4086
24.000000	101.773766	-159.1187
24.299999	101.778481	-159.6222
24.700001	101.792358	-160.3018
25.000000	101.807266	-160.8503
25.400000	101.827957	-161.6620
25.799999	101.840233	-162.5478
26.200001	101.838013	-163.4239
26.500000	101.829414	-164.0109
26.900000	101.820786	-164.6616
27.200001	101.824936	-165.0746
27.600000	101.848083	-165.6309
28.000000	101.880302	-166.2995
28.500000	101.901672	-167.3163
29.000000	101.882957	-168.3311
29.500000	101.844833	-169.1346
30.000000	101.825653	-169.7543
30.400000	101.831146	-170.2530
30.700001	101.840256	-170.6820
31.100000	101.847115	-171.3232
31.500000	101.841263	-171.9835
32.000000	101.821632	-172.7548
32.500000	101.801453	-173.4662
33.000000	101.785553	-174.1728
33.500000	101.769905	-174.8818
34.000000	101.753120	-175.5512
34.500000	101.738052	-176.1623
35.000000	101.725166	-176.7400
35.500000	101.711716	-177.3170
36.000000	101.695847	-177.9175
36.500000	101.676834	-178.5570
37.000000	101.653755	-179.2165
37.500000	101.629341	-179.8351
38.200001	101.609268	179.4276
38.700001	101.607239	178.9193
39.500000	101.583374	178.0070
40.000000	101.541344	177.4726
40.599998	101.490952	176.9394
41.200001	101.467804	176.3552
41.799999	101.454994	175.5976
42.500000	101.414848	174.7567
43.099998	101.369766	174.3372
43.700001	101.340172	174.0938
44.400002	101.318123	173.6861
45.000000	101.292915	173.1347
45.500000	101.267319	172.5787
46.200001	101.230049	171.7562
46.799999	101.197174	171.1057
47.500000	101.155174	170.4559
48.200001	101.101883	169.8888
48.700001	101.058334	169.5445
49.400002	101.012856	169.1331
50.000000	100.996552	168.7195
50.799999	100.968437	168.0352
51.500000	100.921242	167.5547
52.200001	100.882408	167.1885
53.000000	100.843918	166.6224
53.799999	100.786263	166.0070
54.500000	100.740532	165.5508
55.200001	100.700584	165.0899
56.000000	100.647469	164.6002
57.000000	100.585526	163.9805
58.000000	100.511772	163.3203
59.000000	100.476166	162.7933
60.000000	100.440361	162.0223
60.799999	100.360580	161.5892
61.500000	100.299179	161.3806
62.200001	100.252663	161.0571
63.000000	100.196365	160.5768
64.000000	100.138222	160.0237
65.000000	100.078072	159.5110
66.000000	100.010277	159.1428
67.000000	99.947754	158.6566
68.000000	99.861298	158.1460
69.000000	99.790802	157.7844
70.000000	99.729622	157.2861
71.000000	99.661598	156.8176
72.000000	99.622429	156.3678
73.000000	99.565346	155.9643
74.000000	99.494507	155.7918
75.000000	99.428352	155.4165
76.199997	99.333694	154.8780
77.500000	99.280533	154.4427
78.800003	99.170372	153.8731
80.000000	99.085114	153.6273
81.199997	99.017395	153.1546
82.500000	98.920013	152.8264
83.800003	98.836052	152.3890
85.000000	98.764557	152.0961
86.199997	98.674583	151.7933
87.500000	98.594566	151.4880
88.500000	98.530861	151.1178
90.000000	98.440186	150.8004
91.199997	98.351234	150.4087
92.500000	98.269562	150.2034
93.800003	98.195686	149.8668
95.000000	98.110275	149.6964
96.199997	98.035088	149.4679
97.500000	97.953087	149.2183
98.800003	97.865211	148.9550
100.000000	97.798660	148.6461
101.500000	97.703133	148.4333
103.000000	97.607384	148.2213
104.400002	97.506027	148.0387
106.000000	97.421837	147.7814
107.500000	97.330002	147.5363
109.000000	97.219467	147.3395
110.599998	97.125427	147.0792
112.000000	97.040489	146.8545
113.800003	96.941994	146.8307
115.000000	96.856117	146.7219
117.199997	96.735786	146.4346
118.000000	96.672096	146.3411
120.599998	96.524216	146.1779
122.000000	96.443909	146.1068
124.099998	96.319969	145.9882
125.000000	96.268036	145.8971
126.500000	96.179085	145.8304
128.000000	96.095413	145.7795
131.500000	95.889328	145.6745
132.000000	95.858162	145.6466
134.000000	95.745110	145.6104
136.000000	95.628937	145.5726
138.000000	95.521667	145.5599
140.000000	95.399605	145.6063
143.000000	95.240013	145.6271
145.000000	95.133827	145.6569
147.500000	94.995926	145.7640
150.000000	94.862404	145.8387
152.500000	94.727127	145.9357
155.000000	94.600937	146.0858
157.500000	94.470177	146.2386
160.000000	94.344658	146.4458
162.500000	94.215645	146.6269
165.000000	94.091263	146.7774
167.500000	93.966072	147.0373
170.000000	93.840546	147.2682
172.500000	93.722588	147.5263
175.000000	93.597664	147.8705
177.500000	93.483078	148.1777
180.000000	93.351562	148.5567
182.500000	93.255692	148.8163
185.000000	93.147583	149.2025
187.500000	93.037514	149.6062
190.000000	92.936455	150.0058
192.500000	92.832161	150.4480
195.000000	92.727661	150.8480
197.500000	92.631241	151.3487
200.000000	92.529274	151.8417
203.000000	92.419907	152.4184
206.000000	92.312431	153.0095
209.000000	92.206718	153.6267
212.000000	92.104820	154.2606
214.000000	92.044945	154.7490
218.000000	91.917976	155.6425
220.000000	91.864136	156.1305
224.000000	91.745613	157.0438
227.000000	91.669136	157.8254
230.000000	91.599449	158.5528
233.000000	91.532410	159.3085
236.000000	91.465851	160.0395
240.000000	91.381195	161.1124
243.000000	91.333282	161.9016
247.000000	91.271866	162.9667
250.000000	91.228668	163.7557
254.000000	91.170990	164.8616
258.000000	91.125473	165.9909
262.000000	91.089668	167.1260
265.000000	91.067543	168.0108
269.000000	91.042038	169.3743
272.000000	91.035965	170.4642
276.000000	91.078583	172.0115
280.000000	91.183517	173.5198
285.000000	91.400597	174.8452
290.000000	91.601898	175.2457
295.000000	91.716141	175.3412
300.000000	91.758438	175.5475
304.000000	91.815727	175.7371
307.000000	91.841270	175.9318
311.000000	91.872772	176.2479
315.000000	91.905579	176.5591
320.000000	91.957825	176.9519
325.000000	92.005989	177.3215
330.000000	92.060013	177.6617
335.000000	92.103790	177.9505
340.000000	92.154785	178.2334
345.000000	92.205307	178.4469
350.000000	92.249802	178.6203
355.000000	92.298523	178.8213
360.000000	92.338982	178.9315
365.000000	92.376869	179.0854
370.000000	92.408958	179.1645
375.000000	92.445419	179.2604
382.000000	92.484940	179.3686
387.000000	92.506943	179.4381
395.000000	92.541672	179.5650
400.000000	92.564980	179.6663
406.000000	92.601013	179.7312
412.000000	92.635193	179.7462
418.000000	92.668541	179.7089
425.000000	92.687508	179.6190
431.000000	92.698067	179.5162
437.000000	92.700951	179.4377
444.000000	92.700699	179.3484
450.000000	92.696793	179.2848
455.000000	92.683159	179.2526
462.000000	92.670212	179.2064
468.000000	92.655724	179.1595
475.000000	92.634117	179.1620
482.000000	92.610748	179.1655
487.000000	92.591324	179.2114
494.000000	92.561462	179.2079
500.000000	92.541496	179.2672
508.000000	92.504288	179.3534
