* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 3, 2024 3:27:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.049194	-154.1851
20.600000	102.066292	-155.0007
20.900000	102.074982	-155.7495
21.200001	102.081085	-156.5043
21.400000	102.084854	-157.0116
21.799999	102.092903	-158.0241
22.000000	102.097610	-158.5217
22.400000	102.109039	-159.4841
22.700001	102.119858	-160.1699
23.000000	102.132355	-160.8279
23.299999	102.145546	-161.4661
23.600000	102.157768	-162.0936
24.000000	102.169479	-162.9221
24.299999	102.173714	-163.5366
24.700001	102.173943	-164.3417
25.000000	102.171890	-164.9347
25.400000	102.168686	-165.7178
25.799999	102.165657	-166.5030
26.200001	102.161064	-167.2896
26.500000	102.155304	-167.8697
26.900000	102.144493	-168.6102
27.200001	102.135262	-169.1329
27.600000	102.124062	-169.7929
28.000000	102.115479	-170.4351
28.500000	102.106285	-171.2538
29.000000	102.093285	-172.0993
29.500000	102.074654	-172.9379
30.000000	102.054749	-173.7361
30.400000	102.040962	-174.3467
30.700001	102.031929	-174.7958
31.100000	102.020081	-175.3889
31.500000	102.006439	-175.9738
32.000000	101.985863	-176.6835
32.500000	101.962936	-177.3678
33.000000	101.939476	-178.0395
33.500000	101.915405	-178.7077
34.000000	101.890327	-179.3664
34.500000	101.864906	179.9930
35.000000	101.839706	179.3689
35.500000	101.814056	178.7554
36.000000	101.787048	178.1521
36.500000	101.758980	177.5619
37.000000	101.730682	176.9862
37.500000	101.702713	176.4297
38.200001	101.666702	175.6941
38.700001	101.645439	175.1825
39.500000	101.610703	174.3080
40.000000	101.577927	173.7391
40.599998	101.527626	173.1168
41.200001	101.480499	172.5708
41.799999	101.442299	172.0097
42.500000	101.392113	171.2945
43.099998	101.339790	170.7425
43.700001	101.296509	170.2897
44.400002	101.266052	169.7377
45.000000	101.237564	169.1826
45.500000	101.202873	168.7272
46.200001	101.147209	168.1739
46.799999	101.103569	167.7315
47.500000	101.055481	167.1861
48.200001	101.007729	166.6328
48.700001	100.975189	166.2417
49.400002	100.927742	165.6956
50.000000	100.881439	165.2589
50.799999	100.820259	164.7508
51.500000	100.774132	164.3042
52.200001	100.725479	163.8183
53.000000	100.661606	163.2972
53.799999	100.601456	162.8107
54.500000	100.550995	162.3519
55.200001	100.499290	161.9124
56.000000	100.446899	161.4669
57.000000	100.372238	160.9050
58.000000	100.287338	160.4124
59.000000	100.226906	159.6781
60.000000	100.132454	158.9461
60.799999	100.069565	158.7703
61.500000	100.039940	158.5948
62.200001	99.993820	158.2548
63.000000	99.920219	157.8760
64.000000	99.847939	157.4228
65.000000	99.775719	156.9507
66.000000	99.701942	156.5694
67.000000	99.625359	156.1214
68.000000	99.546165	155.7252
69.000000	99.477997	155.3406
