* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 9, 2025 12:53:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: S1 grn L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.976	25.3749
20.299999	100.992	25.1529
20.600000	101.009	24.9353
20.900000	101.028	24.7118
21.200001	101.047	24.4762
21.400000	101.058	24.3130
21.799999	101.077	23.9880
22.000000	101.084	23.8344
22.400000	101.098	23.5556
22.700001	101.110	23.3689
23.000000	101.124	23.1873
23.299999	101.141	22.9954
23.600000	101.158	22.7839
24.000000	101.176	22.4784
24.299999	101.184	22.2524
24.700001	101.191	21.9862
25.000000	101.196	21.8200
25.400000	101.207	21.6279
25.799999	101.223	21.4346
26.200001	101.240	21.2184
26.500000	101.251	21.0461
26.900000	101.263	20.8246
27.200001	101.271	20.6756
27.600000	101.282	20.4974
28.000000	101.297	20.3243
28.500000	101.316	20.0885
29.000000	101.332	19.8406
29.500000	101.342	19.6158
30.000000	101.353	19.4276
30.400000	101.363	19.2898
30.700001	101.371	19.1856
31.100000	101.382	19.0435
31.500000	101.391	18.9046
32.000000	101.401	18.7452
32.500000	101.412	18.5981
33.000000	101.422	18.4516
33.500000	101.432	18.3044
34.000000	101.441	18.1648
34.500000	101.449	18.0331
35.000000	101.458	17.9012
35.500000	101.466	17.7693
36.000000	101.473	17.6478
36.500000	101.482	17.5373
37.000000	101.492	17.4217
37.500000	101.502	17.2922
38.200001	101.510	17.1266
38.700001	101.516	17.0412
39.500000	101.535	16.8955
40.000000	101.544	16.7742
40.599998	101.549	16.6536
41.200001	101.556	16.5873
41.799999	101.570	16.5063
42.500000	101.582	16.3498
43.099998	101.582	16.2536
43.700001	101.587	16.2199
44.400002	101.603	16.1315
45.000000	101.610	15.9987
45.500000	101.609	15.9217
46.200001	101.613	15.8802
46.799999	101.625	15.8124
47.500000	101.632	15.6836
48.200001	101.633	15.6165
48.700001	101.640	15.5988
49.400002	101.656	15.5207
50.000000	101.664	15.4082
50.799999	101.664	15.3047
51.500000	101.667	15.2770
52.200001	101.676	15.2518
53.000000	101.689	15.1909
53.799999	101.697	15.1092
54.500000	101.699	15.0534
55.200001	101.703	15.0282
56.000000	101.713	14.9919
57.000000	101.720	14.9049
58.000000	101.727	14.8829
59.000000	101.745	14.7850
60.000000	101.739	14.6740
60.799999	101.737	14.7342
61.500000	101.751	14.7682
62.200001	101.765	14.7323
63.000000	101.772	14.6906
64.000000	101.780	14.6631
65.000000	101.788	14.6389
66.000000	101.794	14.6049
67.000000	101.795	14.5941
68.000000	101.803	14.6145
69.000000	101.812	14.5998
70.000000	101.820	14.5956
71.000000	101.828	14.5750
72.000000	101.835	14.5824
73.000000	101.846	14.5711
74.000000	101.851	14.5427
75.000000	101.855	14.5466
76.199997	101.861	14.5707
77.500000	101.875	14.5890
78.800003	101.878	14.5859
80.000000	101.888	14.6306
81.199997	101.896	14.6400
82.500000	101.906	14.6922
83.800003	101.920	14.6978
85.000000	101.923	14.7056
86.199997	101.933	14.7599
87.500000	101.941	14.7750
88.500000	101.947	14.8241
90.000000	101.958	14.8566
91.199997	101.965	14.9025
92.500000	101.974	14.9352
93.800003	101.983	14.9810
95.000000	101.991	15.0229
96.199997	102.000	15.0714
97.500000	102.010	15.1165
98.800003	102.018	15.1594
100.000000	102.025	15.2130
101.500000	102.035	15.2713
103.000000	102.046	15.3377
104.400002	102.055	15.4059
106.000000	102.069	15.4689
107.500000	102.078	15.5468
109.000000	102.086	15.6330
110.599998	102.100	15.7016
112.000000	102.105	15.7917
113.800003	102.121	15.8633
115.000000	102.128	15.9289
117.199997	102.147	16.0222
118.000000	102.152	16.0771
120.599998	102.169	16.1697
122.000000	102.183	16.3038
124.099998	102.199	16.4124
125.000000	102.206	16.4610
126.500000	102.216	16.5547
128.000000	102.229	16.6511
131.500000	102.255	16.8540
132.000000	102.258	16.8849
134.000000	102.273	16.9997
136.000000	102.291	17.1425
138.000000	102.306	17.2360
140.000000	102.324	17.3723
143.000000	102.349	17.5647
145.000000	102.365	17.6958
147.500000	102.386	17.8562
150.000000	102.409	18.0247
152.500000	102.432	18.1728
155.000000	102.460	18.3586
157.500000	102.469	18.5381
160.000000	102.500	18.5018
162.500000	102.520	18.8511
165.000000	102.547	18.9937
167.500000	102.572	19.1889
170.000000	102.592	19.3537
172.500000	102.616	19.5308
175.000000	102.642	19.6864
177.500000	102.667	19.8569
180.000000	102.693	20.0144
182.500000	102.719	20.1959
185.000000	102.745	20.3761
187.500000	102.773	20.5532
190.000000	102.800	20.7299
192.500000	102.829	20.9051
195.000000	102.854	21.0812
197.500000	102.883	21.2454
200.000000	102.911	21.4288
203.000000	102.945	21.6350
206.000000	102.980	21.8493
209.000000	103.015	22.0550
212.000000	103.052	22.2662
214.000000	103.075	22.4071
218.000000	103.125	22.6891
220.000000	103.151	22.8346
224.000000	103.202	23.1068
227.000000	103.238	23.3298
230.000000	103.276	23.5348
233.000000	103.314	23.7605
236.000000	103.357	23.9871
240.000000	103.398	24.2582
243.000000	103.445	24.5184
247.000000	103.497	24.8532
250.000000	103.541	25.1165
254.000000	103.601	25.5347
258.000000	103.685	26.0030
262.000000	103.788	26.3492
265.000000	103.869	26.4794
269.000000	103.956	26.5730
272.000000	104.012	26.6428
276.000000	104.082	26.7822
280.000000	104.149	26.9448
285.000000	104.236	27.1893
290.000000	104.326	27.4283
295.000000	104.418	27.6787
300.000000	104.512	27.9563
304.000000	104.593	28.1533
307.000000	104.654	28.3082
311.000000	104.735	28.5013
315.000000	104.818	28.6849
320.000000	104.929	28.9344
325.000000	105.041	29.1564
330.000000	105.154	29.3637
335.000000	105.274	29.5690
340.000000	105.394	29.7624
345.000000	105.519	29.9308
350.000000	105.648	30.0951
355.000000	105.778	30.2425
360.000000	105.914	30.3591
365.000000	106.054	30.4830
370.000000	106.197	30.5634
375.000000	106.343	30.6289
382.000000	106.556	30.6784
387.000000	106.711	30.6743
395.000000	106.970	30.6165
400.000000	107.135	30.5575
406.000000	107.339	30.4172
