* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 9, 2025 12:53:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: S1 grn R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.389	-157.0619
20.299999	105.405	-157.2112
20.600000	105.431	-157.3736
20.900000	105.464	-157.5910
21.200001	105.495	-157.8790
21.400000	105.511	-158.1018
21.799999	105.529	-158.5595
22.000000	105.531	-158.7652
22.400000	105.527	-159.0902
22.700001	105.527	-159.2546
23.000000	105.534	-159.3807
23.299999	105.550	-159.5076
23.600000	105.570	-159.6676
24.000000	105.597	-159.9480
24.299999	105.612	-160.1868
24.700001	105.622	-160.4929
25.000000	105.626	-160.6886
25.400000	105.633	-160.9030
25.799999	105.646	-161.0977
26.200001	105.662	-161.3103
26.500000	105.674	-161.4877
26.900000	105.686	-161.7321
27.200001	105.692	-161.9066
27.600000	105.699	-162.1147
28.000000	105.707	-162.2993
28.500000	105.720	-162.5192
29.000000	105.734	-162.7408
29.500000	105.746	-162.9547
30.000000	105.759	-163.1543
30.400000	105.771	-163.3117
30.700001	105.780	-163.4337
31.100000	105.791	-163.6015
31.500000	105.799	-163.7666
32.000000	105.808	-163.9548
32.500000	105.818	-164.1242
33.000000	105.830	-164.2943
33.500000	105.841	-164.4758
34.000000	105.848	-164.6559
34.500000	105.854	-164.8169
35.000000	105.860	-164.9582
35.500000	105.868	-165.0937
36.000000	105.877	-165.2341
36.500000	105.886	-165.3790
37.000000	105.894	-165.5250
37.500000	105.901	-165.6710
38.200001	105.910	-165.8686
38.700001	105.917	-165.9979
39.500000	105.929	-166.1940
40.000000	105.937	-166.3233
40.599998	105.945	-166.4808
41.200001	105.951	-166.6223
41.799999	105.958	-166.7450
42.500000	105.969	-166.8836
43.099998	105.977	-167.0071
43.700001	105.984	-167.1277
44.400002	105.991	-167.2514
45.000000	105.998	-167.3419
45.500000	106.006	-167.4182
46.200001	106.017	-167.5468
46.799999	106.023	-167.6696
47.500000	106.027	-167.7899
48.200001	106.032	-167.8819
48.700001	106.038	-167.9496
49.400002	106.046	-168.0522
50.000000	106.052	-168.1333
50.799999	106.062	-168.2428
51.500000	106.071	-168.3572
52.200001	106.075	-168.4620
53.000000	106.081	-168.5547
53.799999	106.089	-168.6470
54.500000	106.095	-168.7227
55.200001	106.102	-168.7978
56.000000	106.109	-168.8991
57.000000	106.114	-168.9802
58.000000	106.130	-169.0830
59.000000	106.131	-169.2421
60.000000	106.133	-169.2578
60.799999	106.149	-169.3067
61.500000	106.158	-169.4087
62.200001	106.161	-169.4824
63.000000	106.168	-169.5360
64.000000	106.178	-169.6227
65.000000	106.186	-169.7083
66.000000	106.192	-169.7851
67.000000	106.199	-169.8489
68.000000	106.207	-169.9126
69.000000	106.216	-169.9683
70.000000	106.224	-170.0465
71.000000	106.229	-170.1075
72.000000	106.237	-170.1593
73.000000	106.243	-170.2166
74.000000	106.249	-170.2481
75.000000	106.260	-170.2925
76.199997	106.269	-170.3878
77.500000	106.273	-170.4320
78.800003	106.287	-170.4725
80.000000	106.296	-170.5417
81.199997	106.306	-170.5774
82.500000	106.317	-170.6452
83.800003	106.326	-170.6854
85.000000	106.335	-170.7268
86.199997	106.345	-170.7586
87.500000	106.353	-170.7997
88.500000	106.362	-170.8168
90.000000	106.374	-170.8687
91.199997	106.382	-170.9020
92.500000	106.392	-170.9227
93.800003	106.403	-170.9572
95.000000	106.411	-170.9774
96.199997	106.421	-171.0015
97.500000	106.431	-171.0225
98.800003	106.441	-171.0486
100.000000	106.451	-171.0695
101.500000	106.462	-171.0930
103.000000	106.476	-171.1102
104.400002	106.486	-171.1330
106.000000	106.500	-171.1431
107.500000	106.512	-171.1638
109.000000	106.525	-171.1696
110.599998	106.538	-171.1941
112.000000	106.549	-171.1914
113.800003	106.565	-171.2135
115.000000	106.575	-171.2156
117.199997	106.595	-171.2353
118.000000	106.602	-171.2346
120.599998	106.621	-171.2539
122.000000	106.637	-171.2491
124.099998	106.656	-171.2472
125.000000	106.665	-171.2564
126.500000	106.678	-171.2473
128.000000	106.693	-171.2452
131.500000	106.725	-171.2485
132.000000	106.730	-171.2482
134.000000	106.750	-171.2397
136.000000	106.770	-171.2392
138.000000	106.789	-171.2272
140.000000	106.809	-171.2296
