* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 10, 2026 11:25:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	111.256	-170.7991
20.299999	111.248	-171.4008
20.600000	111.240	-171.9916
20.900000	111.232	-172.5754
21.200001	111.223	-173.1546
21.400000	111.217	-173.5380
21.799999	111.202	-174.2924
22.000000	111.193	-174.6604
22.400000	111.175	-175.3734
22.700001	111.161	-175.8883
23.000000	111.148	-176.3913
23.299999	111.137	-176.8891
23.600000	111.125	-177.3875
24.000000	111.109	-178.0545
24.299999	111.095	-178.5511
24.700001	111.074	-179.1968
25.000000	111.057	-179.6639
25.400000	111.035	179.7336
25.799999	111.014	179.1441
26.200001	110.992	178.5594
26.500000	110.975	178.1258
26.900000	110.950	177.5624
27.200001	110.931	177.1554
27.600000	110.906	176.6314
28.000000	110.883	176.1187
28.500000	110.854	175.4765
29.000000	110.823	174.8337
29.500000	110.789	174.2096
30.000000	110.754	173.6154
30.400000	110.728	173.1544
30.700001	110.708	172.8105
31.100000	110.682	172.3511
31.500000	110.654	171.8944
32.000000	110.618	171.3392
32.500000	110.581	170.8074
33.000000	110.546	170.2921
33.500000	110.511	169.7837
34.000000	110.476	169.2809
34.500000	110.439	168.7881
35.000000	110.403	168.3080
35.500000	110.366	167.8397
36.000000	110.329	167.3824
36.500000	110.291	166.9359
37.000000	110.254	166.4978
37.500000	110.217	166.0647
38.200001	110.163	165.4684
38.700001	110.124	165.0562
39.500000	110.063	164.4186
40.000000	110.025	164.0236
40.599998	109.978	163.5533
41.200001	109.930	163.1008
41.799999	109.883	162.6682
42.500000	109.829	162.1700
43.099998	109.782	161.7468
43.700001	109.734	161.3396
44.400002	109.679	160.8796
45.000000	109.632	160.4883
45.500000	109.591	160.1738
46.200001	109.536	159.7576
46.799999	109.492	159.3893
47.500000	109.436	158.9310
48.200001	109.373	158.5273
48.700001	109.333	158.2864
49.400002	109.289	157.9001
50.000000	109.243	157.4953
50.799999	109.164	157.0747
51.500000	109.116	156.8490
52.200001	109.089	156.4593
53.000000	109.023	155.8354
53.799999	108.927	155.4865
54.500000	108.872	155.3345
55.200001	108.834	155.0457
56.000000	108.772	154.6459
57.000000	108.692	154.2480
58.000000	108.616	153.8298
59.000000	108.540	153.4411
60.000000	108.464	153.0111
60.799999	108.397	152.7202
61.500000	108.345	152.5036
62.200001	108.296	152.2536
63.000000	108.235	151.9689
64.000000	108.162	151.6662
65.000000	108.090	151.3359
66.000000	108.013	151.0333
67.000000	107.942	150.7472
68.000000	107.869	150.4403
69.000000	107.794	150.1611
70.000000	107.722	149.9020
71.000000	107.652	149.6330
72.000000	107.580	149.3803
73.000000	107.510	149.1597
74.000000	107.443	148.9255
75.000000	107.374	148.6907
76.199997	107.290	148.4396
77.500000	107.203	148.1733
78.800003	107.112	147.9069
80.000000	107.032	147.7111
81.199997	106.954	147.4871
82.500000	106.868	147.2684
83.800003	106.783	147.0589
85.000000	106.705	146.8801
86.199997	106.629	146.6989
87.500000	106.544	146.5200
88.500000	106.482	146.3943
90.000000	106.389	146.2050
91.199997	106.316	146.0602
92.500000	106.236	145.9094
93.800003	106.158	145.7694
95.000000	106.086	145.6599
96.199997	106.017	145.5422
97.500000	105.941	145.4278
98.800003	105.866	145.3174
100.000000	105.796	145.2229
101.500000	105.710	145.1163
103.000000	105.624	145.0266
104.400002	105.549	144.9427
106.000000	105.462	144.8474
107.500000	105.381	144.7668
109.000000	105.300	144.6962
110.599998	105.213	144.6263
112.000000	105.141	144.5707
113.800003	105.048	144.5082
115.000000	104.990	144.4853
117.199997	104.879	144.4711
118.000000	104.840	144.4222
120.599998	104.724	144.4866
122.000000	104.642	144.3806
124.099998	104.539	144.3544
125.000000	104.499	144.3692
126.500000	104.430	144.3402
128.000000	104.360	144.3614
131.500000	104.203	144.3870
132.000000	104.181	144.3923
134.000000	104.093	144.4138
136.000000	104.005	144.4541
138.000000	103.922	144.4876
140.000000	103.836	144.5424
143.000000	103.712	144.6215
145.000000	103.632	144.6730
147.500000	103.532	144.7713
150.000000	103.433	144.8718
152.500000	103.338	144.9726
155.000000	103.243	145.0744
157.500000	103.151	145.1900
160.000000	103.060	145.3064
162.500000	102.971	145.4316
165.000000	102.886	145.5698
167.500000	102.798	145.7163
170.000000	102.713	145.8683
172.500000	102.630	146.0096
175.000000	102.547	146.1663
177.500000	102.469	146.3406
180.000000	102.382	146.5471
182.500000	102.310	146.6679
185.000000	102.236	146.8231
187.500000	102.160	146.9997
190.000000	102.086	147.1829
192.500000	102.013	147.3629
195.000000	101.942	147.5422
197.500000	101.873	147.7282
200.000000	101.804	147.9237
203.000000	101.720	148.1641
206.000000	101.640	148.3941
209.000000	101.563	148.6601
212.000000	101.486	148.9144
214.000000	101.433	149.0867
218.000000	101.336	149.4362
220.000000	101.286	149.6241
224.000000	101.193	149.9879
227.000000	101.127	150.2870
230.000000	101.062	150.5812
233.000000	101.001	150.8743
236.000000	100.945	151.1220
240.000000	100.864	151.6258
243.000000	100.807	151.7686
247.000000	100.731	152.0539
250.000000	100.674	152.3084
254.000000	100.596	152.6606
258.000000	100.520	153.0033
262.000000	100.446	153.3710
265.000000	100.390	153.6570
269.000000	100.320	154.0453
272.000000	100.269	154.3395
276.000000	100.208	154.7636
280.000000	100.146	155.1704
285.000000	100.081	155.6158
290.000000	100.015	156.0515
295.000000	99.948	156.4824
300.000000	99.860	156.9709
304.000000	99.824	157.2218
307.000000	99.780	157.4748
311.000000	99.726	157.8411
315.000000	99.671	158.1753
320.000000	99.607	158.6495
325.000000	99.546	159.0814
330.000000	99.487	159.5336
335.000000	99.424	159.9972
340.000000	99.370	160.4802
345.000000	99.312	160.9174
350.000000	99.258	161.3727
355.000000	99.208	161.8226
360.000000	99.171	162.2899
365.000000	99.112	162.7517
370.000000	99.068	163.2188
375.000000	99.023	163.6616
382.000000	98.961	164.2894
387.000000	98.924	164.7641
395.000000	98.859	165.4624
400.000000	98.825	165.9126
406.000000	98.781	166.4558
412.000000	98.734	166.9762
418.000000	98.699	167.5008
425.000000	98.651	168.1280
