* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 10, 2026 11:29:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	110.756	-170.4164
20.299999	110.747	-171.0457
20.600000	110.736	-171.6529
20.900000	110.726	-172.2376
21.200001	110.715	-172.8038
21.400000	110.709	-173.1747
21.799999	110.697	-173.9101
22.000000	110.690	-174.2771
22.400000	110.677	-175.0088
22.700001	110.665	-175.5503
23.000000	110.651	-176.0793
23.299999	110.636	-176.5924
23.600000	110.622	-177.0892
24.000000	110.603	-177.7323
24.299999	110.590	-178.2066
24.700001	110.572	-178.8344
25.000000	110.559	-179.3018
25.400000	110.539	-179.9159
25.799999	110.519	179.4861
26.200001	110.498	178.9053
26.500000	110.482	178.4785
26.900000	110.460	177.9167
27.200001	110.443	177.4998
27.600000	110.420	176.9531
28.000000	110.394	176.4229
28.500000	110.362	175.7888
29.000000	110.330	175.1783
29.500000	110.300	174.5745
30.000000	110.268	173.9714
30.400000	110.241	173.4969
30.700001	110.220	173.1503
31.100000	110.193	172.7014
31.500000	110.166	172.2611
32.000000	110.134	171.7104
32.500000	110.100	171.1584
33.000000	110.064	170.6213
33.500000	110.029	170.1090
34.000000	109.995	169.6101
34.500000	109.962	169.1079
35.000000	109.927	168.6041
35.500000	109.890	168.1159
36.000000	109.852	167.6528
36.500000	109.815	167.2064
37.000000	109.779	166.7657
37.500000	109.742	166.3333
38.200001	109.689	165.7538
38.700001	109.652	165.3514
39.500000	109.594	164.7018
40.000000	109.556	164.2977
40.599998	109.508	163.8289
41.200001	109.461	163.3753
41.799999	109.414	162.9295
42.500000	109.360	162.4182
43.099998	109.314	161.9865
43.700001	109.267	161.5609
