* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 10, 2024 6:21:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	98.795868	-170.1647
20.299999	98.711891	-170.5733
20.600000	98.653778	-170.6740
20.900000	98.644424	-170.6297
21.200001	98.685822	-170.6589
21.400000	98.731766	-170.8230
21.799999	98.824791	-171.5388
22.000000	98.855194	-172.0489
22.400000	98.866409	-173.1775
22.700001	98.834305	-173.9213
23.000000	98.784836	-174.4729
23.299999	98.737915	-174.8252
23.600000	98.708748	-175.0500
24.000000	98.703423	-175.3466
24.299999	98.713257	-175.6730
24.700001	98.720337	-176.2777
25.000000	98.709106	-176.7904
25.400000	98.670715	-177.4198
25.799999	98.622894	-177.8823
26.200001	98.590218	-178.1999
26.500000	98.583984	-178.4251
26.900000	98.593941	-178.8335
27.200001	98.603607	-179.2619
27.600000	98.600769	-179.9477
28.000000	98.572815	179.3668
28.500000	98.520927	178.7022
29.000000	98.489899	178.2187
29.500000	98.488068	177.6618
30.000000	98.476273	176.9048
30.400000	98.436874	176.2911
30.700001	98.393372	175.9384
31.100000	98.336868	175.6720
31.500000	98.305374	175.5517
32.000000	98.303947	175.3256
32.500000	98.305435	174.8480
33.000000	98.271904	174.2957
33.500000	98.215500	173.9332
34.000000	98.178894	173.7589
34.500000	98.177757	173.5167
35.000000	98.182724	173.0146
35.500000	98.157135	172.3292
36.000000	98.094078	171.6991
36.500000	98.017540	171.2870
37.000000	97.958595	171.0562
37.500000	97.929047	170.8341
38.200001	97.903976	170.3133
38.700001	97.868759	169.8777
39.500000	97.799057	169.4550
40.000000	97.781898	169.3126
40.599998	97.785789	168.9940
41.200001	97.776825	168.4759
41.799999	97.738480	167.9395
42.500000	97.674126	167.4131
43.099998	97.608681	167.0252
