* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 10, 2024 5:50:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.150543	-167.6408
20.600000	99.129807	-168.1681
20.900000	99.096893	-168.5177
21.200001	99.067406	-168.7735
21.400000	99.054947	-168.9309
21.799999	99.048569	-169.3467
22.000000	99.051338	-169.6519
22.400000	99.055771	-170.4815
22.700001	99.046806	-171.2428
23.000000	99.024261	-172.0258
23.299999	98.992561	-172.7360
23.600000	98.961143	-173.3081
24.000000	98.937286	-173.8408
24.299999	98.938896	-174.1260
24.700001	98.962471	-174.4734
25.000000	98.985741	-174.7776
25.400000	99.009140	-175.2917
25.799999	99.011238	-175.9429
26.200001	98.983788	-176.7040
26.500000	98.941208	-177.2950
26.900000	98.859238	-177.9740
27.200001	98.789680	-178.2990
27.600000	98.717712	-178.4176
28.000000	98.702065	-178.3114
28.500000	98.762619	-178.3990
29.000000	98.807770	-179.1937
29.500000	98.717209	179.6461
30.000000	98.500854	179.1174
30.400000	98.349174	179.4994
30.700001	98.314873	-179.9705
31.100000	98.392731	-179.5477
31.500000	98.533813	-179.9756
32.000000	98.625854	178.4734
32.500000	98.542984	176.8942
33.000000	98.398834	176.2756
33.500000	98.365570	176.2788
34.000000	98.457008	175.9135
34.500000	98.531418	174.7629
35.000000	98.493393	173.6213
35.500000	98.399178	173.2456
36.000000	98.363876	173.4241
36.500000	98.400375	173.3126
37.000000	98.414406	172.5567
37.500000	98.346115	171.6003
38.200001	98.213158	170.9241
38.700001	98.193077	170.8488
39.500000	98.253441	170.4427
40.000000	98.252632	169.9654
40.599998	98.182373	169.5057
41.200001	98.088814	169.2934
41.799999	98.031151	169.1566
42.500000	98.021225	168.7394
43.099998	98.010208	168.1303
43.700001	97.961311	167.6022
44.400002	97.898643	167.3234
45.000000	97.876358	167.0751
45.500000	97.858734	166.6911
46.200001	97.803543	166.1478
46.799999	97.756798	165.9156
47.500000	97.726051	165.6085
48.200001	97.648247	165.0426
48.700001	97.548912	164.7629
49.400002	97.445618	164.7776
50.000000	97.453392	164.7231
50.799999	97.507309	163.9866
51.500000	97.479843	163.2605
52.200001	97.405121	163.0444
53.000000	97.342178	163.0717
53.799999	97.290367	162.7609
54.500000	97.224739	162.2866
55.200001	97.156036	161.9263
56.000000	97.110199	161.7305
57.000000	97.087021	161.4039
58.000000	97.020424	160.9439
59.000000	96.944847	160.6633
60.000000	96.874397	160.2601
60.799999	96.795898	160.0452
61.500000	96.753098	159.9746
62.200001	96.737030	159.7120
63.000000	96.699669	159.1771
64.000000	96.628487	158.6688
65.000000	96.561768	158.3379
66.000000	96.463326	158.2623
67.000000	96.400192	158.2905
68.000000	96.356613	157.7573
69.000000	96.264824	157.2903
70.000000	96.195816	157.2636
71.000000	96.140968	157.1291
72.000000	96.072701	156.8597
73.000000	95.998772	156.6246
74.000000	95.935196	156.5108
75.000000	95.869354	156.2648
76.199997	95.782013	156.0357
77.500000	95.709442	155.8177
78.800003	95.624672	155.7985
80.000000	95.547600	155.5693
81.199997	95.477005	155.3524
82.500000	95.410080	155.1599
83.800003	95.324875	155.0974
85.000000	95.248238	154.8772
86.199997	95.160957	154.7552
87.500000	95.087189	154.6833
88.500000	95.020752	154.5526
90.000000	94.946793	154.5219
91.199997	94.867950	154.5189
92.500000	94.787544	154.4095
93.800003	94.705826	154.3571
95.000000	94.651184	154.2856
96.199997	94.572418	154.2333
97.500000	94.504730	154.1171
98.800003	94.423103	154.0943
100.000000	94.361282	154.1026
101.500000	94.266312	154.1848
103.000000	94.183868	154.2159
104.400002	94.121590	154.1014
106.000000	94.033562	154.1987
107.500000	93.954445	154.2359
109.000000	93.864876	154.3041
110.599998	93.787643	154.3636
112.000000	93.727196	154.4663
113.800003	93.639244	154.5143
115.000000	93.601379	154.4646
117.199997	93.461304	154.8153
118.000000	93.430077	154.7518
120.599998	93.404297	154.9880
122.000000	93.225281	155.1108
124.099998	93.135643	155.2098
125.000000	93.112770	155.4810
126.500000	93.029312	155.5105
128.000000	92.990875	155.5392
131.500000	92.844742	155.8807
132.000000	92.819420	155.9031
134.000000	92.757164	156.3239
136.000000	92.653236	156.5538
138.000000	92.576874	156.7903
140.000000	92.509171	156.9328
143.000000	92.400703	157.4599
145.000000	92.326843	157.6765
147.500000	92.244812	157.9559
150.000000	92.198601	158.3354
152.500000	92.077271	159.0064
155.000000	92.040436	159.0356
157.500000	91.921577	159.5310
160.000000	91.889923	160.2569
162.500000	91.762123	160.0558
165.000000	91.763977	160.5241
167.500000	91.654694	161.2004
170.000000	91.596039	161.4545
172.500000	91.620857	161.8224
175.000000	91.518250	162.2322
177.500000	91.475876	162.4597
180.000000	91.432510	162.8845
182.500000	91.372314	163.6090
185.000000	91.313469	163.7285
187.500000	91.259346	164.2197
190.000000	91.223534	164.5983
192.500000	91.193718	165.0110
195.000000	91.149673	165.3796
197.500000	91.122490	165.7600
200.000000	91.055161	166.1718
203.000000	91.016182	166.6651
206.000000	90.964569	167.2342
209.000000	90.928261	167.6765
212.000000	90.896423	168.1854
214.000000	90.856010	168.5078
218.000000	90.804649	169.2633
220.000000	90.792381	169.6798
224.000000	90.762337	170.4184
227.000000	90.749435	171.1965
230.000000	90.724030	171.8304
233.000000	90.736465	172.7229
236.000000	90.741302	173.3916
240.000000	90.759125	174.2853
243.000000	90.849510	174.8267
247.000000	90.888603	175.1423
250.000000	90.974030	175.4214
254.000000	90.998924	175.7432
258.000000	91.035690	175.8506
262.000000	91.057755	176.0462
265.000000	91.068138	176.0941
269.000000	91.070496	176.2241
272.000000	91.073975	176.3771
276.000000	91.059158	176.5821
280.000000	91.060173	176.7971
285.000000	91.046989	177.0430
290.000000	91.040558	177.3263
295.000000	91.034119	177.6740
300.000000	91.014488	177.9347
304.000000	91.020012	178.2830
307.000000	91.018158	178.4557
311.000000	91.013840	178.7104
315.000000	91.019638	178.9774
320.000000	91.004677	179.3031
325.000000	91.002197	179.5941
330.000000	91.003227	179.9250
335.000000	90.999176	-179.7556
340.000000	90.997498	-179.4704
345.000000	90.995071	-179.1913
350.000000	90.992905	-178.8537
355.000000	90.989487	-178.6126
360.000000	90.989037	-178.3338
365.000000	90.989220	-178.0629
370.000000	90.995293	-177.8005
375.000000	90.990906	-177.5182
382.000000	90.982819	-177.1684
387.000000	90.981361	-176.9063
395.000000	90.982094	-176.4939
400.000000	90.984825	-176.1999
406.000000	90.979172	-175.9337
412.000000	90.973946	-175.6271
418.000000	90.971977	-175.3299
425.000000	90.967369	-174.9294
431.000000	90.959366	-174.6250
437.000000	90.957458	-174.2859
444.000000	90.954277	-173.8977
450.000000	90.962326	-173.5455
455.000000	90.961678	-173.1797
462.000000	90.971252	-172.8320
468.000000	90.984039	-172.4811
475.000000	91.002693	-172.1549
482.000000	91.025627	-171.8746
487.000000	91.035248	-171.7388
494.000000	91.039337	-171.4833
500.000000	91.045502	-171.2461
508.000000	91.044533	-170.9195
515.000000	91.044174	-170.6699
522.000000	91.048218	-170.3723
530.000000	91.053093	-170.0870
538.000000	91.058372	-169.7838
545.000000	91.062668	-169.4996
552.000000	91.060852	-169.2731
560.000000	91.061188	-168.9907
570.000000	91.056297	-168.6001
580.000000	91.050812	-168.2128
590.000000	91.046364	-167.8292
600.000000	91.045105	-167.4373
608.000000	91.037880	-167.1050
615.000000	91.031151	-166.8143
622.000000	91.029602	-166.5234
630.000000	91.021400	-166.2020
640.000000	91.020248	-165.7116
650.000000	91.014671	-165.3093
660.000000	91.008858	-164.8479
670.000000	91.004272	-164.3651
680.000000	91.002159	-163.9266
690.000000	91.000908	-163.4428
700.000000	90.995262	-162.9894
710.000000	91.000595	-162.4915
720.000000	91.002457	-161.9688
730.000000	91.003471	-161.5022
740.000000	91.003769	-160.9998
750.000000	91.008919	-160.4802
762.000000	91.015244	-159.8766
775.000000	91.026939	-159.2095
788.000000	91.035934	-158.5182
800.000000	91.052910	-157.8622
812.000000	91.068649	-157.2138
825.000000	91.088409	-156.4905
838.000000	91.112106	-155.7838
850.000000	91.136864	-155.1113
862.000000	91.166206	-154.4549
875.000000	91.202110	-153.7270
885.000000	91.225212	-153.1724
900.000000	91.259979	-152.3896
912.000000	91.319016	-151.6952
925.000000	91.372887	-150.9667
938.000000	91.424744	-150.2554
950.000000	91.485893	-149.6477
962.000000	91.537773	-148.9853
975.000000	91.607513	-148.3299
988.000000	91.674820	-147.6990
1000.000000	91.761147	-147.1601
1015.000000	91.835587	-146.4469
1030.000000	91.929550	-145.7894
1044.000000	92.022697	-145.2306
1060.000000	92.135178	-144.6346
1075.000000	92.232559	-144.1044
1090.000000	92.344139	-143.6178
1106.000000	92.457634	-143.1584
1120.000000	92.550735	-142.8260
1138.000000	92.677658	-142.4279
1150.000000	92.762169	-142.1447
1172.000000	92.910057	-141.7681
1180.000000	92.961060	-141.6561
1206.000000	93.126785	-141.3242
1220.000000	93.211449	-141.1808
1241.000000	93.337143	-141.0207
1250.000000	93.382538	-140.9386
1265.000000	93.463593	-140.8688
1280.000000	93.537186	-140.7798
1315.000000	93.702774	-140.6431
1320.000000	93.723534	-140.6412
1340.000000	93.810455	-140.5672
1360.000000	93.886307	-140.5106
1380.000000	93.958145	-140.4072
1400.000000	94.021973	-140.3884
1430.000000	94.116203	-140.2432
1450.000000	94.174606	-140.1758
1475.000000	94.240486	-140.0069
1500.000000	94.313408	-139.8062
1525.000000	94.369446	-139.6804
1550.000000	94.429573	-139.4589
1575.000000	94.490356	-139.2262
1600.000000	94.547623	-139.0092
1625.000000	94.614456	-138.6927
1650.000000	94.672073	-138.4367
1675.000000	94.738693	-138.1132
1700.000000	94.802841	-137.8147
1725.000000	94.873909	-137.4671
1750.000000	94.946152	-137.1384
1775.000000	95.022079	-136.8134
1800.000000	95.102669	-136.4962
1825.000000	95.181259	-136.1681
1850.000000	95.267059	-135.8681
1875.000000	95.356834	-135.5368
1900.000000	95.452438	-135.2377
1925.000000	95.550385	-134.9818
1950.000000	95.651390	-134.7203
1975.000000	95.757477	-134.4726
2000.000000	95.859413	-134.3176
2030.000000	95.998940	-134.0511
2060.000000	96.139343	-133.8839
2090.000000	96.279373	-133.7604
2120.000000	96.426804	-133.7109
2140.000000	96.523567	-133.7104
2180.000000	96.724983	-133.7942
2200.000000	96.823929	-133.8746
2240.000000	97.026314	-134.1486
2270.000000	97.173691	-134.4505
2300.000000	97.316879	-134.8448
2330.000000	97.454887	-135.2946
2360.000000	97.588455	-135.8173
2400.000000	97.748306	-136.6339
2430.000000	97.858414	-137.3139
2470.000000	97.984451	-138.2915
2500.000000	98.061966	-139.0616
2540.000000	98.150291	-140.1271
2580.000000	98.209869	-141.1696
2620.000000	98.244858	-142.1961
2650.000000	98.255074	-142.9020
2690.000000	98.254768	-143.7837
2720.000000	98.245667	-144.3727
2760.000000	98.226242	-145.0352
2800.000000	98.198448	-145.6157
2850.000000	98.167419	-146.1982
2900.000000	98.138000	-146.6429
2950.000000	98.116508	-147.0008
3000.000000	98.108856	-147.2835
3040.000000	98.107269	-147.5755
3070.000000	98.106468	-147.7401
3110.000000	98.116058	-148.0039
3150.000000	98.128281	-148.2914
3200.000000	98.145012	-148.6654
3250.000000	98.162643	-149.0815
3300.000000	98.182671	-149.5646
3350.000000	98.195732	-150.1039
3400.000000	98.210678	-150.7052
3450.000000	98.217041	-151.3296
3500.000000	98.220039	-152.0091
3550.000000	98.220093	-152.7437
3600.000000	98.209488	-153.5091
3650.000000	98.193527	-154.2966
3700.000000	98.170898	-155.1262
3750.000000	98.138489	-155.9734
3820.000000	98.080017	-157.1566
3870.000000	98.021416	-158.0551
3950.000000	97.915756	-159.4470
4000.000000	97.849205	-160.3384
4060.000000	97.718697	-161.3337
4120.000000	97.584038	-162.3169
4180.000000	97.436951	-163.2219
4250.000000	97.238556	-164.1663
4310.000000	97.048470	-164.8025
4370.000000	96.851562	-165.3007
4440.000000	96.612152	-165.5996
4500.000000	96.414604	-165.6434
4550.000000	96.264496	-165.5335
4620.000000	96.077988	-165.2221
4680.000000	95.956314	-164.8883
4750.000000	95.845757	-164.5251
4820.000000	95.765327	-164.2433
4870.000000	95.720848	-164.1778
4940.000000	95.662834	-164.2066
5000.000000	95.592819	-164.3752
5080.000000	95.497910	-164.6287
5150.000000	95.387573	-164.8979
5220.000000	95.267609	-165.1332
5300.000000	95.105423	-165.3529
5380.000000	94.931206	-165.4744
5450.000000	94.771591	-165.4638
5520.000000	94.606796	-165.3672
5600.000000	94.424042	-165.1357
5700.000000	94.181984	-164.5735
5800.000000	93.959625	-163.8671
5900.000000	93.750610	-162.9253
6000.000000	93.539177	-161.7181
6080.000000	93.416252	-160.7189
6150.000000	93.312027	-159.7342
6220.000000	93.211807	-158.6396
6300.000000	93.135468	-157.3139
6400.000000	93.067780	-155.5800
6500.000000	93.040070	-153.7300
6600.000000	93.059952	-151.8394
6700.000000	93.125061	-149.8608
6800.000000	93.249298	-147.8888
6900.000000	93.425797	-145.9585
7000.000000	93.675385	-144.1796
7100.000000	93.991341	-142.4870
7200.000000	94.392311	-141.1535
7300.000000	94.867661	-140.2483
7400.000000	95.409538	-139.9951
7500.000000	95.997871	-140.4692
7620.000000	96.763191	-142.3065
7750.000000	97.562103	-146.1969
7880.000000	98.189117	-152.1799
8000.000000	98.496307	-159.0221
8120.000000	98.443939	-166.1884
8250.000000	98.081665	-173.1074
8380.000000	97.509026	-178.6170
8500.000000	96.900604	177.4799
8620.000000	96.256294	174.5174
8750.000000	95.553299	172.2746
8850.000000	95.042511	171.1840
9000.000000	94.325699	170.2332
9120.000000	93.788383	169.8713
9250.000000	93.264984	169.8777
9380.000000	92.790817	170.0976
9500.000000	92.401169	170.4483
9620.000000	92.052925	170.9191
9750.000000	91.702385	171.3758
9880.000000	91.385277	172.0122
10000.000000	91.122826	172.5219
10150.000000	90.863945	173.2866
10300.000000	90.660950	173.9675
10440.000000	90.514259	174.4049
10600.000000	90.405907	174.7361
10750.000000	90.359970	175.0409
10900.000000	90.361465	174.4979
11060.000000	90.413116	173.6354
11200.000000	90.471443	172.3113
11380.000000	90.564613	169.7839
11500.000000	90.616913	167.6995
11720.000000	90.648209	162.7451
11800.000000	90.624298	160.6434
12060.000000	90.374031	153.3640
12200.000000	90.163979	149.3539
12410.000000	89.800903	143.2245
12500.000000	89.617317	140.5358
12650.000000	89.267616	135.8879
12800.000000	88.859680	131.4071
13150.000000	87.825951	121.8350
13200.000000	87.688782	120.4429
13400.000000	87.152359	115.4138
13600.000000	86.647339	110.2898
13800.000000	86.247162	105.1504
14000.000000	85.932968	99.4639
14300.000000	85.677689	90.4422
14500.000000	85.721809	82.9739
14750.000000	85.986755	71.7354
15000.000000	86.399879	56.4639
15250.000000	86.749115	35.9413
15500.000000	86.371887	9.5811
15750.000000	84.361420	-16.3727
16000.000000	82.561401	-27.9139
16250.000000	82.573639	-45.9684
16500.000000	82.054314	-71.5159
16750.000000	81.149208	-97.6616
17000.000000	80.167969	-123.9382
17250.000000	79.268280	-151.9949
17500.000000	78.648788	177.6487
17750.000000	78.399734	143.7902
18000.000000	78.278252	104.0844
18250.000000	78.415390	56.5190
18500.000000	78.355850	2.0415
18750.000000	77.710396	-62.7841
19000.000000	76.378136	-135.9966
19250.000000	75.104507	144.8772
19500.000000	74.088684	49.7896
19750.000000	73.137047	-72.6394
