* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 8, 2025 8:28:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Letshuoer black
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.780	-179.3639
20.600000	106.744	-179.9097
20.900000	106.703	179.6133
21.200001	106.664	179.1446
21.400000	106.640	178.8298
21.799999	106.596	178.1874
22.000000	106.576	177.8611
22.400000	106.535	177.2113
22.700001	106.502	176.7426
23.000000	106.468	176.3009
23.299999	106.432	175.8890
23.600000	106.396	175.5020
24.000000	106.348	175.0057
24.299999	106.313	174.6344
24.700001	106.266	174.1306
25.000000	106.230	173.7504
25.400000	106.182	173.2540
25.799999	106.134	172.7851
26.200001	106.090	172.3474
26.500000	106.058	172.0345
26.900000	106.016	171.6279
27.200001	105.983	171.3277
27.600000	105.938	170.9358
28.000000	105.889	170.5587
28.500000	105.827	170.1096
29.000000	105.767	169.6714
29.500000	105.709	169.2296
30.000000	105.652	168.7898
30.400000	105.604	168.4528
30.700001	105.569	168.2141
31.100000	105.523	167.9145
31.500000	105.479	167.6299
32.000000	105.425	167.2845
32.500000	105.371	166.9477
33.000000	105.316	166.6250
33.500000	105.260	166.3180
34.000000	105.205	166.0203
34.500000	105.151	165.7276
35.000000	105.096	165.4440
35.500000	105.043	165.1761
36.000000	104.991	164.9223
36.500000	104.942	164.6737
37.000000	104.892	164.4257
37.500000	104.840	164.1849
38.200001	104.766	163.8770
38.700001	104.714	163.6757
39.500000	104.635	163.3582
40.000000	104.586	163.1589
40.599998	104.526	162.9311
41.200001	104.468	162.7212
41.799999	104.412	162.5226
42.500000	104.348	162.2989
43.099998	104.291	162.1192
43.700001	104.235	161.9542
44.400002	104.170	161.7671
45.000000	104.116	161.5949
45.500000	104.071	161.4470
46.200001	104.008	161.2705
46.799999	103.956	161.1731
47.500000	103.901	161.0905
48.200001	103.849	160.9738
48.700001	103.808	160.8578
49.400002	103.747	160.6799
50.000000	103.695	160.5428
50.799999	103.629	160.4032
51.500000	103.574	160.3091
52.200001	103.519	160.2208
53.000000	103.454	160.1231
53.799999	103.394	160.0226
54.500000	103.342	159.9373
55.200001	103.291	159.8807
56.000000	103.234	159.8318
57.000000	103.163	159.7312
58.000000	103.087	159.6585
59.000000	103.014	159.6480
60.000000	102.949	159.6381
60.799999	102.903	159.5511
61.500000	102.858	159.4590
62.200001	102.811	159.4274
63.000000	102.764	159.4285
64.000000	102.703	159.4039
65.000000	102.639	159.3938
66.000000	102.580	159.3688
67.000000	102.519	159.3612
68.000000	102.462	159.3745
69.000000	102.407	159.3749
70.000000	102.352	159.3936
71.000000	102.297	159.4202
72.000000	102.243	159.4300
73.000000	102.190	159.4457
74.000000	102.139	159.4820
75.000000	102.088	159.5220
76.199997	102.029	159.5721
77.500000	101.968	159.6204
78.800003	101.905	159.6775
80.000000	101.849	159.7459
81.199997	101.796	159.8130
82.500000	101.738	159.8743
83.800003	101.682	159.9595
85.000000	101.633	160.0439
86.199997	101.583	160.1198
87.500000	101.529	160.2063
88.500000	101.490	160.2720
90.000000	101.431	160.3737
91.199997	101.386	160.4678
92.500000	101.337	160.5646
93.800003	101.290	160.6715
95.000000	101.249	160.7609
96.199997	101.207	160.8651
97.500000	101.164	160.9666
98.800003	101.120	161.0822
100.000000	101.081	161.1719
101.500000	101.032	161.3122
103.000000	100.985	161.4415
104.400002	100.943	161.5696
106.000000	100.895	161.7081
107.500000	100.853	161.8404
109.000000	100.809	161.9792
110.599998	100.764	162.1147
112.000000	100.726	162.2530
113.800003	100.679	162.4109
115.000000	100.647	162.5237
117.199997	100.594	162.7296
118.000000	100.574	162.8166
120.599998	100.499	163.0548
122.000000	100.479	163.1729
124.099998	100.427	163.3918
125.000000	100.407	163.4658
126.500000	100.375	163.6062
128.000000	100.343	163.7531
131.500000	100.270	164.0880
132.000000	100.260	164.1365
134.000000	100.217	164.3290
136.000000	100.179	164.5234
138.000000	100.141	164.6962
140.000000	100.103	164.8994
143.000000	100.046	165.1864
145.000000	100.010	165.3743
147.500000	99.966	165.6179
150.000000	99.921	165.8600
152.500000	99.877	166.1132
155.000000	99.834	166.3680
157.500000	99.791	166.6308
160.000000	99.750	166.9024
162.500000	99.706	167.2198
165.000000	99.665	167.5135
167.500000	99.626	167.8600
170.000000	99.592	168.2300
172.500000	99.565	168.6566
175.000000	99.552	169.1116
177.500000	99.552	169.4821
180.000000	99.561	170.0974
