* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 8, 2025 8:30:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.789	178.4930
20.600000	106.752	177.9461
20.900000	106.709	177.4604
21.200001	106.665	176.9835
21.400000	106.637	176.6663
21.799999	106.585	176.0303
22.000000	106.561	175.7121
22.400000	106.514	175.0829
22.700001	106.478	174.6266
23.000000	106.442	174.1911
23.299999	106.404	173.7795
23.600000	106.365	173.3910
24.000000	106.313	172.9001
24.299999	106.275	172.5429
24.700001	106.225	172.0690
25.000000	106.188	171.7117
25.400000	106.139	171.2353
25.799999	106.089	170.7698
26.200001	106.038	170.3282
26.500000	106.000	170.0166
26.900000	105.949	169.6240
27.200001	105.911	169.3406
27.600000	105.862	168.9664
28.000000	105.813	168.5900
28.500000	105.751	168.1193
29.000000	105.688	167.6661
29.500000	105.627	167.2442
30.000000	105.567	166.8513
30.400000	105.521	166.5498
30.700001	105.486	166.3276
31.100000	105.439	166.0351
31.500000	105.391	165.7487
32.000000	105.330	165.4034
32.500000	105.269	165.0753
33.000000	105.211	164.7632
33.500000	105.153	164.4629
34.000000	105.097	164.1701
34.500000	105.040	163.8837
35.000000	104.982	163.6067
35.500000	104.925	163.3419
36.000000	104.869	163.0890
36.500000	104.815	162.8456
37.000000	104.761	162.6116
37.500000	104.707	162.3900
38.200001	104.631	162.1021
38.700001	104.578	161.9046
39.500000	104.495	161.5862
40.000000	104.444	161.3898
40.599998	104.382	161.1729
41.200001	104.321	160.9819
41.799999	104.263	160.8043
42.500000	104.195	160.5946
43.099998	104.135	160.4169
43.700001	104.075	160.2531
44.400002	104.008	160.0728
45.000000	103.953	159.9165
45.500000	103.906	159.7910
46.200001	103.841	159.6387
46.799999	103.786	159.5284
47.500000	103.722	159.4097
48.200001	103.659	159.2932
48.700001	103.616	159.2025
49.400002	103.558	159.0613
50.000000	103.507	158.9541
50.799999	103.440	158.8617
51.500000	103.385	158.7803
52.200001	103.325	158.6645
53.000000	103.253	158.5554
53.799999	103.192	158.5098
54.500000	103.149	158.4686
55.200001	103.101	158.4079
56.000000	103.035	158.3693
57.000000	102.959	158.3337
58.000000	102.887	158.2156
59.000000	102.814	158.2657
60.000000	102.763	158.3041
60.799999	102.704	158.1697
61.500000	102.642	158.1022
62.200001	102.593	158.0949
63.000000	102.547	158.0658
64.000000	102.481	158.0662
65.000000	102.417	158.0855
66.000000	102.354	158.0715
67.000000	102.295	158.0885
68.000000	102.236	158.1094
69.000000	102.176	158.1300
70.000000	102.120	158.1537
