* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 12, 2025 5:27:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.417	-147.2826
20.299999	106.454	-147.9981
20.600000	106.487	-148.7418
20.900000	106.513	-149.4958
21.200001	106.530	-150.2293
21.400000	106.538	-150.6910
21.799999	106.552	-151.5336
22.000000	106.560	-151.9183
22.400000	106.585	-152.6469
22.700001	106.609	-153.1964
23.000000	106.636	-153.7720
23.299999	106.661	-154.3769
23.600000	106.680	-154.9958
24.000000	106.695	-155.7972
24.299999	106.701	-156.3532
24.700001	106.710	-157.0260
25.000000	106.720	-157.4992
25.400000	106.738	-158.1291
25.799999	106.758	-158.7882
26.200001	106.772	-159.4667
26.500000	106.777	-159.9650
26.900000	106.781	-160.5884
27.200001	106.784	-161.0229
27.600000	106.793	-161.5819
28.000000	106.805	-162.1518
28.500000	106.820	-162.9045
29.000000	106.826	-163.6660
29.500000	106.825	-164.3828
30.000000	106.826	-165.0486
30.400000	106.829	-165.5692
30.700001	106.832	-165.9630
31.100000	106.836	-166.4914
31.500000	106.837	-167.0117
32.000000	106.837	-167.6386
32.500000	106.839	-168.2488
33.000000	106.839	-168.8572
33.500000	106.837	-169.4550
34.000000	106.832	-170.0201
34.500000	106.829	-170.5543
35.000000	106.830	-171.0897
35.500000	106.831	-171.6507
36.000000	106.825	-172.2241
36.500000	106.814	-172.7734
37.000000	106.800	-173.2773
37.500000	106.789	-173.7467
38.200001	106.781	-174.4012
38.700001	106.776	-174.8884
39.500000	106.764	-175.6821
40.000000	106.754	-176.1669
40.599998	106.741	-176.7310
41.200001	106.728	-177.2792
41.799999	106.713	-177.8115
42.500000	106.696	-178.4108
43.099998	106.682	-178.9097
43.700001	106.668	-179.4027
44.400002	106.649	-179.9776
45.000000	106.629	179.5409
45.500000	106.611	179.1674
46.200001	106.587	178.6929
46.799999	106.574	178.2880
47.500000	106.560	177.7643
48.200001	106.540	177.2156
48.700001	106.522	176.8362
49.400002	106.495	176.3149
50.000000	106.470	175.8796
50.799999	106.437	175.3463
51.500000	106.415	174.8670
52.200001	106.387	174.3351
53.000000	106.340	173.8186
53.799999	106.309	173.4288
54.500000	106.297	173.0019
55.200001	106.273	172.5115
56.000000	106.238	172.0563
57.000000	106.213	171.5183
58.000000	106.183	170.9041
59.000000	106.148	170.3298
60.000000	106.104	169.7541
60.799999	106.065	169.3790
61.500000	106.039	169.0672
62.200001	106.013	168.7195
63.000000	105.979	168.3235
64.000000	105.938	167.8455
65.000000	105.895	167.3672
66.000000	105.852	166.9054
67.000000	105.809	166.4609
68.000000	105.770	166.0214
69.000000	105.725	165.5696
70.000000	105.679	165.1919
71.000000	105.641	164.8091
72.000000	105.601	164.3795
73.000000	105.552	163.9421
74.000000	105.500	163.5846
75.000000	105.458	163.2300
76.199997	105.401	162.7845
77.500000	105.347	162.3618
78.800003	105.291	161.9067
80.000000	105.239	161.4959
81.199997	105.184	161.1166
82.500000	105.128	160.6912
83.800003	105.068	160.3063
85.000000	105.018	159.9274
86.199997	104.964	159.5750
87.500000	104.906	159.1937
88.500000	104.860	158.9286
90.000000	104.795	158.5187
91.199997	104.738	158.2031
92.500000	104.679	157.9076
93.800003	104.625	157.5842
95.000000	104.570	157.2893
96.199997	104.517	157.0266
97.500000	104.461	156.7335
98.800003	104.405	156.4556
100.000000	104.352	156.1895
101.500000	104.284	155.8937
103.000000	104.221	155.6046
104.400002	104.159	155.3312
106.000000	104.090	155.0168
107.500000	104.022	154.7872
109.000000	103.964	154.5141
110.599998	103.896	154.2357
112.000000	103.835	154.0108
113.800003	103.761	153.7345
115.000000	103.711	153.5688
117.199997	103.619	153.2477
118.000000	103.585	153.1422
120.599998	103.483	152.8199
122.000000	103.421	152.6341
124.099998	103.335	152.3911
125.000000	103.300	152.2897
126.500000	103.238	152.1230
128.000000	103.180	151.9705
131.500000	103.042	151.6321
132.000000	103.024	151.5908
134.000000	102.945	151.3852
136.000000	102.870	151.2353
138.000000	102.793	151.0647
140.000000	102.720	150.9135
143.000000	102.610	150.6996
145.000000	102.534	150.5877
147.500000	102.442	150.4420
150.000000	102.351	150.3080
152.500000	102.265	150.1774
155.000000	102.179	150.0859
157.500000	102.091	149.9810
160.000000	102.007	149.9198
162.500000	101.923	149.8471
165.000000	101.841	149.7955
167.500000	101.761	149.7500
170.000000	101.685	149.6960
172.500000	101.614	149.6398
175.000000	101.537	149.5896
177.500000	101.459	149.5520
180.000000	101.374	149.4819
182.500000	101.308	149.4550
185.000000	101.233	149.4461
187.500000	101.155	149.4528
190.000000	101.072	149.4753
192.500000	101.008	149.4546
195.000000	100.943	149.5541
197.500000	100.879	149.6040
200.000000	100.820	149.6203
203.000000	100.741	149.6267
206.000000	100.666	149.6512
209.000000	100.590	149.6569
212.000000	100.510	149.6845
214.000000	100.455	149.7138
218.000000	100.352	149.7818
220.000000	100.299	149.8347
224.000000	100.195	149.9585
227.000000	100.119	150.0533
230.000000	100.050	150.1515
233.000000	99.976	150.2830
236.000000	99.908	150.4278
240.000000	99.813	150.6530
243.000000	99.761	150.8181
247.000000	99.686	151.0124
250.000000	99.635	151.1466
254.000000	99.566	151.2777
258.000000	99.493	151.4114
262.000000	99.419	151.4708
265.000000	99.366	151.5711
269.000000	99.285	151.7249
272.000000	99.230	151.8192
276.000000	99.150	151.9770
280.000000	99.077	152.1515
285.000000	98.982	152.3987
290.000000	98.892	152.6452
295.000000	98.801	152.8997
300.000000	98.722	153.1648
304.000000	98.654	153.4317
307.000000	98.606	153.6234
311.000000	98.551	153.8747
315.000000	98.501	154.1081
320.000000	98.433	154.3883
325.000000	98.370	154.6005
330.000000	98.308	154.8171
335.000000	98.240	155.0943
340.000000	98.167	155.3061
345.000000	98.098	155.5589
350.000000	98.028	155.7881
355.000000	97.969	156.0566
360.000000	97.902	156.3436
365.000000	97.838	156.6221
370.000000	97.772	156.9067
375.000000	97.713	157.2177
382.000000	97.627	157.6475
387.000000	97.573	157.9164
395.000000	97.488	158.4462
400.000000	97.439	158.7721
406.000000	97.382	159.0851
412.000000	97.321	159.4751
418.000000	97.260	159.8538
425.000000	97.196	160.2483
431.000000	97.139	160.6043
437.000000	97.091	160.9584
444.000000	97.029	161.4294
450.000000	96.978	161.7657
455.000000	96.936	162.0677
462.000000	96.879	162.5142
468.000000	96.829	162.9012
475.000000	96.772	163.3040
482.000000	96.722	163.7645
487.000000	96.689	164.0578
494.000000	96.637	164.4867
500.000000	96.599	164.8715
508.000000	96.549	165.4050
515.000000	96.501	165.8396
522.000000	96.459	166.2660
530.000000	96.412	166.7541
538.000000	96.363	167.2692
545.000000	96.327	167.7308
552.000000	96.287	168.1802
560.000000	96.248	168.6646
570.000000	96.196	169.2915
580.000000	96.151	169.9372
590.000000	96.106	170.5758
600.000000	96.065	171.1907
608.000000	96.031	171.7316
615.000000	96.008	172.1527
622.000000	95.980	172.5951
630.000000	95.954	173.1266
640.000000	95.922	173.7228
650.000000	95.891	174.3948
660.000000	95.857	175.0508
670.000000	95.833	175.6670
680.000000	95.811	176.3466
690.000000	95.791	176.9615
700.000000	95.770	177.6027
710.000000	95.752	178.2569
720.000000	95.734	178.8731
730.000000	95.717	179.5256
740.000000	95.712	-179.8281
750.000000	95.705	-179.1627
762.000000	95.691	-178.4101
775.000000	95.689	-177.5881
788.000000	95.687	-176.7303
800.000000	95.685	-175.9366
812.000000	95.693	-175.1813
825.000000	95.703	-174.3426
838.000000	95.718	-173.4763
850.000000	95.733	-172.7607
862.000000	95.756	-171.9710
875.000000	95.783	-171.1176
885.000000	95.809	-170.4863
900.000000	95.845	-169.5593
912.000000	95.886	-168.8117
925.000000	95.931	-168.0109
938.000000	95.980	-167.1921
950.000000	96.026	-166.4886
962.000000	96.080	-165.8085
975.000000	96.143	-165.0712
988.000000	96.211	-164.3030
1000.000000	96.278	-163.6836
1015.000000	96.361	-162.8757
1030.000000	96.455	-162.1057
1044.000000	96.542	-161.4277
1060.000000	96.655	-160.6750
1075.000000	96.758	-159.9997
1090.000000	96.869	-159.3741
1106.000000	96.989	-158.7515
1120.000000	97.102	-158.2498
1138.000000	97.248	-157.6108
1150.000000	97.352	-157.2187
1172.000000	97.540	-156.5775
1180.000000	97.612	-156.3879
1206.000000	97.854	-155.7906
1220.000000	97.988	-155.5156
1241.000000	98.192	-155.2280
1250.000000	98.283	-155.1486
1265.000000	98.434	-155.0876
1280.000000	98.594	-155.0477
1315.000000	98.946	-155.3316
1320.000000	98.998	-155.4241
1340.000000	99.191	-155.7890
1360.000000	99.374	-156.3362
1380.000000	99.543	-156.9910
1400.000000	99.686	-157.7370
1430.000000	99.873	-158.9930
1450.000000	99.971	-159.8343
1475.000000	100.069	-160.9408
1500.000000	100.139	-161.9740
1525.000000	100.194	-163.0470
1550.000000	100.228	-164.0307
1575.000000	100.247	-164.9710
1600.000000	100.251	-165.8567
1625.000000	100.250	-166.6734
1650.000000	100.236	-167.4587
1675.000000	100.215	-168.1964
1700.000000	100.187	-168.8875
1725.000000	100.153	-169.5402
1750.000000	100.110	-170.1276
1775.000000	100.068	-170.7053
1800.000000	100.016	-171.2329
1825.000000	99.963	-171.7151
1850.000000	99.902	-172.1736
1875.000000	99.843	-172.5801
1900.000000	99.777	-172.9441
1925.000000	99.709	-173.2588
1950.000000	99.640	-173.5378
1975.000000	99.566	-173.8001
2000.000000	99.493	-173.9987
2030.000000	99.407	-174.1813
2060.000000	99.320	-174.3486
2090.000000	99.230	-174.4296
2120.000000	99.145	-174.4737
2140.000000	99.091	-174.4539
2180.000000	98.984	-174.4366
2200.000000	98.929	-174.3716
2240.000000	98.832	-174.2753
2270.000000	98.760	-174.1707
2300.000000	98.692	-174.0443
2330.000000	98.624	-173.8970
2360.000000	98.562	-173.7665
2400.000000	98.480	-173.5396
2430.000000	98.412	-173.3950
2470.000000	98.336	-173.1496
2500.000000	98.271	-172.9788
2540.000000	98.193	-172.6870
2580.000000	98.111	-172.4507
2620.000000	98.036	-172.1006
2650.000000	97.969	-171.7830
2690.000000	97.891	-171.4121
2720.000000	97.840	-171.0932
2760.000000	97.770	-170.6170
2800.000000	97.706	-170.1135
2850.000000	97.640	-169.4730
2900.000000	97.579	-168.8241
2950.000000	97.522	-168.1894
3000.000000	97.477	-167.5354
3040.000000	97.444	-167.0413
3070.000000	97.419	-166.6762
3110.000000	97.394	-166.1782
3150.000000	97.371	-165.6666
3200.000000	97.349	-165.0797
3250.000000	97.330	-164.5271
3300.000000	97.311	-163.9839
3350.000000	97.290	-163.4735
3400.000000	97.283	-162.9737
3450.000000	97.270	-162.5150
3500.000000	97.257	-162.0089
3550.000000	97.245	-161.5484
3600.000000	97.242	-161.1308
3650.000000	97.225	-160.7043
3700.000000	97.221	-160.2880
3750.000000	97.214	-159.9014
3820.000000	97.203	-159.3760
3870.000000	97.192	-159.0392
3950.000000	97.172	-158.5055
4000.000000	97.156	-158.1487
4060.000000	97.139	-157.6752
4120.000000	97.125	-157.2042
4180.000000	97.113	-156.7665
4250.000000	97.106	-156.2940
4310.000000	97.101	-155.8134
4370.000000	97.093	-155.4672
4440.000000	97.091	-154.9817
4500.000000	97.071	-154.5251
4550.000000	97.074	-154.1759
4620.000000	97.083	-153.6302
4680.000000	97.099	-153.1465
4750.000000	97.139	-152.6815
4820.000000	97.177	-152.2900
4870.000000	97.224	-152.0804
4940.000000	97.291	-151.9263
5000.000000	97.362	-152.0247
5080.000000	97.427	-152.3505
5150.000000	97.449	-152.8859
5220.000000	97.441	-153.5483
5300.000000	97.381	-154.2495
5380.000000	97.271	-154.8905
5450.000000	97.151	-155.3249
5520.000000	97.006	-155.5419
5600.000000	96.827	-155.5941
5700.000000	96.599	-155.2261
5800.000000	96.388	-154.5582
5900.000000	96.207	-153.5511
6000.000000	96.075	-152.3249
6080.000000	96.011	-151.1507
6150.000000	95.999	-150.2287
6220.000000	96.013	-149.2408
6300.000000	96.058	-148.3037
6400.000000	96.178	-147.3696
6500.000000	96.339	-146.8988
6600.000000	96.513	-146.9833
6700.000000	96.677	-147.6234
6800.000000	96.770	-148.7352
6900.000000	96.799	-150.1495
7000.000000	96.734	-151.5642
7100.000000	96.623	-152.5908
7200.000000	96.534	-153.2917
7300.000000	96.454	-154.1871
7400.000000	96.349	-155.3718
7500.000000	96.154	-156.4324
7620.000000	95.860	-157.1710
7750.000000	95.559	-156.9968
7880.000000	95.369	-156.0661
8000.000000	95.302	-155.6713
8120.000000	95.313	-155.0329
8250.000000	95.454	-155.1741
8380.000000	95.598	-156.1938
8500.000000	95.674	-157.9723
8620.000000	95.676	-160.1841
8750.000000	95.558	-162.4101
8850.000000	95.432	-164.2966
9000.000000	95.105	-166.7403
9120.000000	94.772	-168.3853
9250.000000	94.370	-168.5775
9380.000000	94.143	-168.1277
9500.000000	94.082	-167.8412
9620.000000	94.157	-168.0375
9750.000000	94.307	-169.2788
9880.000000	94.444	-172.2643
10000.000000	94.347	-176.6833
10150.000000	93.544	177.4647
10300.000000	92.116	178.4931
10440.000000	91.573	-174.7673
10600.000000	92.114	-169.1108
10750.000000	92.835	-169.0756
10900.000000	93.234	-171.9105
11060.000000	93.280	-174.7549
11200.000000	93.286	-175.4427
11380.000000	93.598	-175.8303
11500.000000	93.968	-176.8980
11720.000000	94.723	178.7872
11800.000000	94.988	176.7944
12060.000000	95.760	167.9295
12200.000000	96.000	161.8684
12410.000000	96.090	153.0088
12500.000000	96.104	149.5337
12650.000000	96.096	144.0869
12800.000000	96.186	139.7742
13150.000000	97.551	124.0869
13200.000000	97.753	120.3273
13400.000000	97.826	101.7010
13600.000000	96.617	86.3879
13800.000000	95.522	78.9582
14000.000000	95.272	72.2839
14300.000000	95.287	58.4510
14500.000000	95.513	47.5263
14750.000000	95.778	32.2880
15000.000000	96.467	13.6585
15250.000000	96.779	-10.3586
15500.000000	96.445	-34.9479
15750.000000	96.622	-58.4948
16000.000000	96.458	-92.5812
16250.000000	94.258	-123.7153
16500.000000	92.916	-141.4948
16750.000000	93.614	-173.8722
17000.000000	90.990	143.7380
17250.000000	87.790	119.9277
17500.000000	86.281	98.9011
17750.000000	85.493	71.8793
18000.000000	84.941	39.4656
18250.000000	84.328	1.5353
18500.000000	83.500	-40.3804
18750.000000	83.183	-88.0917
19000.000000	82.730	-148.3622
19250.000000	81.739	142.1562
19500.000000	79.877	62.7871
19750.000000	77.531	-30.0247
