* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 12, 2025 5:24:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.360	-150.4844
20.299999	106.385	-151.1950
20.600000	106.405	-151.9096
20.900000	106.420	-152.6057
21.200001	106.431	-153.2621
21.400000	106.438	-153.6738
21.799999	106.457	-154.4580
22.000000	106.470	-154.8469
22.400000	106.499	-155.6500
22.700001	106.518	-156.2850
23.000000	106.531	-156.9307
23.299999	106.535	-157.5567
23.600000	106.535	-158.1325
24.000000	106.533	-158.7992
24.299999	106.537	-159.2411
24.700001	106.554	-159.8091
25.000000	106.573	-160.2563
25.400000	106.599	-160.9005
25.799999	106.619	-161.5774
26.200001	106.631	-162.2469
26.500000	106.637	-162.7304
26.900000	106.643	-163.3530
27.200001	106.647	-163.8097
27.600000	106.648	-164.4061
28.000000	106.647	-164.9769
28.500000	106.644	-165.6350
29.000000	106.646	-166.2485
29.500000	106.655	-166.8682
30.000000	106.666	-167.5312
30.400000	106.671	-168.0872
30.700001	106.672	-168.5065
31.100000	106.668	-169.0534
31.500000	106.662	-169.5730
32.000000	106.654	-170.1776
32.500000	106.651	-170.7487
33.000000	106.654	-171.3300
33.500000	106.655	-171.9529
34.000000	106.648	-172.5912
34.500000	106.629	-173.1748
35.000000	106.611	-173.6600
35.500000	106.603	-174.0845
36.000000	106.608	-174.5360
36.500000	106.613	-175.0630
37.000000	106.609	-175.6345
37.500000	106.594	-176.1849
38.200001	106.567	-176.8595
38.700001	106.552	-177.2958
39.500000	106.536	-178.0036
40.000000	106.526	-178.4684
40.599998	106.510	-179.0300
41.200001	106.491	-179.5720
41.799999	106.472	179.9156
42.500000	106.453	179.3508
43.099998	106.440	178.8708
43.700001	106.427	178.3670
44.400002	106.403	177.7855
45.000000	106.377	177.3660
45.500000	106.364	177.0610
46.200001	106.358	176.5795
46.799999	106.347	176.0750
47.500000	106.317	175.5016
48.200001	106.284	175.0029
48.700001	106.263	174.6476
49.400002	106.226	174.1676
50.000000	106.197	173.8239
50.799999	106.176	173.3478
51.500000	106.152	172.8406
52.200001	106.118	172.4120
53.000000	106.101	171.9948
53.799999	106.091	171.3761
54.500000	106.052	170.8063
55.200001	106.003	170.4156
56.000000	105.968	170.0479
57.000000	105.928	169.5064
58.000000	105.884	169.0240
59.000000	105.851	168.5335
60.000000	105.814	167.9430
60.799999	105.769	167.4900
61.500000	105.730	167.1804
62.200001	105.702	166.8854
63.000000	105.672	166.4792
64.000000	105.622	165.9995
65.000000	105.583	165.5671
66.000000	105.540	165.0477
67.000000	105.487	164.6214
68.000000	105.447	164.2034
69.000000	105.397	163.7744
70.000000	105.353	163.4149
71.000000	105.312	162.9890
72.000000	105.262	162.5988
73.000000	105.216	162.2078
74.000000	105.162	161.8279
75.000000	105.113	161.5155
76.199997	105.064	161.1120
77.500000	105.010	160.6107
78.800003	104.943	160.1687
80.000000	104.891	159.8172
81.199997	104.838	159.4242
82.500000	104.775	159.0324
83.800003	104.715	158.6521
85.000000	104.657	158.3065
86.199997	104.604	157.9665
87.500000	104.542	157.5932
88.500000	104.495	157.3488
90.000000	104.431	156.9541
91.199997	104.372	156.6541
92.500000	104.315	156.3601
93.800003	104.252	156.0344
95.000000	104.199	155.7838
96.199997	104.145	155.4927
97.500000	104.083	155.2149
98.800003	104.028	154.9677
100.000000	103.978	154.6895
101.500000	103.904	154.3992
103.000000	103.841	154.1440
104.400002	103.780	153.8491
106.000000	103.706	153.5924
107.500000	103.642	153.3195
109.000000	103.573	153.0614
110.599998	103.501	152.8430
112.000000	103.445	152.6275
113.800003	103.366	152.3404
115.000000	103.313	152.1885
117.199997	103.223	151.8936
118.000000	103.190	151.7751
120.599998	103.078	151.4731
122.000000	103.018	151.2953
124.099998	102.936	151.0599
125.000000	102.900	150.9427
126.500000	102.836	150.7789
128.000000	102.775	150.6253
131.500000	102.636	150.3268
132.000000	102.615	150.2823
134.000000	102.535	150.0806
136.000000	102.454	149.9209
138.000000	102.379	149.7888
140.000000	102.301	149.6302
143.000000	102.187	149.4403
145.000000	102.115	149.3295
147.500000	102.016	149.1928
150.000000	101.925	149.0698
152.500000	101.837	148.9440
155.000000	101.748	148.8232
157.500000	101.657	148.7417
160.000000	101.569	148.6687
162.500000	101.483	148.5909
165.000000	101.395	148.5261
167.500000	101.311	148.4796
170.000000	101.228	148.4636
172.500000	101.143	148.4151
175.000000	101.065	148.4008
177.500000	100.989	148.4019
180.000000	100.915	148.3971
182.500000	100.836	148.4050
185.000000	100.761	148.3977
187.500000	100.690	148.3836
190.000000	100.615	148.3998
192.500000	100.539	148.3992
195.000000	100.467	148.4255
197.500000	100.394	148.4272
200.000000	100.323	148.4605
203.000000	100.237	148.5089
206.000000	100.151	148.5724
209.000000	100.066	148.6458
212.000000	99.980	148.7261
214.000000	99.928	148.7984
218.000000	99.821	148.9716
220.000000	99.771	149.0875
224.000000	99.674	149.2578
227.000000	99.604	149.4077
230.000000	99.543	149.5104
233.000000	99.477	149.6077
236.000000	99.412	149.6951
240.000000	99.323	149.8126
243.000000	99.256	149.9359
247.000000	99.163	150.0994
250.000000	99.093	150.2576
254.000000	99.004	150.4416
258.000000	98.916	150.6879
262.000000	98.829	150.9650
265.000000	98.771	151.1569
269.000000	98.695	151.4590
272.000000	98.645	151.7147
276.000000	98.589	152.0249
280.000000	98.539	152.2769
285.000000	98.481	152.5650
290.000000	98.419	152.7018
295.000000	98.352	152.8354
300.000000	98.273	152.9711
304.000000	98.206	153.0987
307.000000	98.157	153.2101
311.000000	98.091	153.3720
315.000000	98.026	153.5442
320.000000	97.947	153.7786
325.000000	97.865	154.0208
330.000000	97.784	154.3173
335.000000	97.710	154.5778
340.000000	97.635	154.8463
345.000000	97.561	155.1427
350.000000	97.496	155.4468
355.000000	97.428	155.7539
360.000000	97.363	156.0594
365.000000	97.293	156.4016
370.000000	97.232	156.6851
375.000000	97.170	156.9855
382.000000	97.086	157.4441
387.000000	97.032	157.7659
395.000000	96.941	158.2642
400.000000	96.888	158.5948
406.000000	96.823	158.9905
412.000000	96.764	159.4193
418.000000	96.703	159.8041
425.000000	96.638	160.2686
431.000000	96.582	160.6712
437.000000	96.529	161.0422
444.000000	96.464	161.5262
450.000000	96.414	161.9206
455.000000	96.373	162.2761
462.000000	96.315	162.7281
468.000000	96.272	163.1475
475.000000	96.214	163.5984
482.000000	96.164	164.0666
487.000000	96.128	164.3859
494.000000	96.082	164.8767
500.000000	96.044	165.2490
508.000000	95.986	165.8206
515.000000	95.945	166.2550
522.000000	95.902	166.7228
530.000000	95.860	167.2603
538.000000	95.808	167.8266
545.000000	95.779	168.2371
552.000000	95.744	168.7367
560.000000	95.702	169.2627
570.000000	95.656	169.9266
580.000000	95.610	170.6132
590.000000	95.568	171.2700
600.000000	95.520	171.9291
608.000000	95.499	172.4570
615.000000	95.473	172.9389
622.000000	95.450	173.3545
630.000000	95.419	173.9110
640.000000	95.395	174.5934
650.000000	95.364	175.2209
660.000000	95.340	175.9022
670.000000	95.317	176.5696
680.000000	95.295	177.1907
690.000000	95.270	177.8639
700.000000	95.257	178.5471
710.000000	95.237	179.2174
720.000000	95.228	179.8629
730.000000	95.216	-179.4709
740.000000	95.202	-178.8136
750.000000	95.203	-178.2033
762.000000	95.197	-177.3597
775.000000	95.194	-176.5229
788.000000	95.195	-175.6642
800.000000	95.201	-174.8503
812.000000	95.210	-174.0713
825.000000	95.227	-173.2297
838.000000	95.243	-172.3182
850.000000	95.260	-171.5550
862.000000	95.286	-170.7827
875.000000	95.314	-169.9491
885.000000	95.342	-169.2981
900.000000	95.386	-168.3461
912.000000	95.425	-167.5681
925.000000	95.471	-166.8012
938.000000	95.530	-165.9837
950.000000	95.581	-165.2640
962.000000	95.639	-164.5573
975.000000	95.703	-163.8401
988.000000	95.775	-163.0802
1000.000000	95.846	-162.4096
1015.000000	95.933	-161.6055
1030.000000	96.031	-160.8753
1044.000000	96.124	-160.1913
1060.000000	96.246	-159.4609
1075.000000	96.354	-158.7845
1090.000000	96.467	-158.1830
1106.000000	96.598	-157.5809
1120.000000	96.714	-157.1144
1138.000000	96.869	-156.4686
1150.000000	96.975	-156.1281
1172.000000	97.172	-155.5948
1180.000000	97.246	-155.3916
1206.000000	97.490	-154.9345
1220.000000	97.625	-154.7572
1241.000000	97.829	-154.5968
1250.000000	97.916	-154.5695
1265.000000	98.063	-154.5571
1280.000000	98.203	-154.6494
1315.000000	98.531	-155.0841
1320.000000	98.575	-155.1857
1340.000000	98.740	-155.6481
1360.000000	98.900	-156.1897
1380.000000	99.034	-156.7848
1400.000000	99.159	-157.4700
1430.000000	99.311	-158.5337
1450.000000	99.395	-159.2675
1475.000000	99.482	-160.1659
1500.000000	99.552	-161.0595
1525.000000	99.602	-161.9300
1550.000000	99.639	-162.7672
1575.000000	99.666	-163.5581
1600.000000	99.683	-164.3450
1625.000000	99.687	-165.0896
1650.000000	99.682	-165.8096
1675.000000	99.677	-166.5001
1700.000000	99.663	-167.1563
1725.000000	99.636	-167.7849
1750.000000	99.606	-168.3758
1775.000000	99.572	-168.9561
1800.000000	99.528	-169.4992
1825.000000	99.484	-170.0030
1850.000000	99.429	-170.4913
1875.000000	99.371	-170.9556
1900.000000	99.306	-171.3750
1925.000000	99.238	-171.7589
1950.000000	99.162	-172.1000
1975.000000	99.087	-172.4024
2000.000000	99.006	-172.6327
2030.000000	98.907	-172.9084
2060.000000	98.806	-173.1075
2090.000000	98.706	-173.2421
2120.000000	98.605	-173.3511
2140.000000	98.538	-173.3956
2180.000000	98.395	-173.4120
2200.000000	98.322	-173.3720
2240.000000	98.175	-173.2785
2270.000000	98.066	-173.0876
2300.000000	97.956	-172.8669
2330.000000	97.850	-172.5430
2360.000000	97.753	-172.2184
2400.000000	97.629	-171.6727
2430.000000	97.533	-171.2354
2470.000000	97.414	-170.6109
2500.000000	97.337	-170.0428
2540.000000	97.234	-169.2529
2580.000000	97.149	-168.4519
2620.000000	97.078	-167.5883
2650.000000	97.030	-166.9290
2690.000000	96.983	-166.1005
2720.000000	96.946	-165.4065
2760.000000	96.905	-164.5247
2800.000000	96.879	-163.6624
2850.000000	96.861	-162.5438
2900.000000	96.851	-161.5031
2950.000000	96.851	-160.3835
3000.000000	96.873	-159.2923
3040.000000	96.894	-158.4789
3070.000000	96.924	-157.7681
3110.000000	96.970	-156.9176
3150.000000	97.040	-156.1561
3200.000000	97.149	-155.3572
3250.000000	97.265	-154.7725
3300.000000	97.361	-154.4281
3350.000000	97.444	-154.2288
3400.000000	97.507	-154.0151
3450.000000	97.562	-153.8623
3500.000000	97.603	-153.6197
3550.000000	97.644	-153.4156
3600.000000	97.677	-153.1779
3650.000000	97.714	-152.9374
3700.000000	97.756	-152.7715
3750.000000	97.791	-152.5207
3820.000000	97.855	-152.3522
3870.000000	97.890	-152.2132
3950.000000	97.944	-152.0544
4000.000000	97.972	-152.0015
4060.000000	97.993	-151.9441
4120.000000	98.020	-151.8140
4180.000000	98.052	-151.6811
4250.000000	98.092	-151.5977
4310.000000	98.138	-151.6064
4370.000000	98.189	-151.6406
4440.000000	98.236	-151.8955
4500.000000	98.265	-152.1864
4550.000000	98.271	-152.4650
4620.000000	98.266	-152.8649
4680.000000	98.251	-153.2329
4750.000000	98.224	-153.6382
4820.000000	98.180	-154.0623
4870.000000	98.138	-154.3624
4940.000000	98.070	-154.8253
5000.000000	97.990	-155.1578
5080.000000	97.866	-155.5049
5150.000000	97.746	-155.7192
5220.000000	97.606	-155.8134
5300.000000	97.441	-155.6418
5380.000000	97.292	-155.2791
5450.000000	97.187	-154.8682
5520.000000	97.093	-154.5072
5600.000000	96.996	-154.0451
5700.000000	96.863	-153.6220
5800.000000	96.722	-153.0493
5900.000000	96.594	-152.1599
6000.000000	96.492	-151.3544
6080.000000	96.440	-150.5903
6150.000000	96.411	-149.9024
6220.000000	96.389	-149.3457
6300.000000	96.382	-148.6815
6400.000000	96.397	-148.0558
6500.000000	96.431	-147.4773
6600.000000	96.479	-147.2421
6700.000000	96.536	-147.3063
6800.000000	96.578	-147.6660
6900.000000	96.557	-148.4155
7000.000000	96.431	-149.1342
7100.000000	96.209	-149.2606
7200.000000	96.027	-148.1132
7300.000000	96.032	-146.6277
7400.000000	96.159	-145.5681
7500.000000	96.347	-145.3814
7620.000000	96.576	-145.8087
7750.000000	96.808	-147.2162
7880.000000	96.946	-149.4025
8000.000000	96.955	-151.9529
8120.000000	96.825	-154.3665
8250.000000	96.548	-156.7932
8380.000000	96.167	-158.1190
8500.000000	95.861	-157.9614
8620.000000	95.756	-157.4403
8750.000000	95.760	-157.8002
8850.000000	95.798	-158.3840
9000.000000	95.796	-160.6912
9120.000000	95.606	-163.1186
9250.000000	95.147	-164.9017
9380.000000	94.603	-164.1920
9500.000000	94.363	-161.7677
9620.000000	94.466	-159.6229
9750.000000	94.734	-158.5360
9880.000000	95.051	-158.6746
10000.000000	95.360	-159.4189
10150.000000	95.778	-161.3104
10300.000000	96.180	-165.1669
10440.000000	96.268	-171.1388
10600.000000	95.490	-176.5546
10750.000000	94.621	-173.4093
10900.000000	95.035	-168.6186
11060.000000	96.072	-168.2442
11200.000000	96.910	-172.5284
11380.000000	97.387	178.6570
11500.000000	97.260	173.4402
11720.000000	96.920	167.8568
11800.000000	96.824	166.6658
12060.000000	97.227	163.8955
12200.000000	97.752	160.2253
12410.000000	98.307	151.2616
12500.000000	98.379	147.6890
12650.000000	98.651	142.1392
12800.000000	98.981	135.3901
13150.000000	99.519	116.8838
13200.000000	99.559	114.0634
13400.000000	99.771	102.4355
13600.000000	99.991	89.6436
13800.000000	100.196	73.3709
14000.000000	99.335	55.2546
14300.000000	97.821	40.6438
14500.000000	97.607	30.8450
14750.000000	97.533	17.9249
15000.000000	97.913	3.1548
15250.000000	98.879	-16.5947
15500.000000	99.172	-42.9674
15750.000000	99.068	-69.1303
16000.000000	98.875	-92.9838
16250.000000	99.947	-123.9783
16500.000000	99.194	-168.8730
16750.000000	96.270	155.5620
17000.000000	94.453	133.0912
17250.000000	94.869	104.4171
17500.000000	94.900	52.1949
17750.000000	91.354	-5.4700
18000.000000	85.790	-50.5604
18250.000000	80.153	-82.7598
18500.000000	75.625	-104.0946
18750.000000	74.177	-122.6848
19000.000000	74.732	-163.5164
19250.000000	74.440	130.9150
19500.000000	72.117	55.1927
19750.000000	67.615	-27.4436
