* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 24, 2025 6:10:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: blk L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.231	-179.2966
20.600000	101.218	-179.8279
20.900000	101.196	179.7025
21.200001	101.171	179.2419
21.400000	101.155	178.9349
21.799999	101.126	178.3135
22.000000	101.113	177.9981
22.400000	101.088	177.3631
22.700001	101.070	176.8918
23.000000	101.050	176.4329
23.299999	101.029	175.9913
23.600000	101.006	175.5682
24.000000	100.973	175.0278
24.299999	100.946	174.6336
24.700001	100.910	174.1135
25.000000	100.883	173.7239
25.400000	100.846	173.2035
25.799999	100.810	172.6844
26.200001	100.775	172.1704
26.500000	100.748	171.7914
26.900000	100.713	171.2988
27.200001	100.686	170.9410
27.600000	100.649	170.4797
28.000000	100.612	170.0328
28.500000	100.565	169.4856
29.000000	100.516	168.9499
29.500000	100.462	168.4393
30.000000	100.407	167.9707
30.400000	100.363	167.6244
30.700001	100.332	167.3734
31.100000	100.292	167.0380
31.500000	100.253	166.6927
32.000000	100.204	166.2475
32.500000	100.153	165.8021
33.000000	100.100	165.3737
33.500000	100.046	164.9716
34.000000	99.992	164.5974
34.500000	99.940	164.2455
35.000000	99.889	163.9033
35.500000	99.838	163.5597
36.000000	99.786	163.2164
36.500000	99.731	162.8866
37.000000	99.675	162.5799
37.500000	99.620	162.2924
38.200001	99.544	161.9026
38.700001	99.490	161.6293
39.500000	99.406	161.2141
40.000000	99.355	160.9684
40.599998	99.296	160.6758
41.200001	99.234	160.3735
41.799999	99.169	160.0656
42.500000	99.086	159.7383
43.099998	99.014	159.5270
43.700001	98.950	159.3828
44.400002	98.891	159.2290
45.000000	98.847	159.0260
45.500000	98.808	158.7841
46.200001	98.735	158.4036
46.799999	98.659	158.1520
47.500000	98.570	158.0065
48.200001	98.494	157.9379
48.700001	98.444	157.8857
49.400002	98.377	157.8019
50.000000	98.326	157.7109
50.799999	98.266	157.5135
51.500000	98.209	157.2966
52.200001	98.144	157.1208
53.000000	98.069	156.9802
53.799999	97.990	156.8608
54.500000	97.920	156.7878
55.200001	97.856	156.7231
56.000000	97.786	156.6041
57.000000	97.693	156.5342
58.000000	97.623	156.5222
59.000000	97.538	156.3339
60.000000	97.437	156.3513
60.799999	97.389	156.3781
61.500000	97.344	156.2946
62.200001	97.283	156.2776
63.000000	97.221	156.3395
64.000000	97.148	156.3174
65.000000	97.070	156.3198
66.000000	97.000	156.3570
67.000000	96.928	156.4027
68.000000	96.860	156.4296
69.000000	96.790	156.4677
70.000000	96.725	156.5371
71.000000	96.659	156.5719
72.000000	96.595	156.6271
73.000000	96.536	156.6928
74.000000	96.476	156.7733
75.000000	96.417	156.8473
76.199997	96.345	156.9586
77.500000	96.274	157.0881
78.800003	96.203	157.2047
80.000000	96.140	157.3475
81.199997	96.079	157.4907
82.500000	96.015	157.6254
83.800003	95.952	157.7742
85.000000	95.896	157.9137
86.199997	95.840	158.0567
87.500000	95.784	158.2289
88.500000	95.740	158.3513
90.000000	95.679	158.5563
91.199997	95.630	158.6925
92.500000	95.577	158.8820
93.800003	95.528	159.0544
95.000000	95.486	159.2163
96.199997	95.441	159.3676
97.500000	95.395	159.5537
98.800003	95.349	159.7151
100.000000	95.312	159.9037
101.500000	95.264	160.1093
103.000000	95.220	160.3130
104.400002	95.180	160.5016
106.000000	95.132	160.7283
107.500000	95.089	160.9324
109.000000	95.047	161.1671
110.599998	95.008	161.3685
112.000000	94.973	161.5484
113.800003	94.933	161.7802
115.000000	94.902	161.9412
117.199997	94.850	162.2780
118.000000	94.834	162.3849
120.599998	94.781	162.7078
122.000000	94.752	162.8817
124.099998	94.712	163.1381
125.000000	94.695	163.2498
126.500000	94.665	163.4540
128.000000	94.640	163.6318
131.500000	94.580	164.0894
132.000000	94.571	164.1432
134.000000	94.545	164.3755
136.000000	94.509	164.6154
138.000000	94.484	164.8524
140.000000	94.453	165.0793
143.000000	94.414	165.4274
145.000000	94.385	165.6458
147.500000	94.359	165.9146
150.000000	94.322	166.1904
152.500000	94.300	166.4705
155.000000	94.270	166.6882
157.500000	94.238	166.9908
160.000000	94.217	167.1996
162.500000	94.185	167.4714
165.000000	94.159	167.7460
167.500000	94.134	167.9732
170.000000	94.109	168.2348
172.500000	94.082	168.5090
175.000000	94.055	168.7858
177.500000	94.024	169.1286
180.000000	94.001	169.3099
182.500000	93.992	169.8840
185.000000	93.992	170.2770
187.500000	94.016	170.6781
190.000000	94.052	170.8751
192.500000	94.074	170.9358
195.000000	94.075	170.9373
197.500000	94.067	170.9663
200.000000	94.052	171.0443
203.000000	94.034	171.1341
206.000000	94.013	171.2905
209.000000	93.992	171.4320
212.000000	93.977	171.6224
214.000000	93.965	171.7283
218.000000	93.946	171.9599
220.000000	93.936	172.0828
224.000000	93.916	172.3035
227.000000	93.904	172.4886
230.000000	93.889	172.6683
233.000000	93.872	172.8398
236.000000	93.862	173.0160
240.000000	93.838	173.2259
243.000000	93.831	173.4266
247.000000	93.817	173.6561
250.000000	93.803	173.8312
254.000000	93.793	174.0622
258.000000	93.778	174.3016
262.000000	93.766	174.5352
265.000000	93.759	174.6970
269.000000	93.752	174.9284
272.000000	93.742	175.0873
276.000000	93.736	175.3104
280.000000	93.730	175.5105
285.000000	93.719	175.7625
290.000000	93.710	175.9657
295.000000	93.699	176.2122
300.000000	93.688	176.4268
304.000000	93.680	176.6563
307.000000	93.674	176.8104
311.000000	93.674	176.9870
315.000000	93.670	177.1794
320.000000	93.665	177.3862
325.000000	93.660	177.5617
330.000000	93.653	177.7195
335.000000	93.641	177.8920
340.000000	93.633	178.0781
345.000000	93.617	178.2522
350.000000	93.608	178.4571
355.000000	93.598	178.6514
360.000000	93.586	178.8625
365.000000	93.578	179.0684
370.000000	93.571	179.2642
375.000000	93.563	179.4643
382.000000	93.554	179.7312
387.000000	93.547	179.9075
395.000000	93.535	-179.8149
400.000000	93.526	-179.6431
406.000000	93.515	-179.4464
412.000000	93.502	-179.2141
418.000000	93.493	-178.9837
425.000000	93.479	-178.7153
431.000000	93.471	-178.4878
437.000000	93.463	-178.2820
444.000000	93.456	-178.0169
450.000000	93.448	-177.8116
455.000000	93.442	-177.6175
462.000000	93.427	-177.3805
468.000000	93.420	-177.1742
475.000000	93.408	-176.9161
