* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 24, 2025 6:17:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: blk R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.354	178.2522
20.600000	101.337	177.7131
20.900000	101.314	177.2314
21.200001	101.291	176.7488
21.400000	101.276	176.4224
21.799999	101.244	175.7611
22.000000	101.227	175.4305
22.400000	101.192	174.7816
22.700001	101.163	174.3140
23.000000	101.133	173.8641
23.299999	101.104	173.4281
23.600000	101.074	172.9998
24.000000	101.034	172.4310
24.299999	101.004	172.0034
24.700001	100.963	171.4354
25.000000	100.932	171.0175
25.400000	100.890	170.4812
25.799999	100.847	169.9765
26.200001	100.803	169.5016
26.500000	100.770	169.1566
26.900000	100.727	168.6945
27.200001	100.694	168.3364
27.600000	100.648	167.8419
28.000000	100.598	167.3446
28.500000	100.534	166.7666
29.000000	100.476	166.2725
29.500000	100.430	165.8333
30.000000	100.389	165.3754
30.400000	100.352	164.9733
30.700001	100.316	164.6632
31.100000	100.258	164.2708
31.500000	100.193	163.9321
32.000000	100.116	163.5806
32.500000	100.053	163.2479
33.000000	99.998	162.8717
33.500000	99.942	162.4557
34.000000	99.880	162.0493
34.500000	99.815	161.6784
35.000000	99.751	161.3241
35.500000	99.687	160.9654
36.000000	99.623	160.6173
36.500000	99.560	160.3121
37.000000	99.501	160.0538
37.500000	99.447	159.8109
38.200001	99.370	159.4468
38.700001	99.308	159.1777
39.500000	99.201	158.7740
40.000000	99.135	158.5373
40.599998	99.057	158.2732
41.200001	98.982	158.0473
41.799999	98.915	157.8379
42.500000	98.841	157.5563
43.099998	98.772	157.3095
43.700001	98.699	157.1298
44.400002	98.621	156.9830
45.000000	98.555	156.8258
45.500000	98.493	156.6695
46.200001	98.399	156.4749
46.799999	98.322	156.3309
47.500000	98.243	156.1328
48.200001	98.166	155.9292
48.700001	98.112	155.8217
49.400002	98.040	155.7330
50.000000	97.979	155.6931
50.799999	97.897	155.6279
51.500000	97.820	155.5053
52.200001	97.738	155.3809
53.000000	97.656	155.3452
53.799999	97.594	155.3641
54.500000	97.538	155.3594
55.200001	97.472	155.3247
56.000000	97.388	155.2908
57.000000	97.300	155.3540
58.000000	97.208	155.3105
59.000000	97.049	155.3971
60.000000	96.947	155.5251
60.799999	96.903	155.2718
61.500000	96.857	155.1326
62.200001	96.818	155.2091
63.000000	96.773	155.3410
64.000000	96.690	155.5354
65.000000	96.614	155.7280
66.000000	96.537	155.8747
67.000000	96.462	155.9760
68.000000	96.384	156.0457
69.000000	96.317	156.2185
70.000000	96.252	156.3647
71.000000	96.181	156.5025
72.000000	96.118	156.6254
73.000000	96.055	156.7794
74.000000	95.995	156.9519
75.000000	95.935	157.1071
76.199997	95.869	157.4056
77.500000	95.801	157.6521
78.800003	95.722	157.8216
80.000000	95.664	158.0032
81.199997	95.604	158.2486
82.500000	95.541	158.4972
83.800003	95.480	158.7332
85.000000	95.425	158.9823
86.199997	95.376	159.2191
87.500000	95.321	159.4689
88.500000	95.282	159.6765
90.000000	95.221	159.9399
91.199997	95.178	160.1977
92.500000	95.136	160.4584
93.800003	95.094	160.7086
95.000000	95.052	160.9430
96.199997	95.016	161.1875
97.500000	94.976	161.4262
98.800003	94.939	161.6989
100.000000	94.897	161.9160
101.500000	94.861	162.1931
103.000000	94.825	162.5040
104.400002	94.789	162.7512
106.000000	94.750	163.0343
107.500000	94.721	163.3156
109.000000	94.685	163.5937
110.599998	94.653	163.8960
112.000000	94.627	164.1149
113.800003	94.594	164.4229
115.000000	94.572	164.6431
117.199997	94.540	165.0142
118.000000	94.529	165.1762
120.599998	94.474	165.6461
122.000000	94.464	165.7768
124.099998	94.438	166.1245
125.000000	94.428	166.2701
126.500000	94.410	166.4845
128.000000	94.388	166.7406
131.500000	94.351	167.2494
132.000000	94.345	167.3304
134.000000	94.328	167.5974
136.000000	94.306	167.8581
138.000000	94.290	168.1370
140.000000	94.273	168.3910
143.000000	94.247	168.7816
145.000000	94.231	169.0268
147.500000	94.218	169.3105
150.000000	94.201	169.6238
152.500000	94.185	169.8853
155.000000	94.169	170.1873
157.500000	94.157	170.4445
160.000000	94.146	170.7462
162.500000	94.127	171.0199
165.000000	94.114	171.2289
167.500000	94.101	171.4939
170.000000	94.091	171.7454
172.500000	94.077	171.9934
175.000000	94.067	172.2245
177.500000	94.052	172.4745
180.000000	94.039	172.6049
182.500000	94.034	172.9869
185.000000	94.025	173.2331
187.500000	94.020	173.5142
190.000000	94.013	173.7563
192.500000	94.013	173.9896
195.000000	94.007	174.1996
197.500000	93.996	174.4271
200.000000	93.987	174.7132
203.000000	93.976	175.0453
206.000000	93.976	175.5160
209.000000	94.009	176.0160
212.000000	94.077	176.3266
214.000000	94.117	176.3246
218.000000	94.155	176.1220
220.000000	94.149	176.0629
224.000000	94.132	176.0360
227.000000	94.119	176.1049
230.000000	94.108	176.2156
233.000000	94.092	176.3239
236.000000	94.082	176.4612
240.000000	94.071	176.6786
243.000000	94.064	176.7786
247.000000	94.050	176.9789
250.000000	94.047	177.1133
254.000000	94.036	177.2863
258.000000	94.026	177.5038
262.000000	94.022	177.6745
265.000000	94.015	177.8138
269.000000	94.007	177.9836
272.000000	94.004	178.1206
276.000000	93.998	178.3155
280.000000	93.990	178.4891
285.000000	93.986	178.6981
290.000000	93.977	178.9244
295.000000	93.972	179.1276
300.000000	93.964	179.3367
304.000000	93.959	179.4974
307.000000	93.953	179.6333
311.000000	93.948	179.7977
315.000000	93.943	179.9485
320.000000	93.940	-179.8347
325.000000	93.934	-179.6525
330.000000	93.925	-179.4362
335.000000	93.915	-179.2639
340.000000	93.914	-179.0679
345.000000	93.904	-178.8815
350.000000	93.895	-178.6932
355.000000	93.888	-178.4901
360.000000	93.880	-178.2554
365.000000	93.872	-178.0370
370.000000	93.869	-177.8063
375.000000	93.867	-177.5652
382.000000	93.878	-177.2546
387.000000	93.887	-177.0967
395.000000	93.889	-176.9114
400.000000	93.883	-176.7887
406.000000	93.877	-176.6248
412.000000	93.869	-176.4407
418.000000	93.858	-176.2575
425.000000	93.851	-176.0271
431.000000	93.844	-175.8389
437.000000	93.831	-175.6208
444.000000	93.822	-175.3835
450.000000	93.812	-175.1623
455.000000	93.807	-174.9738
462.000000	93.800	-174.6800
468.000000	93.798	-174.4469
475.000000	93.802	-174.1882
482.000000	93.800	-174.0013
487.000000	93.795	-173.8617
494.000000	93.791	-173.6346
500.000000	93.781	-173.4561
508.000000	93.771	-173.1812
515.000000	93.763	-172.9343
522.000000	93.754	-172.7041
530.000000	93.744	-172.4179
538.000000	93.739	-172.1389
545.000000	93.731	-171.9041
552.000000	93.726	-171.6479
560.000000	93.717	-171.3696
570.000000	93.709	-171.0058
580.000000	93.698	-170.6342
590.000000	93.690	-170.2312
600.000000	93.681	-169.8804
608.000000	93.676	-169.5834
615.000000	93.669	-169.3048
622.000000	93.665	-169.0319
630.000000	93.658	-168.7163
640.000000	93.653	-168.3326
650.000000	93.648	-167.8967
660.000000	93.640	-167.4901
670.000000	93.636	-167.0779
680.000000	93.635	-166.6815
690.000000	93.633	-166.2474
700.000000	93.628	-165.8225
710.000000	93.629	-165.3948
720.000000	93.631	-164.9411
730.000000	93.633	-164.5053
740.000000	93.634	-164.0310
750.000000	93.637	-163.5944
762.000000	93.646	-163.0532
775.000000	93.657	-162.4225
788.000000	93.665	-161.7967
800.000000	93.680	-161.2412
812.000000	93.696	-160.6393
825.000000	93.717	-160.0134
838.000000	93.739	-159.3821
850.000000	93.768	-158.7726
862.000000	93.797	-158.1843
875.000000	93.829	-157.5455
885.000000	93.862	-157.0617
900.000000	93.904	-156.3455
912.000000	93.953	-155.7355
925.000000	94.001	-155.1058
938.000000	94.055	-154.4895
950.000000	94.110	-153.9430
962.000000	94.170	-153.4095
975.000000	94.236	-152.8350
988.000000	94.307	-152.3075
1000.000000	94.374	-151.8456
1015.000000	94.459	-151.2490
1030.000000	94.552	-150.7146
1044.000000	94.641	-150.2639
1060.000000	94.744	-149.7769
1075.000000	94.844	-149.3699
1090.000000	94.942	-149.0122
1106.000000	95.047	-148.6784
1120.000000	95.142	-148.4346
1138.000000	95.256	-148.1535
1150.000000	95.331	-147.9887
1172.000000	95.468	-147.7695
1180.000000	95.514	-147.7115
1206.000000	95.663	-147.5450
1220.000000	95.739	-147.4850
1241.000000	95.842	-147.4512
1250.000000	95.889	-147.4281
1265.000000	95.954	-147.4127
1280.000000	96.017	-147.4095
1315.000000	96.152	-147.4373
1320.000000	96.170	-147.4270
1340.000000	96.234	-147.4401
1360.000000	96.295	-147.4279
1380.000000	96.348	-147.4157
1400.000000	96.399	-147.4033
1430.000000	96.463	-147.3284
1450.000000	96.505	-147.2413
1475.000000	96.551	-147.0685
1500.000000	96.599	-146.8716
1525.000000	96.644	-146.5801
1550.000000	96.701	-146.2532
1575.000000	96.771	-145.9203
1600.000000	96.845	-145.6342
1625.000000	96.924	-145.3687
1650.000000	97.000	-145.1536
1675.000000	97.074	-144.9342
1700.000000	97.146	-144.7313
1725.000000	97.222	-144.5090
1750.000000	97.297	-144.2967
1775.000000	97.371	-144.0831
1800.000000	97.449	-143.8614
1825.000000	97.535	-143.6481
1850.000000	97.619	-143.4529
1875.000000	97.703	-143.2388
1900.000000	97.791	-143.0712
1925.000000	97.884	-142.9138
1950.000000	97.981	-142.7684
1975.000000	98.078	-142.6369
2000.000000	98.179	-142.5103
2030.000000	98.306	-142.4350
2060.000000	98.433	-142.4282
2090.000000	98.564	-142.4376
2120.000000	98.698	-142.5201
2140.000000	98.787	-142.6157
2180.000000	98.965	-142.8907
2200.000000	99.057	-143.0764
2240.000000	99.231	-143.5737
2270.000000	99.359	-144.0176
2300.000000	99.482	-144.5873
2330.000000	99.594	-145.2301
2360.000000	99.696	-145.9501
2400.000000	99.809	-147.0470
2430.000000	99.873	-147.9592
2470.000000	99.924	-149.2337
2500.000000	99.939	-150.2122
2540.000000	99.912	-151.4904
2580.000000	99.837	-152.6502
2620.000000	99.714	-153.5950
2650.000000	99.599	-154.0890
2690.000000	99.421	-154.3618
2720.000000	99.289	-154.2573
2760.000000	99.133	-153.6966
2800.000000	99.023	-152.7540
2850.000000	98.985	-151.3244
2900.000000	99.048	-149.9453
2950.000000	99.182	-148.9076
3000.000000	99.355	-148.2861
3040.000000	99.499	-148.0409
3070.000000	99.607	-148.0087
3110.000000	99.742	-148.0999
3150.000000	99.866	-148.3383
3200.000000	99.999	-148.7986
3250.000000	100.112	-149.3615
3300.000000	100.200	-149.9971
3350.000000	100.271	-150.6700
3400.000000	100.326	-151.3560
3450.000000	100.366	-152.0969
3500.000000	100.387	-152.8311
3550.000000	100.394	-153.5648
3600.000000	100.384	-154.2985
