* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 22, 2024 6:56:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.064659	-133.9879
20.600000	99.121399	-134.7893
20.900000	99.168846	-135.5313
21.200001	99.212311	-136.2876
21.400000	99.240005	-136.8026
21.799999	99.292862	-137.8494
22.000000	99.318108	-138.3732
22.400000	99.366508	-139.3985
22.700001	99.401810	-140.1273
23.000000	99.437363	-140.8123
23.299999	99.474060	-141.4546
23.600000	99.512238	-142.0639
24.000000	99.564407	-142.8505
24.299999	99.602753	-143.4392
24.700001	99.650146	-144.2387
25.000000	99.681549	-144.8521
25.400000	99.717430	-145.6834
25.799999	99.747505	-146.5174
26.200001	99.773872	-147.3374
26.500000	99.792648	-147.9331
26.900000	99.818123	-148.6915
27.200001	99.838486	-149.2305
27.600000	99.867775	-149.9135
28.000000	99.898621	-150.5680
28.500000	99.935806	-151.3705
29.000000	99.966629	-152.1772
29.500000	99.988899	-152.9972
30.000000	100.004143	-153.8321
30.400000	100.013336	-154.5072
30.700001	100.019630	-155.0118
31.100000	100.028564	-155.6709
31.500000	100.039780	-156.3028
32.000000	100.058655	-157.0503
32.500000	100.081360	-157.7673
33.000000	100.101807	-158.4733
33.500000	100.114777	-159.1655
34.000000	100.121750	-159.8291
34.500000	100.129333	-160.4724
35.000000	100.141609	-161.1294
35.500000	100.155640	-161.8152
36.000000	100.166252	-162.4940
36.500000	100.173538	-163.1141
37.000000	100.182106	-163.6716
37.500000	100.192993	-164.2183
38.200001	100.199905	-165.0456
38.700001	100.192474	-165.6553
39.500000	100.175186	-166.5605
40.000000	100.173508	-167.1031
40.599998	100.177681	-167.7841
41.200001	100.175583	-168.4685
41.799999	100.164169	-169.0844
42.500000	100.151169	-169.7161
43.099998	100.146393	-170.2739
43.700001	100.142471	-170.8952
44.400002	100.133804	-171.6384
45.000000	100.126335	-172.2307
45.500000	100.121178	-172.6937
46.200001	100.109863	-173.3153
46.799999	100.094147	-173.8186
47.500000	100.077621	-174.3868
48.200001	100.067673	-174.9951
48.700001	100.059280	-175.4470
49.400002	100.041634	-176.0195
50.000000	100.026405	-176.4345
50.799999	100.011101	-176.9960
51.500000	99.996513	-177.5969
52.200001	99.973854	-178.2735
53.000000	99.940582	-178.9641
53.799999	99.917778	-179.4822
54.500000	99.902573	-179.9247
55.200001	99.874184	179.6299
56.000000	99.849411	179.1701
57.000000	99.836182	178.3185
58.000000	99.767418	177.6573
59.000000	99.765411	177.3627
60.000000	99.733566	176.4460
60.799999	99.652061	176.1036
61.500000	99.653870	175.9182
62.200001	99.666771	175.2699
63.000000	99.608536	174.6151
64.000000	99.596390	174.4045
65.000000	99.599121	173.5747
66.000000	99.496742	173.0953
67.000000	99.466164	172.7852
68.000000	99.414864	172.1814
69.000000	99.378426	171.8448
70.000000	99.350639	171.2512
71.000000	99.293076	170.7694
72.000000	99.265366	170.3111
73.000000	99.222198	169.7965
74.000000	99.175499	169.4056
75.000000	99.133522	168.9918
76.199997	99.080162	168.5290
77.500000	99.029373	168.0613
78.800003	98.975845	167.5328
80.000000	98.926361	167.0945
81.199997	98.871498	166.6432
82.500000	98.814301	166.2148
83.800003	98.761620	165.7690
85.000000	98.710915	165.3671
86.199997	98.657578	164.9760
87.500000	98.604576	164.5853
88.500000	98.560417	164.2889
90.000000	98.495018	163.8466
91.199997	98.443428	163.4975
92.500000	98.387787	163.1450
93.800003	98.333504	162.8191
95.000000	98.281242	162.4964
96.199997	98.227386	162.1954
97.500000	98.174606	161.8783
98.800003	98.122513	161.6020
100.000000	98.070236	161.3194
101.500000	98.002968	160.9701
103.000000	97.941101	160.6614
104.400002	97.883820	160.3750
106.000000	97.817833	160.0345
107.500000	97.750885	159.7646
109.000000	97.690453	159.5073
110.599998	97.624298	159.2092
112.000000	97.568459	158.9752
113.800003	97.495285	158.6924
115.000000	97.443489	158.4913
117.199997	97.353928	158.1459
118.000000	97.318161	158.0459
120.599998	97.218689	157.5779
122.000000	97.166473	157.5329
124.099998	97.078728	157.2531
125.000000	97.045425	157.1311
126.500000	96.987114	156.9776
128.000000	96.928154	156.8187
131.500000	96.794571	156.4571
132.000000	96.774628	156.4108
134.000000	96.698601	156.2279
136.000000	96.622284	156.0684
138.000000	96.549492	155.9114
140.000000	96.473724	155.7755
143.000000	96.366821	155.5726
145.000000	96.297264	155.4359
147.500000	96.207626	155.2943
150.000000	96.124077	155.1615
152.500000	96.038399	155.0188
155.000000	95.951805	154.9022
157.500000	95.865570	154.8094
160.000000	95.780563	154.7363
162.500000	95.694801	154.6395
165.000000	95.607712	154.5983
167.500000	95.528404	154.5831
170.000000	95.450905	154.5361
172.500000	95.370872	154.5008
175.000000	95.290848	154.4724
177.500000	95.209991	154.4657
180.000000	95.105614	154.4634
182.500000	95.040512	154.4333
185.000000	94.947105	154.5043
187.500000	94.856735	154.6018
190.000000	94.759544	154.7728
192.500000	94.660622	155.0761
195.000000	94.578217	155.5321
197.500000	94.541573	156.2410
200.000000	94.570091	156.7807
203.000000	94.630806	156.7729
206.000000	94.628357	156.3525
209.000000	94.580368	155.9824
212.000000	94.509201	155.7586
214.000000	94.458282	155.6481
218.000000	94.347702	155.5539
220.000000	94.295319	155.5529
224.000000	94.195312	155.5526
227.000000	94.118057	155.6260
230.000000	94.047455	155.6801
233.000000	93.977081	155.7599
236.000000	93.908295	155.8442
240.000000	93.797043	156.1661
243.000000	93.760544	156.1279
247.000000	93.675667	156.2519
250.000000	93.614632	156.3764
254.000000	93.534691	156.5465
258.000000	93.454010	156.7372
262.000000	93.379189	156.9257
265.000000	93.319458	157.0734
269.000000	93.247177	157.2735
272.000000	93.195023	157.4242
276.000000	93.124359	157.6140
280.000000	93.050385	157.8622
285.000000	92.969673	158.1407
290.000000	92.888618	158.4331
295.000000	92.807396	158.6943
300.000000	92.726761	158.9414
304.000000	92.675262	159.2716
307.000000	92.629089	159.4517
311.000000	92.572525	159.6919
315.000000	92.513680	159.9343
320.000000	92.445961	160.2520
325.000000	92.377495	160.5785
330.000000	92.314117	160.8913
335.000000	92.250229	161.1996
340.000000	92.186150	161.5412
345.000000	92.121864	161.8740
350.000000	92.062836	162.1964
355.000000	92.009193	162.5656
360.000000	91.945656	162.8962
365.000000	91.893929	163.2342
370.000000	91.842636	163.5976
375.000000	91.790184	163.9532
382.000000	91.717056	164.4283
387.000000	91.664886	164.8172
395.000000	91.592415	165.4077
400.000000	91.547874	165.7917
406.000000	91.500961	166.2403
412.000000	91.458626	166.7012
418.000000	91.418640	167.1208
425.000000	91.366837	167.6028
431.000000	91.320763	168.0232
437.000000	91.278236	168.4336
444.000000	91.231003	168.9327
450.000000	91.196167	169.3364
455.000000	91.165977	169.6864
462.000000	91.119934	170.1517
468.000000	91.084373	170.5688
475.000000	91.045525	171.0563
482.000000	91.000198	171.5255
487.000000	90.976471	171.9059
494.000000	90.938278	172.3707
500.000000	90.904633	172.8124
508.000000	90.867149	173.3662
515.000000	90.835159	173.8707
522.000000	90.805061	174.3708
530.000000	90.767700	174.9015
538.000000	90.735321	175.5133
545.000000	90.710541	175.9742
552.000000	90.681725	176.4896
560.000000	90.654205	177.0406
570.000000	90.623047	177.7585
580.000000	90.597023	178.4840
590.000000	90.568420	179.1751
600.000000	90.544846	179.9321
608.000000	90.524055	-179.5378
615.000000	90.511497	-179.0513
622.000000	90.494247	-178.5421
630.000000	90.483017	-177.9867
640.000000	90.467850	-177.3087
650.000000	90.453789	-176.5938
660.000000	90.445274	-175.8058
670.000000	90.435280	-175.1523
680.000000	90.432800	-174.4503
690.000000	90.426804	-173.7584
700.000000	90.422150	-173.0517
710.000000	90.421684	-172.3157
720.000000	90.412819	-171.5729
730.000000	90.430634	-170.8818
740.000000	90.436432	-170.2016
750.000000	90.449303	-169.4925
762.000000	90.459824	-168.6468
775.000000	90.478592	-167.7339
788.000000	90.503685	-166.8257
800.000000	90.525345	-165.9323
812.000000	90.558487	-165.1107
825.000000	90.593491	-164.1995
838.000000	90.634933	-163.2984
850.000000	90.672798	-162.4628
862.000000	90.721939	-161.6198
875.000000	90.767090	-160.7245
885.000000	90.816376	-160.0663
900.000000	90.886642	-159.1023
912.000000	90.948212	-158.2548
925.000000	91.021805	-157.4052
938.000000	91.097771	-156.5753
950.000000	91.173706	-155.7992
962.000000	91.254654	-155.0779
975.000000	91.341461	-154.2916
988.000000	91.436768	-153.5088
1000.000000	91.524605	-152.8808
1015.000000	91.643967	-152.0580
1030.000000	91.762520	-151.2847
1044.000000	91.881943	-150.6058
1060.000000	92.024338	-149.8932
1075.000000	92.153198	-149.1958
1090.000000	92.289764	-148.6238
1106.000000	92.437935	-148.0078
1120.000000	92.570389	-147.4866
1138.000000	92.745544	-146.9443
1150.000000	92.856659	-146.5895
1172.000000	93.071838	-145.9730
1180.000000	93.150986	-145.7822
1206.000000	93.405640	-145.2004
1220.000000	93.547256	-144.9205
1241.000000	93.762383	-144.6120
1250.000000	93.853561	-144.4641
1265.000000	94.005264	-144.2967
1280.000000	94.165276	-144.1960
1315.000000	94.534348	-144.1025
1320.000000	94.587677	-144.0884
1340.000000	94.793442	-144.2281
